"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00618496973986292 0.00555586765804697 0.00444831405690659 0.00498473481842513 0.00328930269262533 0.0023164604280965 0.0055571980045373 0.00314424967597646 0.00230990098911819 0.000357150147090955 0.00104903209065094 0.00202934614162416 0.000256128150919619 0.000774620266289863 0.00384932697571765 0.000731350561754322 0.00108571043745762 0.00170215607235475 0.00212921719946753 0.000284989439435523 0.00272508467317277 0.00219803298415358 0.0027168312228059 0.00310430406928246 0.0019113907705042 0.00363113464575448 0.00410953300362185 0.00215411965968712 0.000129534593784888 0.0018200117510365 0.00367131670580509 0.00307804657536304 0.0012116748782377 -0.000231775516901995 0.00180813872505781 0.00108220832017228 0.000414099724912973 0.000791499749170051
"ISNSL" 0.00555586765804697 0.0101989154567382 0.00603028164174605 0.00882406013151333 0.0059011500411961 0.00397848939016525 0.0054020486579755 0.00382426010395632 0.00317827295916409 0.000815281180348362 0.00167793328145697 0.00271420489530878 0.000161169163491515 0.00118836338600355 0.00711872165190051 0.00206504554394051 0.00174398341027641 0.00172479384002661 0.00295180545816347 -0.000358087542487449 0.00374449720492776 0.00315955991458312 0.0034530365820949 0.00456231661480682 0.000916862706789408 0.00519346411662757 0.00553375258152177 0.00291248079409496 -0.000930530233024086 0.0028111611756983 0.00348543671255928 0.00301764398155615 0.000115361428820026 0.000589013944553584 0.000860513989645226 0.000838468872307162 0.000100796043716425 0.000126647905198577
"ISPNS" 0.00444831405690659 0.00603028164174605 0.00508121383058287 0.00595474193832974 0.00400843404615326 0.00288183778195708 0.00451019120077354 0.00275613701676236 0.00217607167425574 0.000613438960045484 0.00120235470999383 0.00203148093670384 0.000624435817069457 0.000980880532774371 0.00400019363281325 0.000911460122055068 0.00118989225266381 0.00156158515834562 0.00209490447102685 0.00015313769694542 0.00249682356642554 0.00247171251903338 0.0029819710122596 0.00399670957330134 0.00187211435649117 0.00413652519548521 0.00281673386624528 0.00216640407461448 0.000542736465802221 0.00195264158915688 0.00290717636443913 0.00296843219932625 0.000505411438470863 0.000257217361481023 0.00142047820177034 0.00113137277535576 -0.000853945171528958 0.00025134516890293
"PMZS" 0.00498473481842513 0.00882406013151333 0.00595474193832974 0.0112133191814123 0.00693825892151218 0.00473407035724314 0.0088954159085602 0.00755081942950018 0.00332999178863036 0.000945851551915591 0.00239470109404623 0.00311628870747399 0.000188240694766721 0.00145861691150937 0.00733172388041944 0.00346994407901916 0.00247018570090244 0.00256475979927941 0.00424772077717531 -0.00263463910239139 0.00414591762354321 0.00151187280157323 0.00473527812080309 0.00637661391065181 0.000325132032106125 0.00502615780556374 0.00583895107660518 0.0027564330547258 -0.000173434818889115 0.00323701391990658 0.00240294125634813 0.00478380574300277 0.000799333776743687 -0.00173382037930513 0.00313136655617432 0.00138316316580341 -0.00116706212945338 -0.000721934482398074
"PMZI" 0.00328930269262533 0.0059011500411961 0.00400843404615326 0.00693825892151218 0.00533153832192864 0.0033343092606904 0.00520234015556908 0.00411995681073019 0.00268944586785998 0.000538433550497107 0.00149017800972506 0.00193942442282961 1.55674415123693e-05 0.000914028357910279 0.00403820080303785 0.00214494500173176 0.0016820154771676 0.00208892905854584 0.00272121915754402 -0.000729519111401707 0.00260583411290896 0.00190969608555579 0.00302759249852567 0.00308026064830398 -2.86423508233717e-05 0.00335193774902683 0.00400016244319615 0.00170674587560652 -0.000283993170597905 0.0019193189862307 0.00167085867349781 0.00268777361820271 0.000155909528848395 -0.000949984773156971 0.00145658204940404 0.00110703114218558 -0.000979960823357076 -0.000351705363858375
"PMMT" 0.0023164604280965 0.00397848939016525 0.00288183778195708 0.00473407035724314 0.0033343092606904 0.00258563963034105 0.00347348284906367 0.00282120598707615 0.00161624948372149 0.000293014203805236 0.00103441897917647 0.00125096354900922 1.26756522926529e-05 0.000554318861532607 0.00283164116358043 0.00125999864517111 0.00102017701135315 0.00116083011269461 0.00176897082048801 -0.000348129646717496 0.00176359176454521 0.00113359273753288 0.00239949400463609 0.00251442589734625 0.000363196806585117 0.00213425815605857 0.00255431194534056 0.00106405165459453 -0.000272335091196988 0.00135232646109682 0.00118292004642744 0.00186721679538672 0.000188533485748834 -0.000304116829912989 0.00111679400823216 0.000636677958477173 -0.000666588142213682 -0.000106815362809643
"NSLNA" 0.0055571980045373 0.0054020486579755 0.00451019120077354 0.0088954159085602 0.00520234015556908 0.00347348284906367 0.0168751536860557 0.00665029937169138 0.0030860547731858 0.000310944628318574 0.00166557727600415 0.00458954041904824 0.00112800421249719 0.00114485978956333 0.00577490681490156 0.00279507396131916 0.00253551783793465 0.00341487950054426 0.00416942086409 -0.000207432967177621 0.00483368787331003 0.00225780843636526 0.00502616154618913 0.00566101832078972 0.00251548055569265 0.00450404509109162 0.00698558642934569 0.00289803967399231 0.00284043943874381 0.00342421108615358 0.00590825854125008 0.00637378173718097 0.00136236858858265 -0.00265036799964311 0.00304821356201386 0.00281979433939494 -0.000439778470650096 0.000452042982266793
"NSLZS" 0.00314424967597646 0.00382426010395632 0.00275613701676236 0.00755081942950018 0.00411995681073019 0.00282120598707615 0.00665029937169138 0.0105569300980672 0.00271887462763704 0.000822721690429356 0.00225511853289105 0.00113293486866159 -0.00067890640816193 0.000710298450818136 0.00500175117585671 0.00339184546960152 0.00163496351292207 0.00168111495831191 0.00386701992582743 -0.00573602329454127 0.0023465669498679 -0.00238635789591211 0.0032242870574813 0.00487906451429667 -0.000909345841985182 0.00200606901647613 0.00362708462139338 0.000807915722134005 -0.00186766420505543 0.00163183552820043 -0.000931096205589112 0.00457271170688668 0.00127351187938973 -0.00411809700017241 0.0047393093181858 0.000592553609343737 -0.00140876319677203 -0.00179852227719178
"NSLZI" 0.00230990098911819 0.00317827295916409 0.00217607167425574 0.00332999178863036 0.00268944586785998 0.00161624948372149 0.0030860547731858 0.00271887462763704 0.00245700391892233 0.0004316293806421 0.000840345261982088 0.00111418967535143 -6.06538557376929e-05 0.000256625507879501 0.0022069789304265 0.000925629167032979 0.000935934178160621 0.00135884468408179 0.00183194980496209 -0.000243424492237195 0.00158397729484995 0.00245561788258681 0.00169852836670916 0.00114213125805628 0.00123332511904469 0.00183239501909867 0.0026763460507757 0.00121905580812756 -0.00030955572783208 0.00100394672741615 0.00190953295780116 0.00220296014955692 0.000123073194614194 -0.00073859953324299 0.000560068868050776 0.000751106271924177 -0.000568635485487632 -2.85819744623638e-05
"NABR" 0.000357150147090955 0.000815281180348362 0.000613438960045484 0.000945851551915591 0.000538433550497107 0.000293014203805236 0.000310944628318574 0.000822721690429356 0.0004316293806421 0.00150005412454332 0.000643481260533876 0.000416125757979173 0.000534447202037795 0.00055455175681688 0.00218586340997875 0.00081899121976308 0.000343178239959784 0.000122877642724749 0.000834800919630451 -2.02366601428876e-05 0.000396107759138394 0.000430295666507429 0.000736667939426789 0.000756579446671936 0.000759764116346375 0.000261038140168388 0.000789082547209426 1.61228383274222e-05 -0.000812305565596697 0.000175556975775511 0.000741752067560294 0.000735336949905385 1.72703487770293e-05 -0.000305568077169683 -4.33354383254042e-05 -9.47609170653719e-06 -0.00022193792775905 0.000499230177514512
"NAFM" 0.00104903209065094 0.00167793328145697 0.00120235470999383 0.00239470109404623 0.00149017800972506 0.00103441897917647 0.00166557727600415 0.00225511853289105 0.000840345261982088 0.000643481260533876 0.00145310511832372 0.000744513901217182 0.000210696422489889 0.00051165598966235 0.00217798758515519 0.00114651282016992 0.000654736855697075 0.000345162466288319 0.00119903887823958 -0.000141815425002762 0.000864068117279797 0.00016210221883253 0.000599304629745489 0.00179591419146081 0.000222971588020616 0.00127314076194961 0.00162997973164551 0.000786210881470305 -0.000572730885212373 0.000579952134899108 0.000275869559398394 0.00154534020247812 0.000397400023199238 -0.000953870044918472 0.000941626251627816 0.000141448497944192 -0.00117862255170756 7.51868395093352e-05
"NAPNS" 0.00202934614162416 0.00271420489530878 0.00203148093670384 0.00311628870747399 0.00193942442282961 0.00125096354900922 0.00458954041904824 0.00113293486866159 0.00111418967535143 0.000416125757979173 0.000744513901217182 0.00270196527139448 0.000872450259329515 0.000902294010484078 0.00254792201339988 0.000933796426870158 0.00114654489163961 0.00137550015817643 0.00101277379031081 0.000376720725298001 0.00201555282166196 0.00195773012274179 0.00178169483602798 0.00206062304411251 0.000756929813377712 0.00176188205056814 0.00265827412994178 0.00163755298423606 0.00117125897002941 0.00117843155958475 0.00255807579876932 0.00131950585743651 0.000342755051863975 0.000553612233205561 0.000240967585571205 0.00136377264362987 -0.000184735885105449 0.000715230686109225
"BRPT" 0.000256128150919619 0.000161169163491515 0.000624435817069457 0.000188240694766721 1.55674415123693e-05 1.26756522926529e-05 0.00112800421249719 -0.00067890640816193 -6.06538557376929e-05 0.000534447202037795 0.000210696422489889 0.000872450259329515 0.00250631070964465 0.000800453994345266 -0.00225264006698832 -0.00139229591365874 -0.000188712396408267 0.00036810275658879 -0.00162625547837518 0.000827001446260219 0.000663166754516954 0.000835436851591284 0.000793063466278682 0.000322983459435552 0.000760186377388158 0.00110488037014957 -0.000146945403534939 0.000515629444269743 0.00126484954469264 0.000110724120451027 0.00130105548462945 -0.000411918893802753 0.000604747973531716 0.00090347809703633 -7.28784248217386e-05 0.000868299085463398 -9.40198925149772e-05 0.000315657895153718
"BRAPET" 0.000774620266289863 0.00118836338600355 0.000980880532774371 0.00145861691150937 0.000914028357910279 0.000554318861532607 0.00114485978956333 0.000710298450818136 0.000256625507879501 0.00055455175681688 0.00051165598966235 0.000902294010484078 0.000800453994345266 0.00100915833228492 0.00162686043287072 0.000684812617300769 0.000443037631481263 8.65851354280384e-05 0.000308256973312517 -0.000125833991602027 0.000832007028384532 0.000248153636330035 0.000749301170345717 0.00112719488533317 0.000764945008408976 0.000899461133338773 0.000886802106293651 0.00052136581098988 0.000174907400663656 0.000500337222881022 0.000883102389188142 0.000548813717570926 0.000313551882614068 0.00044897334178777 0.000597458753155374 0.000113683351689303 -0.000155126886413943 0.000379298813105953
"PTFM" 0.00384932697571765 0.00711872165190051 0.00400019363281325 0.00733172388041944 0.00403820080303785 0.00283164116358043 0.00577490681490156 0.00500175117585671 0.0022069789304265 0.00218586340997875 0.00217798758515519 0.00254792201339988 -0.00225264006698832 0.00162686043287072 0.0212089105630283 0.00611920403728579 0.001583340752488 -0.00326257275082036 0.00496584198502265 -0.00114089276717773 0.00323981103188655 0.000990860367942627 0.00368873126945624 0.00672916502326958 0.00377976457130373 0.00187418787747272 0.00723532788538509 0.00124294412745832 -0.00333660614162671 0.00319037359345529 0.00444891005818023 0.00568047312169574 -0.000401321282539642 0.000598181776733757 0.00174668203493021 -0.00327900714751378 -0.000680264178814827 0.0016276663687314
"PTAPET" 0.000731350561754322 0.00206504554394051 0.000911460122055068 0.00346994407901916 0.00214494500173176 0.00125999864517111 0.00279507396131916 0.00339184546960152 0.000925629167032979 0.00081899121976308 0.00114651282016992 0.000933796426870158 -0.00139229591365874 0.000684812617300769 0.00611920403728579 0.00487977793861114 0.00201901631397579 0.00083605673127983 0.00407048756899334 -0.00163467097075913 0.001289104432501 -0.000514116581494697 0.00155968655979321 0.00229393716657011 5.95386166668656e-05 0.000813443318821201 0.00304717391419354 -7.92419524489172e-05 -0.00181687005633013 0.000968371275261677 0.000396379373212339 0.00271347038560345 -2.01204481029011e-05 -0.00158889148908352 0.00156216329689352 -2.42947381496763e-05 -0.000608784651622607 -6.59945026158237e-05
"PTBA" 0.00108571043745762 0.00174398341027641 0.00118989225266381 0.00247018570090244 0.0016820154771676 0.00102017701135315 0.00253551783793465 0.00163496351292207 0.000935934178160621 0.000343178239959784 0.000654736855697075 0.00114654489163961 -0.000188712396408267 0.000443037631481263 0.001583340752488 0.00201901631397579 0.00179267969573784 0.00205120669963131 0.00225467057659853 -0.000405321677221203 0.00137790684409079 0.000946470011410717 0.00111041378480933 0.00107461107761723 0.000254731923375048 0.00170232426376782 0.00201720918913977 0.00167399277980906 0.000217511579167982 0.000899931339558305 0.001270463473903 0.00150433201339223 0.000167931051037472 -0.000706238986159139 0.000572303845648068 0.00136675516685802 -0.000721451372548335 0.000226917646413409
"PTEAM" 0.00170215607235475 0.00172479384002661 0.00156158515834562 0.00256475979927941 0.00208892905854584 0.00116083011269461 0.00341487950054426 0.00168111495831191 0.00135884468408179 0.000122877642724749 0.000345162466288319 0.00137550015817643 0.00036810275658879 8.65851354280384e-05 -0.00326257275082036 0.00083605673127983 0.00205120669963131 0.00484898087669958 0.00237944339508509 -0.000117461499575299 0.00157597921068952 0.00170765748455853 0.00116196435061698 0.000450736550396074 -0.000396302557390176 0.00224801519577633 0.00173770666296025 0.00205053223287036 0.00104949496005787 0.00052754071284715 0.00143196040159148 0.00109057706454756 0.000196420161638618 -0.00110917962228888 7.53452414633728e-05 0.00340863789834297 -0.000441008601318586 9.40986089992048e-05
"PTZYGO" 0.00212921719946753 0.00295180545816347 0.00209490447102685 0.00424772077717531 0.00272121915754402 0.00176897082048801 0.00416942086409 0.00386701992582743 0.00183194980496209 0.000834800919630451 0.00119903887823958 0.00101277379031081 -0.00162625547837518 0.000308256973312517 0.00496584198502265 0.00407048756899334 0.00225467057659853 0.00237944339508509 0.00618937465631732 -0.00086470301275703 0.00164164135769104 0.00106345274923224 0.00169816508699035 0.00295323522152071 0.00142912531199685 0.00210736390529676 0.00321226860261186 0.000871732699603694 -0.00115351841892151 0.00120654289423764 0.00135077547538058 0.00434289772498035 0.00011760468047309 -0.00249798339820589 0.00162181517774084 0.000730674863789549 -0.000640611821672746 -0.000114494290066087
"FMZS" 0.000284989439435523 -0.000358087542487449 0.00015313769694542 -0.00263463910239139 -0.000729519111401707 -0.000348129646717496 -0.000207432967177621 -0.00573602329454127 -0.000243424492237195 -2.02366601428876e-05 -0.000141815425002762 0.000376720725298001 0.000827001446260219 -0.000125833991602027 -0.00114089276717773 -0.00163467097075913 -0.000405321677221203 -0.000117461499575299 -0.00086470301275703 0.00755186965436843 0.0002020171002506 0.00352852057864048 -0.000961190424680568 -0.000688338902304081 0.00323989910793572 0.000508988607353353 0.000697644809255155 0.000413905802578435 0.00108602008666213 1.3900173685662e-05 0.00297863536397504 -0.000109002094136415 -0.000565605556124992 0.00230780899404268 -0.00298903405671588 0.000204785191792584 2.14916731308686e-05 0.00249918359101337
"FMMT" 0.00272508467317277 0.00374449720492776 0.00249682356642554 0.00414591762354321 0.00260583411290896 0.00176359176454521 0.00483368787331003 0.0023465669498679 0.00158397729484995 0.000396107759138394 0.000864068117279797 0.00201555282166196 0.000663166754516954 0.000832007028384532 0.00323981103188655 0.001289104432501 0.00137790684409079 0.00157597921068952 0.00164164135769104 0.0002020171002506 0.00300807797895053 0.00172721740767472 0.00291586062558945 0.00275015452243203 0.00140140718361016 0.0031027741303835 0.00413149264776947 0.00172859850004864 0.000490566155286988 0.00163074403921957 0.00289441467110626 0.00190674460408032 0.000438817714629638 -0.000165439673024207 0.00107630978757381 0.00111188900603849 0.0001335258956777 0.000292227703703078
"ZSZI" 0.00219803298415358 0.00315955991458312 0.00247171251903338 0.00151187280157323 0.00190969608555579 0.00113359273753288 0.00225780843636526 -0.00238635789591211 0.00245561788258681 0.000430295666507429 0.00016210221883253 0.00195773012274179 0.000835436851591284 0.000248153636330035 0.000990860367942627 -0.000514116581494697 0.000946470011410717 0.00170765748455853 0.00106345274923224 0.00352852057864048 0.00172721740767472 0.00714585076963178 0.000806929949042296 -0.000885468101648237 0.00359183761650697 0.00244768287055524 0.00256766320329238 0.00241087099047373 0.00191626916113263 0.000952574941739401 0.00556894068666153 0.00117887943328654 -0.00041267557990966 0.00204101803862032 -0.00201587033827208 0.00132483510741501 -0.000477774756371596 0.00123468458426991
"ZIMT" 0.0027168312228059 0.0034530365820949 0.0029819710122596 0.00473527812080309 0.00302759249852567 0.00239949400463609 0.00502616154618913 0.0032242870574813 0.00169852836670916 0.000736667939426789 0.000599304629745489 0.00178169483602798 0.000793063466278682 0.000749301170345717 0.00368873126945624 0.00155968655979321 0.00111041378480933 0.00116196435061698 0.00169816508699035 -0.000961190424680568 0.00291586062558945 0.000806929949042296 0.00786753021928549 0.0038854197222462 0.00178799544071656 0.0022265568738308 0.00421629135840626 -0.000115638705760389 -0.000310218509426305 0.00141843330624369 0.00186943062378026 0.00217700814884605 0.000717783418641296 -0.00120494507088372 0.00278171779516193 0.000835484339175215 4.97598740563599e-05 -0.00100249221880206
"ZIZYGO" 0.00310430406928246 0.00456231661480682 0.00399670957330134 0.00637661391065181 0.00308026064830398 0.00251442589734625 0.00566101832078972 0.00487906451429667 0.00114213125805628 0.000756579446671936 0.00179591419146081 0.00206062304411251 0.000322983459435552 0.00112719488533317 0.00672916502326958 0.00229393716657011 0.00107461107761723 0.000450736550396074 0.00295323522152071 -0.000688338902304081 0.00275015452243203 -0.000885468101648237 0.0038854197222462 0.00951783783716586 0.00279171974306762 0.00339619750255766 0.00368932146854529 0.000725492240299914 -0.0001436814481465 0.00242419861990284 0.000148400558715249 0.0052717677803658 0.000527246660297053 -0.00101431547096285 0.0024496596059467 0.000275868911230685 -0.00125440855721641 0.000775347320105968
"ZITSP" 0.0019113907705042 0.000916862706789408 0.00187211435649117 0.000325132032106125 -2.86423508233717e-05 0.000363196806585117 0.00251548055569265 -0.000909345841985182 0.00123332511904469 0.000759764116346375 0.000222971588020616 0.000756929813377712 0.000760186377388158 0.000764945008408976 0.00377976457130373 5.95386166668656e-05 0.000254731923375048 -0.000396302557390176 0.00142912531199685 0.00323989910793572 0.00140140718361016 0.00359183761650697 0.00178799544071656 0.00279171974306762 0.0117248232821397 0.00166560720464564 0.00177464546746842 0.00118763797161979 0.00101148480494671 0.00179344289523405 0.00486692510113868 0.00508677639040643 0.000695085707179838 0.000552429513451917 0.000450383220594995 -0.000317101091815354 0.00158065557072807 0.00210620040336056
"MTPNS" 0.00363113464575448 0.00519346411662757 0.00413652519548521 0.00502615780556374 0.00335193774902683 0.00213425815605857 0.00450404509109162 0.00200606901647613 0.00183239501909867 0.000261038140168388 0.00127314076194961 0.00176188205056814 0.00110488037014957 0.000899461133338773 0.00187418787747272 0.000813443318821201 0.00170232426376782 0.00224801519577633 0.00210736390529676 0.000508988607353353 0.0031027741303835 0.00244768287055524 0.0022265568738308 0.00339619750255766 0.00166560720464564 0.00613075256701056 0.00310637939020077 0.00331114532155948 0.00170448339550824 0.00203248790120155 0.00332492717363653 0.00266570409541451 0.000581435875767767 -0.000571028508902535 0.00133203997710472 0.00173649016574232 -0.00116892459115818 -0.00026165588702416
"PNSAPET" 0.00410953300362185 0.00553375258152177 0.00281673386624528 0.00583895107660518 0.00400016244319615 0.00255431194534056 0.00698558642934569 0.00362708462139338 0.0026763460507757 0.000789082547209426 0.00162997973164551 0.00265827412994178 -0.000146945403534939 0.000886802106293651 0.00723532788538509 0.00304717391419354 0.00201720918913977 0.00173770666296025 0.00321226860261186 0.000697644809255155 0.00413149264776947 0.00256766320329238 0.00421629135840626 0.00368932146854529 0.00177464546746842 0.00310637939020077 0.00927370275216923 0.00143706546363173 -0.00149260711499795 0.0021856302741455 0.00492834743260306 0.00335879070656358 0.000480638288297273 -0.00109329977378131 0.000898734229453465 0.000519172966609828 0.000667341935940078 0.000984427826212575
"APETBA" 0.00215411965968712 0.00291248079409496 0.00216640407461448 0.0027564330547258 0.00170674587560652 0.00106405165459453 0.00289803967399231 0.000807915722134005 0.00121905580812756 1.61228383274222e-05 0.000786210881470305 0.00163755298423606 0.000515629444269743 0.00052136581098988 0.00124294412745832 -7.92419524489172e-05 0.00167399277980906 0.00205053223287036 0.000871732699603694 0.000413905802578435 0.00172859850004864 0.00241087099047373 -0.000115638705760389 0.000725492240299914 0.00118763797161979 0.00331114532155948 0.00143706546363173 0.00513335610617769 0.00216923507595182 0.00158626754006785 0.00332880130034187 0.00142226886999902 0.000265475542675185 0.000431345218534069 -0.000262103489345028 0.00187165371690754 -0.00148652539640945 0.000421939317249134
"APETTS" 0.000129534593784888 -0.000930530233024086 0.000542736465802221 -0.000173434818889115 -0.000283993170597905 -0.000272335091196988 0.00284043943874381 -0.00186766420505543 -0.00030955572783208 -0.000812305565596697 -0.000572730885212373 0.00117125897002941 0.00126484954469264 0.000174907400663656 -0.00333660614162671 -0.00181687005633013 0.000217511579167982 0.00104949496005787 -0.00115351841892151 0.00108602008666213 0.000490566155286988 0.00191626916113263 -0.000310218509426305 -0.0001436814481465 0.00101148480494671 0.00170448339550824 -0.00149260711499795 0.00216923507595182 0.0068653086786302 0.00059462852160742 0.00191157212210413 -0.000436237761747291 -0.000113722020975648 0.00218756476874466 -0.000261414405121041 0.00185987798113763 -0.0007946416254999 -0.000180550748219768
