"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00454239825243557 0.00295797787120027 0.0026714375120191 0.00202056585050141 0.00136092163326237 0.000438314171352952 0.0013530141590236 0.00215631940484435 0.00111689581907215 0.00138348596217984 0.000402106783059957 0.00111808524697311 0.000539009155313018 0.000470719090702763 0.002310933386492 9.78772223044798e-05 0.000242130848115534 -4.66926107321114e-05 0.000412476771425343 0.000191108062880229 0.00210051754933762 0.000235497958373963 0.00118544015898062 0.00119902627755949 0.001439486856149 0.00374518981183089 0.000427073040362943 0.000869907496482329 0.00112348145617169 0.00105600260905837 0.00128874474369997 -0.000439581170520067 -0.000265116617440539 0.000713721160512222 -0.000669015420933071 0.00019531155877574 -0.000312539135017685 2.74856798376261e-05
"ISNSL" 0.00295797787120027 0.00750239427873392 0.00395424434290107 0.00535617968740531 0.00389215120240376 0.00266885367635491 0.0012762545386811 0.00149299338100152 0.00234436645964644 0.0015786383143384 0.00134326535960665 0.00167994327503259 0.000602649225100888 0.00117928077839087 0.00385332932014689 0.000161543598361235 0.000636116975182047 0.00143825947273033 0.00153316670260412 0.00200338875577513 0.00261218025523717 0.00289589999678568 0.00175886404212634 0.00224837913375522 0.00308039278091183 0.00377663461127971 0.00351064076549789 0.00246172046120793 0.00308502383406971 0.00159339123705788 0.00536225277781976 0.00256420702718743 0.000244242289725234 0.00278304044716203 0.000439740430496093 0.00152115405082509 -0.00145055706535506 0.00199704295810336
"ISPNS" 0.0026714375120191 0.00395424434290107 0.0052036479788496 0.00469556024633007 0.00361314502983251 0.00209912318959314 0.00415841304616663 0.00162970913608976 0.00212041675851973 0.00102203960375428 0.000805580799441354 0.00253292407536105 0.00062525885063312 0.00105250767560395 0.00227767055620945 0.000312603328812427 0.00101357072458916 0.0020467187487914 0.00186869326415902 0.00255945893536918 0.0033168425763593 0.00307641833818365 0.00170697457041664 0.00300831331963443 0.00224913175654507 0.00556215827104024 -0.000962225896809517 0.00225422000055212 0.00149539220317913 0.00130749212960414 0.00377317573602998 0.00116125888435107 0.00057748381090185 0.00210773820397417 0.00104697748713344 0.00162835838329152 -0.001207277312826 -0.000344280374452724
"PMZS" 0.00202056585050141 0.00535617968740531 0.00469556024633007 0.007587464788258 0.00549569025855 0.00340854669950331 0.00628494034062576 0.0026690177060635 0.00305148121365743 0.00149166418020306 0.00165105522287024 0.00244247530397545 0.000347057069837137 0.00118877428959268 0.00443008339947794 3.42566609403899e-05 0.00112031732326396 0.00277925172391095 0.00263738660593867 0.00270683103209218 0.00398684311131609 0.00476004247659769 0.00252749156027019 0.00360737990403004 0.00253322160482732 0.00538073104677484 0.00392477670393608 0.0036071440856243 0.00347839671830673 0.00164315200008292 0.00577579798646309 0.00302052153039 0.000506172138557879 0.0038356725901012 0.00176520570836101 0.00250314482943215 -0.0015889024209097 0.00131140891589582
"PMZI" 0.00136092163326237 0.00389215120240376 0.00361314502983251 0.00549569025855 0.00597071537912774 0.00358527549535265 0.00358875205117261 0.00182866936621954 0.00349322544200744 0.000977028215758778 0.00179598105236505 0.0018411097975402 -4.38886247160017e-05 0.00145438646626209 0.00349931967031991 0.000767243890066575 0.00131224281610909 0.00236360584116306 0.0022891632644782 0.00261719738389445 0.00293396333060605 0.0048251219548888 0.00274213973123882 0.00101209279424062 0.000678196705117418 0.00409240949652241 0.00350719280670892 0.00321269859953926 0.00313513277675481 0.00158158197885464 0.00426199080446371 0.00342708498551137 0.000960581217930637 0.00298846161432037 0.00247005592629769 0.00180272630748196 -0.000634679357614265 0.000610961100708635
"PMMT" 0.000438314171352952 0.00266885367635491 0.00209912318959314 0.00340854669950331 0.00358527549535265 0.0033617387234923 0.00161288133486529 0.000912645665902317 0.00202091429500956 0.000449023942240234 0.00132747544563445 0.000900503935896859 -0.000175135246540477 0.0010587019831554 0.00232903817199219 0.000883079211712786 0.0010862479434712 0.00182181314183713 0.00174958424955085 0.00131840077732357 0.00114821151934978 0.00295510008596763 0.00242037127684474 0.000444694709821837 0.000595284551691196 0.00127356871503717 0.00299570801068599 0.00231909263241672 0.00254886413277759 0.00121499129204949 0.00328743917544915 0.0024672212143304 0.000734069339526178 0.0024167021052713 0.00192691096366288 0.00130186239962312 -0.000134602727076535 0.000731162395327289
"NSLNA" 0.0013530141590236 0.0012762545386811 0.00415841304616663 0.00628494034062576 0.00358875205117261 0.00161288133486529 0.0175742999717117 0.00361077405654939 0.00260175081357443 -0.000971813708243935 0.00174162593890481 0.00395159924417075 0.00053038583841591 0.000471017042182962 0.0020121965583761 -0.000729996615123332 0.00069159852157821 0.00221596131905679 0.00211125525437699 0.00499221224463346 0.00431142649929771 0.00449688980112804 0.000637547331291172 0.00327533794319173 0.000582163676661587 0.00494004149125426 0.00049910342713472 0.0025826901188448 0.000955553686607834 0.00108961277649675 0.00393552796259691 0.00152151726020514 0.00176467025911929 0.00327278765257087 0.00142851373376945 0.00210185076037659 -0.00173106967661711 0.00141686314885285
"NSLZS" 0.00215631940484435 0.00149299338100152 0.00162970913608976 0.0026690177060635 0.00182866936621954 0.000912645665902317 0.00361077405654939 0.00509772693736468 0.00223929888102214 0.00140637430648582 0.00107626082099169 0.000964061098932757 0.000865218294402369 0.000664492744960485 0.00197400552924738 -0.000674652407075749 -4.827968261594e-05 0.00024625833071393 0.000634162344858097 -0.000262880692553561 0.00194435163613423 0.000237134425828232 0.000188756454386586 0.000817356852736387 0.000737869198605071 0.00262600391986122 0.00121294972556226 0.00116535377677832 0.00157986797867566 0.000710867003419508 0.00077270617879307 0.000343173578762978 -5.73091147090128e-05 0.00128495821397241 0.00035390607433971 0.000740111097802334 -0.000565311582508639 0.000568157285649196
"NSLZI" 0.00111689581907215 0.00234436645964644 0.00212041675851973 0.00305148121365743 0.00349322544200744 0.00202091429500956 0.00260175081357443 0.00223929888102214 0.00295602332742149 0.000966318269046622 0.00132632790585629 0.0012846192283004 0.000474097793518247 0.0010432157453388 0.00201027598901897 0.00013164322990344 0.000708020076426391 0.00135266821444782 0.00143004506868128 0.00164178210887884 0.00184112429745626 0.00345614161875775 0.000978470093449217 0.000427354151769324 0.000661035948692253 0.00257513175128034 0.00203207873509772 0.00209560423579685 0.00178987788736532 0.00106902184607244 0.0023057006760967 0.00226105243989551 0.000745711645421673 0.00140746731492374 0.00155734063817078 0.00116595858985696 -0.000232756065395963 0.000400575766960635
"NABR" 0.00138348596217984 0.0015786383143384 0.00102203960375428 0.00149166418020306 0.000977028215758778 0.000449023942240234 -0.000971813708243935 0.00140637430648582 0.000966318269046622 0.00249138275716396 0.000212651404967899 0.000243748646528516 0.000999399805515915 0.000431260804178785 0.00139529142014959 -4.21457000413572e-05 0.000415364985367815 0.0010468201775581 0.00101894086654777 0.000208988173681399 0.00141543384227521 0.000882924076125572 2.97301571239794e-05 0.00076428090852696 0.0020516197917581 0.00186948056135544 0.0014948915557127 0.000838571494647512 0.00111501731715566 0.000637124542156346 0.00149072115249225 0.000814341116123634 -0.000172208520453609 -0.000100266929577381 -0.000119630538951089 0.00109713272293979 0.000300660205205287 0.000706938364516229
