"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.0075994947986941 0.00668536466424116 0.00497562764054429 0.00475324527173122 0.00362903302848661 0.00239467101085925 0.0034166627310156 0.00345598899272773 0.00290031640733566 0.00148306252273138 0.0020539989907448 0.00297053112602863 0.00189094828432342 0.00165761262322198 0.00134458344061519 0.00183034907087426 0.00233111145741835 0.00350594692161858 0.00294630925546081 0.00101541683297874 0.003457907309684 0.00290760093882592 0.00140219224360591 0.00316188822724067 0.00295589086294155 0.00446093428395215 0.00268922461590368 0.0026872795888381 0.00243533533023644 0.00213765338372097 0.00377694167285396 0.00303800812276525 0.000619708722528044 0.00173784803777941 0.000591515595409473 0.00275545393623861 -0.00157189439221929 0.00128826448797288
"ISNSL" 0.00668536466424116 0.00938873757266915 0.00596411086487727 0.0073532581002623 0.00478158882570841 0.0029789857306115 0.00346693669794775 0.00397971153878094 0.00310013283624516 0.00179408130815888 0.0023412020793905 0.00356300011346641 0.00221192083390655 0.0020406680219092 0.00160272430117229 0.00143983091554042 0.00260199461265375 0.00484384798910297 0.00371436457521903 0.00168117545793675 0.00466175008371384 0.00307692975254919 0.00121072333894132 0.00538470975254893 0.00367201521544192 0.00591022690061288 0.00340446817579437 0.00397867973665352 0.00338873963197418 0.00312282522570405 0.00457924790167678 0.00267671773947339 0.00153956290446282 0.00245100883401123 0.00116369867416163 0.00346939450389782 -0.000929742125164166 0.00162646017084269
"ISPNS" 0.00497562764054429 0.00596411086487727 0.00553148268214333 0.00611061454579825 0.00425047171360252 0.00302279975775626 0.00407485104625474 0.00442669430781111 0.00254540217542831 0.00149618892437373 0.00218506853024357 0.00330556411658998 0.00131301416979538 0.00170890449487095 0.00299430064734145 0.00172088308335114 0.00242152096303925 0.00335195519464946 0.00310283571357178 -8.44611102024234e-05 0.00320044899542143 0.00180285376605759 0.00120915469627526 0.00453129986481815 0.00338292342445861 0.00456406832634655 0.00193655611138491 0.00363534214644771 0.00313585451085861 0.0024888389141846 0.00330194544226786 0.0029642929320079 0.000798077705378149 0.0016509725587381 0.000758362194865731 0.00214735639003537 -0.000128915389520079 0.000801390905066317
"PMZS" 0.00475324527173122 0.0073532581002623 0.00611061454579825 0.0103473527943546 0.00577264510656268 0.00394898103884607 0.00750739471432183 0.00661253575853518 0.00356408385032503 0.00174734635497508 0.00283919169526714 0.00387421896292527 0.0011886945133098 0.00197902262697294 0.00459110085395793 0.00162245944975891 0.00300755902757456 0.00530835582031406 0.00532503882095485 -0.00077375976345225 0.00460842696184488 0.00318697248729587 0.000994423085715638 0.00807302064089591 0.00595070640034067 0.00709020579094028 0.00535503308143456 0.00568847620092343 0.00422325301016623 0.00381815322613304 0.00462191670082655 0.00418536403116243 0.00156678408297183 0.00257029295187089 0.00124771236209753 0.00276254222322235 0.00105543388545541 0.00141066873686852
"PMZI" 0.00362903302848661 0.00478158882570841 0.00425047171360252 0.00577264510656268 0.00480677452394616 0.00289083602662997 0.00417174752215452 0.00456095210895436 0.00312282962144454 0.000968348115124032 0.00209232277205427 0.00282126952913503 0.000738675666001456 0.00129265788426807 0.00268208712531924 0.00111550701991067 0.00197816410733155 0.00316576821233837 0.00286641409546525 0.000296736601853823 0.00280819235305054 0.00223014456199684 0.000643002448887902 0.00349366359104553 0.00281901579093135 0.0043952295008179 0.0031346136140008 0.00357130870441531 0.00227266712200206 0.00215330682121496 0.00318103243420642 0.00292603601005369 0.000928846829272159 0.00117486651957018 0.000902150959932854 0.00162770827480455 4.20898604056942e-05 0.00105416996588227
"PMMT" 0.00239467101085925 0.0029789857306115 0.00302279975775626 0.00394898103884607 0.00289083602662997 0.00269702872307836 0.00379345848775067 0.00274259612629091 0.0018716180468697 0.000804489084143206 0.00152191147006598 0.00202746282246795 0.000379892505293382 0.000906144066099358 0.00245887126507911 0.00122268438854718 0.00157007645471579 0.0024450768776117 0.00247947882503763 0.000634387141016822 0.00191772411603421 0.00170322457142915 0.00114675801332542 0.00350813666657166 0.00218190326729146 0.00266892792653564 0.00233644639591451 0.00254760617295893 0.00230590177654737 0.0016303009619019 0.00215644293214566 0.00266635469439394 0.0003100061416677 0.000819333313075473 0.000338435576190999 0.00134245083339865 0.000407190197809148 0.000652145171633023
"NSLNA" 0.0034166627310156 0.00346693669794775 0.00407485104625474 0.00750739471432183 0.00417174752215452 0.00379345848775067 0.0193572524084202 0.00542045358741139 0.00421109904781266 -0.00148727682019669 0.00213349930486325 0.00317019514740042 -0.000199469170103346 0.000933339741132987 0.0020667780467218 0.0013029828291885 0.00296690528161582 0.0048872353294606 0.00520383749350218 0.00229545974427131 0.00269252856121411 0.00535020574087773 0.000125371393858555 0.00511327832169551 0.00712224170481823 0.00383305706737496 0.00441530487632583 0.00549296021888344 0.00582797021953944 0.00312598034171309 0.0034494397806873 0.00583861610732675 0.00277243549497718 0.00172235766606086 0.00258165501956881 0.00272059710647623 0.000769846810160157 0.0016128565605449
"NSLZS" 0.00345598899272773 0.00397971153878094 0.00442669430781111 0.00661253575853518 0.00456095210895436 0.00274259612629091 0.00542045358741139 0.00971937556571178 0.00432021558037637 0.00141246420799585 0.00310315449077562 0.00318729520353538 0.00105080872866931 0.00104317379863592 0.00249809686574584 0.00154252024946496 0.00201970133359931 0.00300449032627318 0.00351949921197155 -0.00395356429102959 0.00101824459399056 0.000301864211602826 -0.00227727145771481 0.00448878313404451 0.00410510708145209 0.00454650510437072 0.00295737124252155 0.00257535342493238 0.00251710289316313 0.00193639021086072 0.00227484780514893 0.00301324834795287 0.000312725630893691 0.00107097774105699 3.91955758694724e-05 0.00183367180815638 0.00112884852989161 0.00276390521672797
"NSLZI" 0.00290031640733566 0.00310013283624516 0.00254540217542831 0.00356408385032503 0.00312282962144454 0.0018716180468697 0.00421109904781266 0.00432021558037637 0.00389921942282642 0.000609035572110706 0.00205493418692343 0.00195205185061839 0.000959954471803516 0.000896878345603889 0.000761624061032339 0.000843868243722407 0.0014670904724445 0.00266591227227068 0.00265079054441391 0.000466100790573815 0.0014481312973209 0.0033899238200751 -0.000277884827213315 0.00209157374721629 0.00316503803051341 0.00327972152927972 0.00248479078282053 0.00225142131784381 0.00231941383707734 0.00168424930390387 0.00314055971162143 0.00323424377888459 0.000981735327881768 0.0013795400482593 0.000534168222075703 0.00166513778795542 -0.000193064465930975 0.00188913822622993
"NABR" 0.00148306252273138 0.00179408130815888 0.00149618892437373 0.00174734635497508 0.000968348115124032 0.000804489084143206 -0.00148727682019669 0.00141246420799585 0.000609035572110706 0.00220643988605835 0.000871182266420482 0.00124851042959851 0.00158004352193849 0.00114000041211282 0.000583468333500315 0.000809028750116298 0.00104749399991933 0.00162487105589255 0.00124253118396485 -0.000106698122162306 0.00138093213237412 -7.93584839195735e-05 0.000903078048402791 0.00226471550690477 0.00118676426669767 0.00170486881198827 0.000499804886959329 0.00149807544452218 0.00163241104000006 0.00098048001566931 0.00145325064211671 0.000608041041628735 3.90163884176925e-05 0.000195780509765311 -0.000145415870960335 0.00121977072132195 7.53491365413812e-05 0.00044777687937325
