"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00522400175499148 0.00414448767065288 0.0043367000750049 0.00468083830463036 0.00372863256851479 0.00276786950820549 0.00377352591860555 0.00294760302856815 0.00293740542982601 0.000887419035739288 0.00172560650236233 0.00140775859903068 -0.000499871809261401 0.000316514947792782 0.00297294503022098 0.000197003683382986 0.000732520133707591 0.00139057912931041 0.00288232588235508 0.00180084961682336 0.00214432587200728 0.0036011643523702 0.000125935908421602 0.00217354128786013 0.00352628968548587 0.00359520365632767 0.00129814901197452 0.0026443596491915 0.00233012107322504 0.00160216480471785 0.0023796406188783 0.00375451410895424 0.000212153324272971 0.00114988486845796 0.000607439405308965 0.000996504939871164 0.000410872274356519 -0.000572145209814306
"ISNSL" 0.00414448767065288 0.0115505390950785 0.0059512637442237 0.00899699101386003 0.00600941290554219 0.00369657831029851 0.00467269515801199 0.00217862508290507 0.00420735967016222 0.00203246183814423 0.00300372463921158 0.00293728370846216 -0.00106277582707618 -0.000418222802657067 0.00752000370021851 3.72238193122882e-05 4.24211260822789e-05 -4.85367396097311e-05 0.00398965401758823 0.00558612917023589 0.00312829568255158 0.00476678354113206 0.000802620801232934 0.00312700433362037 0.0065651932095757 0.00492586747605708 0.00137030361785127 0.00309396036588733 0.0039913345851992 0.00255010734820975 0.00481709787933757 0.00629801087578854 -0.00123761719933308 0.00223451717292151 -0.00248176584633988 0.000440626950507862 0.00368038645391481 0.00145025057467826
"ISPNS" 0.0043367000750049 0.0059512637442237 0.00613736165608349 0.00622658385658646 0.00456439628733398 0.00363909840068753 0.00483144327880649 0.00241246456608938 0.00341554065126888 0.0013166712477899 0.00218100295670221 0.00318352538234967 -0.00016171130700956 0.000644665055011353 0.00478461595180731 0.000276088317670396 0.000748461581971908 0.000657908037579813 0.00300083669735178 0.00309948418014794 0.00249163753406694 0.00484843498086699 -0.000127105842701535 0.00357054567557432 0.00519674160837838 0.00418916170491532 -0.00125008428578732 0.00298534065216346 0.00308990702043816 0.0021930549930789 0.00237492817482619 0.00414926135921844 0.000216823351660014 0.00136029966766589 0.00079212966165543 0.00105819247025497 0.00147266097543175 9.98483833217272e-05
"PMZS" 0.00468083830463036 0.00899699101386003 0.00622658385658646 0.0108391666123714 0.00712754724210314 0.00402935981773426 0.00935462677965382 0.00311081114303251 0.00521299167306474 0.00154997346425278 0.00272935173575523 0.00248857019106585 -0.00145421587197123 -0.000500654098251165 0.00649061914073648 0.000489937458581911 0.000584788780693991 0.00121998321924376 0.00540020183836935 0.00531866555327107 0.0031460996035224 0.00786916096542193 -0.000289119485122 0.00328886676666294 0.00692871399644032 0.00536579162427345 0.00059148243441085 0.00361218302291444 0.00497178358236187 0.00297503967124349 0.00362866733580016 0.00771374396494559 -0.0012607803270487 0.00204569073024175 -0.00161896074864994 0.00131355947264118 0.00221849013692045 0.00112983990227999
"PMZI" 0.00372863256851479 0.00600941290554219 0.00456439628733398 0.00712754724210314 0.00596798155048287 0.00334320316121226 0.00613079085601467 0.00291134791772359 0.00442524446735154 0.00123269121203978 0.00221806372724506 0.00190574237554664 -0.00113252326076267 -0.000231957525589902 0.00530083358974558 0.000960258487882414 0.00100444935552992 0.000939879941118329 0.00375385599142174 0.0039884574373402 0.00258553048510425 0.0057718150714798 0.000145305858537973 0.00173450865364417 0.00447942183767156 0.00421944390329439 0.00195342004871808 0.00285475815190775 0.00391021324287081 0.00200464957675779 0.00278487451303815 0.00571596694813349 -0.000577666299093276 0.00068120313578897 -0.00038005929567492 0.00100454036801021 0.000216046498600781 0.000734011408547738
"PMMT" 0.00276786950820549 0.00369657831029851 0.00363909840068753 0.00402935981773426 0.00334320316121226 0.00319752014441253 0.00338237762087725 0.00181439991370671 0.00265975075577429 0.000882919327417355 0.00148499826362057 0.001585491940162 -0.000174972409681056 0.00042412710512791 0.00358581733202611 0.000823542840569741 0.000895184602429814 0.000622471942322333 0.0022945491557216 0.00259234115417434 0.00159422486693111 0.00355677022867424 0.000568747072674435 0.00103417796445954 0.00265742894835054 0.00240645120608325 0.000661663721718572 0.00207565160252898 0.0022762181210355 0.00164272720198546 0.00340748528982035 0.00349549717403566 0.000278471561687485 0.00082462831859775 0.000581092402993122 0.000758323334988187 0.000580417116058984 0.000447693934317974
"NSLNA" 0.00377352591860555 0.00467269515801199 0.00483144327880649 0.00935462677965382 0.00613079085601467 0.00338237762087725 0.0191138163198137 0.00446288237083871 0.005894173231789 -0.000594177116557463 0.00236920023816119 0.00268661786527801 -0.0021176779981986 -0.00168659796115074 0.00628629016594691 0.000458083839602837 0.000252146748148923 0.00102093877343721 0.00524258309548667 0.00539745721609585 0.00219267138995984 0.00908616446891809 -0.00153639800425427 -0.000323174583637738 0.0053132943351911 0.00306270492751719 -0.0012032302581369 0.00265664963255012 0.00406507390315232 0.00251201415303473 0.00409108374793506 0.00701452209688414 -0.000718137109051963 0.0022961655563776 -0.0012034929245934 0.00079636559206441 0.000731485754685102 0.00164231435440226
"NSLZS" 0.00294760302856815 0.00217862508290507 0.00241246456608938 0.00311081114303251 0.00291134791772359 0.00181439991370671 0.00446288237083871 0.00497966786354021 0.00276026092258413 0.000588454426359415 0.00191438142348888 0.00108397812019348 -0.000625961078947677 6.61129896982724e-05 0.00348846226751421 0.00072498283012953 0.000714578525564269 0.000472681019571523 0.00237535871817181 0.000418100437558352 0.00152072589090738 0.000984863876502733 0.000430315828901865 0.00139851123271445 0.00157044390555333 0.0028121290642175 0.00218801671599695 0.00213060130778492 0.00143496004022332 0.000524423897577019 0.00264715720083562 0.00420816357059554 -0.000756676881277632 -0.000130574210754378 -0.000179043918014157 0.000154227621406716 -0.00155084543530352 -0.000660726497534926
"NSLZI" 0.00293740542982601 0.00420735967016222 0.00341554065126888 0.00521299167306474 0.00442524446735154 0.00265975075577429 0.005894173231789 0.00276026092258413 0.00405218340161275 0.000855315720651909 0.00198331408741939 0.00160930356074566 -0.000858363622851581 -0.0003920087384749 0.0039082840833867 0.000297153174428542 0.000521937103126825 0.000640036235683414 0.00294053977813048 0.00305705422348642 0.00189564803114635 0.00515634831112962 0.000745679635842953 0.000483728721805052 0.0033588953825288 0.00283680927493264 0.000724716029927695 0.00230778785122318 0.00267165681742236 0.00149672687716156 0.0026347489199944 0.00440029129589837 -0.000403350844885725 0.000421096796974132 -0.000259898400032582 0.000786600726678689 0.000293734622758464 0.000775881646663377
"NABR" 0.000887419035739288 0.00203246183814423 0.0013166712477899 0.00154997346425278 0.00123269121203978 0.000882919327417355 -0.000594177116557463 0.000588454426359415 0.000855315720651909 0.00227619104767176 0.000666149046326133 0.000704700979750431 0.00121882550361683 0.000657422097804583 0.00139854417199725 -0.0001539248178008 0.000424667160825493 0.00044364356548996 0.000533402847474341 0.00103514677931307 0.0012137365551896 0.000534419192732786 0.000982255366267363 0.00134924933462097 0.00161784709939918 0.00135817044795529 0.000930549639643724 0.001201143030899 0.000846388447430818 0.00108369427364059 0.00061414656419221 0.00172073172734565 0.000311657399985726 -0.000401512969400864 0.000211284100132122 0.000699586411985128 0.000210038936366052 -5.83737083141715e-05
"NAFM" 0.00172560650236233 0.00300372463921158 0.00218100295670221 0.00272935173575523 0.00221806372724506 0.00148499826362057 0.00236920023816119 0.00191438142348888 0.00198331408741939 0.000666149046326133 0.00190308727891433 0.00183832360020717 0.00016692874487716 0.000344340840534639 0.00261683418812888 0.000237126002985125 0.000328092414654069 0.00049914949021125 0.00175988358388362 0.0013077863422495 0.00141020254358172 0.00189746128219117 0.000276344989172986 0.00132854037872252 0.00202219832710143 0.00228870837272978 0.000491318508652324 0.00146666475327717 0.00166125446991187 0.00114719942601491 0.00214107218165083 0.00293601918312219 3.0208431112913e-05 0.000322449637213573 0.000179007714496931 0.000505209825664332 0.000233857128520769 7.829466032259e-05
"NAPNS" 0.00140775859903068 0.00293728370846216 0.00318352538234967 0.00248857019106585 0.00190574237554664 0.001585491940162 0.00268661786527801 0.00108397812019348 0.00160930356074566 0.000704700979750431 0.00183832360020717 0.00414123093905469 0.000868445416257793 0.000963119174516992 0.00288012948988999 0.000702954621168857 0.000780210714848525 0.000994815280287293 0.0015714232990007 0.00163983917925912 0.00210241648083337 0.0020086157742401 -6.22541646653633e-05 0.00257632365795749 0.00273218784445904 0.00192835367600178 -0.00117109729754882 0.00130992980908637 0.00228484124431613 0.00151517837801115 0.00125138410254264 0.00174983053004924 0.000898455484103372 0.00104965027641264 0.000900824700230173 0.00109047002260742 0.000320382268192453 0.00042565963360604
"BRPT" -0.000499871809261401 -0.00106277582707618 -0.00016171130700956 -0.00145421587197123 -0.00113252326076267 -0.000174972409681056 -0.0021176779981986 -0.000625961078947677 -0.000858363622851581 0.00121882550361683 0.00016692874487716 0.000868445416257793 0.00308642646994694 0.00152936799477064 -0.00178400704798017 -0.000832111118096889 0.000144675084960655 0.000159370398025865 -0.00163655359381717 -0.000294770887000404 0.000501835402201066 -0.00121485632069582 0.000619735649993284 0.000399724928878304 -0.000667194882217779 -0.000442601742010242 -0.000839178490164626 -9.66143763539806e-06 -0.000759659018717752 0.000578517944789291 0.000144198683228576 -0.000682306157972544 0.00169668461017369 -0.000576750093085174 0.00197644104187188 0.000566631437497523 0.000444645851002628 -0.000804674162478407
"BRAPET" 0.000316514947792782 -0.000418222802657067 0.000644665055011353 -0.000500654098251165 -0.000231957525589902 0.00042412710512791 -0.00168659796115074 6.61129896982724e-05 -0.0003920087384749 0.000657422097804583 0.000344340840534639 0.000963119174516992 0.00152936799477064 0.00171205587230913 -0.000484229811180749 0.000501214874659426 0.000714282668562672 0.000882597708900626 -0.000121780322681119 -0.000295928899270892 0.000675872802988165 -0.000557762974612667 0.000115954482611703 0.00137772973432691 -0.000185985777580599 0.000312154720997488 -0.000512990807462452 0.000481345565486784 -0.00012136013681845 0.000472622694507942 -0.000162338939165877 0.000183936392822088 0.00114787878836147 -0.000173281329477074 0.00200843561619761 0.000553857401976532 -0.000253653446796547 -0.000962138433197868
"PTFM" 0.00297294503022098 0.00752000370021851 0.00478461595180731 0.00649061914073648 0.00530083358974558 0.00358581733202611 0.00628629016594691 0.00348846226751421 0.0039082840833867 0.00139854417199725 0.00261683418812888 0.00288012948988999 -0.00178400704798017 -0.000484229811180749 0.0136205398099814 0.00295492536383944 0.000836165585153685 -0.00227239714380126 0.00370294506552955 0.00383421050367913 0.0026627509778259 0.00312520211515957 0.00143877246132225 0.0027447654349904 0.00479544345426348 0.00396357135310797 0.00297448301662024 0.00266738090789941 0.00410346850033505 0.00258151426704318 0.00444305525460455 0.00582921674759246 -0.000581758134978586 0.00195793403095952 -0.00200649275961058 -0.0011849326709719 0.00182210401665507 0.00145274120509246
"PTAPET" 0.000197003683382986 3.72238193122882e-05 0.000276088317670396 0.000489937458581911 0.000960258487882414 0.000823542840569741 0.000458083839602837 0.00072498283012953 0.000297153174428542 -0.0001539248178008 0.000237126002985125 0.000702954621168857 -0.000832111118096889 0.000501214874659426 0.00295492536383944 0.00428412965874388 0.00197159722127796 0.00185635582440777 0.00301321582848546 0.00039803293400778 0.000941437680841086 -0.000109333449668775 0.000116486608756941 0.00109675627925735 -0.000517749844569413 0.00066556337746128 0.00219612121784715 -0.000494133194470581 0.00193147887022923 0.000458675089586401 0.00127427611926778 0.00298184167353406 0.000226075642051256 0.000906762302992042 -6.10581307921417e-05 0.000748368728933175 -0.00153603335218657 0.00165350905101839
"PTBA" 0.000732520133707591 4.24211260822789e-05 0.000748461581971908 0.000584788780693991 0.00100444935552992 0.000895184602429814 0.000252146748148923 0.000714578525564269 0.000521937103126825 0.000424667160825493 0.000328092414654069 0.000780210714848525 0.000144675084960655 0.000714282668562672 0.000836165585153685 0.00197159722127796 0.00170471631374057 0.00197498570666936 0.00170073902016257 0.000195279891360818 0.000971118907553749 0.000548682173958868 0.000135428692016194 0.000792077743235971 0.00022628472614535 0.00085481210688432 0.00132042335403934 0.00116408965257632 0.00148970525721032 0.000670963588754879 0.00119552557586665 0.00197647331784871 0.000676617234897989 4.90008743967693e-05 0.00119804913493452 0.0012099604181725 -0.00142257299619703 5.61826058677678e-05
"PTEAM" 0.00139057912931041 -4.85367396097311e-05 0.000657908037579813 0.00121998321924376 0.000939879941118329 0.000622471942322333 0.00102093877343721 0.000472681019571523 0.000640036235683414 0.00044364356548996 0.00049914949021125 0.000994815280287293 0.000159370398025865 0.000882597708900626 -0.00227239714380126 0.00185635582440777 0.00197498570666936 0.00570107096880952 0.00368647210295794 0.000332101109999926 0.00149173826004709 0.00154117673575837 -0.000435857522808832 0.00161087645521116 0.000840425231498606 0.00158581606950184 0.00145243614685488 0.000677970045736658 0.00190273128088239 0.000937204454708021 0.00172017300192717 0.00298643707614954 0.00090620429100307 0.00146625807878334 0.00135758926197715 0.0032877991867701 -0.00139376138131989 0.00136911605752313
"PTZYGO" 0.00288232588235508 0.00398965401758823 0.00300083669735178 0.00540020183836935 0.00375385599142174 0.0022945491557216 0.00524258309548667 0.00237535871817181 0.00294053977813048 0.000533402847474341 0.00175988358388362 0.0015714232990007 -0.00163655359381717 -0.000121780322681119 0.00370294506552955 0.00301321582848546 0.00170073902016257 0.00368647210295794 0.00777569089810505 0.00192423256679093 0.0023801664104819 0.00416295492682826 0.000496143230987118 0.00249488440721403 0.00248553113398336 0.00341841340865945 0.0011215463937577 0.0017260653783908 0.00328179230976621 0.00153624809310137 0.00296685110777917 0.00797038772473654 -0.000114499006464611 0.0018302182257708 -0.00068372363176251 0.00186188644016319 -0.000408012954974541 0.0025124199450282
"FMZS" 0.00180084961682336 0.00558612917023589 0.00309948418014794 0.00531866555327107 0.0039884574373402 0.00259234115417434 0.00539745721609585 0.000418100437558352 0.00305705422348642 0.00103514677931307 0.0013077863422495 0.00163983917925912 -0.000294770887000404 -0.000295928899270892 0.00383421050367913 0.00039803293400778 0.000195279891360818 0.000332101109999926 0.00192423256679093 0.00594947082417309 0.0022338251890272 0.00471953832238884 3.37998490493478e-05 0.000350510439729743 0.00364584043413495 0.00195543826339823 0.00136122913232612 0.000962027963219021 0.00280656083851072 0.0017438745661611 0.00272731200562597 0.00327370529682781 0.000342699215411803 0.00160891860071471 -0.00102185616033471 0.000830337853149965 0.00185655300586591 0.00267745624244847
"FMMT" 0.00214432587200728 0.00312829568255158 0.00249163753406694 0.0031460996035224 0.00258553048510425 0.00159422486693111 0.00219267138995984 0.00152072589090738 0.00189564803114635 0.0012137365551896 0.00141020254358172 0.00210241648083337 0.000501835402201066 0.000675872802988165 0.0026627509778259 0.000941437680841086 0.000971118907553749 0.00149173826004709 0.0023801664104819 0.0022338251890272 0.00320838450679713 0.00223371310718271 0.00106502767255583 0.00144968973363211 0.00246186397305073 0.0026783778383979 0.0018677834207625 0.00121808686861654 0.00198492815672845 0.00121329464600565 0.00180371921338336 0.00285726299799279 0.000420577460136779 0.000673185726788949 0.000102851622444429 0.000991005314753484 0.000254390131820911 0.000683981314400831
"ZSZI" 0.0036011643523702 0.00476678354113206 0.00484843498086699 0.00786916096542193 0.0057718150714798 0.00355677022867424 0.00908616446891809 0.000984863876502733 0.00515634831112962 0.000534419192732786 0.00189746128219117 0.0020086157742401 -0.00121485632069582 -0.000557762974612667 0.00312520211515957 -0.000109333449668775 0.000548682173958868 0.00154117673575837 0.00416295492682826 0.00471953832238884 0.00223371310718271 0.0105022741837307 -0.00061488845854657 0.000184724706762682 0.00547895212862151 0.00312443252956628 -0.00188719360353007 0.00285506263829772 0.00406131882409634 0.00250271664035503 0.00156558617422477 0.00470283442559085 -0.000297197510053075 0.00133774186510643 0.000227491330345287 0.00179265801727605 0.00175538184576339 0.00112549552941919
"ZIMT" 0.000125935908421602 0.000802620801232934 -0.000127105842701535 -0.000289119485122 0.000145305858537973 0.000568747072674435 -0.00153639800425427 0.000430315828901865 0.000745679635842953 0.000982255366267363 0.000276344989172986 -6.22541646653633e-05 0.000619735649993284 0.000115954482611703 0.00143877246132225 0.000116486608756941 0.000135428692016194 -0.000435857522808832 0.000496143230987118 3.37998490493478e-05 0.00106502767255583 -0.00061488845854657 0.00560160511932916 -0.00132492935715295 -0.000882705669315191 -0.000178532859542678 0.000640071265482931 0.000554071584176081 -0.00126209509571451 6.74764697122948e-05 0.00302729018551805 0.000874432416361662 0.000432859984438454 -0.0010535146411361 0.000106136358378661 -0.000350764895792259 0.000357553343983822 0.000262096444113042
"ZIZYGO" 0.00217354128786013 0.00312700433362037 0.00357054567557432 0.00328886676666294 0.00173450865364417 0.00103417796445954 -0.000323174583637738 0.00139851123271445 0.000483728721805052 0.00134924933462097 0.00132854037872252 0.00257632365795749 0.000399724928878304 0.00137772973432691 0.0027447654349904 0.00109675627925735 0.000792077743235971 0.00161087645521116 0.00249488440721403 0.000350510439729743 0.00144968973363211 0.000184724706762682 -0.00132492935715295 0.00861459541708095 0.00455763017766472 0.00372687334042436 8.36190829533225e-05 0.00159219218546108 0.00226190937457412 0.00146548239420391 -0.00139680662653451 0.00311110570159131 0.000369048192243401 0.000945590328900749 0.00079987753035105 0.0015099521502461 0.000401600984005463 0.000496913977415137
"ZITSP" 0.00352628968548587 0.0065651932095757 0.00519674160837838 0.00692871399644032 0.00447942183767156 0.00265742894835054 0.0053132943351911 0.00157044390555333 0.0033588953825288 0.00161784709939918 0.00202219832710143 0.00273218784445904 -0.000667194882217779 -0.000185985777580599 0.00479544345426348 -0.000517749844569413 0.00022628472614535 0.000840425231498606 0.00248553113398336 0.00364584043413495 0.00246186397305073 0.00547895212862151 -0.000882705669315191 0.00455763017766472 0.0101882574657074 0.00448418786500985 0.00186541436543238 0.00262092019587618 0.00315561903900231 0.0024205308156238 0.00289362054983985 0.00288202263172089 -0.00104485430644747 0.00131579943775229 -0.00122178545234587 0.00132347867750808 0.00186738242674912 0.000973531877866903
"MTPNS" 0.00359520365632767 0.00492586747605708 0.00418916170491532 0.00536579162427345 0.00421944390329439 0.00240645120608325 0.00306270492751719 0.0028121290642175 0.00283680927493264 0.00135817044795529 0.00228870837272978 0.00192835367600178 -0.000442601742010242 0.000312154720997488 0.00396357135310797 0.00066556337746128 0.00085481210688432 0.00158581606950184 0.00341841340865945 0.00195543826339823 0.0026783778383979 0.00312443252956628 -0.000178532859542678 0.00372687334042436 0.00448418786500985 0.00574215062615161 0.00207343054491109 0.00241056761864292 0.00314439584774374 0.00181522100412407 0.00252192490434832 0.00518968990781691 -0.000357101021802964 0.000597809776052154 -4.45390033754735e-05 0.00124296290220781 0.000505665870098092 0.000757814858261937
"PNSAPET" 0.00129814901197452 0.00137030361785127 -0.00125008428578732 0.00059148243441085 0.00195342004871808 0.000661663721718572 -0.0012032302581369 0.00218801671599695 0.000724716029927695 0.000930549639643724 0.000491318508652324 -0.00117109729754882 -0.000839178490164626 -0.000512990807462452 0.00297448301662024 0.00219612121784715 0.00132042335403934 0.00145243614685488 0.0011215463937577 0.00136122913232612 0.0018677834207625 -0.00188719360353007 0.000640071265482931 8.36190829533225e-05 0.00186541436543238 0.00207343054491109 0.0124963486603771 -0.000318662835751888 0.00157635473040705 0.000342454897866738 0.0044326029140186 0.00215207211754396 -0.00046696350801606 -0.000267626152104054 -0.00176487758369943 0.000331456587435387 -0.00289442009608151 0.00150087609585762
"APETBA" 0.0026443596491915 0.00309396036588733 0.00298534065216346 0.00361218302291444 0.00285475815190775 0.00207565160252898 0.00265664963255012 0.00213060130778492 0.00230778785122318 0.001201143030899 0.00146666475327717 0.00130992980908637 -9.66143763539806e-06 0.000481345565486784 0.00266738090789941 -0.000494133194470581 0.00116408965257632 0.000677970045736658 0.0017260653783908 0.000962027963219021 0.00121808686861654 0.00285506263829772 0.000554071584176081 0.00159219218546108 0.00262092019587618 0.00241056761864292 -0.000318662835751888 0.00528289264701899 0.00236806291420465 0.00156361442136336 0.00222131726759349 0.00324659885884817 0.000631473555308587 -0.000998435363064532 0.00183043982695334 0.000859872000038329 -0.000307352097131677 -0.00227779812775946
"APETTS" 0.00233012107322504 0.0039913345851992 0.00308990702043816 0.00497178358236187 0.00391021324287081 0.0022762181210355 0.00406507390315232 0.00143496004022332 0.00267165681742236 0.000846388447430818 0.00166125446991187 0.00228484124431613 -0.000759659018717752 -0.00012136013681845 0.00410346850033505 0.00193147887022923 0.00148970525721032 0.00190273128088239 0.00328179230976621 0.00280656083851072 0.00198492815672845 0.00406131882409634 -0.00126209509571451 0.00226190937457412 0.00315561903900231 0.00314439584774374 0.00157635473040705 0.00236806291420465 0.00570047605295609 0.00207790157858305 0.00189607383905643 0.00430899234158892 0.000266640132911645 0.00119174016162164 -0.000194457520699739 0.00173961525994883 5.33604844449207e-05 0.00134742200568729
"BAEAM" 0.00160216480471785 0.00255010734820975 0.0021930549930789 0.00297503967124349 0.00200464957675779 0.00164272720198546 0.00251201415303473 0.000524423897577019 0.00149672687716156 0.00108369427364059 0.00114719942601491 0.00151517837801115 0.000578517944789291 0.000472622694507942 0.00258151426704318 0.000458675089586401 0.000670963588754879 0.000937204454708021 0.00153624809310137 0.0017438745661611 0.00121329464600565 0.00250271664035503 6.74764697122948e-05 0.00146548239420391 0.0024205308156238 0.00181522100412407 0.000342454897866738 0.00156361442136336 0.00207790157858305 0.00216529745722672 0.00230531642279663 0.00285663416157153 0.000748206712599641 0.00072649483342819 0.000627569913917872 0.000935013481983768 0.00116268940394884 0.000390551745461835
"EAMZYGO" 0.0023796406188783 0.00481709787933757 0.00237492817482619 0.00362866733580016 0.00278487451303815 0.00340748528982035 0.00409108374793506 0.00264715720083562 0.0026347489199944 0.00061414656419221 0.00214107218165083 0.00125138410254264 0.000144198683228576 -0.000162338939165877 0.00444305525460455 0.00127427611926778 0.00119552557586665 0.00172017300192717 0.00296685110777917 0.00272731200562597 0.00180371921338336 0.00156558617422477 0.00302729018551805 -0.00139680662653451 0.00289362054983985 0.00252192490434832 0.0044326029140186 0.00222131726759349 0.00189607383905643 0.00230531642279663 0.0129707797706019 0.00547899569130727 0.000194210688471549 0.00102561092100928 -0.000719850953939606 0.000843355227570369 0.00128620772214246 0.0017337966090821
"ZYGOTSP" 0.00375451410895424 0.00629801087578854 0.00414926135921844 0.00771374396494559 0.00571596694813349 0.00349549717403566 0.00701452209688414 0.00420816357059554 0.00440029129589837 0.00172073172734565 0.00293601918312219 0.00174983053004924 -0.000682306157972544 0.000183936392822088 0.00582921674759246 0.00298184167353406 0.00197647331784871 0.00298643707614954 0.00797038772473654 0.00327370529682781 0.00285726299799279 0.00470283442559085 0.000874432416361662 0.00311110570159131 0.00288202263172089 0.00518968990781691 0.00215207211754396 0.00324659885884817 0.00430899234158892 0.00285663416157153 0.00547899569130727 0.0122503783689627 -9.95574892380489e-05 0.00118040172661642 -0.000376892766711028 0.00171986133195151 0.000762860251181271 0.0020761918384426
"LDAS" 0.000212153324272971 -0.00123761719933308 0.000216823351660014 -0.0012607803270487 -0.000577666299093276 0.000278471561687485 -0.000718137109051963 -0.000756676881277632 -0.000403350844885725 0.000311657399985726 3.0208431112913e-05 0.000898455484103372 0.00169668461017369 0.00114787878836147 -0.000581758134978586 0.000226075642051256 0.000676617234897989 0.00090620429100307 -0.000114499006464611 0.000342699215411803 0.000420577460136779 -0.000297197510053075 0.000432859984438454 0.000369048192243401 -0.00104485430644747 -0.000357101021802964 -0.00046696350801606 0.000631473555308587 0.000266640132911645 0.000748206712599641 0.000194210688471549 -9.95574892380489e-05 0.00327405768501136 -0.000209601056136019 0.00310405698084591 0.000643656635843829 -0.000588510076727457 0.000224449896567909
"BRLD" 0.00114988486845796 0.00223451717292151 0.00136029966766589 0.00204569073024175 0.00068120313578897 0.00082462831859775 0.0022961655563776 -0.000130574210754378 0.000421096796974132 -0.000401512969400864 0.000322449637213573 0.00104965027641264 -0.000576750093085174 -0.000173281329477074 0.00195793403095952 0.000906762302992042 4.90008743967693e-05 0.00146625807878334 0.0018302182257708 0.00160891860071471 0.000673185726788949 0.00133774186510643 -0.0010535146411361 0.000945590328900749 0.00131579943775229 0.000597809776052154 -0.000267626152104054 -0.000998435363064532 0.00119174016162164 0.00072649483342819 0.00102561092100928 0.00118040172661642 -0.000209601056136019 0.00534644914888434 -0.00158174554260498 0.00119375265053371 0.00208594304452309 0.0020102155368635
