"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.0065991779086407 0.00600203642427518 0.00427235727549674 0.00511217024712467 0.00357466114018228 0.00239996007692722 0.0067149413616668 0.00306114501083896 0.00334715652455785 0.00124960474984603 0.00187328150865486 0.00235353664575737 0.00090854007771069 0.00142600010577801 0.00286898925329645 0.0017941473268915 0.00274907610936273 0.00387959226683021 0.00404618390710796 0.00257769644574945 0.00312846172165663 0.00298859005458461 0.00225379755787548 0.00332293813720375 0.00227538554336746 0.00416299561941081 0.00304441250382184 0.00529740803052983 0.0021329954527602 0.00257266961799793 0.00417324999774269 0.00355609130656223 0.000758042275379431 -7.78826764940235e-05 0.000947512967338378 0.00212307829679054 0.00184986091162202 0.000793318699784224
"ISNSL" 0.00600203642427518 0.0118995173187772 0.00584806823168248 0.00960282170239027 0.00601131613082398 0.00333231986409858 0.00845284156080979 0.00384331177403469 0.00439682735879443 0.000976299247684819 0.00284610650494037 0.00320035581648923 0.000854303747739544 0.00105935957930491 0.00435616011289547 0.00205789355763575 0.0035030812277373 0.00435914845589268 0.00507550707455986 0.00424074748313105 0.00459259023183116 0.00436037130760092 0.00335475245985821 0.00501387869851406 0.00318230466484511 0.00637720489684678 0.00514143952158029 0.00799722015027773 0.00265852075266118 0.00385813270353851 0.00621406226145459 0.00626850300615023 -0.000150079596712788 -0.000487597310435386 -0.000805883597194181 0.00241152180689308 0.00124624801780417 -0.00045937762623002
"ISPNS" 0.00427235727549674 0.00584806823168248 0.00566738641684753 0.00613206437245859 0.00494987911573494 0.00313373984363005 0.00889959275994809 0.00419785374773727 0.00353055070187977 0.00110109528432278 0.00281974827624091 0.00352917322321955 0.00121039210651264 0.00153452770029956 0.00477786058738877 0.00187500442468622 0.00270875462563992 0.00236837684373908 0.00247988169995643 0.00415223649088542 0.00390541967255897 0.00294909211136907 0.00136819958555115 0.00359964071237237 0.00276945942109485 0.00500415705270172 0.00181704026875632 0.00586230838222164 0.00144388449842855 0.00244441078338249 0.00350932166016174 0.00268915253997124 0.000342607052011429 -0.000585433873473344 0.000812794820617784 0.0013825695500357 0.000537085688807687 0.000682575906311928
"PMZS" 0.00511217024712467 0.00960282170239027 0.00613206437245859 0.0111672733150863 0.0076748388234402 0.00385133409049455 0.0114403268054942 0.00670631105737987 0.00541472206791211 0.00151890977095797 0.00331422279915929 0.00357239697941742 0.00156007148235688 0.00179626943948567 0.00505673298297969 0.00299603635278148 0.00391598260218506 0.0040362652329214 0.00505213957648028 0.0034409988397649 0.00525339064924575 0.00444931325231721 0.0016477583393158 0.0045692588567365 0.00351719308835425 0.00801639583611915 0.00537829590113066 0.00779673725789708 0.00264480849258272 0.00419646127089508 0.00518131010663127 0.00688952623632131 -0.000133950104909804 -0.000925325075816246 -0.000700102344438175 0.00205500380095334 0.00153209768443689 0.000280086299099436
"PMZI" 0.00357466114018228 0.00601131613082398 0.00494987911573494 0.0076748388234402 0.00723872539275106 0.00328081838703309 0.0086838100831286 0.00625761907802649 0.00556698144979248 0.00195023081687471 0.0029378790234082 0.00297810534252174 0.00185380067692656 0.00192434829839631 0.00411630687624011 0.00273486891923709 0.00337974107066395 0.00333612646769789 0.00381792706153335 0.00288286841943835 0.00448117121115819 0.00510505205852675 0.000139678418360962 0.00211006821041552 0.0024792139388474 0.00625741926850426 0.00388088934372719 0.00615646036815528 0.0020342903444356 0.00348312462023628 0.00378556532602981 0.004987268542791 0.00023842307594503 -0.00100513240938186 -0.00018897715323367 0.00215501399750768 0.00099362042434598 0.00107597921277396
"PMMT" 0.00239996007692722 0.00333231986409858 0.00313373984363005 0.00385133409049455 0.00328081838703309 0.00244766225107829 0.00472354418521564 0.00281929273084592 0.00225682255360175 0.00120009759293997 0.00157002313172227 0.00179826593385355 0.000995068781948609 0.000987038226254206 0.00258273976318796 0.00118729169488978 0.00167159697438009 0.00175662025905443 0.00157853065652339 0.00238669738910753 0.00242669115022225 0.00179994587276908 0.00129950764408328 0.002324689352545 0.00139454448386733 0.00249784358153633 0.00162342660380942 0.00328407818713067 0.000961940282718773 0.00154872369721503 0.00236208758318994 0.00166653915036502 0.000477294912598683 -0.000449761384880492 0.000649301302758794 0.00112148855479174 0.000674849214875353 0.000888978333424418
"NSLNA" 0.0067149413616668 0.00845284156080979 0.00889959275994809 0.0114403268054942 0.0086838100831286 0.00472354418521564 0.0243979928254563 0.00865917373394567 0.00624686288335801 0.000748486447606444 0.00503925006012521 0.00626775722198881 0.00130193143210448 0.00200647947607078 0.00772609915093733 0.00373895656863293 0.00391297970686875 0.00380312078507347 0.0050520880346045 0.00830951846737788 0.00727391205560511 0.00388403427188085 0.00334893386185208 0.00691015417607128 0.00457187039388912 0.00849579892384 0.00378647531115039 0.00823248960950578 0.00254026156310393 0.00442266060212715 0.00432917405952772 0.00643146154693089 -7.86567939991649e-05 -0.00117449047484869 -0.00133738320432197 0.0011561843300494 0.00107587492318222 0.00247471894366799
"NSLZS" 0.00306114501083896 0.00384331177403469 0.00419785374773727 0.00670631105737987 0.00625761907802649 0.00281929273084592 0.00865917373394567 0.0106722443218059 0.00541860646877267 0.00191109711540696 0.00332007424128739 0.00301817909082307 0.00180052449954291 0.00159832361265337 0.00413585428585513 0.00228163352768538 0.00222392613434119 0.00166250843362955 0.00239881218485922 -0.00142969291589582 0.0033151462873129 0.00116146092420797 -0.000327150281364162 0.00145305969118174 0.00194387289509156 0.00490082996642319 0.00227764515222111 0.00475518197265225 0.00188708032291364 0.00231884641756879 0.00209735358072957 0.00284536682691218 2.52780470703272e-05 -0.00165486802794757 -0.000183887687530448 0.00106006852749089 0.00302804378653122 -0.000381309333967741
"NSLZI" 0.00334715652455785 0.00439682735879443 0.00353055070187977 0.00541472206791211 0.00556698144979248 0.00225682255360175 0.00624686288335801 0.00541860646877267 0.00521471630062182 0.00167841396447463 0.00237905310832998 0.00218926233682808 0.00144951618884612 0.00139625367721135 0.00278510512103536 0.00241616800532096 0.00271932746844284 0.00300499126064024 0.00389493161941303 0.00135141774851577 0.00331631580162764 0.00506384044808708 9.28119580075869e-05 0.00099395228354122 0.00167836260154002 0.00476252207728773 0.00287058102189218 0.00437638812321019 0.00153836684392318 0.00281804136405659 0.00302455960231625 0.00478566287166461 0.000171526523315674 -0.00106417779059577 -0.000332445067289875 0.00192383170167466 0.00117965893029219 0.000591772921994213
"NABR" 0.00124960474984603 0.000976299247684819 0.00110109528432278 0.00151890977095797 0.00195023081687471 0.00120009759293997 0.000748486447606444 0.00191109711540696 0.00167841396447463 0.00260756049323216 0.000717372668245638 0.000505937684960466 0.00140229336249821 0.0009958282582607 0.00132370331989246 0.00147737065982741 0.00160904906335097 0.00181734827593596 0.00176886815917556 0.000893308498318316 0.00152259201653706 0.000964647826250092 0.000719477257561993 0.000390182368805181 0.00104119896672396 0.00140695796266282 0.00270134998779824 0.00168099048563769 0.000616951309767761 0.00111597501450878 0.0023469713659113 0.00119743619263626 0.000978388552491913 -0.00246251114234889 0.000688759617292956 0.00101857216979806 0.00134435131439145 0.00160758529318362
