"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00696456498136917 0.00353147192413893 0.00402009643100415 0.00515915512714032 0.00301858860561887 0.00354797792637598 0.00521920511134492 0.00357905132063342 0.00222613134921201 0.00132410966323421 0.00238725673296598 0.00196469198195298 0.000370219625526022 0.000907718596197924 0.00390612196365434 0.000726125896221475 0.00196661099611408 0.00182760434812868 0.00154879897075175 0.000953083918830726 0.00215093998477737 0.00203575478580847 0.00141336935667732 0.00438691849671289 0.00151541916226371 0.00291350984739525 0.00489771162781491 0.00469531977172732 0.000481597915138383 0.0025152285850171 0.00339949941191886 0.00287045742491046 0.000821748062410347 0.00121705834064249 0.000953061159909372 0.00181618305822636 0.000729205349575787 0.00206803249503196
"ISNSL" 0.00353147192413893 0.00751985412525976 0.00419310564695035 0.00595065648461276 0.00372495282393686 0.00246023729724799 0.00391352725186722 0.00155089379443293 0.00181538666680152 0.000830618406174449 0.00185839132717719 0.00209484002948115 0.000920042625679321 0.00142514597727967 0.00322674086736333 0.000860094279756071 0.00185330740136068 0.00168140254719791 0.00148827213700538 0.00318072543433581 0.00297380108088807 0.00194076804279086 0.000402868330598193 0.00358724687949036 0.00178079019796602 0.00477927438729995 0.00415493492176996 0.0043238274018854 0.000780283998576697 0.00265366466377634 0.00290902516290596 0.00130122841195615 0.000837162763735547 -0.000588395646670594 0.00199139690183523 0.00141215319696319 0.000115288405014303 -0.000119423564609192
"ISPNS" 0.00402009643100415 0.00419310564695035 0.00502683406076315 0.00598098839201084 0.00397948043640397 0.0035887576394292 0.00492626793694445 0.00287083047505942 0.0021655525766923 0.00149362417466338 0.00219199313404391 0.00250849580372141 0.000662382572090623 0.00116638438712832 0.00343959951951149 0.0011407132116728 0.00194768062156236 0.00208729639230773 0.00250543300116587 0.00200590198697393 0.00244937593888536 0.0020991187933049 0.0011631395068518 0.00482037180296248 0.00275494785524887 0.00419963377894416 0.00256882339888581 0.00436337295967312 0.000716201724924993 0.00282805649869619 0.00252359176439155 0.00307452707573686 0.00159919451163748 0.000491506364702379 0.00170237842414513 0.00188036395763075 0.000899032679452506 0.00123254066375942
"PMZS" 0.00515915512714032 0.00595065648461276 0.00598098839201084 0.0113700991887006 0.00673984571315451 0.00557921376803895 0.00904471884506891 0.00558223908414402 0.0028411251067219 0.00154991946845148 0.00313028387652444 0.00339649233337463 0.000123347201326419 0.00161667923007028 0.00578434513988666 0.00111240281749531 0.0022770514086823 0.00257165447159371 0.00348081265743879 0.000772863321784071 0.00339998726326241 0.00193691582280474 0.00142170141206916 0.00789152693288667 0.004447350881919 0.00602934671248404 0.00642846506869399 0.00645928047029874 0.0015682644032039 0.00393147301712771 0.00308097480190316 0.00529469000455084 0.00162344541660753 0.00110836771768345 0.00336627533485303 0.00235882990881912 0.00129205142433274 0.00105875316282134
"PMZI" 0.00301858860561887 0.00372495282393686 0.00397948043640397 0.00673984571315451 0.00606874438209127 0.00436358570991154 0.00528295236889663 0.0039051202923306 0.00294236266120016 0.00147111472662248 0.00264842992847717 0.0023567109224977 0.000387632903798873 0.00132453114518065 0.00343421295285711 0.00101879034896024 0.00199568924002613 0.00234116000529286 0.00302941254311766 0.00193005015998941 0.00255317284482561 0.00212959555945789 0.000596389982980795 0.00537820815489169 0.00236857359161254 0.00430435147492897 0.00505345092257584 0.00457697972819897 0.00104966772165882 0.00240162313244542 0.000967122403986331 0.00348069551120915 0.00160456849882184 0.000904960439729284 0.00256636032156508 0.00194549427754522 0.000985634103803009 0.00193311174881399
"PMMT" 0.00354797792637598 0.00246023729724799 0.0035887576394292 0.00557921376803895 0.00436358570991154 0.00456582081998721 0.00529397768513719 0.00322647902590094 0.0019903250708477 0.0010273006513175 0.00240600490266695 0.00189625021250806 0.000263372085958613 0.000925796888673492 0.00269487371297319 0.000737310156301749 0.00162466588796778 0.00214126286715379 0.00256318988988611 0.00110729008802336 0.00162184346752011 0.00134575069504884 0.0016470283283685 0.00532452134531436 0.00254433228046164 0.0026757914444287 0.0041831194772086 0.00413130187135875 0.00119704426233915 0.00212574592596957 0.00132426143270071 0.00316964505185402 0.001303471806047 0.00106458042533795 0.00174710756951891 0.00172041357361002 0.0013012637042834 0.0020615547425687
"NSLNA" 0.00521920511134492 0.00391352725186722 0.00492626793694445 0.00904471884506891 0.00528295236889663 0.00529397768513719 0.0187136387750928 0.00582481793785785 0.00280294392497658 0.00122985901272731 0.00434515929141061 0.00388544011998985 0.000430088766913109 0.00169172485250092 0.00672938898220075 0.00210589735490667 0.00278495540310107 0.00311067318595859 0.00401145530906828 0.00462881635876418 0.00403036975105624 0.00176048814097718 0.000282379727737411 0.00941094051550169 0.00484546917547487 0.00573698677620672 0.00801718297510671 0.00591020959399616 0.00188972915956377 0.00377976845010422 0.0035032843782068 0.0072975675183422 0.00240881645853591 0.00080932214434446 0.00438044747976952 0.00294313947497355 0.003373017058518 0.00398594451265427
"NSLZS" 0.00357905132063342 0.00155089379443293 0.00287083047505942 0.00558223908414402 0.0039051202923306 0.00322647902590094 0.00582481793785785 0.00911367139231091 0.00288368089930367 0.00144260764802466 0.00278911160482679 0.00221557529929558 0.000687763559104018 0.00140239265113268 0.00328717772467343 0.000580604395321816 0.00155659104697838 0.00222699208452388 0.00255847733034602 -0.00379072983239379 0.00135740087300636 -0.00123320218394835 0.000250624102074124 0.00466389111863958 0.0022022121141002 0.00291281263793013 0.00354568260103851 0.00376431165456261 0.000740113320941867 0.00198375787510307 0.000883873141445138 0.00348215193524336 0.00183894701418477 0.00222495621202229 0.00260287497927829 0.00225860700759454 0.00199993025154207 0.00215053713327951
"NSLZI" 0.00222613134921201 0.00181538666680152 0.0021655525766923 0.0028411251067219 0.00294236266120016 0.0019903250708477 0.00280294392497658 0.00288368089930367 0.00271888230603397 0.00101094895147322 0.00169568440824152 0.00163235132894088 0.000509085795610327 0.00102176894737728 0.00240704500690658 0.000930465387877205 0.00144813758261381 0.00125588600835395 0.00194002065971687 0.000847233490747636 0.00127609834263388 0.00260399246923188 -0.000242889018726549 0.00212727881006753 0.00095853964529469 0.00231716813094658 0.00217536499838888 0.00257277200737942 -0.00035533699457247 0.00128226449719213 0.000429939080318965 0.00196366178659227 0.00131222207992465 0.00128315828255196 0.00160845516328863 0.00111304995084185 0.0012576406253592 0.00134471888751425
"NABR" 0.00132410966323421 0.000830618406174449 0.00149362417466338 0.00154991946845148 0.00147111472662248 0.0010273006513175 0.00122985901272731 0.00144260764802466 0.00101094895147322 0.00282076632164817 0.00134261023257492 0.00132815772641306 0.00142987937549099 0.00104057567292251 0.00194519309242295 0.00123026590518006 0.00130677042535562 0.0015772570445778 0.00174982201182141 0.000958519391240375 0.00151063236461296 0.000776875996593901 0.00118534793374385 0.00221531454780073 -0.000875750584675572 0.00180621131577013 0.00200549719587456 0.00125174558787936 0.000683933001904009 0.00113585789966122 0.000782011455716946 0.001665559842398 0.00125407687742711 -0.000703105162739567 0.00100045343430619 0.0015229485966082 -0.000187401975121291 0.00210947187909948
"NAFM" 0.00238725673296598 0.00185839132717719 0.00219199313404391 0.00313028387652444 0.00264842992847717 0.00240600490266695 0.00434515929141061 0.00278911160482679 0.00169568440824152 0.00134261023257492 0.00253277709267281 0.00190447045069823 0.000673404641067257 0.00104041150855705 0.00255601446673527 0.000763607830130992 0.0013727532249806 0.00158609628269633 0.00190588305154494 0.00144798695626629 0.00160247221028659 0.00103373935330143 0.000798571618631839 0.0036179266830887 0.00127478320513504 0.00238324605752181 0.00333774916117707 0.00283632720179367 0.000395113587686845 0.00160545438173543 0.00117657666549758 0.00244897239057722 0.00111776750982294 0.00102916260345959 0.00137606259561603 0.00148344034871711 0.00107919751853114 0.00216710207226314
"NAPNS" 0.00196469198195298 0.00209484002948115 0.00250849580372141 0.00339649233337463 0.0023567109224977 0.00189625021250806 0.00388544011998985 0.00221557529929558 0.00163235132894088 0.00132815772641306 0.00190447045069823 0.00368145779021903 0.000929609077118193 0.00154586159204332 0.00329367796825838 0.00194968180123284 0.00171613098008774 0.00195598548158755 0.00232788928248381 6.65569801327664e-05 0.00205044200644018 0.00178726053159054 0.000806907408970743 0.00387373066280497 0.00115523315543788 0.00276191738782908 0.00174048487613374 0.00187134797526845 0.00022768384662261 0.00194912100613966 0.000793856987046809 0.00298460481352065 0.00142832887281511 0.00124787791973496 0.00190850250600437 0.00166338330269574 -0.000535387981816977 0.0016621383112826
"BRPT" 0.000370219625526022 0.000920042625679321 0.000662382572090623 0.000123347201326419 0.000387632903798873 0.000263372085958613 0.000430088766913109 0.000687763559104018 0.000509085795610327 0.00142987937549099 0.000673404641067257 0.000929609077118193 0.00214603488801311 0.00120063834297345 -3.88272523055867e-05 0.000549032589151085 0.000778464592528646 0.00108722862792288 0.00019668379311046 0.000400592275818005 0.000988562150905316 0.000209673745890457 0.00103660224361571 0.000690623991095941 -0.00146191573204853 0.000872058496618833 0.000466040351175063 0.000285054920555929 0.000552738423865412 0.000590895538547261 0.000812219661454569 -6.44674354503595e-05 0.00165892353523321 -0.000644809357425362 0.00203403590537784 0.00105139775523564 0.000441078444212196 0.00100812572619965
