"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00260309139723789 0.00230260284948417 0.00192631778961437 0.00151100364212133 0.000797392475485951 0.000740237304930847 0.000861053745411663 0.000763442068113792 0.000349058336344544 0.000470455510628209 0.000400732287355259 0.00110968300624648 0.000248808700268825 0.000248138917654953 0.00166066557653737 0.000128694508433102 0.000342586189125189 0.00013566375778358 0.000293839271184473 -0.000400264237078073 0.000812337461353135 0.000275428436551642 0.000443170012251097 0.00216866716987566 0.000105581351412185 0.00145301499868074 0.000953461139346684 0.000797128692777809 0.000600470576088209 0.000653571697739494 0.000151586483643855 0.000763765696840782 0.000127476344292043 -0.00036196841222888 0.00042915064410464 2.75038007695502e-07 -0.000607846772684001 -0.000425925208383018
"ISNSL" 0.00230260284948417 0.00768732130343632 0.0035954332752615 0.00413308016332569 0.00212783261393112 0.00127421769078295 0.000973709846088127 -0.000552790268582699 0.00106930330924248 0.00119600322316991 -6.61128240935616e-05 0.0023686842581605 0.000238567700683099 0.000786565111469615 0.00293849196393851 0.00103621922911272 0.00106011962318991 0.00164285717490118 0.00182751810489008 0.0020867682262731 0.00227919556571694 0.00180324844137291 0.0014117654106363 0.00170047767171648 0.0032327492764323 0.00267967237375823 0.000369471150551025 0.00113415485173569 0.00143758731696681 0.00159257115641157 0.00222158123765634 0.00203889281058536 0.000787390920138923 -0.00144414337558762 0.000575961985910785 0.000788498608166442 0.000783318029929648 0.00141047484546833
"ISPNS" 0.00192631778961437 0.0035954332752615 0.00404840960500243 0.00321544319534342 0.00164671265064736 0.0016242425338187 0.00211708104253298 -0.000220762762173367 0.000586779114512507 0.00111615976880842 0.000324358647837924 0.00275866772776033 0.00059402120122668 0.000970852296479802 0.00274844335744823 0.0012012034006965 0.0010202383743318 0.00146621731280388 0.00162089864857328 0.00135017136907703 0.00224123737686977 0.00187552137048661 0.00116498414760378 0.00385087982246156 0.00257702953265701 0.0027312575986456 -0.0008117426781249 0.000743562462998292 0.00084278473020825 0.00122670595099932 0.00119306959749338 0.00211617205381416 0.000950608312225963 -0.000416873169970063 0.00157599192650351 0.000749911674118725 -0.000149004204922599 -0.000222457267800381
"PMZS" 0.00151100364212133 0.00413308016332569 0.00321544319534342 0.00466123313198528 0.00253370478329402 0.00164703913844642 0.00260629571839708 0.000751086267266729 0.001267944518048 0.00142548886227484 0.000486436840520398 0.00209678131574396 0.000466688111779196 0.00106246071392942 0.0025001577219832 0.00144428307012739 0.00157521093714457 0.00233207308489291 0.00238895235031915 0.00102361838056594 0.00234613232497504 0.00205172952796863 0.00129067718348248 0.00283231831095193 0.00356222140211429 0.0029769321848068 0.000847670954782733 0.0018027653304881 0.00176962619720823 0.00155279946424062 0.00172552406203559 0.00304315476729141 0.00110198545805818 -0.000764615187816076 0.00176963789014855 0.00129835017628716 0.000195286555100207 0.00059555950178372
"PMZI" 0.000797392475485951 0.00212783261393112 0.00164671265064736 0.00253370478329402 0.00260176782228148 0.00106671180380591 0.00234654676118623 0.000631731424571822 0.00140290663780565 0.000935808125430912 0.000630126509958736 0.00117081081998766 -5.22283490411504e-06 0.000710842056700317 0.00161621179049996 0.00108050997394402 0.00120670515212972 0.00221889213736079 0.00211821531333368 0.00130995702475937 0.00134586743670826 0.00193995933908551 6.00443785567796e-05 0.00119814500839119 0.00173652140841253 0.0019153242100869 0.0011236189177707 0.00136530596634204 0.0010228301620328 0.000764403753717421 0.00029313343000252 0.00265746381627504 0.00104177685538061 -0.000715414381559439 0.0017437379998902 0.00104637185430891 0.000261801768136699 0.000495278437611297
"PMMT" 0.000740237304930847 0.00127421769078295 0.0016242425338187 0.00164703913844642 0.00106671180380591 0.00164865500051414 0.0014461025749032 7.13735440286974e-05 0.000518857883867632 0.000910415723990809 0.000410436881513147 0.00119904601215309 0.000598777031303139 0.000826761664237623 0.00144141102986591 0.000781547295091812 0.000744911180446036 0.001060620875578 0.000914818108514109 0.000657496659762831 0.000927033496412228 0.00130571077267833 0.00123436730941756 0.00187729207861564 0.00124577143116494 0.00054618876121837 0.0005112958014747 0.000508147780262542 0.000387133605715857 0.000499563577247932 0.000571478611665984 0.00117737558927079 0.00126481630765467 0.000221802269672561 0.00172146652667404 0.000697615849275829 -0.000181709228960198 0.000511068390000867
"NSLNA" 0.000861053745411663 0.000973709846088127 0.00211708104253298 0.00260629571839708 0.00234654676118623 0.0014461025749032 0.0110937105092607 0.000601387659835723 0.00122577519017299 -0.000675038235677104 0.000736046723526259 0.00255465025465635 -0.000491535826986821 2.39154109307044e-05 0.00319420925908278 0.000322159496690209 0.000759339015655506 0.00183313468867919 0.00192187756637063 0.00177199726512392 0.001792032954541 0.00199550422337962 0.000909668924139069 0.00230244078293322 0.00217725671569584 0.00204827272954088 0.000977854529938702 0.00201810210777082 0.000446018411557145 0.000833214421078829 0.00114234126950162 0.00363252438223319 0.00154426734434821 -0.000481191434545065 0.000717013820058219 0.000667260935022778 -0.000290017995849109 0.00160806672554811
"NSLZS" 0.000763442068113792 -0.000552790268582699 -0.000220762762173367 0.000751086267266729 0.000631731424571822 7.13735440286974e-05 0.000601387659835723 0.0042299587322312 0.000916289258902165 9.22083838344121e-05 0.000895489984526524 -5.35529609912721e-05 -0.000170422455404554 -0.000282641310211329 -0.000582119988843425 0.000239062543391088 0.000582963557953262 0.000754167000916378 0.000590553346921327 -0.0025341926524718 -0.000105902517313944 -0.00169070905909035 -0.000899802510203093 0.000108119521015839 -0.000194128958569612 0.000156951395138918 0.000618416538605219 0.000945448427058942 0.000950247944804919 0.000239649891791972 -0.000700020763597498 0.000663036356220768 -5.01636451407548e-05 -0.000480698828094333 -7.09998713760244e-05 0.000546852196174339 0.000528369165401502 0.000806967272638946
"NSLZI" 0.000349058336344544 0.00106930330924248 0.000586779114512507 0.001267944518048 0.00140290663780565 0.000518857883867632 0.00122577519017299 0.000916289258902165 0.00136945538706937 0.000842046857591633 0.000529069669487999 0.000538540689462771 8.23171343624279e-05 0.000376043898117493 0.000856777364846335 0.00077039956798923 0.000792598982829881 0.0013328527463832 0.00163924143761633 0.000590503103402825 0.000682146290474528 0.00162597651607186 0.000137177155705097 0.000359577918188963 0.00107847105085889 0.000935385982897503 0.000725197004377666 0.000715917407031629 0.000639767372216994 0.000426514571819171 -6.33895356611784e-05 0.00198278580830988 0.000739564161696625 -0.000742418590441211 0.00121653736513267 0.000704330103387217 0.000299169906189321 0.000852929140875318
"NABR" 0.000470455510628209 0.00119600322316991 0.00111615976880842 0.00142548886227484 0.000935808125430912 0.000910415723990809 -0.000675038235677104 9.22083838344121e-05 0.000842046857591633 0.00260572645671363 0.000350141858136228 0.000532775313990286 0.00146813845035764 0.00109425843550418 0.00160217699517175 0.00113169499470491 0.00085219142307602 0.00097382161343019 0.00137999396609049 0.000714482102230491 0.000908670042273877 0.00161685488689945 0.0011173719477775 0.00172578176420228 0.00200475282241426 0.00101876918243285 0.00116403573732294 3.09037787094898e-05 0.00101921228104095 0.000733601363762336 0.000192526840069197 0.00127171959093302 0.000866632689587076 -0.000610048243626156 0.00181781343870277 0.000695566120667331 -0.000223705769921454 1.47407758389659e-05
"NAFM" 0.000400732287355259 -6.61128240935616e-05 0.000324358647837924 0.000486436840520398 0.000630126509958736 0.000410436881513147 0.000736046723526259 0.000895489984526524 0.000529069669487999 0.000350141858136228 0.0012097063085182 0.000588064997437604 0.000181300885918041 0.000110018024321194 0.000424214438002962 0.00021873796401727 0.000294769656734333 0.000564599137347851 0.000709843763820186 -2.08064764594034e-05 0.000315098550470668 0.000589647423894683 -0.000147768566293953 0.00116785830093217 -2.53730805114051e-05 0.000700791432383217 0.000766358807948616 0.000270119837197411 -0.000190289901071789 0.000194972569372533 -0.000685735776033357 0.0010226239266703 0.000290507603119042 0.000302065245374019 0.00058269623805689 0.000394287585441371 -0.000167738602495058 0.000268453334275162
"NAPNS" 0.00110968300624648 0.0023686842581605 0.00275866772776033 0.00209678131574396 0.00117081081998766 0.00119904601215309 0.00255465025465635 -5.35529609912721e-05 0.000538540689462771 0.000532775313990286 0.000588064997437604 0.00353798266585771 0.000530853448064721 0.000889078304956819 0.00161587464599127 0.000963887703039442 0.000809889217875263 0.00148854059999296 0.0010773235169615 0.00059428314622794 0.00191816050028076 0.00178302811370848 0.000524909791088503 0.00267393392412168 0.00128591573446475 0.00144800904499407 -0.00188667586032272 0.00046695635787852 0.000463052154501449 0.000866872693349101 0.00015700285050062 0.00151052099182472 0.00131637468405783 0.000174522000756103 0.00150554478764077 0.000970420435922117 -0.000500670184464437 0.000495426943440581
"BRPT" 0.000248808700268825 0.000238567700683099 0.00059402120122668 0.000466688111779196 -5.22283490411504e-06 0.000598777031303139 -0.000491535826986821 -0.000170422455404554 8.23171343624279e-05 0.00146813845035764 0.000181300885918041 0.000530853448064721 0.00168899976858831 0.00102930768226354 -0.000398603998163073 0.00043379959819715 0.000391010328002664 0.000542278366325552 -7.03138177897772e-05 -0.00016972969496965 0.000357892338138615 0.000609412178450122 0.000948184874497095 0.000924520881578279 0.000673768830469387 3.04377429529243e-05 0.000216443567652207 -0.000437323018331418 0.000676395021045586 0.000443794840800433 0.000191004320154404 -0.000465396521431958 0.00112678329013686 0.000486455693200575 0.00151713088707896 0.000687956281523209 -0.000432166243445626 0.000242262165633301
"BRAPET" 0.000248138917654953 0.000786565111469615 0.000970852296479802 0.00106246071392942 0.000710842056700317 0.000826761664237623 2.39154109307044e-05 -0.000282641310211329 0.000376043898117493 0.00109425843550418 0.000110018024321194 0.000889078304956819 0.00102930768226354 0.00138778716102287 0.000386786724910938 0.00109758965493812 0.000880474252334668 0.00116550242571537 0.000735836143778575 0.000411652395240307 0.000692769106069148 0.00109402972905298 0.000846419652310876 0.00095825898781762 0.00120144594275855 0.000388045386376752 -0.000159103951608986 0.000268835177129823 0.000997286947385588 0.000702024536549587 0.000299200453130056 0.000470733276035203 0.00144824834140617 0.000372705087109582 0.00197661932451306 0.000787395298914336 -8.10259058891351e-05 0.000605521647085707
"PTFM" 0.00166066557653737 0.00293849196393851 0.00274844335744823 0.0025001577219832 0.00161621179049996 0.00144141102986591 0.00319420925908278 -0.000582119988843425 0.000856777364846335 0.00160217699517175 0.000424214438002962 0.00161587464599127 -0.000398603998163073 0.000386786724910938 0.00946214526171731 0.00147638269284702 0.00079768891900492 -0.000166627672937411 0.00242297476110205 0.00144039087908967 0.00179139870314376 0.00191059566969114 0.00208843028854333 0.00455465317610374 0.00282679674146516 0.00246663043550255 0.00288371284542219 0.00140085572611763 -0.000571628445757725 0.00109044908600733 0.00116894411792981 0.00513338921789223 -3.67218031207494e-05 -0.00221230577147406 0.00082211785989877 -0.00114396251870931 0.000388502664714697 -0.000765226430662589
"PTAPET" 0.000128694508433102 0.00103621922911272 0.0012012034006965 0.00144428307012739 0.00108050997394402 0.000781547295091812 0.000322159496690209 0.000239062543391088 0.00077039956798923 0.00113169499470491 0.00021873796401727 0.000963887703039442 0.00043379959819715 0.00109758965493812 0.00147638269284702 0.00276340516660355 0.00195132560844591 0.002413181913547 0.00276482956812173 0.00112886015986782 0.00146649859236929 0.00126013475887362 0.00129188859492963 0.00163918674689185 0.00276158103613 0.00121589048654346 0.0004044190361888 0.000661896570824384 0.0013946956144407 0.00118294308597205 0.000720788302368318 0.00209752001973617 0.00148200319950188 -0.000423762515132861 0.00192359153455483 0.00104403739291017 0.000137932843498557 0.000391292091427937
"PTBA" 0.000342586189125189 0.00106011962318991 0.0010202383743318 0.00157521093714457 0.00120670515212972 0.000744911180446036 0.000759339015655506 0.000582963557953262 0.000792598982829881 0.00085219142307602 0.000294769656734333 0.000809889217875263 0.000391010328002664 0.000880474252334668 0.00079768891900492 0.00195132560844591 0.00195925899822599 0.00236809716713567 0.00205680165146672 0.000683024109799961 0.00130694528497221 0.00108069546040335 0.00115798936040961 0.00155663542990144 0.00209288426952923 0.00125061035460566 0.000851902319174413 0.0017114101854455 0.00133569829945022 0.00112299543608317 0.00047271134232049 0.00129925896797025 0.00135201711476502 -0.000231651463539732 0.00175165062115712 0.0012356918317667 0.000207674090413761 0.000103658899806613
"PTEAM" 0.00013566375778358 0.00164285717490118 0.00146621731280388 0.00233207308489291 0.00221889213736079 0.001060620875578 0.00183313468867919 0.000754167000916378 0.0013328527463832 0.00097382161343019 0.000564599137347851 0.00148854059999296 0.000542278366325552 0.00116550242571537 -0.000166627672937411 0.002413181913547 0.00236809716713567 0.00476391199832518 0.0036470357870644 0.00128125916098635 0.00214087466816017 0.00189023864621914 0.00131547012316727 0.00176439780506567 0.00269600978025914 0.00193681369640598 0.000846310303278634 0.00134264321483455 0.00195825982364612 0.00123310272640363 0.00117162438100856 0.00250337252229684 0.0019657171900531 0.000263204916178145 0.00266374579943663 0.00252793293671258 0.000196958752645336 0.000710308826586966
"PTZYGO" 0.000293839271184473 0.00182751810489008 0.00162089864857328 0.00238895235031915 0.00211821531333368 0.000914818108514109 0.00192187756637063 0.000590553346921327 0.00163924143761633 0.00137999396609049 0.000709843763820186 0.0010773235169615 -7.03138177897772e-05 0.000735836143778575 0.00242297476110205 0.00276482956812173 0.00205680165146672 0.0036470357870644 0.00569102846395177 0.00177401804905061 0.00237325174304493 0.00266272216887916 0.00124570596917463 0.00326168451433826 0.00378153569955262 0.0030060005533846 0.00149033555243455 0.000899405395892782 0.00132721677777762 0.0013310131145595 0.00050286418951728 0.00525295016105085 0.000539262820098043 -0.00143793901269275 0.00165842176324154 0.00138770185268051 0.000574890431567061 -0.000235371689205108
"FMZS" -0.000400264237078073 0.0020867682262731 0.00135017136907703 0.00102361838056594 0.00130995702475937 0.000657496659762831 0.00177199726512392 -0.0025341926524718 0.000590503103402825 0.000714482102230491 -2.08064764594034e-05 0.00059428314622794 -0.00016972969496965 0.000411652395240307 0.00144039087908967 0.00112886015986782 0.000683024109799961 0.00128125916098635 0.00177401804905061 0.00564254193999036 0.00168209104072977 0.00250131121357912 0.00158662369139313 0.000624620633243442 0.0024530036506846 0.00168102192697242 0.000777968201110015 0.000101714698538187 1.00272606816132e-06 0.00041612066173635 0.00143033141533831 0.00169749150264958 0.00111192440695397 -0.000261606353191618 0.000929783024733568 0.000410971060973325 -9.1030193162707e-05 0.00078409295574428
"FMMT" 0.000812337461353135 0.00227919556571694 0.00224123737686977 0.00234613232497504 0.00134586743670826 0.000927033496412228 0.001792032954541 -0.000105902517313944 0.000682146290474528 0.000908670042273877 0.000315098550470668 0.00191816050028076 0.000357892338138615 0.000692769106069148 0.00179139870314376 0.00146649859236929 0.00130694528497221 0.00214087466816017 0.00237325174304493 0.00168209104072977 0.00259825704809807 0.00176292695920204 0.00166839187734008 0.00312425246962732 0.00217847485041716 0.00270904083239945 0.000412488755311568 0.000864052391612738 0.000718237315887902 0.00116111554808824 0.000817984796863254 0.00255625656717988 0.000666608144453665 -0.000430508659527886 0.00120014252975506 0.00106389417243152 -0.000342764148331231 -0.000477033953759141
"ZSZI" 0.000275428436551642 0.00180324844137291 0.00187552137048661 0.00205172952796863 0.00193995933908551 0.00130571077267833 0.00199550422337962 -0.00169070905909035 0.00162597651607186 0.00161685488689945 0.000589647423894683 0.00178302811370848 0.000609412178450122 0.00109402972905298 0.00191059566969114 0.00126013475887362 0.00108069546040335 0.00189023864621914 0.00266272216887916 0.00250131121357912 0.00176292695920204 0.00528303453292648 0.000466501550227898 0.00216207331111851 0.00194393511620294 0.0019701083340224 5.68868218077429e-05 0.000557991572638704 0.000284937410825467 0.000537167913452331 -0.00017880653198024 0.00353724474415247 0.0014199960659306 -0.000322574046752949 0.00294856317536728 0.00119301116119938 3.71618526265109e-05 9.66222589471986e-05
