"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.00410614129574557 0.00191408085785902 0.00228359536942929 0.00073134785536765 0.00103077710401399 0.000873013486166758 0.00152445943188579 0.000841587410686013 0.00142281740319969 0.000865921461298086 0.00102288962558924 0.000899271848756377 0.000721182412639783 0.0008213112299495 0.00165765816288159 0.000686102531528905 0.00108561663089332 0.00112392078050502 0.000763832224776746 0.000465126683600835 0.00120568997574538 0.00162390043003336 0.00156158001064147 0.000521647549151551 0.00146885221657681 0.00267849275708486 0.00235018144151728 0.00142916430244144 7.51306009932124e-05 0.00119295746659615 0.00344010062792515 0.00173061703749825 1.74182889481434e-06 0.000632339777450702 0.000920172274409337 0.00106906233242833 0.000644590267867207 -0.000244844027976418
"V2" 0.00191408085785902 0.0039639390329253 0.00182485774187553 0.000256700746779104 0.000902683572876782 0.000600266930522631 -0.00133550008447178 -0.0011050142619822 0.000472526008975676 0.000262963701175019 -0.000262852209997182 0.000591460437780444 -0.000426810804664093 0.000162657491138958 0.00147119403557363 0.000765347330992647 0.000960740211335437 0.00125980723968089 0.00100586401984319 0.00108272047458627 0.000897692251909284 0.00135956485816591 0.000507360265402508 0.000145778963277588 0.000762380892525121 0.00186982676484253 0.00126256316697145 0.00119939295454525 -0.00103849338526449 0.000657706616192724 0.00212889081440063 0.00107514273859712 -1.08922985744392e-05 0.000513435863059992 0.000658734481169288 0.000827163694351022 0.000414792375147317 -0.000218891381965393
"V3" 0.00228359536942929 0.00182485774187553 0.00253746677222087 0.000590854555130746 0.00132832077942051 0.000799528175978075 0.000973779379956242 -0.000354119556965055 0.000802369043117502 7.79359434542792e-06 3.56554726856595e-05 0.00111085547789377 -0.00035437213272221 0.000285217059185751 0.00175021294160387 0.000879639081428321 0.00117861345785614 0.00145388077496288 0.00125829956170592 0.00133608262891187 0.00133435704719339 0.0012491155238629 0.00207523003365057 0.000271519079850238 0.000942422282626999 0.000941327997848053 0.000742594271429777 0.00154483276504879 -0.000943213925983423 0.00113195118257892 0.00241698879841836 0.00168621598056922 -0.000227781364491453 0.000972834663528922 0.000658972068158315 0.0010887850782701 0.000331030500548258 7.37317528856827e-05
"V4" 0.00073134785536765 0.000256700746779104 0.000590854555130746 0.00193775715040494 0.00084683524600623 0.000666386840766865 0.00128186031110857 0.000916374023455585 0.000511012588461362 -8.48861069540088e-06 0.000213471740555712 0.000181248033413254 -0.000116584598718616 0.000146332470325225 0.000334504022451602 -0.000247176872116257 -3.32066283087174e-05 -7.63872666033349e-05 0.00063326648423172 -0.000659762399798428 0.000390032918535541 0.000231368294184563 0.000776177707112462 0.000980642014563991 0.000175200313151755 0.000278337552792772 0.00104202315448431 0.00047600835191713 0.000249457112156212 0.000192963854041412 -1.38985713154524e-06 0.00151431136467253 1.44485814600729e-05 0.000309931938340869 0.000398943379135293 -1.44198647548854e-05 -3.3188553917866e-05 -0.000467326695313761
"V5" 0.00103077710401399 0.000902683572876782 0.00132832077942051 0.00084683524600623 0.00199208741257115 0.000883428091307746 0.000612402047082211 -6.66616146476355e-05 0.0010878860305746 -7.42534555002539e-05 0.000188119570380921 0.000632057948113498 -0.000178766751208148 -5.97223021217781e-05 0.000642527647717444 5.73540279663454e-05 0.000645000852499926 0.000808075695025171 0.000280962509252287 0.000600712066098324 0.000852960229773428 0.00153283663591668 0.0024841422889761 -0.00104206306097783 -0.000448338395539741 0.000296632117261008 0.000775839949229345 0.00140658600342792 -0.00106532363626308 0.000641878372307368 0.00172982311616017 0.000806735141541716 -0.000124431098391964 0.000928785118947205 0.000183273594000131 0.000764647251863044 0.000127824823446526 0.000389427985927003
"V6" 0.000873013486166758 0.000600266930522631 0.000799528175978075 0.000666386840766865 0.000883428091307746 0.00102972345540239 0.000957506177929329 0.000218408188259859 0.000482340796192692 -0.000140359274971177 0.000197444589332969 0.000232638782219356 -0.000145539718308591 -5.8916513437977e-05 0.000225066396015738 -4.58148706415939e-06 0.000322486141615123 0.000309670065322637 0.000212594832304133 0.000332162796179106 0.000498084515902246 0.000392357893375595 0.00115299403699257 -0.00011694998985882 0.000380727531855733 0.000234916374128521 0.000779513885488018 0.000724952710113465 -0.000352423868146567 0.000341749870352872 0.000526181520217446 9.39804466708221e-06 0.000101049086581867 0.000552513695565811 0.000502053728741274 0.000349512366964697 -7.6014916753367e-05 -1.64029214989561e-05
"V7" 0.00152445943188579 -0.00133550008447178 0.000973779379956242 0.00128186031110857 0.000612402047082211 0.000957506177929329 0.0104097870310084 0.00129923245017041 0.00087615227921124 -0.00183765468732398 0.00104667295074619 0.00148424814117727 0.000194358583363098 -0.000254549587701667 0.00113906642172113 -0.00165125873452733 -0.000745919240746208 -0.0010658680128658 -0.000595670650511038 -0.000429922280393928 2.61619196594439e-05 0.000222092115373075 0.00135944418019437 -0.000159996152848174 6.56014380378343e-05 0.000177086669933834 -0.000243925561944182 0.000892746207210048 -0.000429895347352632 0.000123421098456804 0.000380310612090494 0.00139689443949222 -6.03686369123754e-05 0.000528566542033461 -0.000759750435622904 -0.000261677343867755 -0.000826585270566344 0.000592786882304493
"V8" 0.000841587410686013 -0.0011050142619822 -0.000354119556965055 0.000916374023455585 -6.66616146476355e-05 0.000218408188259859 0.00129923245017041 0.00227210727373891 0.000672079015982979 0.000645268969120098 0.00110746000442211 -0.00011372849403235 0.000970923089143621 0.000317997695396066 -0.000268964277556355 -0.000430053259282799 -0.000352396523676269 -0.000603824367058061 -0.000376280032769465 -0.00101738288239238 -0.000167716560253782 -0.000803003775385231 -1.09507838739693e-05 0.000801010448253108 0.000347072749749985 0.000455271474884874 0.00102428459544151 -0.000314531046943484 0.00127171985985574 -0.000200591259935494 0.000442624183502836 0.000523804281060878 0.000223164274693187 -0.000270161199019732 -0.000388906443656176 -0.000323686617001411 -8.36608572947502e-05 0.000147989620350074
"V9" 0.00142281740319969 0.000472526008975676 0.000802369043117502 0.000511012588461362 0.0010878860305746 0.000482340796192692 0.00087615227921124 0.000672079015982979 0.00123780597813025 0.000242267318150873 0.000727956337843453 0.000523433090512436 0.000351791408849483 0.000229097569046076 0.000878258967902085 -3.37562391729654e-05 0.000410004750224761 0.000385500168288124 1.35699638254716e-05 0.000212859765483493 0.000603377181883592 0.00145604312007496 0.00146810427536667 -0.000322063519010514 0.000131491730037198 0.000766599286499207 0.000980184103815756 0.000959447057101416 -0.000435554202128763 0.000479856059804021 0.001718029969287 0.00102286024076149 6.45782024427583e-05 0.00049773098930448 -7.08334460664993e-06 0.000395114216552987 -0.000103359472457586 0.000402454899123776
"V10" 0.000865921461298086 0.000262963701175019 7.79359434542792e-06 -8.48861069540088e-06 -7.42534555002539e-05 -0.000140359274971177 -0.00183765468732398 0.000645268969120098 0.000242267318150873 0.00309157968968655 0.000606449626417261 -0.000355076502322438 0.00182425357203852 0.000757732586927123 0.000545932264900452 0.000502817607603966 0.00047600698037833 0.000525357730432539 0.000549121895088096 -4.2078744570053e-05 6.96088815189713e-05 -0.000369126515630566 -1.7268353459646e-05 0.00159715397539328 0.000818771649429993 0.000201781795789637 0.00158371165823865 0.000397452040054995 8.58513582765428e-05 -0.000154950101404067 0.000676186763062414 0.000202120725407499 0.000411944041303194 -0.00189384086167074 0.000437173327652164 0.000292957272021306 9.05779856356265e-07 -0.000177119738453605
