"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00583067983643773 0.00456104511542695 0.00457689803254939 0.00338122256634859 0.00251339809272099 0.00247162471799598 0.00278235185960852 0.00177440225007143 0.00119701190324681 0.00036112011074354 0.00149474716593753 0.00165539670287958 0.000653918986110977 0.00106255312091036 0.00190276386471063 0.00157880619059823 0.00168714897912488 0.00187427003727901 0.00217353094146944 0.00109770698625038 0.00261020116109 0.000669555275576248 0.00305411513654558 0.0025198112738821 0.00127351541423478 0.00387296100703756 0.00141252894365142 0.00143645400962873 0.00171730750204035 0.00132236936737217 0.00302876787298587 0.00157907206360712 0.00128419023493703 0.00156301402458291 0.00286608580531318 0.0012123433011766 0.00111068650750819 -0.00213196833109812
"ISNSL" 0.00456104511542695 0.0077934613320123 0.00483620939488155 0.00481880645525736 0.003821055357382 0.00211789888859986 0.00103033209797437 0.00188791873692694 0.00200616180335716 0.00119393481128542 0.00181289794238115 0.00197537780676142 0.00120885968459683 0.00169797892038628 0.00293378950174327 0.0013768195289757 0.00153320981882058 0.00205691588488987 0.00239429561347243 0.00175521731583868 0.00309566179839104 0.00140327777563242 0.00240100086704961 0.00309188062668391 0.00157506672541653 0.00528523043950764 0.00147106881930879 0.00209989961268239 0.00290069646464162 0.00161239859991585 0.00348197861168411 0.00182717676919136 0.00195941752292404 0.00262222030713645 0.00282146106492827 0.00158234785802627 -0.000791328525934894 -0.00138645541134075
"ISPNS" 0.00457689803254939 0.00483620939488155 0.00630848200712886 0.00502116317680343 0.00393812449867257 0.00348017110736306 0.00346009867654263 0.00223983866247426 0.00189701422226267 0.00119735134710466 0.00148058302776411 0.00264166946437593 0.00080117988259754 0.0012914465087279 0.00344831610748983 0.00214309547064159 0.0021558642053306 0.00251228061403518 0.00280989817174542 0.00106613620259556 0.00326603266628476 0.00215455869992777 0.00333325682284626 0.00327960918085986 0.00252498794654322 0.00494983382194723 -1.93437191513819e-05 0.00204300606590178 0.00168048783757206 0.00199720481249791 0.00456021715988604 0.00214044000491951 0.00200245892664752 0.0010340818828027 0.00309342576340394 0.00177394530996862 0.000157301892324685 -0.00141542085184756
"PMZS" 0.00338122256634859 0.00481880645525736 0.00502116317680343 0.00642155658132804 0.00485072625863628 0.00349905386307428 0.00305072129483882 0.00354513001422773 0.00246816018972884 0.00171891500184468 0.00164370502827421 0.00266541584910532 0.00112966617598093 0.00165952643558537 0.00440054635757464 0.00193557829280778 0.00194308596733012 0.00220132473822775 0.00221089871282972 -0.000963181720185408 0.00321781276849443 0.00231713487669553 0.00299954898255708 0.00296046545212307 0.00215182320663722 0.00480562932559196 0.000848735571509675 0.00261038342393401 0.00229702497738513 0.00204199499169742 0.00394700624297847 0.00207581148495685 0.00218740732320466 0.0013638401246152 0.00338611286155236 0.00154411630785431 -0.000533064751446238 -0.00029494426748479
"PMZI" 0.00251339809272099 0.003821055357382 0.00393812449867257 0.00485072625863628 0.00483435295663448 0.00308737666811864 0.00163787416503619 0.00253606519667681 0.00247738053503833 0.00128816739408085 0.00128328752952843 0.00172445038719468 0.000739450880524025 0.00133641708922543 0.00397775347981701 0.00172649571317885 0.00152689177172877 0.00171741905652464 0.00165883786907977 -0.000446476999003608 0.00242242730374099 0.00275644209700954 0.00185238096807918 0.00190304753772212 0.00131973044492657 0.00389049459473966 0.00116195654317801 0.0019300421661008 0.00189830706293536 0.00172552184649998 0.00282596451737275 0.00110540961921128 0.00195357028789742 0.0010236637673827 0.0031502125864891 0.00125950108639925 -0.00067147897504835 -0.000396066143656366
"PMMT" 0.00247162471799598 0.00211789888859986 0.00348017110736306 0.00349905386307428 0.00308737666811864 0.00327122326466818 0.00204117673062079 0.00234171050135493 0.00166519766028351 0.00108223735514081 0.0010476191227459 0.00162761806548741 0.000466993064578141 0.00093941373534983 0.00318918615472267 0.00159072544851555 0.00149060862453454 0.00148106881594838 0.00138389395169023 -0.000491033511051906 0.00194401885115865 0.00144211190238775 0.00339943962702039 0.00212948479209957 0.00141732280874462 0.00229384744881381 0.000898171055189494 0.00166147608089194 0.00134129860075539 0.0015089438472298 0.00263509968493068 0.00127205429585971 0.00139126062508846 0.000206054861230588 0.00267064443461721 0.00105797779800412 0.000305473417328698 -0.000252564195245547
"NSLNA" 0.00278235185960852 0.00103033209797437 0.00346009867654263 0.00305072129483882 0.00163787416503619 0.00204117673062079 0.0161950280099651 0.00207384106009849 0.00162770958864051 -0.000690322541835304 0.00119970558841991 0.00339281724346231 0.000294498484369031 -0.000408377382617697 0.00210530630508347 0.000809531041773157 0.0010990604621419 0.00178448844087727 0.00212677688889253 0.00320772737720346 0.00205427630552899 0.00199222176968012 0.00184600472215418 0.00267890112841189 0.00149996995358436 0.00249316846446829 0.000623727275163925 0.00191212403861529 0.00192808440331455 0.00097751131930391 0.00397304167312514 0.00245132275778793 0.000306800055788695 -0.00128843943528954 0.00114719430631589 0.00131404986983555 0.00171614247836942 -0.00163421021178817
"NSLZS" 0.00177440225007143 0.00188791873692694 0.00223983866247426 0.00354513001422773 0.00253606519667681 0.00234171050135493 0.00207384106009849 0.0046297039298707 0.00226854132201467 0.000905977741181015 0.00158277370766717 0.00200794529370697 0.000649112891174486 0.000988466608779809 0.00301171666517718 0.00110594708151696 0.00128060168876122 0.0010969320322872 0.00118399946348355 -0.00273703336752573 0.00137958026440857 0.000297521736587589 0.00213897027010786 0.00224897978928261 0.000413839200018271 0.00209613505550706 0.000553612004473497 0.00230802435733192 0.00157978205650206 0.00138735904055731 0.000772851543571822 0.0017762714637732 0.00117478906880915 0.000226458370905112 0.0028434775832875 0.000889455599153483 0.000207917636469151 0.000747548558418449
"NSLZI" 0.00119701190324681 0.00200616180335716 0.00189701422226267 0.00246816018972884 0.00247738053503833 0.00166519766028351 0.00162770958864051 0.00226854132201467 0.00246884322829321 0.00112977095780637 0.00114725281708116 0.00175499065968308 0.000574127587160089 0.00106692090451791 0.0031754299122512 0.00122522299071722 0.00116095413566782 0.00109385791373261 0.00135276642934492 -0.000103761118513955 0.00141512064152065 0.00278297476517664 0.00112815632662198 0.00184192065288535 0.000483471368820552 0.00231275856263988 0.000129308941554312 0.00257610461714821 0.00254407685443683 0.00128704959912294 0.00144359997489981 0.00132898319480392 0.00177474340893141 0.000372188394048735 0.00244710760165472 0.00110782964088158 -0.000473319360158043 0.00110006691480773
"NABR" 0.00036112011074354 0.00119393481128542 0.00119735134710466 0.00171891500184468 0.00128816739408085 0.00108223735514081 -0.000690322541835304 0.000905977741181015 0.00112977095780637 0.00249767014538843 0.000423070663579766 0.00103420462121919 0.0014147869699131 0.0015275579723788 0.00214694260492033 0.00128907036925147 0.00119263321228149 0.00085694408853541 0.00105990177532678 0.000503754420542708 0.00122673138990276 0.00142810021265118 0.00113401938547946 0.00117807108913832 0.0014568125914477 0.00105750186051242 -0.00041809990748318 0.00165735703489811 0.00108564921695304 0.00128972215241382 0.00138526051577366 0.000870494737035333 0.00159522447530505 7.16376140707712e-07 0.00120469859258255 0.000751356147493446 3.30352108204417e-05 0.00152406143730046
