"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00722971392158747 0.00426996505170671 0.00301375821804598 0.00287493654698445 0.00173734096900144 0.00144050094266074 0.00112478250307562 0.0027009583390357 0.00210840367895167 0.00137417039807193 0.00154730410985634 0.00120043845836501 0.000545654104606504 0.000510156086672319 0.0023380452166795 5.16828083388322e-05 0.00102035249088491 0.00125210777352122 0.00192335902987232 0.000216331148865089 0.00253524885772708 0.00213851684704962 0.001865364482627 0.00284074194258085 0.00230158589604524 0.00309771298862047 0.00218896867511496 0.00278689777955781 0.00045044316619387 0.00183124893688669 4.09809302259564e-05 0.0014884684456391 0.00126859977165349 0.000830765495899157 0.00242640514582278 0.00157267078056535 0.00144252214506511 -0.000865077478179374
"ISNSL" 0.00426996505170671 0.00773795056119086 0.00378863117566138 0.00500563153199568 0.00353226506733322 0.00219340891374873 0.000959569734353757 0.00247421182382533 0.00224107644620743 0.00163360910961448 0.00141419072093655 0.00152596749637671 0.000982829744186902 0.000689737107379954 0.00331111128606084 -6.20149550049195e-05 0.000611804818757484 0.00126580630365565 0.0021559050533005 0.000868990566582367 0.00271291200491759 0.00207326719667738 0.00132708991558496 0.00276232417280771 0.00232012815353846 0.0035921897625787 0.00277077153174799 0.00267608093717413 0.001122937949349 0.00173036135248085 0.00132834036431645 0.00230084405366472 0.00137989002507654 0.000180647877263854 0.000653908791873891 0.00126909367580606 0.00119184982170517 -0.000323352800957568
"ISPNS" 0.00301375821804598 0.00378863117566138 0.00394983302142819 0.00335745923437989 0.00263004234110317 0.00192629209859891 0.00154637476865198 0.00196877127822713 0.00172491421241629 0.00118565510812365 0.00130329839474907 0.00219218316910371 0.000501419671532738 0.000743049492112597 0.00207364644951051 0.000619417310860875 0.00118434269305398 0.00203752264716495 0.00242608047368484 0.000511717469962412 0.00193036269904941 0.0018059262491351 0.00141765956483936 0.00300585677728764 0.00214833123082695 0.00349793407379802 0.000522365644400548 0.00221519931077277 0.00109551412789112 0.00154194941660284 0.00110363770561755 0.00195567697644046 0.00130075659929769 0.00116902154755773 0.00122330054659933 0.00181382755446094 0.00164749713884067 0.000585214493269695
"PMZS" 0.00287493654698445 0.00500563153199568 0.00335745923437989 0.0057152363577642 0.00379689556970268 0.00205312296072271 0.00247404206777536 0.00385851741054082 0.00199868331550431 0.00181876061002209 0.0015593430624686 0.00138355465975702 0.000248911476239284 0.00062324737173433 0.00350868629692623 0.000507803519414091 0.000891848456533787 0.00160722736331365 0.00247839022863026 -0.000384706440003015 0.00209156121583257 0.000364219311283155 0.00056153269049043 0.0030476144304596 0.00290686059766088 0.00366754455783982 0.00258016853040385 0.00275827948001407 0.000972997076000353 0.00154717907723338 0.00062559411321851 0.00234572328746099 0.00148157352461121 0.000697913242761643 0.000745201937857962 0.00129493221561565 0.00132563905726503 0.000297891850862398
"PMZI" 0.00173734096900144 0.00353226506733322 0.00263004234110317 0.00379689556970268 0.0039355121045297 0.00183086208642976 0.00177969675714632 0.00227445756091575 0.00221758101884783 0.00141693405235411 0.00139292573987137 0.00118021958549171 0.000390349641953453 0.000682031628437483 0.00241618779847155 0.000642994484468569 0.000862941017169307 0.00157727550824006 0.0019905945854611 0.000653979019119278 0.00161428415834254 0.00197516021764711 0.000384596922310738 0.00150700080773328 0.00116593571476511 0.00305014173057109 0.0024881560959455 0.00196973171713827 0.000668770432624559 0.00142494342273836 0.000865362747656833 0.00176831620981632 0.00117326687965842 0.000959481369415913 0.000402308272010695 0.00127198470660554 0.000862973838157717 0.000447380597227754
"PMMT" 0.00144050094266074 0.00219340891374873 0.00192629209859891 0.00205312296072271 0.00183086208642976 0.00184269154388731 0.000923685698880807 0.00121379355883739 0.00109375479062096 0.000863531964089726 0.000847447909952138 0.000971089162653033 0.000738658129461022 0.000534709637155999 0.000919729655124289 0.000189735275923937 0.000557308078877169 0.000934037017616549 0.000905693650378149 0.000438118849918642 0.00100755405073258 0.00103210975743049 0.00116971987845752 0.00160488884916809 0.00102112656690954 0.00123772990108265 0.0011585039020713 0.00123971068306667 0.000520670746145231 0.000800789091925056 0.00060511784116791 0.000829350571053594 0.000569530476684722 0.000762059369832417 0.000272988899092445 0.00106221889086789 0.000719591281471443 0.000401405909909765
"NSLNA" 0.00112478250307562 0.000959569734353757 0.00154637476865198 0.00247404206777536 0.00177969675714632 0.000923685698880807 0.0151694197066434 0.000808527403757489 0.000611846808593753 -0.000647698216908864 0.000312596292853883 0.00129454679353823 -0.000479025015240374 -0.000143439045074706 0.0012186963242369 0.000516582100713308 0.000446260139678982 0.00148508611781343 0.00159041108753523 0.00188773516070395 0.000980386875510364 0.00114571292770405 -0.000716682076104625 0.00127250525173221 0.00157833727461287 0.00227368256469847 0.00135008524673568 0.00116747501942191 0.00124946738728657 0.00103194363962546 0.000332081614017443 0.000641869941979939 0.00121532079870553 0.000881356188439947 0.000754775403168233 0.000516369644180625 0.000742825473260364 0.000254994253356528
"NSLZS" 0.0027009583390357 0.00247421182382533 0.00196877127822713 0.00385851741054082 0.00227445756091575 0.00121379355883739 0.000808527403757489 0.00625971083784121 0.00222497460555383 0.00144173658241957 0.00209915262690633 0.000991536236769353 0.000477654585434763 0.000514548159805549 0.0027606162340149 0.00046672069115899 0.000967129243597527 0.000806878565546395 0.0016528970847011 -0.00194616552936015 0.0013126063385732 -0.00238068128260628 0.000171403277695555 0.00231324309808728 0.00271476871866692 0.00236570001041398 0.00236873480052079 0.00254089104395915 -0.000498652726014866 0.000996099742705244 0.000104753746594647 0.00210058019570499 0.00114159102588476 0.000976962624434676 0.000459140347329043 0.00089927728448212 0.000463716090005507 0.000394994564960883
"NSLZI" 0.00210840367895167 0.00224107644620743 0.00172491421241629 0.00199868331550431 0.00221758101884783 0.00109375479062096 0.000611846808593753 0.00222497460555383 0.00249499095531579 0.00117885972674556 0.00152177142202566 0.00121294467523695 0.000309391575547608 0.000511788224776778 0.00183337160925081 0.000574578934470505 0.000869976732739628 0.00126309778503415 0.00197903852377621 0.000369851793992239 0.00140489428265341 0.00281482565278018 0.000817315707379796 0.00112039160657636 0.00136727049211032 0.00207762847320183 0.00172498170417288 0.00167717881776229 -0.000214042481755219 0.00120594364751571 0.000798369111074512 0.00186205857478449 0.000920285443190959 0.000776604244142061 0.000741953593171183 0.00121921925663122 0.00042364608237107 8.9932940684417e-05
"NABR" 0.00137417039807193 0.00163360910961448 0.00118565510812365 0.00181876061002209 0.00141693405235411 0.000863531964089726 -0.000647698216908864 0.00144173658241957 0.00117885972674556 0.0026390284238058 0.000912268424840805 0.000756599969444638 0.000736812088180329 0.000865119203822458 0.00309104388375646 0.000867537844246262 0.000609246886234991 0.000580242198181268 0.0015132811830066 0.000322996327067196 0.00152165501638516 0.000900930115732956 0.00139782878051969 0.00151589036785935 0.00147252432363659 0.00131252281545422 0.00147459770310588 0.00122689139976369 0.000244329794332711 0.000849367239037198 0.000365476922380982 0.00187532211313727 0.000487107202192841 -0.000193784344155277 0.000543195864367591 0.000563226278865874 0.000222160323434903 0.000377626678297278
"NAFM" 0.00154730410985634 0.00141419072093655 0.00130329839474907 0.0015593430624686 0.00139292573987137 0.000847447909952138 0.000312596292853883 0.00209915262690633 0.00152177142202566 0.000912268424840805 0.00223521334881777 0.00114162613266413 0.000874109203971079 0.000498601934450699 0.000881294546025411 0.000189018997226201 0.000701689507412182 0.000918361526705707 0.00123724800049876 0.000730913172045871 0.00111853044161905 0.000992075961500159 0.000635335502754687 0.00222910236797213 0.00128879791410849 0.00169756499804764 0.00165346277345768 0.00133265653273373 0.000434318249205567 0.00117926100313178 0.000291532564262094 0.00131758308998673 0.000756923840959924 0.00119057504907667 0.000724606189631714 0.00141035611987004 0.000878397375063068 0.000697518191428946
"NAPNS" 0.00120043845836501 0.00152596749637671 0.00219218316910371 0.00138355465975702 0.00118021958549171 0.000971089162653033 0.00129454679353823 0.000991536236769353 0.00121294467523695 0.000756599969444638 0.00114162613266413 0.00274365667046375 0.000694285115454666 0.000831358627773942 0.000892923490384677 0.000713851999471958 0.00108652189800105 0.00177841036338679 0.00173757517037444 0.000500335501686431 0.00166084039447319 0.00171307624244947 0.00174903605631182 0.00224657190978525 0.00107460159734782 0.00165501839929889 -0.000548609017632503 0.00121257128495253 0.000473298940277941 0.00128550537616226 0.000787857458091209 0.00140789548828721 0.000902228359286969 0.000899305710980814 0.00119100649428188 0.00169678587596406 0.00162064791856077 0.0010629413222704
