"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00675655737973997 0.00548313900900208 0.00430825049502602 0.00476674387298482 0.00349372115352118 0.00295163897851549 0.00190294571429808 0.00376224731812035 0.00280965206508272 0.00236524980708168 0.00206006043410076 0.00251409167841116 0.00119441200524414 0.00181214608184914 0.00294005161367441 0.00163891030288955 0.00223353453093335 0.0033152944841981 0.00375003995699798 0.000910592380556528 0.00391775802500422 0.00350274253562622 0.00388726814964125 0.00315577106118415 0.00340775676041885 0.0053938441806186 0.00419379128905647 0.00274067450477106 0.000299774594189779 0.00269409788672624 0.00425378845953081 0.002683359142989 0.000662096237475812 0.00206509190145267 0.00134274158135631 0.00185802718595384 -0.00111735700520247 0.000581326181957023
"ISNSL" 0.00548313900900208 0.0123828231493234 0.00593412215054676 0.0106971667585788 0.00710249372231444 0.00394894590315266 0.0042662975168149 0.00463762665372425 0.00398389829460862 0.0028516850112996 0.002592324679062 0.0053234757401545 0.000722197385013714 0.00190911043676449 0.00520588847018729 0.00163012323703374 0.00296256526747619 0.00510832013871137 0.00553419591993295 0.0030057625741323 0.00843970203555344 0.0058466834957383 0.00741569233450805 0.00632502176752582 0.00584152087729709 0.00667528891071559 0.00924972767119494 0.00537655649449375 0.000327347172667612 0.00337802733133542 0.00403742223640822 0.00403379865399135 0.000716714237246854 0.00226562751903849 0.00209820710439535 0.00274929075022643 -0.00210663177050159 -3.00238183298817e-05
"ISPNS" 0.00430825049502602 0.00593412215054676 0.00612388945553529 0.00687451143352259 0.00564617257476149 0.0031725524062438 0.00540759759681438 0.00451593178145055 0.00295092806368747 0.00189050013991541 0.00196164916669952 0.00417689969166691 0.000782790450040131 0.00160495191074001 0.0032177957679125 0.00147717280963295 0.00235616128837898 0.00372110846437472 0.00354323610275858 0.0021439889558962 0.00557371648456004 0.00343330519637077 0.00387497392823469 0.00472973972207203 0.00362109155966394 0.00760396336788369 0.00351020029711993 0.00403726911345909 0.00205465123643865 0.00325038501365178 0.0044312347730481 0.00278765870142175 0.000582696543186264 0.00113119439616483 0.00159488212529976 0.00235112108573272 -0.00122430224553137 0.000847888012883182
"PMZS" 0.00476674387298482 0.0106971667585788 0.00687451143352259 0.0134392577608056 0.00936354042790911 0.00486244933993402 0.00931412688140692 0.00738883182136171 0.0043475899691124 0.00316892317016755 0.00240710155861387 0.00594323901823499 0.000579942459046497 0.002399903792392 0.0053528704284638 0.00237696390778923 0.00395328933276979 0.00608463088120394 0.00698669068007164 0.00404420010909142 0.00998672286762247 0.00614407150882803 0.00688116719059138 0.00835894275078483 0.00651416289681999 0.00846035440473708 0.0108280334639252 0.00740032024727659 0.00186298337631692 0.00452090209876831 0.00407106110387577 0.00498312476029282 0.000269848412975655 0.00251717491040602 0.00210271658837956 0.00322955815332329 -0.00158235420210184 -0.000223616291328683
"PMZI" 0.00349372115352118 0.00710249372231444 0.00564617257476149 0.00936354042790911 0.00812816809820788 0.00350760828025572 0.00683866732123848 0.0054934131099788 0.00401794799287015 0.00202753033029811 0.00209182799746042 0.00459083799658048 0.000366835930843567 0.00198472783924866 0.00302952003260462 0.00215656478630142 0.00314229961191909 0.00476235961560093 0.00516581687871093 0.00339305607206502 0.00725620377058185 0.00483531924147035 0.0042918453584959 0.00506379485055751 0.00409954489654007 0.00768562088822072 0.00697251879527344 0.00538157929819276 0.00218382238165231 0.00363703728594457 0.00344224662837077 0.00321216594389949 0.000293520001411646 0.00269769101135041 0.00181500469039062 0.00279000402378644 -0.000947931480014726 0.000489489374490387
"PMMT" 0.00295163897851549 0.00394894590315266 0.0031725524062438 0.00486244933993402 0.00350760828025572 0.00432303473164367 0.00303368592595139 0.00334841674924931 0.00193154093514624 0.00196607955784691 0.00123083103767458 0.00239467715297085 0.000594867867713906 0.00126942901558933 0.00316839191308541 0.00176853346823805 0.00202100504180092 0.00266393991924458 0.00279783635111666 0.00198430947528488 0.00384493206529249 0.00232693894935942 0.00385564185411519 0.00275179031804878 0.00314817495165446 0.00128432902075945 0.00459096889215805 0.0026967808042843 0.00129759610842301 0.00209375388757813 0.00377706735171029 0.00270302825175972 0.00022348835521224 0.00174519861478762 0.0011153348532806 0.0014492171824363 -0.00121817015074761 -0.000187738905886253
"NSLNA" 0.00190294571429808 0.0042662975168149 0.00540759759681438 0.00931412688140692 0.00683866732123848 0.00303368592595139 0.0195288793887155 0.00706012447755036 0.00255071918763228 0.00015046758734242 -3.84728088706959e-05 0.00418045597074541 -0.000339967454614146 0.00104975982386015 0.00124415266529931 0.00159808958925965 0.00266415669636727 0.003841401739272 0.00379760023813824 0.00469707129140431 0.00647533425068093 0.00314069334194901 0.00189841994108847 0.00489735109512585 0.00388185649609156 0.00697199025666271 0.00469012856300817 0.00619472455047291 0.00465423407767638 0.00335447637290543 0.00541978655588184 0.00306917388478493 -0.00203867119345 -0.00224266145403316 0.00114773590657809 0.00247312340843658 0.00243905121074311 -0.00058300686261753
"NSLZS" 0.00376224731812035 0.00463762665372425 0.00451593178145055 0.00738883182136171 0.0054934131099788 0.00334841674924931 0.00706012447755036 0.0081472061141039 0.00350915228516714 0.00232295487066034 0.00203270551004354 0.00360413382160489 0.000397736902467591 0.00138580212216543 0.00258989189683438 0.00168345466514258 0.00258187171426916 0.00418054933949208 0.00477927562415908 0.0014123227561724 0.00563895777666637 0.00182019985911042 0.00399881489988773 0.00457574457000695 0.0038230564333234 0.00538828215596657 0.00662245559179769 0.00409978437802248 0.0013794519467648 0.00299738722707502 0.00407394525828804 0.00446166863597241 0.000846132464543717 0.00227337634296251 0.00199140136148844 0.00211600055237206 -0.000793804975818907 -0.000518704153352061
"NSLZI" 0.00280965206508272 0.00398389829460862 0.00295092806368747 0.0043475899691124 0.00401794799287015 0.00193154093514624 0.00255071918763228 0.00350915228516714 0.00322549755799181 0.00150718629594762 0.00186784908421799 0.00236392978076193 0.000319502769624915 0.00107861879824633 0.00129054484121746 0.00158591061535556 0.00195724099159519 0.00284050143797777 0.00318461994679516 0.00167979769384822 0.00359542534601361 0.00364214581888013 0.00291773465989623 0.00147364496707563 0.0023074900038778 0.00397993310799516 0.00324888957925274 0.00251791681615611 0.00105195856987405 0.00188872588189993 0.00263515794345894 0.00216733505864834 0.000739601677601325 0.00184875285219052 0.00146374921222127 0.00195056154377184 -0.000322626030271215 0.000510213929275567
"NABR" 0.00236524980708168 0.0028516850112996 0.00189050013991541 0.00316892317016755 0.00202753033029811 0.00196607955784691 0.00015046758734242 0.00232295487066034 0.00150718629594762 0.00337030827034555 0.00208463605570446 0.00266131694492986 0.0012614396609881 0.00117858755097483 0.00305975221836154 0.00155778582905645 0.00153896012140817 0.00224681997370549 0.00246175009299303 0.00127558278342718 0.00281129656179989 0.00179705910135089 0.00357147429037837 0.00271159925203029 0.002280842007449 0.00149411392755799 0.00380917449143409 0.00122734918385726 0.000298589185373749 0.00160970683736697 0.00126548310706078 0.00222666211663278 0.00139323812519304 0.00128753816251411 0.000937322780141235 0.00128546495287789 -0.0011333797423551 0.000986410293777177
