"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00674519258790807 0.00318898399948972 0.00386620342774725 0.00141416831197944 0.00152248556421039 0.00210781305890801 -0.0015646973201907 0.000216906432258646 0.00139119605349861 0.00231949117189313 0.00149202142480458 0.00117221569655873 0.00277239314624191 0.00265523098580014 0.00351025209707922 0.000925143462041494 0.000773923975244681 0.00117554048015308 0.00127985924689214 0.00024981415505799 0.00191263295458002 0.00212048039325726 0.00176983067205259 0.00175491682242637 0.000732645507861987 0.00335316082330441 0.00142164267360525 0.00070865623493951 0.00156252819734155 0.00174254743274452 0.00144127906766425 0.00153134768482519 0.00275641686400168 0.00238266975754377 0.00272120511372553 0.00183988253521415 0.00197389431458643 0.00136414037121
"ISNSL" 0.00318898399948972 0.00723291120235574 0.00396629719486731 0.00387592322320002 0.00257225428407137 0.00188453034681198 -0.000797428878158838 -0.000782279300341061 0.000582438530155312 0.00190137688802026 0.00141956395812466 0.00152361980101774 0.00183272760747905 0.0020471031779247 0.00421399899937541 0.000773077652176195 0.00031046862267902 -8.5086726309256e-05 0.00124279338017183 0.00130108448330099 0.00230877481737514 0.00219180574060805 0.00218251221078179 0.00229242735304254 0.00104071177581797 0.00357025138286732 0.000591608312918459 0.000489978488168703 -0.000751827647556509 0.00136307612430791 0.00143796791849352 0.00157505987666434 0.00279724068832716 0.00124868463291337 0.00376082422115424 0.000569345902557546 0.00274920532289234 0.00164236185292177
"ISPNS" 0.00386620342774725 0.00396629719486731 0.00644725801262507 0.00256927486835201 0.00247838400582476 0.00243735492690548 -0.00139004225660208 0.000293823403495872 0.00126793594721417 0.00225034452218179 0.00165878894715045 0.0017308937029172 0.0023821514568359 0.002377450562338 0.00366567097606221 0.000946333767698955 0.000743535375348674 0.000814457597063043 0.000986418995708475 0.000529330147613509 0.00200698015296763 0.00199964322476898 0.00217124254454581 0.00301426384740188 0.00116378512267123 0.00598953690541324 -0.00232186315235166 0.000745138607818238 0.000861183927358287 0.00188530008067916 0.00162695197098194 0.00127584861108612 0.00308582874537924 0.00125400758732036 0.00406683751596462 0.00172095827645694 0.00259441458663455 0.00141451771624541
"PMZS" 0.00141416831197944 0.00387592322320002 0.00256927486835201 0.00496077307611493 0.00301249309979183 0.00153435291343409 0.0039957719302395 0.0025042704938154 0.000534826417884389 0.00168724191135384 0.00112672693419377 0.00185751413287816 0.00142380013307859 0.00160634495867495 0.00316322202593134 0.000581405781941982 0.000215124015855851 -0.000105424451735439 0.000966862497409668 0.00117500746430946 0.00238649843183117 0.00241461230375148 0.00228414584955952 0.00189186382517429 0.00130137882526089 0.00254823551066734 0.000922832450999355 0.0012984682330848 0.000358744917796091 0.00114798229731078 0.000975528577866745 0.00130227431981635 0.00210370673188616 0.00194800198221068 0.00302643881753022 0.000754005216640818 0.00214712254300856 0.00158987124489481
"PMZI" 0.00152248556421039 0.00257225428407137 0.00247838400582476 0.00301249309979183 0.00362997777243351 0.00165586769254007 0.00221532081394732 0.0017893498435205 0.00172947027295342 0.00165949057933155 0.00122717714455532 0.00156963232765473 0.00139145162604924 0.00153722985278107 0.00252320578754142 0.000851892360754194 0.000580638276778596 0.000345088848749669 0.00107190321046888 0.000945077693847324 0.00176733468647796 0.00171771386742336 0.0018675554208302 0.000168326966460108 0.000312530373498407 0.00274430371735754 0.000881959268521278 0.00118590019707377 0.00125852710832832 0.00132483557784506 0.00107420299958643 0.0010710260608246 0.00168991758810454 0.00115863094940674 0.00212086402516563 0.000583351373271739 0.00148334918309342 0.00128150206889006
"PMMT" 0.00210781305890801 0.00188453034681198 0.00243735492690548 0.00153435291343409 0.00165586769254007 0.00233300945434706 -0.000205922353074378 0.000360498865055154 0.000652393570099523 0.00130716866206029 0.000786211003863554 0.000560959650526909 0.00131561304660612 0.00113127317292914 0.0016089029238177 0.0005138640169527 0.000478909972212781 0.000654973203770286 0.00063026564974083 0.000628899572828318 0.000850087020982021 0.000887070579627208 0.00128610869751083 0.000929150983945235 0.00012671787529329 0.00110592136782281 0.000358479234257143 0.000491885487280976 0.00080445804771288 0.000937474981970166 0.0010869733108235 0.000575729922026656 0.00122467573091662 0.000627929333631722 0.00150904470666307 0.000906396377844907 0.000925133361197797 0.000776088872661993
"NSLNA" -0.0015646973201907 -0.000797428878158838 -0.00139004225660208 0.0039957719302395 0.00221532081394732 -0.000205922353074378 0.0145338378601158 0.0064559695684735 0.000307638619892783 -0.000901977080815382 1.62698263581903e-05 0.00388708873974117 -0.000648048628908429 -0.000598746866107255 0.00020906197845692 -0.000439439925717359 -0.000554903089050734 -0.000230600227892924 2.09400721948159e-06 0.00187914426942876 0.0016338591005279 0.000298006497378456 0.000749271392785946 -1.4916864929393e-05 0.00114258416909194 -0.00134897620009903 0.0017936756335417 0.0018550358203026 0.00198823979394422 -7.04824152090443e-05 0.000266975624020468 0.00022377400879556 -0.000266171915605874 0.00278129432982191 0.000110433788514893 -0.000177443379168238 -0.000557099098450676 0.000469500758455295
"NSLZS" 0.000216906432258646 -0.000782279300341061 0.000293823403495872 0.0025042704938154 0.0017893498435205 0.000360498865055154 0.0064559695684735 0.00848803144906783 0.00173128126322866 0.000612868396881881 0.00112478693909542 0.00157375654548126 0.000408739824622431 0.000645700441955442 0.00077729583797739 3.86031770372726e-05 -0.000111376051409029 -1.92534846446559e-05 0.000539876775828727 -0.00163858479530572 0.000911083739084973 -0.00147636496293365 4.60164884173715e-05 0.000854532917029972 0.00141160193332453 7.18352086546159e-05 0.000533318110152931 0.00154758141214801 0.00189560044849007 0.000547120436867457 -8.18487597317362e-05 0.000728012358454935 0.00122841613120996 0.00279271978639413 0.00133479507411236 0.000137506679482087 0.00104900933204948 0.000413619646451631
"NSLZI" 0.00139119605349861 0.000582438530155312 0.00126793594721417 0.000534826417884389 0.00172947027295342 0.000652393570099523 0.000307638619892783 0.00173128126322866 0.00298643612490434 0.00109524133688789 0.00138901707782949 0.00107273820240925 0.00098544879877701 0.00108557198038479 0.00121763634534212 0.000591018605906893 0.000643290361394571 0.000857275777189836 0.00150359760023274 5.77024746315179e-05 0.000826210196561301 0.00255084374007835 0.000397950762005716 0.000188302807531962 0.00121965364535483 0.00184096232598058 0.000443389220481162 0.00131340362227202 0.00215249386215085 0.00114584468507754 0.0008320656590568 0.00146175592979394 0.00135102444668071 0.00136971985162783 0.000776601958167899 0.00114021793679253 0.00107443648748266 2.25164164377557e-06
"NABR" 0.00231949117189313 0.00190137688802026 0.00225034452218179 0.00168724191135384 0.00165949057933155 0.00130716866206029 -0.000901977080815382 0.000612868396881881 0.00109524133688789 0.00774723986242268 0.00187100960638683 0.00145336029268921 0.00654661529653525 0.00565114171870333 0.00452866655083003 0.00154599267765258 0.00108068440574531 0.00160104901038623 0.00222121081829885 0.00126299927774433 0.00227779794582726 0.00247772727565925 0.0020479170485539 0.00183903914481265 0.00129790163471305 0.00307038771834572 0.00098284391646804 0.00113608794261062 0.00236655047504416 0.00181801958040513 0.00149788344130995 0.0022250990259891 0.00379254518429221 0.00264214017742904 0.00408907478790126 0.00227798348988365 0.00253689679618473 0.00164749208406681
