"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00776193951287877 -2.45709264818884e-05 0.0027986198388293 0.000555004324796163 0.000618534381699105 0.00160236356702578 -0.000736257690678286 0.000642899977381597 0.000791461651514058 -0.000464045398166753 0.00112674917483258 0.000239355479177838 -7.53869170302676e-05 -4.33698177550292e-05 0.000252023143800094 -6.90988996862162e-05 0.000338188920598075 -0.000221359858415156 0.000228361366747571 0.000380020176954728 0.000574877913777114 0.00105982210648091 0.00130059331714629 0.00101441343663547 0.000289580446774297 0.00149220303195095 0.00104588270320604 0.00148361952231928 0.000489789327194782 0.000468090163491941 0.000941259215182394 9.66529938652219e-05 0.000237743660631635 0.000575927808645673 0.000300972741237705 0.000149614464186306 0.000859163451203667 0.000246797238751507
"ISNSL" -2.45709264818884e-05 0.00593016711896991 0.00134082994616402 0.00304514191916004 0.00146545701652078 0.000526230880067193 -0.00174585897162083 0.00142511448521456 0.00206634351568718 0.000778533785290997 0.00103618096505139 0.00151405070000263 0.000552115268354612 0.000850088288361605 0.00142815278469253 0.00115831178711001 0.000792277293133466 0.000876317566047607 0.00178464892363689 0.00132586986096143 0.00150241310479392 0.0023204253112539 0.000703328341651279 8.6760120767054e-05 0.0015677477601115 0.000435945063747788 0.000408200750931187 0.000208957511091422 0.000773221702380117 0.000694728970399106 0.00133788881865188 0.00141626408402518 0.00114274643405872 0.000763816978046484 0.000762316369297045 0.000720470352622352 0.000174080432636749 0.00122654847521011
"ISPNS" 0.0027986198388293 0.00134082994616402 0.00494446491035339 0.00189772348937399 0.00182234591318983 0.00308440088434211 -0.000958877510375582 0.000997587466237917 0.000464267097531051 -0.00031606888823085 0.00112821344790266 0.000663918473641457 -0.00040858451117716 -0.000201512638651069 0.00175838420879524 0.000211930162960836 0.000235495014783126 -5.80275226810823e-05 0.000386637391296826 0.000423832207767929 0.00097826350811555 -4.098664800067e-05 0.00129522493538612 0.0022085942651617 0.000936562324333651 0.00150789336674992 0.000107266246418864 0.000973043212690131 0.000502487345211855 0.000249847017646521 0.00131064759351601 0.000898888663772485 0.000171693621396822 0.000144666780378491 0.000253330595672376 8.92012203285064e-05 0.000713063390909387 0.000835102214946486
"PMZS" 0.000555004324796163 0.00304514191916004 0.00189772348937399 0.00588578331622602 0.00365958032800282 0.00216290041221731 0.00324607839983606 0.000676627084104866 0.00111227714352006 0.000744048246787659 0.000938329362805523 0.00108549170510417 8.35546798282205e-05 0.00077129187486341 0.00237533410179752 0.00119300272319221 0.000828784581280099 0.000640944217587871 0.0019151505246399 0.000288927986164198 0.00221722010996877 0.00255681744806776 0.00238455024844108 0.00130699682794498 0.0015710080076178 0.0022033110633987 0.00186842633488798 0.000556108169633778 0.000779450942610296 0.000669801918730531 0.000795148329040083 0.00167765704839846 0.000354977441648114 0.00044042575414564 0.000662478511615845 0.000517147657510361 0.00127412070894981 0.000571146914197579
"PMZI" 0.000618534381699105 0.00146545701652078 0.00182234591318983 0.00365958032800282 0.00455294709599238 0.00236481139930804 0.000310493928689526 0.000686156283385859 0.00141289317848709 0.00037679336243013 0.000776027723074734 0.000611310226757645 -0.000170421030960952 0.000431888886866879 0.00182867771772411 0.000915660194311597 0.000721887316764218 0.000390259717554388 0.00113523248294112 0.000165316762219927 0.00138954995307822 0.00220673910336887 0.00210881856051918 -0.00120591617847764 0.000458010395094549 0.00208383331706573 0.00158870235434099 0.000899899612837225 0.000894846030352627 0.000644958864404881 0.00129438708939716 0.00148053614844368 0.000126880906249399 0.000209251295804454 0.00045418197588325 7.10319076999493e-05 0.00104056610506654 0.000229240464202552
"PMMT" 0.00160236356702578 0.000526230880067193 0.00308440088434211 0.00216290041221731 0.00236481139930804 0.00409634127193728 -0.000573125581759559 0.000866239965008573 0.000375033417403075 -0.000202885205565466 0.00082303639225025 0.000372167122006562 -0.000421855503139675 -0.000260891898567382 0.0016357949995772 6.82054227069677e-06 3.89428531075921e-05 -0.000216830386713704 0.000405389105430355 -4.42841652761695e-05 0.000728363063012571 7.13538894005015e-05 0.00142575138972826 0.00190517286944808 0.000876858755436865 0.00149425813941059 0.0017319887703641 0.000858963654429033 0.000414450698332064 0.000172917741060794 0.000589859391972503 0.000996132787406538 0.000106707255492301 9.05941408723216e-05 0.000211322629964478 -0.000177074364083842 0.000495471567792662 0.000197442002028397
"NSLNA" -0.000736257690678286 -0.00174585897162083 -0.000958877510375582 0.00324607839983606 0.000310493928689526 -0.000573125581759559 0.0210885119924153 0.000868973719760819 -5.11500614829665e-05 0.000218358800124754 -0.00015342585946042 0.00131284346251661 0.000165494736658991 -0.000103208198889107 -0.000302780678791191 0.000128895975689259 -2.53587713865124e-05 -4.84406287442127e-06 0.000199695772930147 0.000705021730357349 0.00155765822946527 0.00145712832164012 0.00103636961880988 0.00231060696482369 0.00068948066417695 0.0011501754844691 0.00146987437491646 -0.000588260405124086 -0.000242922592623088 -8.29065540101633e-05 -0.00222730898356047 -5.25074635425134e-05 -0.000481318042223642 -0.0014281400944458 -3.20408887873075e-05 0.000279230323844831 0.000895352251756617 0.000625222920028328
"NSLZS" 0.000642899977381597 0.00142511448521456 0.000997587466237917 0.000676627084104866 0.000686156283385859 0.000866239965008573 0.000868973719760819 0.00930244745984825 0.00274023354574333 0.000441252885073756 0.0025980890940861 0.000624346682591232 0.000258627542545863 -0.000389472451110128 -1.06349509424638e-07 -8.37544340454553e-05 -0.000204954819344121 -0.000199143692591711 0.000831741591035719 -0.000699566508176794 0.000205791866572952 -0.00447713633710878 -0.00052727302271329 0.000708518004418225 0.000786784127080304 0.000698574428328142 0.000697350210588125 0.000584466864632695 0.00111357101396965 0.000371372118966117 0.00073238391150135 0.000480233386334529 0.000391237184382056 0.000304677142093911 -0.000277656861543181 0.000259103157624801 0.000326880062107735 0.00122858541284493
"NSLZI" 0.000791461651514058 0.00206634351568718 0.000464267097531051 0.00111227714352006 0.00141289317848709 0.000375033417403075 -5.11500614829665e-05 0.00274023354574333 0.00315796814223186 0.000586651245962009 0.00144377227528615 0.00117181633316544 0.000588879420530961 0.000513821519262395 7.13798051590609e-05 0.000531384872328196 0.000444336473296004 0.000543118285564228 0.00111239691702442 0.000650894855992876 0.00070202397033667 0.00348562203971923 2.41710014228137e-05 -0.000912038804402245 0.00077239234377926 0.001068528086714 0.000132490550629554 0.000236405667110081 0.000943923353984613 0.000789937652002849 0.000848319260211838 0.00084408346463653 0.000685575214613047 0.000435529522149391 0.000384040491498309 0.000373774835651536 0.000388695182835693 0.000471605862714747
"NABR" -0.000464045398166753 0.000778533785290997 -0.00031606888823085 0.000744048246787659 0.00037679336243013 -0.000202885205565466 0.000218358800124754 0.000441252885073756 0.000586651245962009 0.00224921925201781 0.000559535020826391 0.000783653447155138 0.00154132570288686 0.00150778440733554 0.00191132588472484 0.000945152567291952 0.000591495933412749 0.000649808662722754 0.00119193173967523 0.000448980903248461 0.000768470977515671 0.000931898966826345 0.000634698908230603 0.000436278316368686 0.000763083020307521 6.06455460985981e-05 0.00027220721009965 -4.48705388780829e-05 0.00080980013082139 0.000535434300174537 0.000239821177810323 0.000741575475331576 0.000572939888970944 0.000690919477188437 0.000600517476782467 0.000664838755189967 0.000720699881203765 0.000513847305919858
"NAFM" 0.00112674917483258 0.00103618096505139 0.00112821344790266 0.000938329362805523 0.000776027723074734 0.00082303639225025 -0.00015342585946042 0.0025980890940861 0.00144377227528615 0.000559535020826391 0.00249630987887103 0.000950707746511707 0.000534507677960475 0.000215706212708188 0.000319397249889408 0.000239375364273965 0.000209403988357616 5.96809869106974e-05 0.000646546060917825 0.00110157723748366 0.000847531605709996 0.0003924690304464 0.000784560829931626 0.00206380016045329 0.000715798370713675 0.000952704811137559 0.000822703221110402 0.000659696718892575 0.00101710241753777 0.000649703653459835 0.000359002776579759 0.000392342175640468 0.000579274739661093 0.000618792777332094 0.000233667077935915 0.000448229028568975 0.000927645400867615 0.000752923164579582
"NAPNS" 0.000239355479177838 0.00151405070000263 0.000663918473641457 0.00108549170510417 0.000611310226757645 0.000372167122006562 0.00131284346251661 0.000624346682591232 0.00117181633316544 0.000783653447155138 0.000950707746511707 0.00235827646302736 0.000703985295949255 0.000967468968723333 0.000634960457129369 0.000816821926417134 0.000738285400509465 0.000902032254422032 0.000888902957520457 0.000907225098850795 0.00147432475914752 0.00186587247961668 0.00133128863141573 0.000954973583332096 0.000876593691802926 0.000178298048262228 0.000458843742134337 0.000396819603837188 0.000794304316884394 0.000662663589558042 0.000773312700052648 0.000833324996727301 0.000306725633461053 0.00059890809686694 0.000431161946551954 0.000691444708114024 0.000494127598202708 0.000558404144027304
"BRPT" -7.53869170302676e-05 0.000552115268354612 -0.00040858451117716 8.35546798282205e-05 -0.000170421030960952 -0.000421855503139675 0.000165494736658991 0.000258627542545863 0.000588879420530961 0.00154132570288686 0.000534507677960475 0.000703985295949255 0.00242708373049673 0.0014211123427153 -0.000950852372897253 0.00028148602521661 0.000319479836611987 0.000374120441608267 -0.00028951257933296 0.000453423270878679 0.00051269143660452 0.000960146359071526 0.000333905090734243 0.000304086949947012 -0.000217985294045845 0.000343030784738811 0.000121439506243149 0.000128830335461915 0.000854892752123076 0.000588068393758544 0.000529706483925884 -0.00050684163556113 0.000844093176088262 0.000824516418461967 0.000535126412866466 0.000749187256739054 0.000285280371018604 0.000540631629821799
