"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00389486052053275 0.00250917669876064 0.00177349605833786 0.00191722229408081 0.00136952187802805 0.00096406706733321 0.00319146613852694 0.000878106252011251 0.00118853206088772 8.38545759213617e-05 0.00066078235227629 0.00132105900514737 -3.29921261949907e-05 0.000293201377656258 0.000736872511756387 0.00121325049890283 0.00110138340585289 0.00188930548871845 0.00203022915505923 0.000801280598012753 0.00156134576206863 0.00150283252290752 0.000879176589408575 0.00185211830669229 0.00159160610600684 0.00252386600039112 0.00135996349535426 0.000959370168082052 0.00264621620641692 0.00109828198025667 0.00112260355280915 0.0026819682997685 0.000542080242562817 -0.000962401197294434 0.00128406312116976 0.00101693515304347 0.00012826434129582 0.00100812271025871
"ISNSL" 0.00250917669876064 0.00689136470978967 0.00281847865227278 0.00422538630957936 0.00251819691509366 0.00117805974916989 0.000319921391859186 0.00166308049787546 0.00117937991058743 0.000165973823344907 0.000752780671438072 0.00171204640845513 -0.000301165496103413 9.48288611934789e-05 0.00106213865288406 0.00168520680194044 0.00128126786254108 0.00189172357263337 0.00171286918190496 0.000473969488621036 0.00129721876792043 0.00149703223153303 -0.000234963359511198 0.000480646513854658 0.0017184663245768 0.00296558616112394 0.00185809173282502 0.000670764273676257 0.00241407906178574 0.0012234510016228 0.00279124931819365 0.00243076493249674 0.000631809397685991 -0.00117164656506015 0.00126096339002437 0.00118383141696224 -0.000291070581389645 0.00133276645668529
"ISPNS" 0.00177349605833786 0.00281847865227278 0.00319935635575384 0.00249921462163324 0.00202020874629815 0.0012224009583021 0.00332293122741822 0.000736407684078858 0.000849787499025252 0.000448247089229655 0.000721419692809712 0.0023507700028026 0.000385831387943138 0.00036680670071558 0.00102134307399951 0.00140916113232921 0.00109266047873946 0.00182655634839675 0.00174786576522306 0.0006793028791064 0.00148956658667537 0.00153400824402094 0.000847384541227703 0.00145907319497101 0.00117249565022505 0.00268423545379811 -0.000118818035835743 0.00078437977136681 0.00306252033423729 0.00150101422176467 0.00175021980276819 0.00217528694044372 0.00128664897135334 0.000164813590729237 0.00108793067606184 0.00146611324449485 -0.000128640402447162 0.000704564045288842
"PMZS" 0.00191722229408081 0.00422538630957936 0.00249921462163324 0.00754952950795558 0.00298365694670412 0.0012056020433866 0.00371500522199682 0.00414198751688886 0.00134027215002809 0.00083616905365973 0.0016473668468151 0.00172922215112476 -0.000264551896834274 0.000345047849980585 0.00185286724651974 0.000731186787922972 0.000931310965354512 0.00172488550741674 0.00212040461896778 -0.000408941555990654 0.00203874621786841 -0.000263675685413186 0.000909716816085426 0.00163156352795531 0.00183572074183998 0.00348027405822401 0.00254187311740222 0.00142510493218765 0.00222424958555472 0.0014994691392156 0.0037143358941434 0.00245034388319736 0.000871875043744712 -0.000450054369406764 0.0014075800198639 0.00130762458792951 -0.00106469059567597 0.00197220519003233
"PMZI" 0.00136952187802805 0.00251819691509366 0.00202020874629815 0.00298365694670412 0.00356799838949178 0.00163263295406964 0.00259952460111364 0.000788982246594721 0.00224317588709145 0.00122669114039476 0.000900152859072608 0.00144854097068908 0.000603766550616086 0.000473616300173691 0.00120624251513527 0.00225913462444618 0.00171948784325759 0.00263247656611469 0.0029020836238785 0.000790053063461477 0.00184875295437855 0.00367954253504254 0.00207225856509768 0.00110737129647014 0.00180465583148172 0.00279638085248457 0.00185297871642141 0.00107984294384021 0.00212949342534782 0.00155859917674187 0.00150647540710818 0.00315066029234996 0.000711969331015214 -0.00162260266137329 0.00138098641289227 0.00201235727655417 -3.19877203008641e-05 0.000653882676031844
"PMMT" 0.00096406706733321 0.00117805974916989 0.0012224009583021 0.0012056020433866 0.00163263295406964 0.00191242478883204 0.00151575359574999 -0.00021678281485541 0.00103175470165302 0.000797888177118335 0.000353920954875823 0.000623156462509787 0.000389632680031118 0.000262708106313511 0.000633005279588355 0.00149794563698432 0.00109392598030792 0.00189290805511207 0.00197756393826995 0.000605582035155885 0.00117099104863472 0.00221257671632968 0.00214677128302233 0.00141331664400143 0.00121335654409037 0.000910165876990531 0.00122451879073388 0.000621876000168622 0.00162754299596209 0.000963427981196342 0.000897580908156142 0.00187428477353274 -0.000150008471880861 -0.000471706760769604 0.000334942487763192 0.00128176811633865 4.08169269399646e-05 7.00122503514446e-05
"NSLNA" 0.00319146613852694 0.000319921391859186 0.00332293122741822 0.00371500522199682 0.00259952460111364 0.00151575359574999 0.0261821598026562 -0.00587266428863726 0.000485164452304393 0.00113700808980465 -0.000879031986171678 0.00455687367921319 0.00207908888773329 -5.83861283686478e-05 0.00184112050494779 -0.00164630696312676 0.00055979535984185 0.00327857881819809 0.00282339235968247 0.00499837299465741 0.00391527657891922 0.00473145019317263 0.00498898779432385 0.00673518060954396 0.00474205500302601 0.00468250261648126 0.00115483650219992 0.00235210078914814 0.0040214617953499 0.00275143950640828 0.000379793989320689 0.00315788521354728 0.000639005313465237 -0.00556848925542321 -0.000277764320591223 0.00284102818408714 -0.00232592895315332 0.00166900491041021
"NSLZS" 0.000878106252011251 0.00166308049787546 0.000736407684078858 0.00414198751688886 0.000788982246594721 -0.00021678281485541 -0.00587266428863726 0.0136850008307303 0.00180014622988934 -0.000268091252678059 0.00340418621933796 5.36069149159818e-05 -0.00120037710120228 -2.83118478471272e-05 -0.000762422523047627 0.00268671821355097 0.00137268152051256 0.00100681431859674 0.0012210578004867 -0.00362088321242295 4.04896574715129e-05 -0.00724694382552114 -0.000876151007107716 -0.00200980805568888 -0.00168781522857196 0.00136306974324619 0.000834379816513636 0.00118696188375917 0.000122444543657808 -0.000423461578706094 0.00363941607719855 0.00242707940706948 0.000463392446547603 0.000300640590506865 0.000850282861227748 -5.90228777889575e-05 0.0015289452380533 0.00172836528079724
"NSLZI" 0.00118853206088772 0.00117937991058743 0.000849787499025252 0.00134027215002809 0.00224317588709145 0.00103175470165302 0.000485164452304393 0.00180014622988934 0.00291569340274459 0.00119694843015942 0.00150696539427843 0.000557656597148432 0.000415408185187823 0.000566946971912086 0.000716220533439518 0.00206450760262933 0.00161856651950406 0.00220067636542191 0.00308467147369318 0.000184084530004111 0.00109648047206795 0.00351055952240201 0.00158397212854487 0.000586873133591392 0.00165138899603849 0.0018703364962192 0.00118982564132432 0.00148985098112405 0.00142437999015457 0.000930258331721506 0.000760299597406051 0.00314436598872854 0.000219793083478763 -0.00276060504895613 0.00148502244109277 0.00130193576189443 0.00075610250440881 0.000189080594957876
"NABR" 8.38545759213617e-05 0.000165973823344907 0.000448247089229655 0.00083616905365973 0.00122669114039476 0.000797888177118335 0.00113700808980465 -0.000268091252678059 0.00119694843015942 0.00314640575212281 0.000487971056162675 0.000224565247446797 0.00231890319128466 0.00100479811382988 -0.000162248538774861 0.00134063282901936 0.000925568200806635 0.00111386033470938 0.00169957653719352 0.000231363272587597 0.000373237333595669 0.00204589254423294 0.000909919362818922 0.00148792674701261 0.00115515332270913 0.00102872003681803 0.00117244985423725 0.000502170890610113 0.00106725422897005 0.00102515635536528 0.00020079134829463 0.00202134311178723 0.000334013120267673 -0.0066334385281562 0.000690818131053162 0.00130223961646319 -0.000662713206903139 0.000255685987278337
