"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00489191630267138 0.00512626297069027 0.00382553441460581 0.00395395993204431 0.00247956238578861 0.00148045944438122 0.00265689541502877 0.00286491191782102 0.00210558738393498 0.00121207612805286 0.00111544123945918 0.00185697983963536 0.000304810620217436 0.001172328433541 0.00296369689983574 0.00137717960851647 0.00154854959694807 0.0021000647136489 0.00243884405050014 0.000983296069303605 0.00274154247099389 0.00260505895864937 0.00189816385206477 0.00314776820969194 0.00119759053584034 0.00318890388641843 0.00112793487817257 0.00265292420425977 0.00228545158631684 0.00271250766205213 0.00133183685491609 0.00159134709517825 0.00196860426167902 0.000753567131306585 0.00138129530554994 0.00123969284584909 0.00169178772177892 0.000952695907157063
"ISNSL" 0.00512626297069027 0.0114847682679157 0.00701487598616849 0.00834223305253374 0.00646184701358499 0.00360304471429848 0.00573698961850798 0.00424989490124875 0.00380024332189396 0.002047885572324 0.00268895103007132 0.00431685451182957 0.000416981412034652 0.00235240797016056 0.00510713217029777 0.00311989616679961 0.00264517957980487 0.00528113826905055 0.00575642818695422 0.00383719897114967 0.00566802823412776 0.00407633902641269 0.00314101148398009 0.00587276884633508 0.00387952315114592 0.00737270339873447 0.00249786531595286 0.00303542785361142 0.00342823352566578 0.00462383367324831 0.0039675456509699 0.0052694799801375 0.0029993027086114 0.000595102127018408 0.00303883093926702 0.00279611509337363 0.00328870215295025 0.001930413864184
"ISPNS" 0.00382553441460581 0.00701487598616849 0.00583031537064382 0.00617245465482082 0.00522650017538204 0.00309384707924221 0.00488635725303302 0.00397183467734717 0.0031640485274558 0.00183140408986892 0.00210297123660415 0.00352537130140941 9.95127023091696e-05 0.00173838810285558 0.00390582522641457 0.00293698668870454 0.00246354043512585 0.00485463168425459 0.00532064524604252 0.00266512906534826 0.00421948169796535 0.00319549474573873 0.00243860585098718 0.00474289901614145 0.00341163726676124 0.00592188691258172 0.00111835937186902 0.00208363654867833 0.0028402469095972 0.00361045224243282 0.00321567887491682 0.00404883984894067 0.00257628154777519 0.000533674721719268 0.00277323038096388 0.00265231528455239 0.00267761901504954 0.00164648857670778
"PMZS" 0.00395395993204431 0.00834223305253374 0.00617245465482082 0.00849227361968054 0.00596352895556598 0.00342779033694474 0.00668010255493557 0.00532556895643093 0.0034184417344663 0.00157486058477661 0.00246828786578056 0.00373792085407127 -0.000493369047009996 0.00168928411408516 0.0052360108208588 0.00290487552568095 0.00230343522158763 0.00486095734059918 0.00607963759686094 0.00224124941255096 0.00489797675837424 0.00371688954368208 0.00235430012634461 0.00578728776696927 0.00447219267152378 0.00680166913339441 0.00251719754298476 0.00263235317645184 0.00360668900743944 0.00381250878962312 0.00423744060977744 0.00475872305159836 0.00242203859380839 0.000856141466637316 0.00262608568714495 0.00260837278357064 0.00311636766110892 0.00224463157913554
"PMZI" 0.00247956238578861 0.00646184701358499 0.00522650017538204 0.00596352895556598 0.00655581412937291 0.00350338953526247 0.00465999575431277 0.0037855113680299 0.0035987656533534 0.00170355396209219 0.00224304972538693 0.00317229348307889 -0.00026811658701049 0.00181494970285107 0.00387343748457147 0.00334836491409288 0.00244897313282943 0.00514514554189072 0.00533148950412634 0.00330060102562056 0.00405011312279496 0.00305273816821161 0.00163273096918401 0.00363312883145814 0.00305513647262864 0.00600728559156343 0.00175130909333117 0.00141144995509276 0.00282911164578586 0.00340773717835766 0.00296908740047371 0.00417350229609581 0.00204492620227477 0.000742048637890178 0.00301897460412472 0.0026598697638003 0.00265002582904023 0.00170638101998604
"PMMT" 0.00148045944438122 0.00360304471429848 0.00309384707924221 0.00342779033694474 0.00350338953526247 0.0026582356149007 0.00263616329704464 0.00223362045489193 0.00197549003662427 0.00092486129637785 0.00129542550390361 0.00189539398782571 -0.000125581884962417 0.00101661613465755 0.00223781804905835 0.00196597417578946 0.0014212824528786 0.00290521648898468 0.00314583543470766 0.00179678969210776 0.0022913231587284 0.00176377250465215 0.00181184493817497 0.00244887047010394 0.00183648882502287 0.00283537981635124 0.00117847301345846 0.000811352207156533 0.00147662273869661 0.00183444633796365 0.00185854339636372 0.00252031140657944 0.00139552403265681 0.000397272925687699 0.00190330807857954 0.0014857232676451 0.00143104227094375 0.000926309735712443
"NSLNA" 0.00265689541502877 0.00573698961850798 0.00488635725303302 0.00668010255493557 0.00465999575431277 0.00263616329704464 0.00933743494227427 0.00524406659823768 0.00284941348930552 0.000998278984516175 0.00144872019336723 0.00341445119247416 -0.000249192942319592 0.000900546442239822 0.00348337636930437 0.00170774522271704 0.00141108033377459 0.0045971581584584 0.004288302147127 0.00221776362714179 0.0035718955427003 0.00217899357128391 0.000797870399938317 0.00520618394304855 0.0039604794224218 0.00547309136496063 0.00189008497317853 0.00131019177252783 0.00241743449180968 0.00256114466208038 0.00393715437958755 0.00352675151016816 0.00128289839057652 0.000657399259906114 0.00135836863626036 0.00276782152760852 0.00301699362948501 0.00245598648723327
"NSLZS" 0.00286491191782102 0.00424989490124875 0.00397183467734717 0.00532556895643093 0.0037855113680299 0.00223362045489193 0.00524406659823768 0.00726673944013674 0.00286506215154883 0.00112253559394057 0.00178880694044013 0.00221887684148736 -0.000111877323859868 0.00092545298218934 0.00364052513193174 0.00134762075344918 0.00122277667405316 0.00262735973963804 0.00292419579988662 -0.00244440100216498 0.00245507344453936 9.5592770083929e-05 0.000325517235631647 0.00456497279331542 0.0021118819705943 0.00454700935906885 0.00142657965998512 0.00182629358940313 0.00325452233781596 0.00248899271531468 0.00223281651840361 0.00244939391081234 0.000795159641076581 0.000907799113525682 0.00067737129443073 0.00133389014239581 0.00147821713096656 0.00178204698978654
"NSLZI" 0.00210558738393498 0.00380024332189396 0.0031640485274558 0.0034184417344663 0.0035987656533534 0.00197549003662427 0.00284941348930552 0.00286506215154883 0.00261775195429884 0.00109611258499674 0.00134673999000985 0.00179923914162989 -0.000133465269167223 0.00096227538244042 0.00237326047953814 0.00193681452482931 0.00158275657206894 0.00283927916805048 0.00291205509232027 0.00162563063109555 0.00226354823523881 0.00224997258661646 0.0011092613561042 0.00239032210395858 0.00158948240551611 0.00350608404551493 0.0011225321897818 0.00118289413765211 0.00143333616214988 0.00197572425800864 0.00130276219935016 0.00232496305473211 0.00111790249885431 0.000480026729237361 0.00151622661709077 0.00156921349050019 0.00156544518000335 0.000973961119851885
"NABR" 0.00121207612805286 0.002047885572324 0.00183140408986892 0.00157486058477661 0.00170355396209219 0.00092486129637785 0.000998278984516175 0.00112253559394057 0.00109611258499674 0.0018526035903879 0.000810564322369025 0.00114648009922735 0.000724512912494017 0.00109549330528599 0.000543496190476686 0.0012080249423083 0.0010611551144397 0.00212379377875127 0.00190194432333747 0.00191421485122695 0.00159742397484772 0.00112784396219986 0.000674237823825282 0.000863639344160798 0.00142555906196023 0.00200837231270595 0.000584202684251768 0.00055527626963524 0.000838322257914474 0.00120186632359937 0.00109430700943721 0.00128423241823894 0.000567953766091183 -0.000708580332893213 0.000870515328741134 0.00106946800495667 0.000410473822826607 0.000242410466186727
"NAFM" 0.00111544123945918 0.00268895103007132 0.00210297123660415 0.00246828786578056 0.00224304972538693 0.00129542550390361 0.00144872019336723 0.00178880694044013 0.00134673999000985 0.000810564322369025 0.00162557956437908 0.00159769854259815 -0.00013174599181435 0.000723900606941012 0.00114320241584788 0.0017553953035518 0.0013744486891615 0.00232181656937034 0.00263907288456189 0.00178357681347141 0.00167575763172495 0.00104540941604592 0.000716126268726533 0.00183167072252758 0.00138865327021611 0.00220647114663633 0.00136222783890147 0.000699872244864421 0.00112818203645593 0.00145757118167586 0.00127349921157571 0.0017580376649487 0.000866574539635472 0.000464173070775004 0.00101862697889714 0.00121007629234993 0.000878332479489105 0.000765001507886631
"NAPNS" 0.00185697983963536 0.00431685451182957 0.00352537130140941 0.00373792085407127 0.00317229348307889 0.00189539398782571 0.00341445119247416 0.00221887684148736 0.00179923914162989 0.00114648009922735 0.00159769854259815 0.00355677391657678 0.000410798045424278 0.00139426558908412 0.00198758080037961 0.00237795105491068 0.00205549760668383 0.00426435720269186 0.0038995252424718 0.00137073571763589 0.00304253981957303 0.00156295900939766 0.00173118233407304 0.00353525026107719 0.00259295486682241 0.00380240898186637 0.00129524884268205 0.000961709668968833 0.00183939924638005 0.0024138366779272 0.00267500879885047 0.00289247038699874 0.00126435776293249 0.000936383265916282 0.00144708329912144 0.00254066594793153 0.00234472972854052 0.00165261908063976
"BRPT" 0.000304810620217436 0.000416981412034652 9.95127023091696e-05 -0.000493369047009996 -0.00026811658701049 -0.000125581884962417 -0.000249192942319592 -0.000111877323859868 -0.000133465269167223 0.000724512912494017 -0.00013174599181435 0.000410798045424278 0.0020889692349 0.00094605406171578 -0.00227026307030235 -0.000570709911092229 -3.74557889607197e-05 0.000166843891043009 -0.00130227872372399 0.000288754494695116 0.000474671996051623 -0.000579502368850406 0.000343343480173451 -0.000265940454468528 -0.00036314406465461 0.000275897495781774 -0.00124396202242328 -6.72222170411872e-05 8.49449195385263e-05 0.000234638040113058 -0.000194261611556981 0.000140704499987509 -9.61348216053717e-05 -0.000463353933819645 0.000148907437718336 0.000257962474599619 0.000443593978016051 -0.000142412460890089
"BRAPET" 0.001172328433541 0.00235240797016056 0.00173838810285558 0.00168928411408516 0.00181494970285107 0.00101661613465755 0.000900546442239822 0.00092545298218934 0.00096227538244042 0.00109549330528599 0.000723900606941012 0.00139426558908412 0.00094605406171578 0.0016748268476978 0.0011884982986731 0.00145233732914056 0.00114009119265714 0.00189776782646966 0.00190257145357956 0.0011753513594619 0.00192889845614488 0.000843965463394966 0.000942853543284867 0.00119290906057127 0.00115312580939696 0.00221901580694675 0.000542562627463431 0.000692570922933315 0.000845911346110661 0.001449517504031 0.00105389296673103 0.0017642827186837 0.000977690481087177 0.000592918714745284 0.00133490975038527 0.00090607694451912 0.00127024248145414 0.000480117548279351
"PTFM" 0.00296369689983574 0.00510713217029777 0.00390582522641457 0.0052360108208588 0.00387343748457147 0.00223781804905835 0.00348337636930437 0.00364052513193174 0.00237326047953814 0.000543496190476686 0.00114320241584788 0.00198758080037961 -0.00227026307030235 0.0011884982986731 0.0125900274191652 0.00318439299595963 0.00103419537531576 -2.42326183223063e-05 0.00484425627965962 -0.00174611887284498 0.00301296199836751 0.00212909913815202 0.00123306281958488 0.00517714984131298 0.00175732042691857 0.00505850821947517 0.00299577040649907 0.0016565023888547 0.00218902429486858 0.00235772637740196 0.00177393254214226 0.00365318450650299 0.00209576237274164 0.00164293523735426 0.00140258795346864 -0.000999070187609966 0.00106590543122922 0.00179774654476163
"PTAPET" 0.00137717960851647 0.00311989616679961 0.00293698668870454 0.00290487552568095 0.00334836491409288 0.00196597417578946 0.00170774522271704 0.00134762075344918 0.00193681452482931 0.0012080249423083 0.0017553953035518 0.00237795105491068 -0.000570709911092229 0.00145233732914056 0.00318439299595963 0.00429636600857233 0.00298754937105595 0.00458647593093681 0.00562934374999166 0.00279325814310771 0.00281420882483767 0.00225576239942905 0.00127510514575768 0.00261032059493655 0.00231137693247806 0.00366602971530438 0.00197160808299256 0.000939757520041848 0.0015022281250694 0.00228897007809987 0.00182599186239677 0.00358728497667593 0.00186106212754354 0.00164716982031223 0.00194166824691039 0.00225938714002533 0.00134898940630311 0.00137734345626496
"PTBA" 0.00154854959694807 0.00264517957980487 0.00246354043512585 0.00230343522158763 0.00244897313282943 0.0014212824528786 0.00141108033377459 0.00122277667405316 0.00158275657206894 0.0010611551144397 0.0013744486891615 0.00205549760668383 -3.74557889607197e-05 0.00114009119265714 0.00103419537531576 0.00298754937105595 0.00288922397430089 0.00434664221980132 0.00401192818690044 0.00237959959809328 0.00241430456278815 0.00185204157353202 0.00126856976565416 0.00208383816534024 0.00179297175359503 0.00308622667333246 0.0015723088536617 0.00193360726900119 0.00112640612786379 0.00223643099114337 0.00169950688967175 0.00237006757987073 0.00133574899898482 0.00152835298754035 0.00118059142710656 0.00252417433906997 0.00162709978729331 0.00084139062500758
"PTEAM" 0.0021000647136489 0.00528113826905055 0.00485463168425459 0.00486095734059918 0.00514514554189072 0.00290521648898468 0.0045971581584584 0.00262735973963804 0.00283927916805048 0.00212379377875127 0.00232181656937034 0.00426435720269186 0.000166843891043009 0.00189776782646966 -2.42326183223063e-05 0.00458647593093681 0.00434664221980132 0.00996746851056219 0.00754379918338575 0.00450208279452168 0.0043605931934328 0.00283497875841928 0.00215923524497435 0.00389886388557867 0.00459690779610348 0.00574895677642234 0.00234294133026789 0.00160352120555301 0.00294463779253187 0.00391266672390083 0.00497688205232447 0.00452838073538232 0.00217625283614509 0.00203216760385266 0.00249256002628141 0.00570263606649045 0.00305657933975188 0.00242152194828658
