"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00777291269221271 0.00601829085096919 0.00443145547948918 0.00435767847057776 0.00188416109835707 8.4046550642049e-05 0.00399898714758806 0.00483229549413527 0.00187769180589475 0.0012590068569256 0.000801379768350109 0.00254933973980774 0.000882803728503674 0.00129164535611171 0.00212033782305578 0.000709737229829191 0.00107442573866268 0.000994069262328138 0.000536064543085291 0.000195722060424374 0.00248841932867561 0.0017596379333896 0.0027522959928155 0.00430576968387671 0.00231227537828436 0.00475833289160788 0.00100178189886217 0.00159173253339304 0.00161929138386802 0.00168649537281965 -0.00162188708640932 0.00085527798296698 0.000662815883625906 0.00313161286431574 0.00118539516864225 0.00226524654880178 0.00065239557119951 0.000718248345509409
"ISNSL" 0.00601829085096919 0.00995420542042961 0.00616324193521136 0.00792015729589357 0.00447380061741653 0.00112989616874971 0.00391822358053639 0.00491826581620922 0.00270164966124457 0.00241751888635183 0.00174637047614683 0.00415598414076954 0.00181189299875487 0.00271835534229188 0.00329711466429923 0.00136082227620271 0.00157694266696758 0.0014261576283678 0.00218158978044954 0.00225218146022768 0.00493415835726791 0.00340800234594049 0.00408693304503206 0.00568577517985593 0.00412538693555688 0.00778573249189783 0.00346964982632673 0.0021368654826618 0.0012206155592091 0.00213494889835209 0.000806336015640803 0.00208803579039263 0.00169729676592425 0.00537862637891786 0.00233363398083742 0.00365498136301576 0.00170536330374859 0.00170346658858574
"ISPNS" 0.00443145547948918 0.00616324193521136 0.00513954437229309 0.00551580096353539 0.00321619364078149 0.000872280022810193 0.00378209042404966 0.0043739348299075 0.00196136215918835 0.00130112337776182 0.00130277712663988 0.00282312237836251 0.00101983943443915 0.00183081602760699 0.00316276860403736 0.000446995817667912 0.000695731268649927 6.4054134865996e-05 0.000672993417645824 0.00118908534320263 0.00314500040077028 0.00200825234307489 0.0027999114066451 0.00379605050504267 0.00279428285469152 0.00614731563522461 0.000104970176711681 0.00167375062566209 0.000368424243475871 0.0014908119167179 0.000764405657362144 0.000901139008277755 0.000732691741629768 0.00233078924913916 0.00191474573005848 0.00155098887806754 0.000836943074855223 0.000939196052399883
"PMZS" 0.00435767847057776 0.00792015729589357 0.00551580096353539 0.00888250156544287 0.00514660664352169 0.00175018888669186 0.00685601730882716 0.00547388687487367 0.00276330992677888 0.00200562669779133 0.00141632015143843 0.00355451581357141 0.00181080642780808 0.00254611303504708 0.00291760704686962 0.000508910208328976 0.000904048497313453 0.000514960317354165 0.00144813436395395 0.00329200097524544 0.00449940727271268 0.00486946831557561 0.00269506500058968 0.00421780041252127 0.00296865218613471 0.0068239721137093 0.00348273621919334 0.00213524678299855 0.00102864916564347 0.00215577143602242 0.00288369153166765 0.00171467954455288 0.00167810533882239 0.00226400055341097 0.00339879924448643 0.00232921709773346 0.00200783248121921 0.00143817700942391
"PMZI" 0.00188416109835707 0.00447380061741653 0.00321619364078149 0.00514660664352169 0.00425963517299075 0.00159847292263989 0.00343667575222743 0.00291915953298066 0.00255477196115688 0.00138387235190296 0.00131838857335882 0.00212876593055365 0.00114610194291969 0.00166613438427703 0.00184632026242689 0.000428730939108988 0.000490721070635877 0.000378768323150949 0.00139195401057001 0.00222741019421695 0.00269975508987256 0.00353261364042726 0.00177143298190222 0.00186397669962751 0.00170648368035996 0.00446088233402629 0.00266205476292203 0.00107920440576723 0.000310724571654769 0.00118032042498999 0.00256232606575288 0.00122515749942525 0.00130031336668793 0.00142017693598724 0.00242661121332211 0.00177244811319465 0.00151616655261751 0.000901649469310119
"PMMT" 8.4046550642049e-05 0.00112989616874971 0.000872280022810193 0.00175018888669186 0.00159847292263989 0.00205365908258945 0.00112111180959511 0.000834312455341238 0.00101314346089262 0.000854369024719309 0.000632475874461862 0.000527158262839354 0.000598474825426375 0.000638241598525384 0.000483220161196295 0.000594123308107837 0.000457196471790684 0.00039211702952822 0.000689000364490575 0.00108069095023921 0.000510771360658906 0.0015379146846622 0.00148921124004411 0.00061772882829543 0.000934292919850927 -0.000177023351000648 0.000998309557502886 0.000891745297110788 0.000373457470373666 0.000861621268462047 0.00251424746000167 0.000699796270738509 0.00061640017239373 -0.000965156905484794 0.000993199645643603 0.000509948661251841 0.000577679703615221 0.000321096897183828
"NSLNA" 0.00399898714758806 0.00391822358053639 0.00378209042404966 0.00685601730882716 0.00343667575222743 0.00112111180959511 0.0151599137246848 0.00777143324368726 0.00205101561902285 -0.00166198951747698 0.000650346753637319 0.00272914321001385 0.000511678162360368 0.000173376306489986 -0.000269788811246645 -0.0015132011894189 -0.000314544104979153 -0.00202949907947663 -0.00201440012511779 0.00284838330948164 0.00172171291657712 0.00320629718117412 -0.00119334967614538 0.000843542455358941 0.000339745031796564 0.00295724447558964 0.000874221938873355 0.00297617341674515 0.00182788581220956 0.00154983661035789 0.00184047702899772 -0.000272121249440619 -0.00120833851160601 -0.00310870331030742 0.00243637982304256 -0.00080817337822758 4.36418778509067e-06 -0.000993840247478639
"NSLZS" 0.00483229549413527 0.00491826581620922 0.0043739348299075 0.00547388687487367 0.00291915953298066 0.000834312455341238 0.00777143324368726 0.00836748518931743 0.00277272527678283 0.000178702172632263 0.0011019113054853 0.00215755175290131 0.00104744960556607 0.0011154642733809 0.00074602151421112 -7.2330774596708e-05 0.000605915833790569 -0.000302235619274115 -0.000170177685075751 -5.96577360431662e-06 0.0030221203970156 0.000986264935983348 0.00184849827945227 0.00268256320466575 0.00110236979165003 0.00531318380630593 0.000883995381115859 0.00194345329981344 0.000986627760008204 0.00185381356453403 0.00108051357580833 0.000782844455102546 0.000518736943823375 0.00100745547777499 0.002850343120227 0.00169465192052452 0.00158503469387634 0.000657988217544731
"NSLZI" 0.00187769180589475 0.00270164966124457 0.00196136215918835 0.00276330992677888 0.00255477196115688 0.00101314346089262 0.00205101561902285 0.00277272527678283 0.00244049065745715 0.00117577192220753 0.00104396609375852 0.00143353373627792 0.00130939695012523 0.00128335080086293 0.000546791827477221 0.000398648366846488 0.00050337484522743 0.000631975079651313 0.00107216896621257 0.000426768238902311 0.00170716911511372 0.00238224541513054 0.00186677222644483 0.000946811024464945 0.000991159745134656 0.00309748140542688 0.00127810345672375 0.000724288643111405 0.000298028166655454 0.000951822600836905 0.00129930885161954 0.00130924612630795 0.000913994089401211 0.00107645004536489 0.00182170384876453 0.00175627135279723 0.00128533652873792 0.000358912761635718
"NABR" 0.0012590068569256 0.00241751888635183 0.00130112337776182 0.00200562669779133 0.00138387235190296 0.000854369024719309 -0.00166198951747698 0.000178702172632263 0.00117577192220753 0.00340471060606252 0.000643300533657062 0.000984513393251983 0.00161070803857435 0.00186240555995978 0.00227320743536771 0.00181665812905729 0.0012876074459088 0.0026532228615449 0.00265141194166149 0.000663432973283986 0.002008813105673 0.00237083366326839 0.00219796045402151 0.00221533947490873 0.00148873125822614 0.00314871332611909 0.00162545123444168 0.000195475507970246 0.000294559442678767 0.000941978819783376 0.00119960870222494 0.00204414254442969 0.00158300681154031 0.00147247885692567 0.00149366026677747 0.00224278160155123 0.00163912838463084 0.00122240514549745
