"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00954759955457408 0.00657733599313567 0.00627599047119599 0.00651660385273748 0.00452986225359709 0.00327237510644856 0.00616024989470081 0.00606169727550457 0.00374535130566736 0.00205797519912096 0.00215393547129884 0.00387961810657878 0.000578471702286417 0.00133178966394991 0.00532903819235042 0.00128619832593222 0.00144686090648825 0.00282953627880343 0.00461242278018529 -2.29765756624181e-05 0.00443096548787748 0.00407314815989307 0.00194584281869132 0.00396367255970965 0.00367513972712152 0.00520885027230843 0.00411520313254411 0.00300062672588328 0.00254936390626837 0.00319239254193698 0.00455228182235861 0.0040473485760609 0.00194087761592901 -0.00250097521296131 0.000387758679056521 0.000380468475622421 0.00146521449602363 -0.000172632851340379
"ISNSL" 0.00657733599313567 0.0105370996018174 0.00634035162014583 0.00864689523793653 0.0053833891615517 0.00305116003411718 0.00590795383792443 0.0051398487806706 0.00392417433099482 0.00235350436974555 0.00279735939273773 0.00534161507927579 0.00108255064467402 0.00241380976190333 0.00724403835346034 0.00291356090889748 0.0024405577243696 0.002796821318652 0.00550063627448072 0.00172991182058536 0.00609002383591483 0.00456003440454079 0.00250640780911415 0.0057951801242965 0.00703514615019716 0.00849755773501391 0.00596905375260678 0.00248756381428035 0.00176766644899349 0.00375571572865668 0.00578812789722136 0.00506577387077541 0.00102659661796154 0.00169058879269116 0.00115957927572129 0.00159793191609363 0.00204332992211858 0.0018516896854669
"ISPNS" 0.00627599047119599 0.00634035162014583 0.00598417700920946 0.00651649733634226 0.00447099194071045 0.00298076931583602 0.00546391144876005 0.0056933285261047 0.00352561227933794 0.00186122952076591 0.00256966478468699 0.00369560684738895 0.000329059643602651 0.00177209654274862 0.00543701629580886 0.00206359740324431 0.00195005426561255 0.00267425456223113 0.0049759975010933 0.000586094792298798 0.00424887844575713 0.00349042267566881 0.00192613140487275 0.00442574560769722 0.00460102814945807 0.00640743414643394 0.00328596995797288 0.00274816972163917 0.0016709113107632 0.00308492314085525 0.00476409012836637 0.0042062074362904 0.0013455873959119 0.00034969813444263 0.000631312699287159 0.000993085404204545 0.00160005929324836 0.000458235932657805
"PMZS" 0.00651660385273748 0.00864689523793653 0.00651649733634226 0.0100855097891905 0.00579531697439285 0.00312801760130161 0.00801120298569334 0.00691206901346489 0.00376841345849915 0.00235763218976898 0.00304436641586959 0.00438376882959729 0.000450755996581127 0.00196416099282977 0.00737453587178818 0.00241646647185255 0.0024235886146508 0.00299989233513461 0.00575074660952089 0.000468613315613134 0.00574394305528913 0.00487843398664191 0.00260991357233978 0.00621180337910009 0.00654218392760958 0.00891007176993048 0.00593643129939173 0.00317480320550604 0.0024219901310935 0.00380558479233458 0.0058771631880514 0.00548770273073172 0.000991578251211988 0.000238093822219721 0.00106464906864824 0.000656018531650395 0.00221788875555146 0.00126792277725413
"PMZI" 0.00452986225359709 0.0053833891615517 0.00447099194071045 0.00579531697439285 0.00455219149522851 0.0025276157244903 0.0043547829239789 0.00483430015600663 0.00336301804372606 0.00158160198019637 0.00226527170240449 0.00313756015516955 0.000200183248540031 0.00142531669209312 0.00433139915225215 0.00149895488064047 0.00166262075964109 0.00228087980678071 0.00420393609703009 0.000677643177645328 0.00396453286949333 0.00307937855401327 0.00147509640787029 0.00334866667335439 0.0039146149002874 0.0055202604604771 0.00402540120485666 0.00253197905648824 0.00182622653425139 0.0026303521943218 0.00353339167818805 0.00405366276497072 0.00134779390144039 1.47957784446199e-05 0.000741380969896422 0.000593399956022556 0.00144228648010058 0.000729656776454468
"PMMT" 0.00327237510644856 0.00305116003411718 0.00298076931583602 0.00312801760130161 0.0025276157244903 0.00253225515363207 0.00211215481203178 0.00281990597640496 0.00199824211532093 0.000836003273046363 0.00195740373156455 0.00201749026902314 0.000246426098295653 0.00125866089326045 0.00309624782513912 0.00112601111385371 0.00130970555725204 0.00150906888093428 0.0027394195010975 0.000365900104228453 0.00222729402121168 0.00189122162819281 0.00244855678716704 0.0020767240250526 0.00187115754925441 0.00206804660610926 0.00208393623023735 0.00209265042294985 0.00113943234978786 0.00200734435623215 0.00264145047576409 0.00232857656261971 0.000868188568714179 0.000814531424554499 0.000568596383547669 0.000549884392944127 0.00100669176490482 0.000639596948146986
"NSLNA" 0.00616024989470081 0.00590795383792443 0.00546391144876005 0.00801120298569334 0.0043547829239789 0.00211215481203178 0.0126676734212485 0.00605044090211881 0.0032723419937879 0.000580883212622998 0.0014581087973146 0.00382051233940721 -0.000279572479768238 0.000578085476393147 0.00551647758219751 0.001459048792574 0.00152199440068965 0.00200593274391886 0.00377301910022212 0.002368460095284 0.00448263348651932 0.0047626015871494 0.000499074936117447 0.00487497918993134 0.00548986804273469 0.00797864577302805 0.00385989386739097 0.00315057381952704 0.00336971133529641 0.00243524561159416 0.00453287985295295 0.00416016164631024 0.00128002466423473 -0.00123927619852694 -0.000792988360582445 5.81649863122047e-05 0.000243740273735091 0.000671681070638465
"NSLZS" 0.00606169727550457 0.0051398487806706 0.0056933285261047 0.00691206901346489 0.00483430015600663 0.00281990597640496 0.00605044090211881 0.00904057345888308 0.00454153585986984 0.00167559496532482 0.00339660869073173 0.00342609653922951 9.3726729419579e-05 0.00146604854044052 0.0039419209402124 0.00140065514539035 0.00198449191608915 0.00320321582494242 0.00519685310736532 -0.00268938741259835 0.00326751740009925 0.00237070271343955 0.00158548604714441 0.00400449755226952 0.00385240176586387 0.00544153505521592 0.00301071187224218 0.00317236966278472 0.00146020213528387 0.00325917734937238 0.00371650978425914 0.00448439942509729 0.00173402552267648 -0.00080627819965893 0.00115033073704819 0.000664587219260107 0.00190843767826226 6.45081891092045e-05
"NSLZI" 0.00374535130566736 0.00392417433099482 0.00352561227933794 0.00376841345849915 0.00336301804372606 0.00199824211532093 0.0032723419937879 0.00454153585986984 0.00357279559968018 0.000841255540799735 0.00215932047055879 0.00264614917163691 4.29067729984311e-05 0.00113316991784852 0.002828235179726 0.0010176036754311 0.00130608383963835 0.0020610832592358 0.00355399972651742 -2.41305336140228e-05 0.00278616416988822 0.00285291046436185 0.000856803484367802 0.00258350502277019 0.00309322109106861 0.00408116461773791 0.00239166633023632 0.00223543491615211 0.00107875298407501 0.00219499714785278 0.00223391941161506 0.00291287852003404 0.00127852287216849 0.000592179191984174 0.00028672832514492 0.000780871377336716 0.000843141954459574 0.000821069425033073
"NABR" 0.00205797519912096 0.00235350436974555 0.00186122952076591 0.00235763218976898 0.00158160198019637 0.000836003273046363 0.000580883212622998 0.00167559496532482 0.000841255540799735 0.00191969721001529 0.000854284547673549 0.00118057422043224 0.000912899224676975 0.00102146202471734 0.00217166480453483 0.000563472223928702 0.000708595720211326 0.000733701484666401 0.0015787767962357 -2.02987821998823e-05 0.0016887364118232 0.000724558123332585 0.00112768993323628 0.00122778063955121 0.00189748159980363 0.00218886800407255 0.00220892549423928 0.000940280792588483 0.000234722177239899 0.0011623011049428 0.00182143725626698 0.00154022352374034 0.000962492441012688 -0.000561869590708115 0.000704593603993708 5.37468741929871e-05 0.000660592415190345 0.000337729212182803
