"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00869927260857671 0.00742955733388514 0.00719861834579026 0.00674600212189165 0.00518831443672791 0.00450502995174823 0.00553203782891242 0.00667546919365612 0.00450152953054322 0.00348792656304041 0.00400718264462279 0.00492809988893215 0.0026066382832589 0.00333031094668685 0.00655757784330133 0.00317808338020164 0.00293592586115858 0.00374040428364319 0.00484981174893346 0.00245600648452444 0.00551964008161786 0.00422914477916814 0.00473841335101852 0.00498635897500503 0.00392006535994656 0.00632499850198847 0.00446113701330028 0.00362836668548504 0.00350873693836563 0.00445881326772649 0.00461463649381743 0.00432239445376947 0.00385007796153437 0.00245545716905177 0.00385453259785179 0.00314761429046874 0.00446840008404167 0.00132667101881386
"ISNSL" 0.00742955733388514 0.0158914672317523 0.0107995936240364 0.0135471507874736 0.00988038756220682 0.00713994899541627 0.00683465110677029 0.00721791388035903 0.00640963113183935 0.00485022871103165 0.00546234801299392 0.00757749823509004 0.00282204690919337 0.00471801705001521 0.00974589442438798 0.00557717140449251 0.0046970142716479 0.00637382517577052 0.00850387995247486 0.00376745569856787 0.00881627920487716 0.00820032738786911 0.00781645721198034 0.00732881033922713 0.00783560075592643 0.0113108802103593 0.00589798033406964 0.00533632675523873 0.00624685238081656 0.00563698301638487 0.0083082291268191 0.00800561714144156 0.00537202791094514 0.00517838340299102 0.00547609205128146 0.00505672761452926 0.00609998537931339 0.00163425828803804
"ISPNS" 0.00719861834579026 0.0107995936240364 0.00999367579392167 0.0118382230088168 0.00901424145118021 0.00697588356346139 0.00807150360379453 0.0085625831954853 0.00634466776954669 0.00482303474079734 0.005261440208033 0.00749193736171663 0.00286906887858317 0.00469979801784886 0.00958539271673814 0.00501753570406154 0.00455736267836815 0.00573528222078415 0.00783765746071867 0.00368433706886927 0.00809635046513928 0.00764188695204498 0.00689546823743203 0.00763807615530542 0.00724710224704073 0.0100214816986777 0.00600727794576488 0.00564983935238283 0.00547119204246063 0.00586693844679466 0.00733654788651387 0.00711118311502635 0.00559825035721281 0.00438518572312834 0.00555545796514874 0.00461690854184466 0.00639225634931817 0.00201617503417842
"PMZS" 0.00674600212189165 0.0135471507874736 0.0118382230088168 0.0189454129393554 0.0123892324169192 0.00898832128250407 0.0147893938906009 0.0124537994262134 0.00817189995564766 0.00598654030926267 0.00589900630411813 0.00931892903217306 0.00274599211809368 0.00565012276813519 0.0112189112248016 0.00615098808721169 0.00569150932284926 0.00785392058536166 0.0108804748205991 0.00537066699713873 0.0111069988557219 0.0119106025965046 0.00982198967544734 0.0100104907511641 0.010694063091538 0.0130577633131193 0.00851217374439154 0.00752425504033359 0.0081595988731156 0.00723926202889255 0.0095707358344631 0.0102541343546777 0.00655168844645257 0.00630300337312829 0.00670697266184221 0.00602201797737536 0.00819858151126398 0.00216102538926512
"PMZI" 0.00518831443672791 0.00988038756220682 0.00901424145118021 0.0123892324169192 0.0113433989896109 0.00716407731733256 0.00855122254125673 0.00938538715874563 0.00783836359975686 0.00454098592849002 0.00537307125716712 0.00696129629301834 0.0025777656279283 0.00440239232777797 0.00866020037102684 0.00423518885279422 0.00392303011691049 0.00557249101423613 0.00773255555602057 0.00336568314375908 0.00761545728926805 0.00865297731152571 0.00662105421015484 0.00577754033576219 0.00672635672442513 0.00947378715198278 0.00735540487584132 0.0051129832317821 0.00634347453031791 0.00531264525131214 0.0060057243897664 0.00694160836300687 0.00502667978483164 0.00500558430691083 0.00501930284356668 0.00461031122752643 0.00626542436049067 0.00255819495544642
"PMMT" 0.00450502995174823 0.00713994899541627 0.00697588356346139 0.00898832128250407 0.00716407731733256 0.00693331372028913 0.00592634317247958 0.00694222365359747 0.00523799543777166 0.00338543792125702 0.00443276168025609 0.00574499287370281 0.00204798231399422 0.0037179888958593 0.00636563095934824 0.00400670228644425 0.00378054849334563 0.00500300700499707 0.00636749255804822 0.00249125144332575 0.00558755253621687 0.00628906773309701 0.00632062510860662 0.00631306514165521 0.00579492530312319 0.00583904647363921 0.00595598106430749 0.00429263251483307 0.00419887978806977 0.00460318474203152 0.00552075310125606 0.0056774871182349 0.00417442975469916 0.00402125037155813 0.00433112372032344 0.00413631472501666 0.00523858165206746 0.00244015850002672
"NSLNA" 0.00553203782891242 0.00683465110677029 0.00807150360379453 0.0147893938906009 0.00855122254125673 0.00592634317247958 0.0239662030758722 0.0130536999906329 0.00684991504558442 0.00306455756136703 0.00351332095554818 0.00831125644914662 0.00189978191255435 0.00315965845667486 0.00696734085364135 0.0030832597982788 0.00346273547147632 0.00555185726943964 0.00753544014046174 0.00771765958110544 0.0100370727237907 0.00926094610217137 0.00940030405809282 0.00759409228850084 0.00847924036362777 0.00928858912328677 0.00704575460477006 0.00551179106058001 0.00608338424125454 0.00500801924822238 0.0061374796514525 0.007354827589969 0.0039293521367132 0.00291341055463482 0.00377646974458088 0.00395946839051051 0.00566542670672759 0.000939388707094974
"NSLZS" 0.00667546919365612 0.00721791388035903 0.0085625831954853 0.0124537994262134 0.00938538715874563 0.00694222365359747 0.0130536999906329 0.0148005284817469 0.00799750520112534 0.00474225981737574 0.00545815392953619 0.0070381633399647 0.00303422242790154 0.00421819703662846 0.0070993267841341 0.00353067071766513 0.00375825901115119 0.00574117606818231 0.00746742654194448 0.00266087598023147 0.00773332176405187 0.00653431390877227 0.00608992605754738 0.00717092944505504 0.00728968673510539 0.00814948524401722 0.00763114633032554 0.00553906831853374 0.00660127561241724 0.00577489111789493 0.00573066715781669 0.00646098126346455 0.00521283897761892 0.00408360171336693 0.00418385153329441 0.00470313534090121 0.00644164438141324 0.00310824704126967
"NSLZI" 0.00450152953054322 0.00640963113183935 0.00634466776954669 0.00817189995564766 0.00783836359975686 0.00523799543777166 0.00684991504558442 0.00799750520112534 0.00671681122936321 0.00361095554316257 0.00451703440270042 0.00523127729465894 0.00243740966533987 0.00340144344932152 0.00580265057342745 0.00307181242043826 0.00311322293277196 0.00428787678938427 0.00594699863619262 0.00252075217308866 0.00544460873922067 0.00666549634764294 0.00524715728872611 0.00387025633282546 0.00507916184688354 0.00632406058062614 0.00505732561241505 0.00415964419181879 0.00477428857933318 0.00417430886793659 0.00396939139427925 0.00514475353895103 0.0038795334463767 0.00349942286808775 0.00388386148783849 0.00357873840430121 0.00466144525675651 0.00166949035255153
"NABR" 0.00348792656304041 0.00485022871103165 0.00482303474079734 0.00598654030926267 0.00454098592849002 0.00338543792125702 0.00306455756136703 0.00474225981737574 0.00361095554316257 0.00507863692204958 0.0030308365244111 0.00389701248982683 0.00310222442203647 0.00330986046988116 0.00541609934334782 0.0033022237699052 0.00301454033517026 0.00371658780671266 0.00456391644548812 0.00201748049815193 0.00452088783839785 0.0046789917579082 0.00389835954333845 0.00334671586715704 0.00408585007304255 0.00505257737437918 0.00313172939587592 0.0035346813806736 0.00352459022364407 0.00316570630850337 0.0044717913770782 0.00410476810099047 0.00342079198353748 0.00108122078723004 0.00350577505034649 0.00299260599304926 0.00390863496519962 0.00115795664951072
