"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00993031918566654 0.00666655441680631 0.00607827061942885 0.00247943249923318 0.00173199425297699 0.00119685301010581 0.00104153812094862 0.00164810931362597 0.00154484425330989 -0.000928168747579773 0.00186129540147697 0.00261881245521765 -5.33045743284652e-05 0.0013390019783336 0.00291081848968921 0.00183890692418708 0.00171937958966724 0.00101557254331948 0.00196808382249383 -0.000113796180717005 0.00110937917997458 0.00138276516750184 0.00184384550857008 0.00444238831180714 0.00242636567890429 0.00316123039187536 0.000614606549218148 0.00243280519072557 0.00141979882547988 0.00223298280890807 0.00139936562984941 0.00233205119697275 0.00377629865563532 0.00106085164746656 0.00360640894821897 0.000428603158793016 0.000251815372403491 0.000134856737041338
"ISNSL" 0.00666655441680631 0.01758135967684 0.00845462629166409 0.0088940124895387 0.00571090968865975 0.00337049905833323 0.00520892689932558 0.00237040773327468 0.00319064945632545 0.000426187417102787 0.00379363789778584 0.00299866972851259 -0.00138963858509084 0.00205520857540181 0.00390058484759424 0.00605291995562438 0.00567098878446036 0.00724905693225503 0.00930334443408932 0.00186215171378303 0.00429319832715238 0.00452249093769513 0.00824139890430442 0.00708568616317715 0.0106877046560441 0.0101443358331501 0.00728254769444414 0.00509473914332035 0.00292376012566624 0.00568316590067171 0.00793179298531917 0.00744009624696564 0.000409113260082112 0.00112860237952549 0.00280003465910995 0.00457942087812292 0.00200696788659109 0.00146908533451174
"ISPNS" 0.00607827061942885 0.00845462629166409 0.00659009442289542 0.00472182120825524 0.00380065062470698 0.00261723530664374 0.00378753742078382 0.00168232915160444 0.00253963577731742 0.000276494450178886 0.00294766295575234 0.00383782468416308 -7.29011626760202e-05 0.0019788279486767 0.00474795109420617 0.00380340515270383 0.0038266816895685 0.00361618565727426 0.00458244306653203 0.00245342797011036 0.00347253866253146 0.00342623948300358 0.00494673708786263 0.00559356613595806 0.00533479199211908 0.00624993552281445 0.00368302538193121 0.00423466761684125 0.00352797480608039 0.00391893773110503 0.00519905120829305 0.00392846820170448 0.00161849171084307 0.00132460194154689 0.00294519266269711 0.00268226540661337 0.00210798365376841 0.000867598630520617
"PMZS" 0.00247943249923318 0.0088940124895387 0.00472182120825524 0.00933994604105414 0.00633593332703636 0.00290435228456009 0.0103052893591513 0.00435708218117362 0.00363214781256037 0.000714433118854213 0.00172336226528456 0.00415171450274021 -0.000985510232845328 0.00153221334121795 0.0053063249712797 0.00412713917976005 0.00411602314530764 0.00584008263881825 0.00657115152451187 0.00257110198246751 0.0059329367120302 0.00518856033772362 0.00666593488212812 0.00508740764168337 0.00743518008006607 0.00786728008712669 0.00914736182893435 0.00405044684388012 0.00455337382252216 0.00461138197694426 0.00665277357839676 0.00539280625930001 -0.00129097320320588 0.00180060614590833 0.0005938796293304 0.00407433995563172 0.0027015205376362 0.000854799972851469
"PMZI" 0.00173199425297699 0.00571090968865975 0.00380065062470698 0.00633593332703636 0.00620147292643355 0.00269140016309966 0.00649168048775947 0.00377665260416693 0.00442220445271232 0.000754731622243964 0.0020924717784983 0.00392472986239076 -0.000331271508629648 0.00172174753151028 0.00534106076954575 0.00291871327844385 0.00365729499450729 0.00425186951063051 0.00421126462565813 0.0020429273142137 0.00525297612210996 0.00492763472399523 0.00674181021232403 0.0017736706886239 0.00511692958138134 0.00631657960082279 0.00685126431691726 0.00450348006428962 0.0043283215717041 0.00389032378646268 0.00589011987843851 0.00345939377761599 -0.00130751638449669 0.00251332081230266 0.00100484596078756 0.00335661853632093 0.00300326122443906 0.000297557025268326
"PMMT" 0.00119685301010581 0.00337049905833323 0.00261723530664374 0.00290435228456009 0.00269140016309966 0.00252598670338345 0.00313564136507538 0.00131871843861787 0.00182474614116558 0.000658327801556027 0.00152208219736272 0.00241708244371234 0.00033498531305845 0.00122528953004719 0.00280284985257064 0.00208570241872989 0.00227031707578054 0.00230010793448243 0.00186270672985348 0.00181811613848265 0.00248471272585477 0.00250084345527794 0.00419731999133343 0.00263738551826977 0.00265602730256885 0.0020777442507377 0.00282715033350464 0.00272480122421034 0.00202476442127784 0.0025614162770954 0.00371538117813983 0.00142837910811631 -2.62273971059342e-05 0.00135109774024671 0.00107717526792231 0.00222004323353453 0.00202845318038316 0.00080476254934473
"NSLNA" 0.00104153812094862 0.00520892689932558 0.00378753742078382 0.0103052893591513 0.00649168048775947 0.00313564136507538 0.0214591276547995 0.00633267076704103 0.00444372210261802 -0.000905866312276378 0.00014333033864192 0.0065162505303928 -0.00164566099851809 -4.38440750259796e-05 0.00577980936542801 0.00377420915378437 0.00383015789884062 0.00692118688745333 0.00673472778280689 0.00522936600673857 0.00784323391002444 0.00636633419726083 0.00699924458467661 0.00453594506716277 0.00843353657795423 0.00746712370231075 0.00981141494813062 0.00327454165442439 0.00728582113622528 0.00407317798746353 0.00787210362162722 0.0063508734621399 -0.00176180789471149 0.00136484481856055 -0.000761564382383901 0.0047324884452169 0.00295939800242703 0.00108931299511535
"NSLZS" 0.00164810931362597 0.00237040773327468 0.00168232915160444 0.00435708218117362 0.00377665260416693 0.00131871843861787 0.00633267076704103 0.00754844767916844 0.00401498485144573 6.77449417871425e-05 0.00174699677511723 0.00340226497085049 -0.0007136813317284 0.00086007670076587 0.00193125449527361 0.00242686080532388 0.00290827520559726 0.00372774388791897 0.0035382646244753 -0.00166926032387902 0.00392600612004696 0.00101314664384706 0.00403940374139623 0.00107584992419656 0.00346606789750469 0.00320331820931766 0.00466142931244494 0.00314716423021879 0.00281606887013441 0.00300863595033708 0.00148206647155771 0.002433340083445 -0.000851615488868421 0.00113434987969627 -9.72938985659777e-05 0.00250071261329618 0.00253702272878191 0.000344406700185938
"NSLZI" 0.00154484425330989 0.00319064945632545 0.00253963577731742 0.00363214781256037 0.00442220445271232 0.00182474614116558 0.00444372210261802 0.00401498485144573 0.00466463514286921 0.000739030144554015 0.00195100308063985 0.0032809951171392 -0.000422718408297591 0.00123459880877752 0.00420698190471038 0.00276487900330081 0.0035261067413877 0.00410854324636111 0.00412603501443061 0.000504189126040685 0.00390356092295643 0.00441088529280366 0.00505281554499666 -4.93159650837826e-07 0.00460303809289292 0.00500275704068438 0.00464005691908285 0.00375817738895839 0.00344117750557249 0.00306248183705347 0.00440768816732449 0.00307139355162531 -0.00100448878333801 0.00249983395886511 0.00109046239070397 0.00304233688647003 0.00258963691009981 0.000417177690442544
"NABR" -0.000928168747579773 0.000426187417102787 0.000276494450178886 0.000714433118854213 0.000754731622243964 0.000658327801556027 -0.000905866312276378 6.77449417871425e-05 0.000739030144554015 0.00403886427973314 0.00199973536892237 0.00119445136796953 0.00234038417170158 0.00238520523251015 0.00167183602786412 0.00199346546329669 0.0021371142648573 0.00221890333801976 0.00230797317000831 0.00284147765934439 0.00203031906203287 0.000865261635520103 0.00130842152463597 0.00147833129153145 0.000771196153001701 0.00226951305963029 0.00158956380128354 0.00202420680041702 0.000758659987811239 0.00207822427188372 0.0023208741138532 0.000934346302821646 -7.74392057067547e-05 0.00057683618381893 0.00080882326103523 0.00230688548573751 0.00199936623606379 0.000196712865805539
