"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00889044851198356 0.00491463766651311 0.0066825654634673 0.00595769057683631 0.00512260031966099 0.00423705539969299 0.00523981493286747 0.0056468564448889 0.00437118460541815 0.00259958530548544 0.00345709029115347 0.00428398208591165 0.00179422999303978 0.00206114679945625 0.00446267446896161 0.00295522914778576 0.00250323810485665 0.00283957911410797 0.00344775358413167 0.000742288136686529 0.00347523032795454 0.00431059523657228 0.00394435593806496 0.00339186218235615 0.00201596205904786 0.00535956976981357 0.00331498345764354 0.00201824224133107 0.001604930958313 0.00379017113246572 0.00371251967307638 0.00262900935835547 0.00117403802783394 0.00135121636078834 0.00251636921165382 0.0025822606722552 0.00536717208517056 0.00143442430194969
"ISNSL" 0.00491463766651311 0.0113506529533142 0.00682980482197061 0.00836478838068899 0.00592376520881936 0.00348044484698565 0.00255200096429481 0.0040143887999091 0.00362343026418491 0.00389166946613193 0.00399071580580844 0.00467999586925399 0.00219118286479224 0.00244442497225585 0.00445918733472932 0.0029319855825091 0.00254495196110543 0.00315196773838533 0.00447059425607317 0.00188260413275835 0.00503165179842528 0.0034617296593656 0.0032189977771116 0.00600888072143756 0.00512262273086597 0.00764004356792691 0.00359999527573128 0.00174146476135312 0.0013628738923023 0.00388084932239945 0.00275558314458106 0.00487699427725994 0.00124915933918543 1.29397939410723e-05 0.00260254556872134 0.00392736525408375 0.00404574981726463 0.0021129056551389
"ISPNS" 0.0066825654634673 0.00682980482197061 0.00836979125302013 0.00820230414496226 0.00655404667796953 0.00451947143870275 0.005737666153455 0.00638263966637059 0.00466919464204078 0.0038177282316205 0.00410566287629133 0.00505659931914444 0.00222270684307157 0.00265031136155408 0.00509970482250469 0.00323282126879513 0.00313831642879049 0.00345842247519024 0.00445767524402343 0.00188088876647064 0.00498105009441409 0.00466879861431509 0.00312889008617403 0.00598854845141986 0.00377736902592747 0.00835409915363085 0.0026111421735862 0.00302705365581318 0.00169920282031814 0.00454849016044057 0.00343143508447311 0.0039623014592211 0.00231397442695274 0.00109245903070279 0.0034400416008543 0.00345650525993958 0.00443674024486329 0.0017381247236423
"PMZS" 0.00595769057683631 0.00836478838068899 0.00820230414496226 0.0118973041484809 0.0081228347243861 0.00481882602648249 0.0091475073811622 0.00791750386676746 0.00543473165882647 0.00470543932419742 0.00472260876212106 0.00573033482893429 0.00236422215111591 0.00310617479975017 0.00626812825431946 0.00407439096438903 0.00377803709470601 0.00427767716605146 0.0056505924911068 0.00279347236818265 0.00656547050680567 0.00651944721568782 0.00366906390272206 0.00773625157092162 0.00599107568428519 0.00919352971326478 0.00624602065122412 0.00379988915255842 0.00284746485221714 0.00543948023199836 0.00302336921039879 0.00504802768593725 0.0024393710012 0.000964608208931329 0.00356747042936206 0.00464027836869558 0.00548085403655023 0.00245086714672902
"PMZI" 0.00512260031966099 0.00592376520881936 0.00655404667796953 0.0081228347243861 0.00855340826242258 0.00405783972646984 0.00526985680767313 0.00643044661526495 0.00598141935236842 0.00343005171859162 0.00418686184377744 0.00487291085724182 0.00157598548568262 0.00277794556299217 0.00472958639450641 0.00308235948262598 0.00308677405548652 0.00361536903839455 0.00484892058853612 0.00181968904977726 0.00494471461013059 0.00608081756261453 0.0033672719493022 0.00469174121149043 0.00359013052902394 0.00720783188542836 0.00531494104242929 0.0035332205536939 0.00254726649570518 0.00472470783238504 0.00201666702787778 0.00442236272050937 0.00188978790910503 0.0014122150730783 0.0033073954444424 0.00359190197746642 0.00516648708077106 0.00156104253821449
"PMMT" 0.00423705539969299 0.00348044484698565 0.00451947143870275 0.00481882602648249 0.00405783972646984 0.00369604633700966 0.00366566463302845 0.00391273726160865 0.00318778694958942 0.00264530976007718 0.00258363369865482 0.00299414602800956 0.00183909552649443 0.00183348189868347 0.00287645609149303 0.00228042222685035 0.00212662361352801 0.00256581306230118 0.00267260351907976 0.00117857535898235 0.00247480285303031 0.00345391661099191 0.00264944863599373 0.00342517021023834 0.002017301514765 0.00314741640574776 0.00291211999713025 0.00176222395858871 0.00160543920265509 0.0026749789243098 0.00234282278241772 0.00210240063960666 0.00175255526663792 0.00118930946509907 0.00225327193486803 0.00265692639755565 0.00314982081569615 0.00176106055356036
"NSLNA" 0.00523981493286747 0.00255200096429481 0.005737666153455 0.0091475073811622 0.00526985680767313 0.00366566463302845 0.0178695120757296 0.00830161238736531 0.00505802107925073 0.00291957635659574 0.00313640021400524 0.00496663131055672 0.00208435697727367 0.00214514314212436 0.0049271232102836 0.00335593261488372 0.00297512602398837 0.00306105333233485 0.00368284640359885 0.00490105108861326 0.00546250051975762 0.00718330748473995 0.00454478079357075 0.00567122474902562 0.00428046218280718 0.00505519412204833 0.00571232550092673 0.00287360354108591 0.00293973492195611 0.0039588918760175 0.00171816996674379 0.00240457768829298 0.00257468799107797 0.00150893055109647 0.00252264206831745 0.00274451983680684 0.00451835559989732 0.00226970403212994
"NSLZS" 0.0056468564448889 0.0040143887999091 0.00638263966637059 0.00791750386676746 0.00643044661526495 0.00391273726160865 0.00830161238736531 0.010864230858243 0.00600880382427962 0.00354192521242221 0.00463506699766323 0.00481995386603208 0.00201721915461341 0.00337120653075742 0.00480080660531587 0.00372425997663833 0.00351574058056115 0.0035315869923137 0.00474938025563796 0.000853686850377806 0.00505083330112873 0.00424167959557168 0.002907073882813 0.00583615426692769 0.00424560683104652 0.00657008118670156 0.00515617152514174 0.00422330208894037 0.00319860712593324 0.00484355758484902 0.00210888492253882 0.0038770868881276 0.00209688018623938 0.00243935080619649 0.00499677090245918 0.00347803224986379 0.00577810235678562 0.00120169167484307
"NSLZI" 0.00437118460541815 0.00362343026418491 0.00466919464204078 0.00543473165882647 0.00598141935236842 0.00318778694958942 0.00505802107925073 0.00600880382427962 0.0056817353643834 0.00323515591127214 0.00350892344215513 0.00397271604875812 0.00189311808987305 0.00289234177724145 0.00411344825668688 0.00306082428272996 0.00275400550405271 0.0029476504072233 0.00387272687866456 0.00188526218975726 0.00387200718036525 0.00568311534749565 0.00391478760436858 0.00319778161738459 0.00342968213786525 0.00462985653706482 0.00408453968461501 0.00268334538126852 0.00236818980528053 0.00382804357361535 0.00206315803763229 0.00330263247424226 0.00194839389950861 0.00205597517132062 0.00370131413774326 0.00289989581971684 0.00478949117414359 0.00111251113364193
"NABR" 0.00259958530548544 0.00389166946613193 0.0038177282316205 0.00470543932419742 0.00343005171859162 0.00264530976007718 0.00291957635659574 0.00354192521242221 0.00323515591127214 0.00475474074460686 0.00279500240369474 0.00334508223423896 0.00321453487223755 0.00282089717746637 0.00371482809895902 0.00308966745322216 0.00267980693786529 0.00259841893120398 0.00271325142494727 0.00215602731697785 0.00317283735450105 0.00393496946103243 0.00275943770384629 0.00360045131747714 0.00344167341370867 0.00376567130409438 0.00261798278099556 0.00214671221258436 0.00228287502533335 0.00314721950359145 0.00279597584847424 0.00231499335201114 0.00228383295960666 0.000476703300271707 0.00282689921344864 0.00306259767658191 0.00323754780978205 0.00181766477511318
"NAFM" 0.00345709029115347 0.00399071580580844 0.00410566287629133 0.00472260876212106 0.00418686184377744 0.00258363369865482 0.00313640021400524 0.00463506699766323 0.00350892344215513 0.00279500240369474 0.00393340115806298 0.00344531454482919 0.00203662086821086 0.00224304050868067 0.00294892512157289 0.00236482714544072 0.00222429554505175 0.00242159602413031 0.00295841217533327 0.00147664258463153 0.00293871076115711 0.00312848912022704 0.00212683272971825 0.00331625177824442 0.00254866329565135 0.00471598477075318 0.00295092337886124 0.00208307078328362 0.00205573118628557 0.00314869813903276 0.00251071127627875 0.00252519129911101 0.00119346390107536 0.00188273284554053 0.002493703000898 0.0029583844455335 0.00384186387256539 0.00107788393747065
"NAPNS" 0.00428398208591165 0.00467999586925399 0.00505659931914444 0.00573033482893429 0.00487291085724182 0.00299414602800956 0.00496663131055672 0.00481995386603208 0.00397271604875812 0.00334508223423896 0.00344531454482919 0.00529596278401635 0.00275091753589508 0.00299181672963548 0.00407717845198941 0.00298899105982106 0.00279580292683851 0.00274004212764542 0.00300727039989698 0.00171003916364253 0.00421297888610875 0.00434690234138581 0.00295196684182597 0.00448147418351483 0.00311385131185719 0.00513494873882504 0.00313531409379496 0.0025595750745087 0.00256467784491184 0.00393628109613157 0.00267850594629173 0.00275987567200449 0.00199299285765886 0.00166705390361688 0.00277858818762852 0.00310959350316665 0.00407560184501662 0.00192042157150715
"BRPT" 0.00179422999303978 0.00219118286479224 0.00222270684307157 0.00236422215111591 0.00157598548568262 0.00183909552649443 0.00208435697727367 0.00201721915461341 0.00189311808987305 0.00321453487223755 0.00203662086821086 0.00275091753589508 0.00425993390061118 0.00250868465803254 0.0015304559533339 0.00115116998914368 0.00140830957412663 0.000801217938548638 -0.000355219205611011 0.00070221281005218 0.00120708357943885 0.00244264028458317 0.00112974829181621 0.00249289727773304 0.000496819144650904 0.00149279522446757 0.00183697640843812 0.00147059319422973 0.00146467117971539 0.00182676530091145 0.00196754141615078 -0.000233461581384141 0.00210340298891829 0.000977063892478959 0.00208193651334502 0.00215978528320253 0.00147575173158187 0.00131253190277128
"BRAPET" 0.00206114679945625 0.00244442497225585 0.00265031136155408 0.00310617479975017 0.00277794556299217 0.00183348189868347 0.00214514314212436 0.00337120653075742 0.00289234177724145 0.00282089717746637 0.00224304050868067 0.00299181672963548 0.00250868465803254 0.00314245555733455 0.00262698781792522 0.00257244647198179 0.00229202380609357 0.00211401329110613 0.00222119352160023 0.000625982151964667 0.00228469892457137 0.00295881336933502 0.00171056009468921 0.00247974610242121 0.00236967147644044 0.00303234144837797 0.00169367357289656 0.00204184348155943 0.00146823800433472 0.00272434935651831 0.00157109088094082 0.00212900139350835 0.00154806438712676 0.00212769686381961 0.00305165982190789 0.0025760264137532 0.00317529633747002 0.00094039831958517
"PTFM" 0.00446267446896161 0.00445918733472932 0.00509970482250469 0.00626812825431946 0.00472958639450641 0.00287645609149303 0.0049271232102836 0.00480080660531587 0.00411344825668688 0.00371482809895902 0.00294892512157289 0.00407717845198941 0.0015304559533339 0.00262698781792522 0.00919437750520979 0.00322986400755618 0.00245320737595956 0.00146277933153728 0.0032127708081386 0.0012200683135303 0.0044084966823437 0.00465194028770679 0.00392422884894574 0.00407308880027719 0.00374097624735551 0.00665505695811738 0.00351204887549363 0.00249023741867714 0.00200928896385747 0.00384844608025767 0.00409112704843429 0.00262193189499404 0.00294612378426439 0.00142790644979621 0.00358045558547511 0.00171664664850042 0.00371629244949999 0.00190367632775626
"PTAPET" 0.00295522914778576 0.0029319855825091 0.00323282126879513 0.00407439096438903 0.00308235948262598 0.00228042222685035 0.00335593261488372 0.00372425997663833 0.00306082428272996 0.00308966745322216 0.00236482714544072 0.00298899105982106 0.00115116998914368 0.00257244647198179 0.00322986400755618 0.00512043526711632 0.00366804103762311 0.00422738684801867 0.0051132101920097 0.0020112053247418 0.00354468090235568 0.00331233934026233 0.0039195131752433 0.00287109183109914 0.00431866904958945 0.00365653154659566 0.00219017604396783 0.00156538368515068 0.00236910315962304 0.00336562481907035 0.00218748530345208 0.00438937622242396 0.00102159345253038 0.00152121749286289 0.00240551416959258 0.00329252382147548 0.00466769468283291 0.00191271965347069
"PTBA" 0.00250323810485665 0.00254495196110543 0.00313831642879049 0.00377803709470601 0.00308677405548652 0.00212662361352801 0.00297512602398837 0.00351574058056115 0.00275400550405271 0.00267980693786529 0.00222429554505175 0.00279580292683851 0.00140830957412663 0.00229202380609357 0.00245320737595956 0.00366804103762311 0.00318158165712859 0.00350678535048074 0.00391652568107581 0.00127136533743873 0.00287767925126507 0.00290683955116886 0.0029995487466714 0.0027573018051661 0.00325579481600263 0.00330148247219553 0.0020379507435682 0.0024044252078999 0.00224986436521679 0.00298638151888395 0.00159306874017131 0.00348037785964518 0.00122395502347722 0.00147239523145321 0.00219400422745636 0.00299005835888343 0.00355555881887696 0.00133122260667918
"PTEAM" 0.00283957911410797 0.00315196773838533 0.00345842247519024 0.00427767716605146 0.00361536903839455 0.00256581306230118 0.00306105333233485 0.0035315869923137 0.0029476504072233 0.00259841893120398 0.00242159602413031 0.00274004212764542 0.000801217938548638 0.00211401329110613 0.00146277933153728 0.00422738684801867 0.00350678535048074 0.00539926665810989 0.00566230178023262 0.00154379455704073 0.00312732344402678 0.00323568176909439 0.00367578576936173 0.00282744019052413 0.00390666147359578 0.0032774842736247 0.0020316131277656 0.00186408602279168 0.00251385172927451 0.00304675554670144 0.00166586514890389 0.00510553661282641 0.000981496826933476 0.0022461116111049 0.00210233825720594 0.00394033766129041 0.00451966842175659 0.00191008027743807
"PTZYGO" 0.00344775358413167 0.00447059425607317 0.00445767524402343 0.0056505924911068 0.00484892058853612 0.00267260351907976 0.00368284640359885 0.00474938025563796 0.00387272687866456 0.00271325142494727 0.00295841217533327 0.00300727039989698 -0.000355219205611011 0.00222119352160023 0.0032127708081386 0.0051132101920097 0.00391652568107581 0.00566230178023262 0.00827376847266576 0.00228604339134055 0.00443193283486148 0.00381935417859173 0.00441164691609174 0.00341681699121993 0.00567110974528239 0.0053377786357942 0.00247516858040342 0.00206464639266049 0.00260228744722547 0.00390667468539511 0.00258391820312602 0.00739417770435189 0.00091672470697227 0.00241389083322778 0.00271139193994867 0.00402005604537491 0.00570203722928172 0.00111840357507177
