"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.0109945220327571 0.00833977864745377 0.00911302965889749 0.00916893588756081 0.00854440350607791 0.00425611439986535 0.00741751931498782 0.00896858445601171 0.00704249928708809 0.00129050398731212 0.00355383305419002 0.0034655479235141 0.000994373436273432 0.00191229247536231 0.00701107925810181 0.00242739225381427 0.00263892739169833 0.000149831409324351 0.0046329721082611 0.0016773515802647 0.0045440696490827 0.00633319008775582 0.00450934736076817 0.00388311755821331 0.00431300539437086 0.0101591683780017 0.00677276010006674 0.00332551296255129 -0.000263757090515749 0.00505522112572882 0.00368583810597306 0.00502679145311721 0.002820414220331 0.00291614790960752 0.00369210721901977 0.000326627200829781 0.00546563337131374 -0.00191183466508424
"ISNSL" 0.00833977864745377 0.0126593433523438 0.00950052248099018 0.0125288195183359 0.0100587459088299 0.00491239518092353 0.00789356242750657 0.00790369354096792 0.00627189982699384 0.00108136086786406 0.00457258026698594 0.00442681435517098 0.000582402784294502 0.00160563041111137 0.0044348601008909 0.00273836754565991 0.00353111084096989 0.00268282399747938 0.0052466586556676 0.00365132576482482 0.00580279154225636 0.00701390156696608 0.00366294859001502 0.00546329169379174 0.00607397591119189 0.0117623386494555 0.00790601073857635 0.00478548244240153 0.000430719299708267 0.00509488368794768 0.00581099592356764 0.00478083152615648 0.00311383839033397 0.00189782924185634 0.00359312649476411 0.00178652642223982 0.0064595830604524 -0.00212452814103537
"ISPNS" 0.00911302965889749 0.00950052248099018 0.010400923982278 0.0116945849931799 0.0100602732683284 0.00528415201626035 0.0088529201497078 0.0104549819750909 0.0075730814123078 0.0014620158425207 0.0047625057965089 0.00448245871777906 0.00108677887568148 0.00209462659140193 0.00579182891185887 0.00347429771921304 0.00409970669905207 0.00270560988190365 0.00636692721780649 0.00228364534100995 0.00589905597230081 0.00766471205280076 0.00496781512108587 0.00480424697274413 0.00717552464071036 0.0129982087144295 0.00685422035512567 0.00418731556468976 0.000246252566710083 0.00581496008819572 0.00644967797882876 0.0060085393137181 0.00387090410486842 0.00290117538048887 0.00433037129694646 0.00189233991877288 0.007291714311435 -0.00107351462991621
"PMZS" 0.00916893588756081 0.0125288195183359 0.0116945849931799 0.0170993102120549 0.0130421430577448 0.00645677865505795 0.0140327455215116 0.0135063760631193 0.00884207373173941 0.00144674814779925 0.00525740733976857 0.00449810033365545 0.000979663527263884 0.00205589948495499 0.00506023732302797 0.00378851249038853 0.00483357788549083 0.00367497716929137 0.00732569006016733 0.00485481703854933 0.00740287974818811 0.00957529432080398 0.00572301456807456 0.00539426022536795 0.00922110056655915 0.0153535798118389 0.00994859157621579 0.00560235138512725 0.000440091707524604 0.00647624541152528 0.00783938001681366 0.00729718942505342 0.00470733605350296 0.00349286621197314 0.00385754082172301 0.00244227839536567 0.00805434452172739 -0.00122087940703785
"PMZI" 0.00854440350607791 0.0100587459088299 0.0100602732683284 0.0130421430577448 0.0115452762936874 0.00584834712536787 0.0102227827464971 0.0112122433242836 0.00855689836731618 0.00160614952482447 0.00512455324717249 0.00455455976020866 0.000425531280232709 0.00207105391081089 0.00540408269923632 0.00405098491683427 0.00457688961541606 0.00370022336240062 0.00722153078498539 0.00360288145833162 0.00602474421443459 0.007975514083499 0.00634333347351601 0.00338997129804105 0.00695520017723496 0.0119393384654067 0.00789328597617136 0.00490172160794977 0.000556062823861708 0.00581759869973508 0.00638895746609838 0.00638913097576962 0.00407705033870606 0.00360940528994496 0.00404006401940071 0.00219925520672507 0.00750477130773222 -0.000594526503950487
"PMMT" 0.00425611439986535 0.00491239518092353 0.00528415201626035 0.00645677865505795 0.00584834712536787 0.00450754303970912 0.00426670599517957 0.00541272984921461 0.00417312072508395 0.000849292375742093 0.00313873472685312 0.00316913279455913 -0.000401475946709848 0.0014051342603227 0.0037041317269439 0.00309763001543399 0.00299133997466592 0.00239176589439493 0.00414068191301011 0.00196947253036122 0.00353911747496008 0.00402451831166048 0.00377558027476702 0.00217597242630369 0.00363483641433475 0.00508145734091255 0.00379000450726647 0.00268918787320324 0.000706909979446583 0.00326200711234651 0.00307130329761518 0.0031839329901233 0.00266834045341562 0.00218370770730217 0.00247531546042336 0.00125234632046913 0.00455371932402656 -0.000136684754580251
"NSLNA" 0.00741751931498782 0.00789356242750657 0.0088529201497078 0.0140327455215116 0.0102227827464971 0.00426670599517957 0.0180348477725835 0.0119050627512769 0.00757638930336296 -0.000515908245389256 0.00282970604734132 0.00204735351424172 -2.64313268229803e-05 0.000679177024305308 0.00338494018751898 0.00246051042284323 0.00302201708118912 0.00175731512456756 0.00559931040192156 0.00707211610211116 0.00505814448193109 0.00924074050283365 0.00344084307527657 0.00109020742658998 0.00741530217946106 0.0122624571179143 0.00592805783858228 0.00311012212982732 0.000222697991146044 0.00433286596932364 0.00646450227419654 0.00692295034454783 0.00262461223389741 0.00482878048906662 0.00105282107249778 0.00138748530220125 0.00414356331811869 -0.000672223995676803
"NSLZS" 0.00896858445601171 0.00790369354096792 0.0104549819750909 0.0135063760631193 0.0112122433242836 0.00541272984921461 0.0119050627512769 0.0184375164487278 0.0102770209962168 0.00307546138806334 0.00553680883482217 0.00367890664043749 0.00118941620159436 0.00218096050091011 0.00533102604291574 0.00370179034172473 0.00490625758872976 0.0029664535202369 0.0077027111335419 -0.000167167659398417 0.00634565235598649 0.00500775608185596 0.00557937345686612 0.00439591982378438 0.00772076641444385 0.0133088283240353 0.00872450697921479 0.00576075149652505 0.000563664087524038 0.00778915118273134 0.00719294142810415 0.00695935404580331 0.00498079984043219 0.00229897830691452 0.00501097647346806 0.00182107598682059 0.0084778697033685 -0.000813035396141741
"NSLZI" 0.00704249928708809 0.00627189982699384 0.0075730814123078 0.00884207373173941 0.00855689836731618 0.00417312072508395 0.00757638930336296 0.0102770209962168 0.00846422672665402 0.00227692045110127 0.00438424784709643 0.00350371622361984 0.000405732628333177 0.00193826617156242 0.00533985585877521 0.00370052168471415 0.00404802454668821 0.00292222544178237 0.00682025611508308 0.00281796915770976 0.00461193958146038 0.00735013512768251 0.005118304248244 0.00199925416233531 0.00566314145594993 0.0091245105676172 0.00557196959144615 0.00424664343673004 0.000990684567543873 0.00542904127627997 0.0047227579221285 0.00586491046218491 0.00379955097328232 0.00314318541768157 0.00393042433059031 0.00173994621157192 0.00635034543881582 0.000260533944411185
"NABR" 0.00129050398731212 0.00108136086786406 0.0014620158425207 0.00144674814779925 0.00160614952482447 0.000849292375742093 -0.000515908245389256 0.00307546138806334 0.00227692045110127 0.00426423924520417 0.00133566706816793 0.00104060907778623 0.00176344245857875 0.00158707513607329 0.00247524030228203 0.00130261302145133 0.000984906264352543 0.000612287909581037 0.0019444980866497 0.000895946198127923 0.00149452138299099 0.00116159220243158 0.00146397454044148 0.00309440058450943 0.00210899326447858 0.00166744875324031 0.00279536104308722 0.00157785935740632 0.000724413235617214 0.00176481749154977 0.000666557199573258 0.00104834537509371 0.00167370132101308 -0.00227146617162799 0.00158800677404824 0.000341109443402853 0.00147060054547555 0.00072582090042622
"NAFM" 0.00355383305419002 0.00457258026698594 0.0047625057965089 0.00525740733976857 0.00512455324717249 0.00313873472685312 0.00282970604734132 0.00553680883482217 0.00438424784709643 0.00133566706816793 0.00394628384543059 0.00376591623123294 0.000621094028849438 0.00158903424470338 0.00215986464410133 0.00251383970119457 0.00298901048429226 0.00259956885509992 0.00407508707515528 0.000939224937662692 0.00326160731839967 0.00354137406714162 0.00262714578829656 0.00272401096470099 0.00286722633294115 0.00553250915298912 0.00301173481206747 0.0033804908072369 0.0006840782195574 0.00380068486423721 0.00329987176391314 0.00309625318826326 0.0028229738012758 0.00150510072086668 0.00324175214842915 0.00175620697481995 0.00477138071218987 -0.000573928985640549
"NAPNS" 0.0034655479235141 0.00442681435517098 0.00448245871777906 0.00449810033365545 0.00455455976020866 0.00316913279455913 0.00204735351424172 0.00367890664043749 0.00350371622361984 0.00104060907778623 0.00376591623123294 0.0047803221403841 0.000496851317635718 0.00161346570330221 0.00182656473520177 0.002333005773696 0.00279203489677077 0.00305513664188179 0.00369191398645911 0.000572624147844417 0.00307013531258752 0.00367233638527905 0.0028051082720691 0.00293950723728529 0.00219171631500624 0.00465858152560982 0.00252605072386554 0.00301913491137131 0.000637394925289352 0.00321530325578438 0.00261535350043437 0.00289263186519806 0.00261502128061921 0.00168135853229814 0.00271744717691122 0.00205284390613004 0.00411493305423663 -0.000881874166740273
"BRPT" 0.000994373436273432 0.000582402784294502 0.00108677887568148 0.000979663527263884 0.000425531280232709 -0.000401475946709848 -2.64313268229803e-05 0.00118941620159436 0.000405732628333177 0.00176344245857875 0.000621094028849438 0.000496851317635718 0.00498745694430642 0.000966854577933312 -0.00199444275277978 -0.00304681465501873 -0.00132045154786026 -0.00253564433417255 -0.00340963754154368 0.000196500932169453 0.000494483034987866 0.00085557071056699 -0.00137541080645633 0.00288904477237684 7.74583904587713e-05 0.00298985397280019 0.00116398500193955 0.000627976520175303 0.000171739759270834 0.00073938025184949 0.00139749846652104 -0.00159233641076953 0.00139239813361882 -0.000625780880164259 0.00165614436768272 0.000291981937798427 -0.000592146654338213 -0.000186777264713285
"BRAPET" 0.00191229247536231 0.00160563041111137 0.00209462659140193 0.00205589948495499 0.00207105391081089 0.0014051342603227 0.000679177024305308 0.00218096050091011 0.00193826617156242 0.00158707513607329 0.00158903424470338 0.00161346570330221 0.000966854577933312 0.00177117029400249 0.0022376199930006 0.00188306198450604 0.00174819877161739 0.000956162166912377 0.00230395847492131 0.000342159100180787 0.00110584878634729 0.00221451161364689 0.00131213253481773 0.00130675635164918 0.00149503917002238 0.00200482308076533 0.00137347641781379 0.00189983651395334 0.000370620185234428 0.00155634427360681 0.0007894005980713 0.00175257896508586 0.0017939786716127 0.000409482385557073 0.00198948626766963 0.00050875498332971 0.00210021972115383 -0.000592215109893451
"PTFM" 0.00701107925810181 0.0044348601008909 0.00579182891185887 0.00506023732302797 0.00540408269923632 0.0037041317269439 0.00338494018751898 0.00533102604291574 0.00533985585877521 0.00247524030228203 0.00215986464410133 0.00182656473520177 -0.00199444275277978 0.0022376199930006 0.0143045331356818 0.00581945372577421 0.00328684580904697 -0.000376249203132099 0.00712032283259595 0.0012482445938966 0.00275039619219335 0.00590785860849997 0.00375692027092426 0.00233268154526454 0.00441457455081242 0.00500575268733683 0.00490585908376017 0.00291977738702752 0.00107981439366286 0.00355688814401552 0.000675337804740844 0.00549328587683915 0.00263764455709899 0.0021201290986925 0.00228590034479447 -0.00141826994033435 0.00487717545883267 -0.000392117252583617
