"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00986200342624756 0.00620163539476461 0.00614024662996607 0.00337140925148006 0.00431928950523039 0.00449194677582824 0.000190219130894409 0.00120842002714637 0.00376293813268392 -0.00020120079270833 0.0022444871242322 0.00409638926546541 -0.00106680014698416 0.0010168383236948 0.00428783358261095 0.00164971473402168 0.00179111235893006 0.0025773016612682 0.00418257740233232 0.00209833529711485 0.0037834358377689 0.00493962398885981 0.00583572035059554 0.00296291562965589 0.00250230869128421 0.00424295154082757 0.00384829706836615 0.00300933349011518 0.00261377407591754 0.00299837538074682 0.00536389278208251 0.00551935055063593 -0.000350812084686235 0.0025135807487127 -0.000503973671503905 -0.000142403406436447 0.00235678330368779 -0.00149535366816813
"ISNSL" 0.00620163539476461 0.0100197289393384 0.00659873866008895 0.00754970047356414 0.00592837973900761 0.00594758694226139 0.00186415110938761 0.00311275349710679 0.00323524180440097 0.00139209152203155 0.00233436055461151 0.00456430420548351 0.000857873460727618 0.00253958855715915 0.00529715472887336 0.00198218538422132 0.00149999726334773 0.00214815373809387 0.00358995606905169 0.000216614007372951 0.00490734191455726 0.00419554812204876 0.00647772753300022 0.00231935543678589 0.00264778033892895 0.00469728407903405 0.00485708897851632 0.00183447372876833 0.001752174590248 0.00302381310677713 0.00648038730025525 0.00470983664198174 0.000484185456696138 0.00329188312763673 0.00143240639364595 0.00158573417532376 0.00339432130595386 -0.00124558653609358
"ISPNS" 0.00614024662996607 0.00659873866008895 0.00773818267124026 0.00749026539449519 0.00666118260468189 0.0064083904238154 0.00381383565384322 0.00464979296230583 0.00450644927596018 0.00233177891260551 0.00379026862525701 0.00598639176136777 0.000893563970902491 0.00275139963360747 0.00782440095989543 0.00323870612427125 0.00319517084232708 0.00345355464452871 0.00493785552549735 0.00211053792897201 0.00624837919726603 0.0057799076892378 0.00678589289833639 0.00495105534534249 0.00329246457572357 0.00668174663060144 0.00508889496434872 0.00429036141892863 0.00403293905408627 0.00479520711317358 0.00846580656670835 0.00639778540151172 0.000200581806784878 0.0028576885959773 0.000953679935031552 0.0021554563340194 0.00495641685616765 0.000480212630248621
"PMZS" 0.00337140925148006 0.00754970047356414 0.00749026539449519 0.0114358069078964 0.00796380162570742 0.00669765555072615 0.00811269149608839 0.00731318801238584 0.00460391293424804 0.0045465423236497 0.00407499007265255 0.00574052327896322 0.00258516871103102 0.00355668928396584 0.0090965860318443 0.00334191563171946 0.00331432753672217 0.00322027307532447 0.00508580494356156 0.00171411643037502 0.00761891183884441 0.00634109761349161 0.00769269266942178 0.00489299734481613 0.00470609639427403 0.00760841961002884 0.0063974574983871 0.00414489871123025 0.00432816586894463 0.00553944341998188 0.00934305663014378 0.00755621139482744 0.00048770384503599 0.00308034973082408 0.00223364869817841 0.00330729530391569 0.0059279608989345 0.00100576326345336
"PMZI" 0.00431928950523039 0.00592837973900761 0.00666118260468189 0.00796380162570742 0.00794509080469437 0.00662069718756679 0.00444962726754071 0.00523593132244384 0.00560527971613791 0.00291595487673222 0.00353011612056452 0.00508753575109567 0.000665398473688262 0.0027715894153317 0.00793178249054311 0.0041965353543178 0.00356246216661248 0.00445360335993511 0.00603559896991663 0.00166209485438424 0.00620983685115442 0.00714881728716604 0.00789039976007152 0.00208353318660834 0.00355930913067715 0.00496454441633097 0.0056638949384721 0.00313435667629109 0.00486575984739242 0.00470105059749272 0.007440790158072 0.00662560432733617 0.000128943704880614 0.00327204221472739 0.00127242940781117 0.00331592492005309 0.00520935269279277 0.00114190189000697
"PMMT" 0.00449194677582824 0.00594758694226139 0.0064083904238154 0.00669765555072615 0.00662069718756679 0.00795474513702183 0.00187766474041603 0.00410699582806297 0.00485303710732303 0.00178350534792505 0.00360973280889192 0.00541323287553021 0.00139533254625786 0.00317611535685111 0.00624276161316925 0.00361766860752558 0.00342541082970534 0.00373692264797756 0.00440865389065554 0.000585018775586648 0.00519837323271079 0.00665997309252579 0.00780454676426676 0.00149890953663253 0.001907222139974 0.00278079280965943 0.00596412912500026 0.00348744416527628 0.00268486375903448 0.0040588021811083 0.00807832656491037 0.00472199227084793 0.00122290976540049 0.00389074257373377 0.00238831532005879 0.00375808639231912 0.00550934457873112 0.00184622275693073
"NSLNA" 0.000190219130894409 0.00186415110938761 0.00381383565384322 0.00811269149608839 0.00444962726754071 0.00187766474041603 0.0209528243204142 0.00375930377340673 0.00324785298327538 0.00414633655596321 0.00318188219086838 0.0071327993468507 0.00208742449341901 0.00122482710058524 0.00798145428265727 0.00246753876910192 0.0024373882146256 0.00180795882397232 0.00430398675683621 0.00894268660862177 0.00764659607115013 0.00934123519495379 0.00531951934723533 0.00591161895083924 0.00683161131145042 0.0076128412273439 0.00209968355221414 0.00330709872228635 0.00654213005134009 0.00451748777830483 0.00868211356667892 0.0095158792448037 -0.00111395822047739 -0.0012667839518229 -0.000363292865556066 0.000724726085017162 0.00180635883456407 0.00259542017723669
"NSLZS" 0.00120842002714637 0.00311275349710679 0.00464979296230583 0.00731318801238584 0.00523593132244384 0.00410699582806297 0.00375930377340673 0.00932906390702254 0.00407614267600169 0.0045011386178534 0.00305631662142572 0.00302743503233619 0.00210164357530201 0.00276898416292074 0.00737872496375846 0.0026198954805036 0.00242504885993019 0.00286649499369443 0.00350622242001676 -0.00122337120985274 0.00503615411338531 0.00142629357154603 0.00422449968253251 0.00385097919563886 0.00317012000568449 0.00480208295085258 0.00462915630565417 0.0029460724628308 0.00276000405764146 0.00401387557554404 0.00522595315754176 0.00457759633416752 0.000278108457441736 0.000267531346178429 0.00229521266632122 0.00253923698619676 0.00557985337032882 0.00209446737279437
"NSLZI" 0.00376293813268392 0.00323524180440097 0.00450644927596018 0.00460391293424804 0.00560527971613791 0.00485303710732303 0.00324785298327538 0.00407614267600169 0.00513949618930802 0.00244975613123648 0.00272543322966263 0.00403115472542312 0.000655473203442679 0.00203458653115786 0.00568285485418514 0.00340902656551785 0.00286764293035601 0.00401573450703261 0.00482906665822985 0.00191930125175603 0.00464585999851621 0.00627656011442297 0.00651254117782007 0.000997381656861716 0.00306415768947452 0.0027307121806293 0.004081533711971 0.00228968519314283 0.0041978897840372 0.00348217349709681 0.00552721840806258 0.00543444347178096 -8.19637178436284e-05 0.00144083312793436 0.00103626297217695 0.00250650379492766 0.00397537902126834 0.00154593740446054
"NABR" -0.00020120079270833 0.00139209152203155 0.00233177891260551 0.0045465423236497 0.00291595487673222 0.00178350534792505 0.00414633655596321 0.0045011386178534 0.00244975613123648 0.00594841592226404 0.00213920272381049 0.00224419898526708 0.00407515140020706 0.00263141497215529 0.00462395816036683 0.0017142512840819 0.00165766513054307 0.0022614520990046 0.00226193266270854 0.00152043309459623 0.00385661837489821 0.00277978765218449 0.0027197015035145 0.00232595279291004 0.00295883140024273 0.00337404887315271 0.00262520231795244 0.00194832299378349 0.00309233170036214 0.00242426847271773 0.00424051550901206 0.00358856935130815 -0.000278218666040339 -0.00218005408959986 0.00104057914686904 0.00192025814737076 0.00265110716776088 0.00146501469413769
