"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.0108238907956212 0.0066045862982784 0.00620720090685663 0.00562807157011361 0.0053289171292269 0.00253906110738865 0.00311091434666339 0.00534072081350894 0.00482692039531843 0.00132553623924872 0.00273268460139457 0.00395352863563923 2.04246131776381e-05 0.00221764877341873 0.00396265226912391 0.00361125686680674 0.00329016041789177 0.00457067743324963 0.00642104448741171 -0.000505335163737839 0.00367886625679915 0.00613088238614407 -0.000831124194980447 0.00196243149926299 0.00260832406677625 0.0118827810304081 -0.000965026266024341 0.00463738845355913 0.00209078304150145 0.00464829381434676 0.00289632242909585 0.0066436021980054 0.00359737038745257 0.000865417384335627 0.00479443765388921 0.00314265757412059 0.00475505659788809 0.000432714597128209
"ISNSL" 0.0066045862982784 0.0102999317654444 0.0059814628488372 0.00745200038941167 0.00631540495512931 0.00252741966539223 0.0042886368978191 0.00420668557555743 0.00360252428972232 0.00164620989295682 0.000876438432859351 0.00302538964777591 6.71128757746715e-05 0.00190576601913966 0.00557624276528727 0.00387161220055736 0.00261364241342763 0.00344823649973909 0.00626874934792847 0.000153099074114848 0.00430844694921655 0.00677612188513995 -0.00037032689480713 0.00210959585026435 0.0043577738792665 0.0122701276432181 0.000441877096094839 0.004424617511644 0.00296391015933167 0.00357223127717634 0.0031787284329962 0.00582873316057647 0.00328222033076269 2.32192330486483e-05 0.00258033338005593 0.00253036828426077 0.00215018443967795 -3.28474251217873e-05
"ISPNS" 0.00620720090685663 0.0059814628488372 0.00706856249370213 0.00836110079599307 0.00736227854877551 0.00336356552510438 0.00661997068846414 0.00760199759990339 0.00551439405004682 0.00217634887598764 0.00244692996580999 0.00406163793718157 -0.000140111472121779 0.0022178691863521 0.00574889452015381 0.00374829579227464 0.00292438398586462 0.0043766074000905 0.00745901463967756 0.000246068967244563 0.00542814951256787 0.00688647327105274 0.000617415403128152 0.00373366993140454 0.00523311296631682 0.0142654176027597 0.000508508059764613 0.00482071750176408 0.00285317340888975 0.00465758214561354 0.00456446434209365 0.00739174508545609 0.00309703649433603 0.000880521699966193 0.00326226593716081 0.00295362947978996 0.00391591197753971 0.00112996421317125
"PMZS" 0.00562807157011361 0.00745200038941167 0.00836110079599307 0.0124453819163287 0.0103142467592947 0.00448790066009132 0.0115827495763168 0.0113096034361255 0.00719874917049803 0.00301988573500104 0.00225767641801746 0.00532551236974378 -0.000214603240909781 0.00255046591500776 0.00740613119299504 0.00475153826000522 0.00341752655477174 0.00547824922789426 0.00972201225573745 0.000269150891682944 0.00757735087950461 0.00925059166040307 0.000383284187818293 0.00453335937067647 0.00795104409569042 0.0166233741262493 0.00443973597658568 0.0063098823782116 0.00393229619987297 0.00526880349844648 0.00641634531986068 0.00933233340600987 0.00302283287150217 -0.000250449772866654 0.00258905033230582 0.00391270988762702 0.00408019890107188 0.0020085592668824
"PMZI" 0.0053289171292269 0.00631540495512931 0.00736227854877551 0.0103142467592947 0.0102589231086037 0.00422072091998145 0.00861388819118804 0.00965954588286039 0.00766832535465397 0.00333170021305525 0.00285366229382589 0.00522002249861955 0.000318611959016188 0.00268301105048873 0.00622928268836275 0.00415527940830904 0.00324882912030599 0.00542359574114156 0.00811867002807475 -0.000408663917051556 0.00632091054125981 0.00803530720918864 -0.000759640931802537 0.00250132318871212 0.00547919780342406 0.0153345371121834 0.00415437656728677 0.00585582793714801 0.00291178245581352 0.00480728515707814 0.00506266061719636 0.00819145475922498 0.00262002165731047 0.00052159350321888 0.00242419587400528 0.00416871420682192 0.00439898709521694 0.0014877986506188
"PMMT" 0.00253906110738865 0.00252741966539223 0.00336356552510438 0.00448790066009132 0.00422072091998145 0.00278364364303923 0.00329532578041061 0.00405472287426955 0.00313151350401227 0.00147403205044266 0.00143116119791821 0.00182580209965131 9.27704100264776e-05 0.00132169887157804 0.0027055187792447 0.0016213218495358 0.00151206317609115 0.00264654604329033 0.00357451897624776 0.000693779984473708 0.00252539188956633 0.00375139840731578 0.000945148685343887 0.00175569474811091 0.00274103390430937 0.00547228951351611 0.00215970745723687 0.00260077744708541 0.00120434217643145 0.0020031863170094 0.00282694940465592 0.0036313020237552 0.00136884521977605 0.000360225462070854 0.00202370046932012 0.00173622876597405 0.00226713745939822 0.000386565194762233
"NSLNA" 0.00311091434666339 0.0042886368978191 0.00661997068846414 0.0115827495763168 0.00861388819118804 0.00329532578041061 0.0157862209058043 0.0128038715188727 0.00659341555392952 0.0024573331480905 0.00168075025520414 0.00500468497361657 0.000182249384245111 0.00154651417153363 0.00556415625910895 0.00317572105430088 0.00210865416363473 0.00347498342711177 0.00777802609290225 0.00154619842232102 0.00735885008504421 0.00691452242024249 0.000513524070615005 0.0044240502167675 0.00816780716102507 0.0123915250955245 0.00548753239268672 0.00501158740280529 0.00372230155766345 0.00400032549173111 0.00505448157359985 0.00791367085927988 0.00144245436782922 -0.00233912735949706 0.000645144550442872 0.00299289859946229 0.00252537099954003 0.00293475327285325
"NSLZS" 0.00534072081350894 0.00420668557555743 0.00760199759990339 0.0113096034361255 0.00965954588286039 0.00405472287426955 0.0128038715188727 0.0132846496107015 0.00826680572637123 0.00309372605559963 0.00296612043451761 0.00564046483084772 5.99681576756002e-05 0.00231906821580747 0.00579505219097154 0.00406764133665984 0.00317213315876645 0.0052615546244738 0.00883131257143004 -0.000226228830028958 0.00710914661156834 0.00740465286509987 -0.000590942783744406 0.00414740024315064 0.00720502105577656 0.0145473895625734 0.00542032271115408 0.00568663930286458 0.00351403396072885 0.00525281777326727 0.00576455647599265 0.00887773148622282 0.00189863545394914 -0.000615685051314516 0.00181195334033314 0.00410507544235345 0.0044538486316555 0.00252500064153337
"NSLZI" 0.00482692039531843 0.00360252428972232 0.00551439405004682 0.00719874917049803 0.00766832535465397 0.00313151350401227 0.00659341555392952 0.00826680572637123 0.00710773969602953 0.00270082432403892 0.00296542540122327 0.00448341127678493 0.000341500587114075 0.00213505969771737 0.00459653463703801 0.00316787876968165 0.00272500415791157 0.00438608458948528 0.00635852409836825 -0.000489287459841216 0.00467754962543651 0.00641472932975208 -0.00143191528943211 0.00167004737096916 0.00395304575279178 0.0113409173741708 0.00354369398157791 0.00475285094723909 0.00220289041014291 0.00411023304489749 0.00393706027790555 0.00647610086237748 0.00191926966778531 0.000734088012648753 0.00208945775748197 0.00348700831840543 0.00403262992296553 0.00146109784398235
"NABR" 0.00132553623924872 0.00164620989295682 0.00217634887598764 0.00301988573500104 0.00333170021305525 0.00147403205044266 0.0024573331480905 0.00309372605559963 0.00270082432403892 0.00287413726107227 0.00121670334594439 0.00161510638666668 0.000967741634282339 0.0015667972829562 0.00244104798144209 0.00148031870736491 0.0010007082858834 0.00164518381134457 0.00262906248914868 0.000388911098645227 0.00194905322152388 0.0024777268847965 9.60102345592181e-05 0.000296279431615136 0.00205582015461111 0.00400805410390168 0.0018493994082979 0.00186093591942737 0.000414974539776658 0.00133510223401554 0.00182315899434764 0.00267146930530931 0.00109223905021023 -0.000641435227241728 0.00126451281293081 0.00119944198594593 0.00169820316505118 0.000401041618390471
"NAFM" 0.00273268460139457 0.000876438432859351 0.00244692996580999 0.00225767641801746 0.00285366229382589 0.00143116119791821 0.00168075025520414 0.00296612043451761 0.00296542540122327 0.00121670334594439 0.0030989447939949 0.00230138750504821 0.000483274152312187 0.000956459571544956 0.00120432728500864 0.000776204938439564 0.00120409333315606 0.00228177007263727 0.00279019179539893 0.000499367847475686 0.00146980662669923 0.00244276811751863 -0.000488264430918328 0.000977012063984315 0.000971213010140824 0.00463541884501044 0.00118958515520293 0.00158114497499188 0.000284922792374682 0.0018965815742223 0.00173791895366915 0.00340509280234181 0.00166207902292666 0.000631397135832601 0.00264989883317369 0.00159447225452058 0.00269923414922895 0.000831755071014166
"NAPNS" 0.00395352863563923 0.00302538964777591 0.00406163793718157 0.00532551236974378 0.00522002249861955 0.00182580209965131 0.00500468497361657 0.00564046483084772 0.00448341127678493 0.00161510638666668 0.00230138750504821 0.0045555792676987 0.000118203978964702 0.0016798288812334 0.00354290184211266 0.00311911392278992 0.00240949466266343 0.00361537351901818 0.00522425418389082 -0.000595333271089382 0.00366552608421538 0.00455468017797744 -0.00115746016083646 0.00206372938690937 0.00306717631680851 0.0090258884615955 0.00200788487706258 0.00316134231441299 0.00225690154054895 0.00339342929649847 0.00268103282142604 0.00538246678645249 0.00211741459291702 0.00128460050036175 0.00216780197676063 0.00276553829804101 0.00307138318869222 0.00111947928555427
"BRPT" 2.04246131776381e-05 6.71128757746715e-05 -0.000140111472121779 -0.000214603240909781 0.000318611959016188 9.27704100264776e-05 0.000182249384245111 5.99681576756002e-05 0.000341500587114075 0.000967741634282339 0.000483274152312187 0.000118203978964702 0.00212532292330126 0.000439203365288638 -0.00151644088304946 -0.000824873233969052 -0.000231049104899009 -0.000247560407407872 -0.00145880692470778 0.000669842497267023 -5.9308430701352e-05 -0.000335126873810621 -0.00105054905868022 -0.000486825885969313 -0.000264090115746481 0.000240512442572737 0.000661925685322043 -0.00016282929679132 -0.000660261313660749 -2.86591448301501e-05 -0.000472478880338284 0.000296511651384756 0.000629625880527038 -0.000769539400317923 0.000813454876541907 0.000372124935272698 0.000210205928928678 -0.000379219401633709
