"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.0047581687924197 0.00439915270111232 0.00341058917980941 0.00409907965646201 0.0026881840664544 0.0021878232081723 0.00359531279096248 0.0024601588478554 0.0021257271759482 0.00123704189057701 0.00195646304730582 0.00201679731501833 0.00140022903301608 0.00178350724969727 0.0041326682135014 0.000969655955796143 0.00112938589809466 0.000795843004542251 0.00177401110485625 0.000332276517807449 0.00163760692882653 0.00177859236401773 0.000879079089043326 0.00396046794608127 0.00195060251165131 0.00291118567564306 0.00378759968100493 0.001964050646166 0.00148173833681702 0.00198394267279824 0.00121976871229614 0.00286804994988763 1.94610186282833e-05 0.000593590058178466 0.00183317302448799 0.000630782461134235 0.0028329265082773 -0.00113140678739089
"ISNSL" 0.00439915270111232 0.00859793931579132 0.00539085065071355 0.00747869061256267 0.00476423636649958 0.00388064342422793 0.0028148455009454 0.00333043213745864 0.00288889363999451 0.00182463983300027 0.00329741515383781 0.00302773426123458 0.00178306360440577 0.00218276759094976 0.00537533930697567 0.00113822423971958 0.00151892978697218 0.0010317310598191 0.00224695968908586 0.0015613961223468 0.00221515875546507 0.00172765429305642 0.00218669407304929 0.00650000389512297 0.00317031918331797 0.00399191021922799 0.00555405332904404 0.00282992141489147 0.00291663201571872 0.00299066847024483 0.00294208149221589 0.00408584082003787 -3.33935937303895e-06 0.000409518720315454 0.00194067389675816 0.000780383150503231 0.00282233902706985 0.00123850043527394
"ISPNS" 0.00341058917980941 0.00539085065071355 0.00559317626620518 0.00613517656837789 0.004349442783109 0.00375439936022325 0.00410150270765698 0.00363974165617701 0.0027225902482899 0.0016094360102097 0.00323178615372143 0.00343816333751707 0.00181681405549923 0.00202052965308117 0.00472300967878668 0.00128731485074594 0.0016708903716204 0.000871768876014905 0.00190199813754473 0.00133026129581478 0.00192521084507772 0.00155115100515223 0.00209290404672355 0.0050983006330846 0.00316229765103458 0.00307261530049742 0.00291431394606613 0.00284632310668133 0.00219142891148778 0.002392109504724 0.00327916860966813 0.00380964441371009 -9.43477044264953e-05 0.000912934839465143 0.00144515687289903 0.000835599591235467 0.00220074204772103 0.00055900952028753
"PMZS" 0.00409907965646201 0.00747869061256267 0.00613517656837789 0.0116252703234926 0.00772205401991681 0.00575599284939036 0.00677105986289821 0.0062029005975847 0.00455317343394476 0.00239907238262524 0.00514414364090416 0.00434101412477396 0.00222810528610392 0.00288186134910244 0.00768121864206692 0.00167596153223295 0.00226164577448459 0.00135926764127134 0.00261646007513745 0.00203302410292151 0.00389860314982849 0.00321624122874454 0.00314876248470111 0.00929140955458469 0.00470300488654791 0.0062267925788935 0.00892205831619899 0.00508166864869231 0.00574855246173431 0.00440096900766185 0.00556212271373507 0.00492472976637526 -0.00095569066072021 0.000350887480246373 0.00136842620634169 0.00105496548920617 0.00455843081860387 0.00323269045874651
"PMZI" 0.0026881840664544 0.00476423636649958 0.004349442783109 0.00772205401991681 0.00667900519918129 0.00450568987537135 0.00574673603792945 0.00404323259430492 0.00408431770979781 0.00167382801162815 0.00358103413280461 0.00287275083658435 0.00184139191872158 0.00239485127265808 0.00560068967809371 0.00127582392431655 0.0016583578775923 0.00102118393557751 0.00206892534652228 0.00172676882849831 0.00264241223138297 0.00415316810690945 0.00176319391626587 0.00567443340751388 0.00364564115380697 0.00488267683316083 0.00703688894826178 0.00372820016610439 0.00356406037384839 0.00301972464972148 0.00378677439494513 0.00438566140731957 -0.000362276627841649 0.000211744304510409 0.000968408166816779 0.000647271996919387 0.00216763540451122 0.00385904438593371
"PMMT" 0.0021878232081723 0.00388064342422793 0.00375439936022325 0.00575599284939036 0.00450568987537135 0.00425981215861038 0.00374602790163683 0.0034054455931011 0.00286844168765381 0.0013956722579315 0.00314787708472032 0.00259888810250034 0.00176236535135508 0.00191665505422675 0.00446389694731277 0.00138902926474215 0.00160157165143316 0.00104847740891868 0.00176816572131503 0.00172210167426398 0.00233921949733363 0.0024618300194484 0.00285612181371347 0.00503487961484619 0.00374605733605222 0.00325774844404732 0.00584994215058834 0.00296984568972112 0.00315567880072968 0.00223041794839226 0.00452260053758539 0.00399664413929174 -0.000582704072329272 0.00022349475937876 0.00103491877644223 0.000929272198255445 0.00250690803656065 0.00169624745659068
"NSLNA" 0.00359531279096248 0.0028148455009454 0.00410150270765698 0.00677105986289821 0.00574673603792945 0.00374602790163683 0.0276674575416018 0.00363050927629148 0.00350477448996389 -0.00273490137751202 0.00233300373182908 0.00455895291989823 0.000522071742945903 0.00127826038645572 0.00543917409179152 0.000404527890273125 0.00106764516360174 0.000901871170261264 0.00237723017189762 0.000489288549052151 0.000613186660895026 0.00288603738085705 -6.54732630872401e-05 0.00548720511276123 0.00284892679171643 0.00329838749924555 0.00452804509353004 0.00397595298996962 0.00227224940150649 0.00201575057935187 -0.000152305474983581 0.00453473887402409 0.00156432280658813 0.00147608901296841 0.00297786461057181 0.000743513664389114 0.00425600105846745 -0.0021330995368571
"NSLZS" 0.0024601588478554 0.00333043213745864 0.00363974165617701 0.0062029005975847 0.00404323259430492 0.0034054455931011 0.00363050927629148 0.00642943566671969 0.00318251773158833 0.00167633866722468 0.00373367079229856 0.00330658230035367 0.0017198776590921 0.00169623482148645 0.00517538641825699 0.00166947543096436 0.00170312020307039 0.00106795553938165 0.00197322964715814 -0.000248336226762783 0.00243075627261435 0.000457088317041159 0.00223403043325386 0.0053702853354139 0.00344477602298195 0.00328106250749185 0.00480706544022084 0.00287121830164924 0.00436450563238507 0.00265583591056697 0.00460216310168371 0.00338516184298209 -0.00105529015137139 0.000869915587131484 0.000761067509160394 0.00142661938129324 0.00375319119278365 0.00112588878551206
"NSLZI" 0.0021257271759482 0.00288889363999451 0.0027225902482899 0.00455317343394476 0.00408431770979781 0.00286844168765381 0.00350477448996389 0.00318251773158833 0.00321035371468676 0.00130183598695342 0.00248283945550426 0.00241482374789812 0.00138705919149367 0.00164653893092883 0.00385721023169166 0.00123398579959762 0.00133495208829318 0.000982290697820058 0.00176351708657518 0.000927004729462729 0.00202409572739905 0.00333446453933421 0.00139820032590301 0.00334828553036992 0.00267343461338663 0.00303625410627181 0.00482772595146192 0.00238631221728883 0.00300556452746039 0.00210210382393232 0.00318905354086356 0.00329297651837234 -0.000315289960275703 2.18842554559666e-05 0.0007039157666194 0.000892533193652452 0.00163572418132203 0.00283039946396132
"NABR" 0.00123704189057701 0.00182463983300027 0.0016094360102097 0.00239907238262524 0.00167382801162815 0.0013956722579315 -0.00273490137751202 0.00167633866722468 0.00130183598695342 0.00234096734371081 0.00162406872838924 0.00105815357066283 0.00159485979403411 0.00137871299066283 0.00193678947367238 0.00130199974937397 0.00119849506651165 0.000959126942043785 0.0011196902843151 0.00125394539971507 0.0016964140770435 0.00102658352841571 0.0012577933327291 0.00240655747780518 0.00175111569127014 0.0019742022697204 0.00281232644507545 0.00114527967844963 0.00221326593714069 0.00134937044840004 0.00274592188417006 0.00150458647842511 -0.00075603835894432 -0.000144990864852798 -0.000126374559770475 0.000755581553239481 0.00124288865086451 0.00139731407492778
