"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00272499985559978 0.00217331907196237 0.0019862372379849 0.00184688014702277 0.000955663885028462 0.00108816210276837 0.00166580677249906 0.00201817749117975 0.000931689442486842 0.000578509551887168 0.00105409080398514 0.000870814666902446 -1.87218944858192e-06 0.000264740882473005 0.00098605196757728 0.000608022229628249 0.000851914378411059 0.000835920909552026 0.0018468707003896 0.00122826841606105 0.00160130973558241 0.000261572794397798 0.000940752543890195 0.00116911868050228 0.00132340632757647 0.00225847533916514 0.000837557717703718 0.00154535615811979 -1.69559360717715e-05 0.000815481831433464 0.00145916854932949 0.00119511592963021 0.000550403555357646 -0.00045511341811931 0.000855092225621959 0.000473734708123451 0.00100833880025645 -0.000261760574738471
"ISNSL" 0.00217331907196237 0.00746839323738705 0.00326035319877432 0.00522697194786157 0.00351625774819302 0.00203195748294301 0.00181999263647955 0.00200240805291748 0.00169607611174868 0.000965271535557943 0.00134105115994552 0.00243208767199914 0.000109651592170001 0.000629457918014785 0.00312401791332531 0.000550300826938361 0.00116202294301117 0.0011126145274249 0.00320330755455924 0.001052469863689 0.00287916370580397 0.00112551606974514 0.001968877816595 0.00260973749211742 0.00216105093829667 0.00316499062323636 0.00165939215967844 0.00323408766253173 0.00211213429775486 0.00179122127584696 0.00179683970512203 0.00254812355112291 0.0019859471908584 -0.00160324801284429 0.00247064931456277 0.000269933532786209 0.00116460534269973 -8.81067305449325e-05
"ISPNS" 0.0019862372379849 0.00326035319877432 0.0035247242237246 0.00350547523298685 0.00263412311298667 0.00156770392405854 0.00260001438919726 0.00229440592920729 0.00157315875976622 0.000764668240020228 0.000765201663505 0.0011806142924397 0.00020070095687416 0.000147167647152598 0.001305485318116 0.00038736865202261 0.000839115763283209 0.00112639938328963 0.00222481683752671 0.000937686470044162 0.00170166606907018 0.0016080514436406 0.000760790282083586 0.00107387750092834 0.00136851316429996 0.00317049358041033 -0.000163240643334955 0.00166945879910132 0.000267096147535464 0.000912649532906629 0.00164444276920561 0.00156954413555649 0.000505243170292517 -0.000525407824413284 0.000552722402161829 0.000969473498441614 0.00152953929908877 0.000323155124833133
"PMZS" 0.00184688014702277 0.00522697194786157 0.00350547523298685 0.00614821625515448 0.00446987441559404 0.00229734489703686 0.0044407328631604 0.00385507630790806 0.00264571140528406 0.00112566893480948 0.00154232913895206 0.00222542728084154 -0.000205472598918111 7.68038977319636e-05 0.00275053345720235 0.000748374969147938 0.00155754483812867 0.00207640745867023 0.00379964010807789 0.000962221067766479 0.00299269458867418 0.00299582515140234 0.00139799497184588 0.00228580083390454 0.00276602453308652 0.00366099899458705 0.00189500978501909 0.00396585524244874 0.00256385102620214 0.00179081292587074 0.00226273073097876 0.00254070600304228 0.00141509660078153 -0.000487575663716599 0.00126577774186029 0.00135909328561433 0.00215487432805117 0.000731362644704297
"PMZI" 0.000955663885028462 0.00351625774819302 0.00263412311298667 0.00446987441559404 0.00459009074042812 0.00168545632945793 0.00285003284559575 0.00243347238757207 0.00269604016890035 0.000737472134718661 0.000739625210664273 0.00157438990767315 0.000111057543890408 2.26121456903021e-05 0.00256395855830568 0.000164723506290131 0.000856762596095305 0.000857972557890604 0.00187000897399827 0.000361040899482378 0.00211559202140485 0.00292201153048077 0.00164485670140084 0.000357306276212601 0.00082956465500858 0.00280564550937328 0.00103472416322681 0.00297477598000699 0.00215196471432522 0.00131523312512105 0.00152444484381983 0.00157730019278074 0.00111862608398121 -0.000931156345361969 0.000431872268289156 0.000633879181036494 0.00130154396261524 0.000773375415170534
"PMMT" 0.00108816210276837 0.00203195748294301 0.00156770392405854 0.00229734489703686 0.00168545632945793 0.00170402815071606 0.00169223491213956 0.00145128975169174 0.0010097973475351 0.000483126167331243 0.000456079904177357 0.000765661291854433 9.8422967110188e-05 1.02373811945959e-05 0.000818265626165401 0.00047371664350097 0.000618030849269069 0.000989547722618578 0.00128111090604897 0.000785494337237857 0.000934098031442164 0.00100784736280997 0.000929848310125411 0.000853273061065736 0.00113776013792076 0.00076725186946164 0.000800728246189307 0.00101532140344874 0.00118302075061507 0.000866487352887001 0.00100875432272992 0.000562465548440851 0.000404866818820355 -0.000190319712281869 0.000552017225687108 0.000734757376635045 0.00109567024051632 0.000350018577354044
"NSLNA" 0.00166580677249906 0.00181999263647955 0.00260001438919726 0.0044407328631604 0.00285003284559575 0.00169223491213956 0.00898375560835744 0.0042086968273754 0.00236328159008319 0.000403445262432668 0.0013499673921191 0.00220269238287948 -0.000609943162610684 -0.000849657668271864 0.000896857203989393 3.89622616402117e-05 0.00125037527668643 0.00239885937546771 0.00306942028292848 0.00129898305523899 0.00190953467168001 0.00319720807359823 0.00139849505115976 0.000914580864966236 0.00205211368696698 0.00220398064623494 0.000982971240626942 0.00376124362014787 0.00103848898437741 0.00117149139075236 0.00268701138878658 0.00181277885697763 0.000551148779918336 0.00037984812012221 4.98201751154392e-06 0.00195421917381707 0.00169958961179743 0.000723851209343025
"NSLZS" 0.00201817749117975 0.00200240805291748 0.00229440592920729 0.00385507630790806 0.00243347238757207 0.00145128975169174 0.0042086968273754 0.00676234595592775 0.0027346502185358 0.00114192800260194 0.00197714376665739 0.00181983704639832 -0.000137292601097431 7.95139541326868e-05 0.00147261054316046 0.00104472440142274 0.00169220117825656 0.00220045928342983 0.00354761719132739 -0.000328840035236722 0.00218317005506697 9.73023094898032e-05 0.000721326529956905 0.00246266324342114 0.00228174660318851 0.00256158986443096 0.00135317701021496 0.00343337913965119 0.00178459826625052 0.000900905601792849 0.0020323148371509 0.00225837094121051 9.54986315727696e-05 0.000902677498069445 0.000821097415601728 0.0017560082238021 0.00204303532359372 -0.000344749951758888
"NSLZI" 0.000931689442486842 0.00169607611174868 0.00157315875976622 0.00264571140528406 0.00269604016890035 0.0010097973475351 0.00236328159008319 0.0027346502185358 0.00281606324200572 0.000858279336958006 0.00108890044157204 0.0014361797965296 0.000415710462463117 6.17180405361822e-05 0.00132595939567619 1.3760323673235e-05 0.000898922537717047 0.000617368028868279 0.00152823722602703 0.000442939162353299 0.00171321950149312 0.00311053707377613 0.00128243714050768 0.000489830053747291 0.000835866790654871 0.00197778160472129 0.00068876664345651 0.00275585853813974 0.00137881667814466 0.00115263305342929 0.00145395221955994 0.00175218319615761 0.00019697410350143 -0.000688923781183039 0.000759820233658356 0.000976554120637523 0.00117956427870898 4.0097685373927e-05
"NABR" 0.000578509551887168 0.000965271535557943 0.000764668240020228 0.00112566893480948 0.000737472134718661 0.000483126167331243 0.000403445262432668 0.00114192800260194 0.000858279336958006 0.00188448519071708 0.000577298569692065 0.00109057268046256 0.0012074749217056 0.00078941537779459 0.00074550831922188 0.000638293425947289 0.0010779487267906 0.00121865660999581 0.00101228353603908 0.000820819142100343 0.00134164863443762 0.000929808010955876 0.00052754257200324 0.00100725110080576 0.00113464154515185 0.000844062877293444 0.00105259485688009 0.00133656992061866 0.000394948495515128 0.0009480823654382 0.00106034651726843 0.0012275430523473 0.000246810379080485 -0.000688550587761633 0.00110045154393871 0.00119307904132308 0.000953259605527616 -8.48239360186811e-05
"NAFM" 0.00105409080398514 0.00134105115994552 0.000765201663505 0.00154232913895206 0.000739625210664273 0.000456079904177357 0.0013499673921191 0.00197714376665739 0.00108890044157204 0.000577298569692065 0.0022049172392791 0.00108049443727197 -0.000183822279971615 0.000350783938352445 0.000900077578734517 0.00066291328948444 0.00115816738549544 0.000826978350456141 0.00212515953110359 0.0017648314822697 0.00198540939401232 0.00101914438232196 0.000410453092175063 0.001181218876737 0.00166977169317621 0.00185409198516731 0.00100517837830039 0.00220135001115428 0.00125356411753082 0.000948636223109304 0.000911980691117011 0.00197426971970556 0.000420867515883367 0.000282002199251121 0.000846009017267777 0.000734502115722783 0.000871059066933469 -0.000177557577010635
