"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00674605179949741 0.00175212855998513 0.00237648793402007 0.00116630890848833 0.00139092990386725 0.0010314557623312 -0.00114811902932983 0.00100280213873963 0.00168517787525188 -0.000512325607368431 0.000850114829207537 -0.000833167948691725 -0.00120432210402812 8.31250417242098e-05 0.00384775802407456 0.00169151260390979 0.000803175991135648 -0.00093190197469149 0.00209148873874043 0.00073703579195222 0.000684265450663901 0.00234806729748129 0.000716074479373081 0.000803773466889593 0.00108836259244972 0.00140514811484064 0.000865712090542309 0.0015084076312603 0.00136104535562104 0.000583607386576102 4.5717879182364e-05 0.00123730079069689 0.000304897513584862 0.000751328025949889 0.000389013000243554 -0.00140746150387499 0.000386550721282033 0.000218776180733789
"ISNSL" 0.00175212855998513 0.00559784914090752 0.00279023470632799 0.00383434036689993 0.00341470590294897 0.000697816697201417 -0.000465762225635797 0.000990637940781906 0.00116932432683883 0.000336095475133743 0.000533792239828259 5.09129850588249e-06 -0.000297916710747657 1.62796959832409e-06 0.000634114987580372 0.000693812672457361 0.000603759570743051 4.57823776236975e-05 0.000692882206081121 0.000622135379004669 0.00158788251285011 0.00126672069116524 -2.06196583023032e-05 -0.000483199834990323 0.000354226300240946 0.00304524860836752 0.000910499544755038 0.000374533472865759 0.00130578899940037 0.000806651969988598 0.0012654559128425 0.000537710804521326 -0.000457913027074332 0.000242398057853602 0.000240367669239074 0.000598709652594056 0.000969352641711806 0.000166871395295928
"ISPNS" 0.00237648793402007 0.00279023470632799 0.00415208467619563 0.00223186104832334 0.00219252777485819 0.00113588379604559 -0.00027110385015284 0.00119970130437845 0.00125722101394413 -5.98110005916977e-05 0.000740872010406392 9.25062165868233e-05 -0.000486182710920921 7.20143018849261e-05 0.00282184333989658 0.00114796999588449 0.000577162129628384 -0.00131760078874809 0.00155179858959592 0.000449729046529489 0.0010663913482988 0.00157770542403659 0.00057077909584039 0.000522262581433814 0.000287933957151184 0.00299143300888321 -0.00328268686886942 0.00128057255749246 0.00184500480910621 0.000780296136923924 0.000671863864454752 0.000652632556620606 0.000145913684092314 -0.000301477980338022 0.000455344688556345 -0.000981774943299507 0.000128797433202523 0.000214372369728036
"PMZS" 0.00116630890848833 0.00383434036689993 0.00223186104832334 0.00533074542235562 0.00357779852112422 0.00114154379979807 0.001702494800056 0.00101909966418349 0.000968384042990367 -0.000193527583523423 0.000794767655367167 0.000446509747611048 -0.000470168362556051 0.000139939946474641 -0.000725564161520593 0.000788153130309145 0.000777720778609444 0.000510841680311986 0.000369188558637976 0.00100005946746637 0.00133595389537777 0.00267377897913548 0.000176923667142892 2.38523450093121e-05 0.000303328316499337 0.00191995416012187 8.11814721158509e-05 0.000975352712070622 0.000708340495324538 0.000649980657598784 0.000952174669281169 -0.000652892582581026 -3.41514297762883e-05 0.000439440441340601 0.0001963654226064 0.000512204164217786 0.00140379612792687 0.000444928897006647
"PMZI" 0.00139092990386725 0.00341470590294897 0.00219252777485819 0.00357779852112422 0.00400553449170146 0.000967539474583269 0.000530542992475009 0.00166797015830704 0.000903478521183154 -0.000201584589082625 0.000191610793867565 -0.000248416624494605 -0.000546912057019951 -3.91110270975585e-05 -0.00120458154614288 0.000180698926057579 0.000529884815842753 0.000530749657313794 -0.000211037125274409 0.000150063261132315 0.000651012544641137 0.000762054816104523 -0.000151559573842178 -0.00181645552204023 -0.000745196032262861 0.00183534980401847 -0.000230199935667484 0.000866225080260189 0.00147395195693116 0.00058066567141054 0.000837777482531984 -0.000807591240403948 -2.24269784328202e-05 0.000585886622838393 1.7284456662627e-05 0.000658238098612493 0.000497797340492336 0.000112347843516849
"PMMT" 0.0010314557623312 0.000697816697201417 0.00113588379604559 0.00114154379979807 0.000967539474583269 0.00166400755774567 0.000756811848642309 0.000729485942808616 0.000384203114270614 -0.000322342032803921 0.000421115154359828 6.64530458406702e-05 -0.000319282150768421 -8.2330187628604e-05 -0.000236735266800378 0.000496609358453156 0.000467825933002902 0.000509872419990499 0.000479100232634425 0.000216359411507097 -9.45130522404398e-05 0.000622413594773336 0.00035642164213433 0.000691487778025382 0.000446048442421761 -0.000458109681909045 -9.0571104847178e-05 0.00028527426622634 0.000726941003366447 4.84843692312864e-05 4.98352056549828e-05 0.000166041163256472 -4.18626049451154e-05 0.000187894067139834 0.000155956375212518 0.000398654690141785 0.000130978225446924 0.000432588034172455
"NSLNA" -0.00114811902932983 -0.000465762225635797 -0.00027110385015284 0.001702494800056 0.000530542992475009 0.000756811848642309 0.0103245066008453 0.00295321217418907 -0.000621007065373968 -0.00231554552605731 -0.000110194237590032 0.00333428755192038 -0.00106530535616938 -0.000606158980253349 -0.00593494931474485 -0.000369524509601731 0.0002732074770792 0.00367647591593067 -0.000622206617501556 -0.000921617892627938 -1.56338713158507e-05 -0.000887231037958123 -0.00028272901406497 0.000428450037144931 0.000496668329029326 -0.000432698871051576 -0.00229856312885629 -0.000230831509854684 0.00168603185583759 -0.000513964886564006 -0.00145267626118832 -0.000470750126608788 -0.000797996424406348 -0.000639932836352048 -0.000925853291829538 0.00173582429157995 0.0015839869683865 -0.000277052401558392
"NSLZS" 0.00100280213873963 0.000990637940781906 0.00119970130437845 0.00101909966418349 0.00166797015830704 0.000729485942808616 0.00295321217418907 0.00990978535476063 0.000301738325841972 -0.000841495287753385 0.000622173465123535 0.00136385314886164 -0.000304866431204004 0.000391952493110592 -0.000253889157772356 0.00105036774663555 0.000396144549983344 0.000391092114910515 0.000734961256624239 -0.0041826501543591 0.000798602795172349 -0.00410972696777974 -0.00022752970631744 0.000226483524452787 0.00113955980860819 0.00182436189515576 -0.00318216115166679 0.000654705165071376 0.00561311676459792 0.00053646094634294 -0.000752704041068208 0.00136472908912046 -0.000296619960082999 0.000849747862955913 2.14738226805661e-05 -7.18223974585397e-05 0.000278515568555277 -0.00204431692885631
"NSLZI" 0.00168517787525188 0.00116932432683883 0.00125722101394413 0.000968384042990367 0.000903478521183154 0.000384203114270614 -0.000621007065373968 0.000301738325841972 0.00162519881435335 0.000104073068801099 0.000907051534458521 -6.37094623079074e-05 -1.80615099109386e-05 0.000243885389812584 0.00205782471119963 0.00088079969969611 0.000597414317997021 -0.00047374363481814 0.00168619023657515 0.000754408872388437 0.000592029105073844 0.00249348826885024 0.000126979383756898 0.000557297430963876 0.000766290569660078 0.00152911198634183 0.000482741399072074 0.00115039639781126 0.000437579678042555 0.000727229311140498 0.000677091594520264 0.000897801041381318 0.000553791430936345 0.000983399991656736 7.70699184278478e-05 -0.000396144107461973 -0.000133885646770977 0.000500143397142941
"NABR" -0.000512325607368431 0.000336095475133743 -5.98110005916977e-05 -0.000193527583523423 -0.000201584589082625 -0.000322342032803921 -0.00231554552605731 -0.000841495287753385 0.000104073068801099 0.00266804522946214 0.00049572291481289 -0.000202699062838205 0.00212073349862099 0.000723636909235513 0.00191798579988861 -0.000428020365746954 -0.000140560090768686 -0.00084444911865141 -0.000385745634512433 0.000609425879959019 0.00012816876715783 -3.32360090791931e-05 -0.000244601524288974 0.000184939784351618 -6.19751349816846e-05 3.03265373020721e-05 0.00111301115000548 1.18560171774021e-05 -0.000786414684166711 -0.00016900610964014 0.000635809351682104 -0.000336902583924012 0.000361402761013684 -0.000331526888617096 0.00041285444251951 0.000306149403611838 0.000290084478304439 -5.15258776713598e-05
