"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00665578147297199 0.00486805364111772 0.00362740943696771 0.00315091563856479 0.00247377844167226 0.00214555625828058 0.00169097765458868 0.00288280056415164 0.00158170319826575 0.000938343445374141 0.00132322482524803 0.00194779223756748 0.000437077956463582 0.000675600361985859 0.00189374199682279 0.000655868847770481 0.00080030128736209 0.00125776983608606 0.00145986716830978 -0.000282631261111461 0.00185201678727683 0.000967186601499218 0.00182629879390584 0.00111742446206493 0.00175360221373397 0.00286768993792189 0.0032005108836273 0.00087529306889397 0.000736982328705925 0.00160459095740716 0.0017299944965595 0.00149581139106906 0.000609094826144369 0.000566214264101236 0.00078133188550203 0.000779349404433308 0.000830819225735576 0.00103602892872585
"ISNSL" 0.00486805364111772 0.00992356434515688 0.0051117590911329 0.00714902982904317 0.00546759286383193 0.00294548025517741 0.00265705376858432 0.0029828845787105 0.00195718801620065 0.000586352606831163 0.00120096200197118 0.00277445553574402 0.000234900885728728 0.00050323939234775 0.00115601464162774 0.000355139888330014 0.000782270415308317 0.00162506252787215 0.00147954964799952 1.3209171294848e-05 0.00330413621680456 0.00146544515519338 0.00309252919310177 0.000579736372260068 0.00228875406934418 0.0049012251484659 0.00317242620233642 0.00207321043744307 0.00261415419108403 0.00204907337711724 0.00239086894826383 0.00149558191747294 -9.76012107077554e-05 0.000331971456138937 -0.000414233665098467 0.00106380991139903 0.0014040534069442 0.00168301880698277
"ISPNS" 0.00362740943696771 0.0051117590911329 0.00511221939517183 0.0040651331281819 0.00323595202301012 0.00224355834267106 0.00224296910799402 0.00266121028786067 0.0015962060039529 0.000140280625371675 0.00131228883588721 0.00258939415497516 0.000304784794652609 0.000492664626855303 0.00131237273004222 0.000254559491015816 0.000897738368877334 0.00139013376677152 0.00104006217029978 -0.000195198391838948 0.0023265492985687 0.00148216324665901 0.00212109697151158 0.00214512690759313 0.00209562168139979 0.0050651955005177 -8.03961878353867e-05 0.00181778458254153 0.00152460338093889 0.00165084936977545 0.00154151305694951 0.00151844538996701 0.000212459469616275 0.000773731786918793 0.000428350201676182 0.00127528385658128 0.000826646656663001 0.000837521837701914
"PMZS" 0.00315091563856479 0.00714902982904317 0.0040651331281819 0.00878780023588484 0.00650681154301182 0.00299900386509086 0.00721532386450671 0.00467419826953925 0.00262197133767783 0.00110641342352981 0.00192060703489515 0.003059748964328 0.000431146293402151 0.00113998780356784 0.00154485203101584 0.0011261892394294 0.00108344503803909 0.00201005688712074 0.00223775304389907 0.000593142254596619 0.0042928699513469 0.00341111625312838 0.00495650683012921 0.00173231664015979 0.00290907326494914 0.00497735852995768 0.00387880932979713 0.00280585597187437 0.00248696958312444 0.00245440247759607 0.00240836014441924 0.00210773484564818 -0.000344795730077418 0.000253724709712297 -0.000150325322310161 0.00127562546642938 0.00190190987551147 0.00177859758957227
"PMZI" 0.00247377844167226 0.00546759286383193 0.00323595202301012 0.00650681154301182 0.00678207207299682 0.00262671511795299 0.00496486486709628 0.0045347150628251 0.00253047563021789 0.000813591003858883 0.00170833037204873 0.00225879751185687 0.000521210489650284 0.000931614601793502 0.00113826517082779 0.00100942342658265 0.000768017589104074 0.00110719934453116 0.000773024498162431 0.000264553475156923 0.00298357612390482 0.00136876440732273 0.00416558835971144 -0.000541814421227716 0.000770543283280763 0.00392487159428174 0.00376669243848778 0.00191141434979839 0.0020288069186399 0.00171788835085538 0.00161331810881844 0.000666673009031007 0.00011618086192114 0.00036717787350927 -2.14752630755498e-05 0.000668100530978434 0.0010502637850902 0.00147384222025318
"PMMT" 0.00214555625828058 0.00294548025517741 0.00224355834267106 0.00299900386509086 0.00262671511795299 0.00250192827710012 0.0011064296903193 0.0020033011844452 0.0015393554413645 0.000670438043171662 0.000991956931286084 0.00103025505177385 -4.11896916600943e-05 0.000465898837943463 0.000967831283493366 0.000715996606163602 0.000675197508976164 0.0016700224646969 0.00119866174356054 0.000235471853794696 0.0016290009978793 0.00180346059900478 0.00191159945306284 0.00104211479148512 0.00160312326651592 0.00180061726694178 0.00170749913395295 0.000945076404944946 0.0013627603106941 0.000936305586405427 0.00129057070079439 0.000870389627275928 3.64050552869567e-05 0.000462910381776005 0.000190403927954164 0.000967426769453756 0.00111261167536181 0.00110658372999346
"NSLNA" 0.00169097765458868 0.00265705376858432 0.00224296910799402 0.00721532386450671 0.00496486486709628 0.0011064296903193 0.0252741263529767 0.00455991933038029 0.00188807554154405 -0.00145507536838955 0.00282372240599954 0.00756306070196531 0.00125839531081455 0.000972995013178963 -0.00156781844571636 -3.91627345055015e-05 0.000480622055211367 0.000999340541378856 -0.00011054838109866 0.00520173640663845 0.0054266967972282 0.00301712219788608 0.00653236099963449 0.00325158687394222 0.0029112581838975 0.00480984848023426 0.00445094258505452 0.00337006989725249 0.00124333299207823 0.00250797062808445 0.00294970261397414 0.00219784170214718 -0.00142696003906855 -0.00155592576013957 -0.00046576289140912 0.00171976565506308 0.00146094229107001 0.00144247818804543
"NSLZS" 0.00288280056415164 0.0029828845787105 0.00266121028786067 0.00467419826953925 0.0045347150628251 0.0020033011844452 0.00455991933038029 0.0108449831614285 0.00330932246107916 0.00198468611797241 0.00325644406343788 0.00170099487147578 0.00119910177985321 0.00111426005553144 0.00150439837979392 0.000984959751031714 0.000684001820181509 0.00163144898980241 0.00176239383532667 -0.00182465317346305 0.002448745094072 -0.0011227903766515 0.00217156985203941 0.00246659048643401 0.00277268853338391 0.00316852987999836 0.00341830533067556 0.00121335695993087 0.00261808437985058 0.00126260758704629 0.000480450810609472 0.0022527209716906 0.000281305676276334 0.000582331435806111 -0.000126105833158957 0.00056239166341368 0.00108531638953876 0.00125213345807203
"NSLZI" 0.00158170319826575 0.00195718801620065 0.0015962060039529 0.00262197133767783 0.00253047563021789 0.0015393554413645 0.00188807554154405 0.00330932246107916 0.00299562864777716 0.00116737971336871 0.00156816931475281 0.00129811229160691 0.000475910994967436 0.000588263803134641 0.00111781629397432 0.000849488237311464 0.000518764171534495 0.00121829337865259 0.0018735967873519 0.000525775196893428 0.00182589151321771 0.00338095241349068 0.00155206974763519 0.000921594521597109 0.00254055725106035 0.00213314874428652 0.00159882294013767 0.000631469173581426 0.00226879366669664 0.00104447563417576 0.00120401811322108 0.00192451834268996 0.000516699461830597 0.000186932161689786 -6.12144747893673e-05 0.000536266388038836 0.00104541015368632 0.00108394415767179
"NABR" 0.000938343445374141 0.000586352606831163 0.000140280625371675 0.00110641342352981 0.000813591003858883 0.000670438043171662 -0.00145507536838955 0.00198468611797241 0.00116737971336871 0.00329112514937708 0.00109818052959325 -0.000192359623605395 0.00124400541329519 0.00122077397572459 0.00174447084799291 0.00124129592052945 0.000576815441298111 0.000874975633147838 0.00176105498015333 -2.16460115517952e-05 0.000725965071183968 0.00106495704526729 0.000246777078774486 0.00102062511693544 0.00168594926314151 0.000553888825642102 0.00106783759191706 0.000327777301666237 0.000928167941990189 0.000764996881150059 -0.000162935030557377 0.00147929985711227 0.000875951359188709 -0.00067928376666113 0.000464624320852203 0.000193776773139413 0.000971319488720473 0.000902470589795538
