"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.0105545425198799 0.00991484083859427 0.00906184464436656 0.00809471982350071 0.00744450749867981 0.00550640746134466 0.00751025969211426 0.00917642094860877 0.00666399392574913 0.00326674270921829 0.00481649040296577 0.00327675616029966 0.00185644072625203 0.00302440946700071 0.00143385536745877 0.0031283605373433 0.00378717800058371 0.00487653885057121 0.00572270052071164 0.0038069378715661 0.00592103988605739 0.00360858172543486 0.0085563794019881 0.00377511467897463 0.00321296182235948 0.00995245662908972 0.00531139685144195 0.00497822366376379 -0.000401936660784689 0.00363337247447965 0.00541250816942863 0.00439274737213305 0.00517755440236052 0.00257773577749998 0.00427443882877673 0.00340248985765806 0.00185351030514091 0.00139239948092326
"ISNSL" 0.00991484083859427 0.0148969556155729 0.0107089351075557 0.0120590672411611 0.0103225810637689 0.006081296437363 0.00939256652034951 0.0105477595153566 0.00724759385779245 0.00443179785500659 0.00668089833086424 0.00363132857538009 0.00206041846283579 0.00402595576677505 0.00159123728916377 0.00401977149802779 0.00399788812514029 0.00570394474092347 0.00800062298780581 0.00497641891877345 0.00878620172276019 0.00637562162149577 0.0108942023934017 0.00462439165075092 0.00531441247969576 0.015020774191901 0.00677589483331272 0.00548707895637003 -0.000260580456771656 0.00365469820811643 0.00670219695551641 0.00648902850263865 0.00623547920660914 0.00279375013800268 0.0048241254048214 0.00366890357141689 0.00175054071488969 0.00224012084827517
"ISPNS" 0.00906184464436656 0.0107089351075557 0.0109687701762391 0.0107402065053911 0.00968803029338939 0.00564886003157047 0.0094316310961632 0.0115659809060092 0.008102517303967 0.00462094042522379 0.00552393856966616 0.00274861941146656 0.00157575792063609 0.00380437198358827 0.00311632428508719 0.00364158005268796 0.0036088647689284 0.00575149322811442 0.00796232724727121 0.00406574176921904 0.00787927225195929 0.00518813501409619 0.00952671383587737 0.00535584486927629 0.00545394107887247 0.01675560773231 0.00301758993113976 0.00547081611322454 0.00075024236308976 0.00415943960925484 0.00641171275754833 0.0066128557970972 0.00637216610062968 0.00280159353221417 0.0053034419519256 0.00327457147332757 0.00265661348188853 0.0027319437521661
"PMZS" 0.00809471982350071 0.0120590672411611 0.0107402065053911 0.0134167037812822 0.0110084754099337 0.00588366579253918 0.0126109638259617 0.0133443330456672 0.00830952791794886 0.00455375247107587 0.00604504108554953 0.00368857991087189 0.00176411418108109 0.00413657106795383 0.00330714611241326 0.00378598963814529 0.00327234347086788 0.00548936819216173 0.00854737327579125 0.00537494083511079 0.0099404871827349 0.00698132715671189 0.0108986334112166 0.00578533255906344 0.00673124150749825 0.0174077955280118 0.00556838794732198 0.00507567765517329 0.00122817106602449 0.00405501433246133 0.00630766240592796 0.00731385026552838 0.0069849475627632 0.00352764602931792 0.00540772599315633 0.00326428291678378 0.0024297612315142 0.00327326226750996
"PMZI" 0.00744450749867981 0.0103225810637689 0.00968803029338939 0.0110084754099337 0.0105812545931899 0.00562230104299269 0.00919890747098427 0.0111276129090511 0.00858041150661511 0.00475981330806935 0.00579069785388337 0.00271691659197817 0.00185133164379257 0.00356711041344942 0.0030525781588489 0.00309388858579679 0.00302226836062721 0.00511107679592614 0.0075599070350774 0.00421838393605907 0.00787290467363652 0.00550972128644736 0.00964496682722593 0.00411023460228118 0.00522678297933748 0.0155311464460644 0.00540271929594741 0.00469391294087308 0.000805258776382241 0.00371692000873117 0.00553849063614079 0.00681264883553307 0.00637614262015635 0.00327831567539667 0.00495811436015362 0.00300671881561357 0.00273184472668842 0.00299894678441168
"PMMT" 0.00550640746134466 0.006081296437363 0.00564886003157047 0.00588366579253918 0.00562230104299269 0.00447831051829255 0.00523810794372158 0.00623707138549451 0.00481764630758845 0.00214923207383424 0.00337843921027185 0.00176238198627077 0.00109687418615738 0.00204985056655172 0.00132228331936935 0.0018159672975443 0.00214220677860891 0.00306460926867653 0.00387793452612412 0.00298064451764268 0.00370385381944039 0.00302959980069565 0.00526861826896141 0.00296360402779879 0.002258060542269 0.00619898294777646 0.00438744944614134 0.00311974870111688 0.000155257926372844 0.00230837499256748 0.00309883750340001 0.00333141518723185 0.00341197830519608 0.00266384831648795 0.00270775113514311 0.00227519869760815 0.0015367462811772 0.00156664407378933
"NSLNA" 0.00751025969211426 0.00939256652034951 0.0094316310961632 0.0126109638259617 0.00919890747098427 0.00523810794372158 0.0165028267740011 0.0143420710584434 0.00773378084157601 0.00330632003079002 0.00497798314090235 0.00433073534218539 0.000704994206265412 0.00345191601167097 0.00447723939287006 0.00315622546594058 0.00235373694159793 0.00378765258686949 0.00786288399082884 0.0070120691367606 0.00964823891237284 0.00616361706147602 0.0110767341016492 0.0053037927556736 0.00684309363175762 0.0145996919739305 0.00497477047927998 0.00396656439473876 0.00119465017720643 0.00315310387031005 0.00573023870412749 0.00584219711284066 0.00637771912135104 0.00328715263075584 0.00468131057487004 0.00256811451629293 0.00142358223203109 0.00327056319316769
"NSLZS" 0.00917642094860877 0.0105477595153566 0.0115659809060092 0.0133443330456672 0.0111276129090511 0.00623707138549451 0.0143420710584434 0.0154581226048517 0.00976352594853854 0.00486441500539282 0.00614596568455668 0.00396307591617182 0.00173898060269911 0.00425276192634496 0.00427385643684828 0.00379624816772353 0.00337875336554881 0.00548647687085958 0.00895645286202863 0.00571211107018657 0.0100510623471115 0.00640688359043748 0.0116725813560564 0.00637785431924768 0.00702169393176234 0.0180857817082642 0.00512326724408043 0.00523598458765399 0.00112717757995696 0.00444415042973218 0.00646424946189206 0.00743686883437996 0.00766472592340233 0.00384972083755981 0.00598373001271467 0.00325056488340621 0.00293489607387735 0.0039165188879212
"NSLZI" 0.00666399392574913 0.00724759385779245 0.008102517303967 0.00830952791794886 0.00858041150661511 0.00481764630758845 0.00773378084157601 0.00976352594853854 0.0085171153430818 0.00428838054495348 0.00511115887213395 0.00230016763176364 0.00167371640286808 0.0030199360057583 0.00305292571757662 0.00235191432155219 0.00257268900360322 0.00437314061731335 0.00661747374301066 0.00409332630838725 0.00599307100539747 0.00487123104618104 0.00862627261254158 0.00313098366510913 0.00439267289397523 0.0126181835889333 0.00439938784277486 0.00424794438102883 0.000526990698253069 0.0033890309479847 0.00477745081151016 0.00587475222087323 0.00590224681963846 0.00309829116770374 0.00447653786888266 0.0027142273471987 0.00287528237847486 0.00308347064246099
"NABR" 0.00326674270921829 0.00443179785500659 0.00462094042522379 0.00455375247107587 0.00475981330806935 0.00214923207383424 0.00330632003079002 0.00486441500539282 0.00428838054495348 0.00483951198821591 0.00285346726722428 0.00096190178034238 0.00223690448919039 0.00220152717266069 0.00236751945050156 0.00119528703199547 0.00125370760123179 0.00247614777000026 0.00337119934755246 0.00201364085606092 0.00343931857694227 0.0025775321181204 0.00544682942600133 0.00174557815604412 0.00216556174684032 0.00791808485866883 0.00122579084590076 0.00216145026779249 0.000588541648185167 0.00178396797485006 0.00252598293712452 0.00344786988843566 0.00296389515300459 -0.00161049744008731 0.00269813861663034 0.0012506314489687 0.00166827693944807 0.00169876992080571
