"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00673552327360527 0.00357654629255396 0.00469434063749831 0.00305350349308793 0.00306848753819756 0.00308139072831799 0.00271374996822955 0.00317275979328116 0.00349876130894887 0.00185404932030548 0.00163389834574122 0.00183326009764406 0.00182408013751818 0.00226809253732667 0.00258919032329421 0.00289269011593726 0.00220145258891588 0.00162455101241528 0.00251734256982399 6.87127338996565e-05 0.00267851788575841 0.00478777635624058 0.00244761742786453 0.000929649597373526 0.00195334270108337 0.00472286542506391 0.00168645809678012 0.00203176801662927 0.00514347253760473 0.00204019951676102 0.00250316687457736 0.00193556572526437 0.00423630733299431 0.00178739546306266 0.00383340235739796 0.000116582394800833 0.00348801917392357 0.0014869755341388
"ISNSL" 0.00357654629255396 0.00844634050703014 0.00519747174120226 0.00771014058510953 0.00572454560477527 0.00307582443605545 0.00465417024566045 0.00224571677524133 0.00364687722422156 0.00263098657249768 0.00134489857227904 0.00288098199087017 0.00119991932589249 0.00218014083103903 0.00485644157834553 0.00276476655943973 0.00206846271845879 0.00208330811913572 0.00461400736467684 0.0027446780379576 0.00493663810307448 0.0061064020428579 0.00339036593853518 0.00412430844800299 0.00400877637245134 0.00576926613492586 0.00478481002330249 0.00311359871856074 0.00369718631930831 0.00259048276318654 0.00295519585351836 0.0044857313778949 0.0029930887286028 0.000673359265908601 0.00273340496273675 0.00153506332379633 0.00610964398198834 0.00125136384256113
"ISPNS" 0.00469434063749831 0.00519747174120226 0.00633765691304966 0.00556189003324328 0.00458232127196788 0.00317836842752447 0.00389090963280492 0.00363737942166457 0.00414622714372932 0.00257922091192696 0.00148715964141152 0.00292404918337776 0.00154559904873162 0.00241348815965332 0.00562868701249498 0.00315901052565737 0.00221877466665625 0.00163671576054019 0.00449239805441158 0.000945227699469181 0.00431209625712628 0.00657425701394491 0.00317592610309888 0.00356129716598507 0.00394274058879201 0.00621123774914435 0.00221379451581571 0.00321246145771824 0.00710298394090403 0.00267304602386702 0.00413474149080981 0.00426222862718024 0.00323615045522483 0.00215984032057062 0.00296150343843011 0.00072782091682595 0.00570323950481945 0.000793602494724388
"PMZS" 0.00305350349308793 0.00771014058510953 0.00556189003324328 0.0107790071364332 0.00770610948560772 0.0031158685742143 0.00894918576984542 0.00505152603322208 0.00430293679446963 0.00343648493051198 0.00125196908770933 0.00347165748755537 0.000910585367145831 0.00229458002647114 0.00638026104280094 0.00296944238597182 0.00248812219053851 0.00184480051857027 0.00542035537152241 0.00360084048963837 0.00695703410740324 0.00728655027921945 0.00655669258839232 0.00429684182535343 0.00469859405317254 0.00714999943556393 0.00620437142135236 0.00423380332083578 0.00571959365746228 0.00379781687508569 0.00388122365694112 0.00562374219853213 0.00260872864970841 0.00135689627514716 0.00364829250077174 0.00116520478820618 0.00776859957757573 0.000334777484310608
"PMZI" 0.00306848753819756 0.00572454560477527 0.00458232127196788 0.00770610948560772 0.00883133216490054 0.00310994601331277 0.00658549184559973 0.00417225316021709 0.00524066971602694 0.00234958704132232 0.00109225360179091 0.00268903811139114 0.000888343558854061 0.00168583721034465 0.00465614982194159 0.00193451677493994 0.00188752161428448 0.00164336331150764 0.00371939617377377 0.00295991563529061 0.00545936054433407 0.00625759236304842 0.00698246289543268 -0.00120165857426585 0.00237456761870719 0.00576371126360778 0.00465413023427997 0.0035335319369791 0.00528174940438257 0.00265687862913425 0.00297336376977395 0.00371130220721531 0.00282927332406699 7.14504409051405e-06 0.00372045966955489 0.000168095587521109 0.00652897935582661 8.72031483818607e-05
"PMMT" 0.00308139072831799 0.00307582443605545 0.00317836842752447 0.0031158685742143 0.00310994601331277 0.00354732420339214 0.00169323407111458 0.00178524756066873 0.00239433223480972 0.00150991849163654 0.000909563943481251 0.00117532093888512 0.00149007405789667 0.00167995935971558 0.00235557042949535 0.00155906450190051 0.00141815240994708 0.00117560596137111 0.00203030228155163 1.34951203274105e-05 0.00219923957276164 0.00356174740147699 0.00253960822844148 0.00127865039285535 0.00119541900984801 0.00267436027883643 0.00176757717142482 0.00190635099742823 0.00420289278560289 0.00141268133680096 0.00206250257429402 0.00148064441913346 0.00261811936488641 0.00163259429497187 0.00227559270953376 0.000913683671440818 0.00265517571314422 0.00090963628165155
"NSLNA" 0.00271374996822955 0.00465417024566045 0.00389090963280492 0.00894918576984542 0.00658549184559973 0.00169323407111458 0.025243751796692 0.00407347075724745 0.00299647801327413 -0.00111074029847884 0.000346091651826084 0.0080124757879155 -0.000290296291648858 0.00210567407782877 0.0044170182581084 0.00537273535816393 0.00334582236667622 0.00103139749519777 0.00382863720629541 0.00671808007898792 0.00584513593432964 0.0050690108463951 0.0063743583627653 -0.00113050593774498 0.00363835805144561 0.0075451330917898 0.00266488628435118 0.00331499316887598 0.00953842692673002 0.00308253537896737 0.00218179246697891 0.00401591636656014 0.000848591150497636 -0.0015355485749557 0.00356140957269986 -0.000691258621399133 0.00690508306325719 0.0014535498355394
"NSLZS" 0.00317275979328116 0.00224571677524133 0.00363737942166457 0.00505152603322208 0.00417225316021709 0.00178524756066873 0.00407347075724745 0.00740528306046197 0.00405583191690983 0.00220707547911412 0.00221563507282139 0.00185274709490349 0.00102963904525839 0.00159472703142691 0.00433988795206599 0.00211632624621997 0.00170743341499927 0.00128009511235894 0.00395049015459271 -0.000164012111458825 0.00426551616485212 0.00451961233121668 0.00460990218423821 0.00259003689359807 0.00293862308505372 0.00513548231608434 0.00301511654442183 0.00216607443714961 0.00423297638128046 0.00309085952607437 0.00307564563394842 0.00396844603477204 0.00280374572628461 0.00126476647255797 0.00338594345916962 0.000224623160326029 0.00470291702071662 0.000711235621147272
"NSLZI" 0.00349876130894887 0.00364687722422156 0.00414622714372932 0.00430293679446963 0.00524066971602694 0.00239433223480972 0.00299647801327413 0.00405583191690983 0.00589193328378307 0.00228049890084097 0.00211642883007294 0.00267798780692381 0.00173000725992755 0.00214835914117562 0.00532644325084541 0.00173714906751874 0.00180057372560701 0.00177389936829455 0.00464104108194455 0.0019727443205215 0.00450660757460967 0.00801970817643287 0.00445228818431755 0.00184206608643887 0.00413500561362919 0.00504078255895377 0.00336376530181316 0.00335936438521864 0.00561503972425184 0.00291032079570089 0.00352254870006851 0.00460878700558985 0.00358445373709953 0.00159910078934668 0.00339993212543615 0.000911763809040972 0.0059967942840924 0.000836116469845562
"NABR" 0.00185404932030548 0.00263098657249768 0.00257922091192696 0.00343648493051198 0.00234958704132232 0.00150991849163654 -0.00111074029847884 0.00220707547911412 0.00228049890084097 0.00704942631162023 0.00105573542809883 0.000755276132993486 0.00358675292539769 0.0028428565997208 0.00324342144797744 0.00101139849482278 0.00165262702947081 0.00186277799961731 0.003106366141187 0.0018670981920092 0.00318184053906394 0.00371012948007091 0.003766999243033 0.0041214996617354 0.00316190991596425 0.00190693203331984 0.00357807862427032 0.00254409333109799 0.00240477232522877 0.00246192734979731 0.0022731829185988 0.00324610099768402 0.00271737206694822 -0.000235082163808008 0.0029883947042142 0.00116387366388187 0.00380374439490673 -0.00130677720334344
