"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00268822517263348 0.00148780721227836 0.00223697790997362 0.0012762897709273 0.00131717012746386 0.00101155364454689 -0.000165374166214732 0.0010579280643326 0.000849365297982255 -0.000465115265612995 0.000647884124143989 0.000375418642122916 0.000158421434370662 0.000408432260990099 0.00152967489278145 -0.000852283810534954 -0.000105387397955197 -0.000104804405564447 -0.000466409173922959 -0.00113046561526549 -0.0005074432622403 0.00104427854991568 0.000259560674649279 0.000526681668104918 0.000430491852777211 0.000798070232763941 -0.000126091789209619 0.00157939639100193 0.0015615273928345 0.000910148070689992 0.00124523872132379 -0.000439428529901356 0.000179860284095214 0.00262289078101023 3.55091254582598e-05 0.00024549705304071 0.000889352418934741 0.00110863249011786
"ISNSL" 0.00148780721227836 0.00516161216718867 0.00244850881697643 0.00342323512099569 0.00112906768042517 0.00101228252850723 -0.00141215375384893 0.00189827377658748 0.00118973307853907 -0.000475414755360919 0.000353487921439004 0.000433005358526067 -7.75572743704188e-05 -0.00043612278522412 0.000469737241547097 -0.00134968170760511 -0.000225039213094623 0.000359411221049204 7.48236769689493e-05 -0.00182850561633536 -0.000104806832543359 0.000218014186923583 0.000683741131459726 -2.46696484171375e-05 0.000869060739546892 0.00106569862500002 -0.000462670944871567 0.00219629281563101 0.00160935828214778 0.000626758647243633 0.00212159684321581 0.000400506298425569 -0.0001871361067559 0.000433034581507096 -0.000931960405435352 0.000604229649111973 0.000867368213793668 0.000742934555785875
"ISPNS" 0.00223697790997362 0.00244850881697643 0.00351779556722665 0.00222546406538626 0.000939127475618013 0.00151777195948412 -9.70845260092377e-05 0.00109948506262238 0.00054234447852901 -0.000819757571348228 3.27418556789195e-05 0.000920119399998547 -4.78148921571317e-05 0.00024458019204883 0.00178596829100558 -0.000818467514193519 0.000192141211592909 0.000193716650773503 -0.000198653009710893 -0.00140234306466899 3.24476597980178e-07 1.49328698293405e-05 0.000931400431186935 0.000550385934719655 0.00066145615542467 0.000778819365671305 -0.0017174335686399 0.00263596387668492 0.00199638014851757 0.00127871147374268 0.00241526052807992 -0.000141512245142331 -0.00046791872582157 0.00147620545750868 -0.000329843792611085 0.000428182206943226 0.00128131837927408 0.00065791165490717
"PMZS" 0.0012762897709273 0.00342323512099569 0.00222546406538626 0.00518433891457961 0.00123024001892417 0.00149244839985622 -0.000178048228689215 0.00274300002345651 0.000507896918310687 -0.000337248639423693 0.000248483032549961 8.98522090342929e-05 -0.000102857969926031 9.76689854721923e-06 0.000336052397147031 -0.000197933557824916 0.000764851486244435 0.000864577508267131 0.00012473555036769 -0.00345964175284687 -0.000300099246349098 -0.00231558128248902 -0.000255010492222854 -0.000672034862871683 -2.1829868091117e-05 0.00171082901267166 -0.00104775808349232 0.00378606919267615 0.00206976085436574 0.00121476720160393 0.00242064765327266 0.00103955921605221 -0.0010937059860569 0.000369077418306773 -0.00147383283658594 0.000554079164683591 0.00115546843626326 -3.6332276265676e-05
"PMZI" 0.00131717012746386 0.00112906768042517 0.000939127475618013 0.00123024001892417 0.00588420963376773 1.19295587025048e-05 0.00203341988801015 0.00141868652273033 0.00331820017339964 0.000291448554407592 0.00113163373568615 0.000573046982811688 -0.000195830615694294 -0.000123722202162314 0.00309350210524506 -0.00108045648630924 -0.000630077770142457 -0.000986595673044417 -0.0006890571350547 -5.52610626009724e-05 9.45849609442063e-05 0.00727634637278344 0.00206800259159386 -0.00134324789243888 -2.67171085080919e-05 0.00149938557944703 0.00041997426291458 0.00112816860769736 0.000956945771071814 0.00144097595190166 0.00105769758237498 9.30914285639366e-05 -0.000421559868340015 9.93309626386601e-05 -0.00100638014415386 -0.000347365907341343 0.000502516654426112 0.00109776886781751
"PMMT" 0.00101155364454689 0.00101228252850723 0.00151777195948412 0.00149244839985622 1.19295587025048e-05 0.00134385462078621 -0.000342267140862714 0.00064885885434628 -6.91142874370437e-05 -0.000238774796965471 0.0001011957830219 0.000149745961845902 0.000171099608995126 0.000281068089209229 0.000113415933762828 9.21359108357728e-05 0.000494370841935207 0.0004277779999527 -0.000189031754872551 -0.000619118732847964 -1.22151308981538e-05 -0.00113553836869896 0.000470848980214583 0.000350443815992105 0.000296099623662765 0.000527793751496851 -0.000321260030572993 0.00158941029040568 0.0011417512134319 0.000675527851411285 0.00127688633289662 0.000177641923442382 -0.000243454299381599 0.000656642420117733 -0.000354870395938385 0.000418897417971434 0.000821150816870935 0.000616451023460853
"NSLNA" -0.000165374166214732 -0.00141215375384893 -9.70845260092377e-05 -0.000178048228689215 0.00203341988801015 -0.000342267140862714 0.0153771184066254 -0.000367911382708603 0.000431226904974825 0.000133004609713356 0.00038179679507194 0.00104188913783468 0.000176980055398898 0.000169117702682891 0.00178049355942313 0.000132288314325771 0.000360717840629354 9.56590210657919e-05 2.41362199456417e-05 0.0026347814660043 0.000288712597477132 0.00170610142310951 0.00191719634841261 -0.0004284538891895 0.001689807792709 0.00103424521008625 0.00110476181485029 0.000618909567147869 0.000190704333246439 0.00130148548843346 0.00184933267981361 0.000368256751938895 0.000357066943121803 -0.00155439461133945 -9.25325189990454e-05 -0.000284618695645369 -0.00103325596185911 0.00105738270630615
"NSLZS" 0.0010579280643326 0.00189827377658748 0.00109948506262238 0.00274300002345651 0.00141868652273033 0.00064885885434628 -0.000367911382708603 0.00330070251740039 0.00120227375716285 -0.000226923292857889 0.000885159833623078 0.0006865618189639 -3.03828467583456e-05 0.000128061228416638 9.24613298888179e-05 -0.000234920342077897 0.000332541992927925 0.000449523894797314 0.00025267629809496 -0.00235986396866263 -0.000691932623688932 -0.00113812391598297 -0.000861600151493284 -4.55532509328815e-06 -0.000116075558113685 0.000657580967200139 -0.00053827641401382 0.00216489060071947 0.00106413646143498 0.000644293652713333 0.00025765504217226 -5.3103564611832e-05 -0.000268808418849159 0.000222021627079112 -0.000985881347934061 0.000164032322673026 0.000484844331778219 0.000975526867749322
"NSLZI" 0.000849365297982255 0.00118973307853907 0.00054234447852901 0.000507896918310687 0.00331820017339964 -6.91142874370437e-05 0.000431226904974825 0.00120227375716285 0.00282785072679109 3.69588013554717e-05 0.00108645635760367 0.000963417429239622 -0.000103252193039526 0.000257794952750237 0.00206504223957538 -0.00121309057461117 -0.000541131738119241 -0.000303814263324086 0.000483372386861998 0.000189842878729762 3.97244814990118e-05 0.00564291438271275 0.00124331158398202 0.000186707899853913 0.00108720885732646 0.000880402546872317 0.000715564488643371 0.000819424757252765 0.00132368260489245 0.000962853416994254 0.000659437871249518 0.000144797405514214 0.000959092619649098 0.000892623679748198 0.000763370100594066 0.000169708598998309 0.000868202221807085 0.00122306963003269
"NABR" -0.000465115265612995 -0.000475414755360919 -0.000819757571348228 -0.000337248639423693 0.000291448554407592 -0.000238774796965471 0.000133004609713356 -0.000226923292857889 3.69588013554717e-05 0.00249438280816524 0.000244800524827179 -0.000117197391601375 0.00125044893140252 0.000593179176735452 0.00028041179988496 0.00105788786085636 0.000409344261905092 0.000337840662445927 6.34332559953335e-05 0.00150852082849464 0.000594462256659196 -1.08449313109213e-05 0.00012731748752765 0.000571617402701312 -0.00020442602634103 0.00141997722111034 0.00204292679376992 -0.00089879385004042 -0.000569994372252313 0.000160473190701133 -0.000355130121395825 -7.22664042044756e-05 -0.000419896758593704 -0.00178307016029615 -0.000786623851409577 0.000375525768082282 1.34129074611678e-05 0.00069536810688705
