"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.00419915004214553 0.00142892989437828 0.00161686570395705 -0.00107317846986293 -0.00028963850470021 0.00051048992277247 0.000194494030162349 0.000499303001157065 0.000566677630310888 0.000369594926015868 0.000518096886232756 0.000739976568435318 0.000131878560656714 -0.00024161647974322 0.00161090466248058 0.000937554240470955 0.00088615472977122 0.00114622177585118 0.000829893021768632 -0.000394965002312639 0.00018674626048141 0.000651323461147375 -0.00125009651583858 0.0011365796931314 0.000694612077862907 0.00143040627381402 0.00118009100025258 0.000535563952031791 0.000587610008738673 0.000924866206575359 0.00138805609977433 0.00165257357416662 -0.000264247064685475 0.000580213937300412 -0.000293244012033662 0.0010064079091715 0.000500450841703389 0.000847578271213994
"V2" 0.00142892989437828 0.00814937954172488 0.00170019354438524 0.00107690007028734 0.000903286369824487 0.00109598288232359 -0.0031822462011527 0.000939916872014195 0.00140975426829243 0.000399104704743307 0.000767599911606231 0.00133802427656642 0.000435424903221421 0.000493049583907133 0.00133661539883665 0.000871453322318116 0.000927310594914828 0.0010785968199743 0.0015435347688456 0.000711729037080289 0.00124713573175023 0.000826629810167526 0.0016614224993408 0.00152522001032736 0.00191941635492428 0.000477483739236927 0.00047749209011529 0.00101103151546523 0.00149901150226656 0.000795179566276558 0.0010717988574075 0.00227911158764074 0.000108296552876168 0.000389211602650664 -7.58483147840198e-05 0.000994326416401541 0.000375553042461771 0.0013298874252596
"V3" 0.00161686570395705 0.00170019354438524 0.00306167403881163 0.000964440942913991 0.00151013099430042 0.00194632376045141 0.000159422282953933 0.000773490643517718 0.00122800328384462 0.000591657966133084 0.000928692857387944 0.00187716603646795 0.000507076112447644 -7.7236085858449e-05 0.00151345563055354 0.000943168891514878 0.00105338468891188 0.00111334468233098 0.00111881722345336 0.00012292234315271 0.00116490937075286 0.00251638743117334 0.00122776616678445 0.000973483634664359 0.00111118598871216 0.0014098123060394 -0.00109145692817053 0.000859827772362981 0.000765126393006924 0.00130547569358076 0.00092851297345389 0.00204844537181062 0.000827443416478916 0.000252782413054584 0.00110692647135484 0.000810904656712719 0.00126143134722658 0.000704281399686169
"V4" -0.00107317846986293 0.00107690007028734 0.000964440942913991 0.0070858095878804 0.00255206681805805 0.00198744365369033 0.0026491362012337 0.00424332779711614 0.00240184346176262 0.00139738949594807 0.00175708543517441 0.00137049739488355 0.00123931635097572 0.00146744760394847 0.00238353131060194 -5.31389975535889e-05 0.000325654669973514 -8.25331486589276e-06 0.00176433811866262 -0.00146634408764459 0.00231650312593797 0.0024500576427169 0.00437830491301753 0.00242018151032262 0.00128615634078307 0.000354430317556254 -0.000556625275245486 0.00163602305127882 0.000734757220214794 0.000394715726579659 -0.0011878586080923 0.00273060403137962 0.00210176963921175 0.000894225539204382 0.00397540541093314 0.000599799875732873 0.00212069558009677 -0.000406002345434285
"V5" -0.00028963850470021 0.000903286369824487 0.00151013099430042 0.00255206681805805 0.00367821038818591 0.00192635017708161 0.00135967656251656 0.00139098450658216 0.0024369607896277 0.000411236829338472 0.00107293368626909 0.00126619538880763 0.00038226664940951 0.000222827124642852 0.00083097203873443 0.000211568399092352 0.000555931610389647 0.000278594728560497 0.000853921922448579 0.000378528599230803 0.00152621100079853 0.00411745575977539 0.00422633789312086 -0.00134298022471361 -0.000216611060808754 4.66087420167267e-05 -0.000566770785951205 0.00123557468876171 0.000466052540115083 0.000691982045306776 0.000121301805600422 0.00167889412246367 0.00100915283628361 -5.44553645833848e-05 0.00192090256306779 0.000424599876116254 0.00167742442980164 -0.000489371030235587
"V6" 0.00051048992277247 0.00109598288232359 0.00194632376045141 0.00198744365369033 0.00192635017708161 0.00260547838669705 0.000838159687208653 0.0010832209384776 0.00155276930959033 0.000709794756702762 0.00103805285068821 0.00162036589281724 0.000808289354981451 0.000798164522953745 0.00126452996743107 0.000916267755228247 0.000932387442920481 0.000887291652110272 0.00104900601901293 -0.000358300898875284 0.00160883640805055 0.00339341491172153 0.00247003262106213 0.000794236046734886 0.000685097404213039 0.000572942625919481 -0.000528115293513406 0.000908905683807416 0.000817281924156189 0.000997090837049708 0.000227609806822557 0.00143574020149936 0.00110953395431254 0.000450798730029088 0.00240744881804025 0.000677465236045111 0.00158222101358756 0.000490466363146906
"V7" 0.000194494030162349 -0.0031822462011527 0.000159422282953933 0.0026491362012337 0.00135967656251656 0.000838159687208653 0.013063753984117 0.0017040626519726 0.00159407332676278 7.74178060233207e-05 0.00131782318981474 0.00208960329346451 0.000912547629447528 0.00134646355967967 0.000737442404655092 0.000557845027155185 0.000969221783338231 0.000516310209750022 0.00227100719770857 0.00102722357927784 0.00239581399811047 0.00384911753595438 0.00238406788561966 0.00148265377940213 0.000305820042677482 0.000842342907348267 0.000627738008802633 0.00189204212416696 -0.000402019308685803 0.0010807947328202 -0.000635936176380331 0.00244860174266251 0.00103584127540315 0.000162472403166024 0.0030940716143904 0.000747679640919285 0.0020679848813044 -0.0010796774185575
"V8" 0.000499303001157065 0.000939916872014195 0.000773490643517718 0.00424332779711614 0.00139098450658216 0.0010832209384776 0.0017040626519726 0.00394566978237584 0.00209448614086939 0.00102887870933292 0.00159049785626789 0.00128615601331647 0.000713184479950623 0.000738740744589742 0.00233124844735132 -9.55165662355736e-05 0.000349957626766344 4.36299523978187e-05 0.00129131208586662 -0.00101521573748605 0.00128844831312119 0.000968475631560823 0.00167912222687219 0.00221450548652981 0.00116225997611511 0.000714730537337808 0.000147369024355629 0.00148636001041503 0.000310610072532445 0.000494050866856115 -0.000461134303925872 0.00267930139984089 0.00105414856543241 0.0007083191365114 0.00227419393629234 0.000659938024598823 0.00152797016737749 -0.000284569105071459
"V9" 0.000566677630310888 0.00140975426829243 0.00122800328384462 0.00240184346176262 0.0024369607896277 0.00155276930959033 0.00159407332676278 0.00209448614086939 0.00252255842094912 0.00064144308295377 0.0012244477541634 0.00161191102219766 0.000572855193661167 0.000886421767631219 0.0015804662287495 0.000343303229560455 0.000666316306678994 0.000440662684422307 0.00144035245333762 2.17954963696557e-05 0.00167064972378516 0.00372166183893188 0.00275586550955268 0.000393687131699027 0.000735056224950557 0.000437644753649095 -2.80478391521776e-05 0.00137761161206368 0.000571205454451248 0.000818025945967509 -7.86808015515789e-05 0.00244082999087082 0.00090910139306222 0.000391567457687381 0.00229403279556482 0.000682301620377901 0.00182771467095865 -0.000298045387916292
"V10" 0.000369594926015868 0.000399104704743307 0.000591657966133084 0.00139738949594807 0.000411236829338472 0.000709794756702762 7.74178060233207e-05 0.00102887870933292 0.00064144308295377 0.00205351757025471 0.000837451656178285 0.000520761000406679 0.00158518536471303 0.00111606599426019 0.00128443012551061 0.000403993734058091 0.000440635819310363 0.000442452266838628 0.000740803746620393 -0.000221090027101677 0.000689831760427771 0.000768292834026151 0.000825712355331509 0.0014137625788784 0.00102257194467304 0.000304250668970174 0.000288831398113074 0.000620145282968733 0.000575277241061888 0.000499866965893982 0.000298557715211506 0.0013716367943864 0.000733147788595263 0.000165353603481752 0.00175070679311375 0.000536128558441975 0.00096861757203016 0.000252786078823902
