"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.00900754637774939 0.0047408197285911 0.00487171381575711 0.0041082335577501 0.00214276656814254 0.00308144855263086 -0.000947196106115936 0.00412168466391874 0.00210779200749491 0.0013201863430384 0.0036227814230803 0.00201811624629727 0.00105192339830488 -0.0015794783098285 0.00204563591144202 0.00139435539753729 0.00185756055814954 0.000955722314290193 0.00166846987146648 -0.000300471158113496 0.00104375411554291 0.000562438876176801 0.0016438647907816 0.00368027250054764 -0.000159657517717183 0.00555635605118256 0.00121389206493839 0.00198819495174542 -5.80164798878836e-05 0.0030697012060489 0.000536200065796346 0.00188426148194838 0.00307058421387832 0.000824713113934986 0.00187236744689641 0.00217642565667736 0.00330656491252732 0.00148459294309396
"V2" 0.0047408197285911 0.00875658957289924 0.00369809869592921 0.00272664464394031 0.00240743826675155 0.00276965948617152 -0.00402209795769912 0.00200275686085559 0.00179560864086216 0.00110538163144848 0.00147286688983654 0.0018417327779518 0.000778478214843304 -0.000807925724813368 0.000810966221187911 0.000311864922539436 0.00100067553259633 0.00115432518807242 0.00142534868327945 7.71728979377103e-06 0.00107353878037595 0.00136944465155932 0.000516069651429904 0.00277889183484432 -0.000282519141083387 0.00269344992425574 0.00205937793403591 0.00098239185642393 -0.000538668177692306 0.00206533952531581 0.000355169357741381 0.00185601674390346 0.000658489060948561 -0.000541036195156832 0.00123572095936011 0.00163053965451243 0.00239059921883982 0.000990025324237201
"V3" 0.00487171381575711 0.00369809869592921 0.00607626074085612 0.00211377222534431 0.00282375223443019 0.00354972527638772 -0.000341962550747634 0.0018878635471754 0.00223852930506474 0.00224439566745564 0.00239209913761593 0.00338709647772133 0.00250958965725312 -0.000417986884613916 0.000617186152538944 0.00185386038274866 0.00213214043454059 0.00125412900198278 0.00112745169899938 0.000761902097720518 0.00140355681954858 0.00337975785045045 0.000809505341631228 0.00213828179179996 -0.00048859610289428 0.00541317161968347 -0.00179217597040302 0.00157271881508143 -0.000185752761116119 0.00348760230025187 -0.00104893788514847 0.000649100909531149 0.00307198908489212 -0.000314574798696361 0.00218320284289843 0.00182979154930077 0.00345976293101204 0.00109560405343506
"V4" 0.0041082335577501 0.00272664464394031 0.00211377222534431 0.00853376432743988 0.00328940266592581 0.00250487700531606 0.000498104282268678 0.0060281456536946 0.00198777901028435 0.000614906264398539 0.00407525866259748 0.000863951337052764 0.00103079160642847 -0.000357391628367595 0.000221634452948874 0.00143352374642909 0.00111327138835314 0.00100314407337449 0.00084955387890387 -0.00401358042671622 0.00129092675844146 -0.00035165554021184 0.00516892086596425 0.00116811171826955 -9.7788308181963e-05 0.00202466203753844 0.00232211097467075 0.000624316329188966 -0.000241418933472848 0.001463353688313 0.00139234402850885 0.000953052562993026 0.00270381891743812 0.00166577855722312 0.00207379953019497 0.00175758861761865 0.0026837123289839 0.000723405635896194
"V5" 0.00214276656814254 0.00240743826675155 0.00282375223443019 0.00328940266592581 0.0041659968220765 0.00260547588384831 0.00022168395713488 0.00225446378485981 0.00271509139098753 0.00210495256942685 0.00221237817356601 0.00211424340790113 0.00213446887639766 0.000236772403137207 -0.000323658305583199 0.00162179913070789 0.00158446590730602 0.00149690135965993 0.00186632877837668 -0.000499917136327431 0.00132772392743553 0.00402751201313254 0.00365218118740206 -7.77932249728185e-06 -0.000971483607232822 0.00223681081712001 0.000547240509462217 0.00104976044877079 1.95232499366829e-05 0.00178761857541034 -0.00103416049129444 0.00118514578785463 0.00214469778582499 -0.000102178921067511 0.00206856340218465 0.00168336879653278 0.00248436434658161 0.000659454039092536
"V6" 0.00308144855263086 0.00276965948617152 0.00354972527638772 0.00250487700531606 0.00260547588384831 0.0036270561663953 0.000255338423720779 0.00183619308601042 0.00180593317385537 0.00141976105585991 0.00206747277786408 0.00228974758464813 0.00183351650210039 -0.000217699828792175 0.000364936764455618 0.00139967439935893 0.00150218953318151 0.000808184310000305 0.000181150932605219 0.000646182720636117 0.00140387521035391 0.0022590616360209 0.00213065342335915 0.000856931633120556 1.46079748209527e-05 0.00310304733585077 0.000387687051837376 0.00110328025796602 3.79236300655647e-05 0.00244389075251357 0.000309032405675127 0.000650409187780845 0.00245147400869678 -3.37768257023509e-06 0.00160294622982409 0.00145971416074455 0.00270810731917359 0.00086061477581032
"V7" -0.000947196106115936 -0.00402209795769912 -0.000341962550747634 0.000498104282268678 0.00022168395713488 0.000255338423720779 0.0138309393967436 0.000281378046649196 0.00032361603210276 -0.000600182630939858 0.000426267594835982 0.00058753541664567 0.00154924633322914 0.00129787545751844 -0.00301150193354086 0.00122759112815975 0.000570154933024271 0.000774794648542963 0.00120165951907323 0.00250221060361432 0.000655581087668132 0.00157557308671612 0.00276409227474273 -0.000567998085604166 0.000572062892099195 -0.000531810681808834 0.00122947167717951 -0.000516416006335637 -0.000532498975964409 -0.00027580932782703 0.000169655101940573 0.00140649576191465 0.00277885088018553 0.000540368455680824 0.00130768145311945 -3.71350672145106e-05 0.000892607141404265 -6.60017803515631e-05
"V8" 0.00412168466391874 0.00200275686085559 0.0018878635471754 0.0060281456536946 0.00225446378485981 0.00183619308601042 0.000281378046649196 0.00537693118576016 0.00184344296780264 0.000744064435325371 0.00410516849580182 0.00105874475672945 0.00114131611847341 -0.000516709361849379 6.52898623291716e-05 0.00169409995955393 0.00122749244197104 0.000883643614025935 0.000901632342460328 -0.00199843834300335 0.000898151276968096 -0.00149772051802493 0.00378818739876074 0.00118926656869556 -0.000268772949701176 0.00227857626931237 0.00151312962967145 0.000663838863546407 0.000173319236925907 0.00136373881697432 0.00126454814561508 0.000210000551908561 0.00269630206524904 0.00126471480441818 0.00144007431262247 0.00155312973045113 0.0019348429354762 0.000307546342417418
"V9" 0.00210779200749491 0.00179560864086216 0.00223852930506474 0.00198777901028435 0.00271509139098753 0.00180593317385537 0.00032361603210276 0.00184344296780264 0.00232537202066595 0.00167153746825522 0.00194771078745188 0.00191688892507838 0.00169398994370588 0.000173971370823365 0.000154813294747204 0.00146709856817534 0.00140375563897269 0.00123742207873778 0.00167055599697362 0.000212621870163163 0.00114804273123659 0.00317887117686217 0.0028110590906562 -0.000170865643575247 -0.000523316677908583 0.00207626558109755 0.000362614957641869 0.000930524749227854 0.000184792840982358 0.00147833741458021 -9.84532121259034e-05 0.00124502363574868 0.00185432212621148 -0.000197823732493704 0.00121823986716652 0.00137226060140745 0.00215250965513968 0.000391269914722387
"V10" 0.0013201863430384 0.00110538163144848 0.00224439566745564 0.000614906264398539 0.00210495256942685 0.00141976105585991 -0.000600182630939858 0.000744064435325371 0.00167153746825522 0.00411099313832314 0.00127509274772592 0.00171723282901951 0.00353808408482286 0.00111430210593202 0.000158992417725771 0.00135018011887275 0.00150807363025548 0.00133889067200004 0.00191318510892033 0.000529609906720781 0.00085714115595903 0.00292432412020278 0.00172463677078321 0.000445798196208469 -0.000964881898304451 0.00143973850956263 -0.000751195684546127 0.0012596923688273 0.000269707264692058 0.00132830224248108 -0.00154204278153488 0.00127016892649369 0.00127385577751694 -0.00211711448558339 0.00218240025733037 0.00118217355144672 0.00147513493417524 0.000522258498005857
