"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.0129539104418121 0.00947808879429701 0.00614280962824505 -0.00133299378388391 0.00363960089306268 0.0018357285095429 -0.00419988504730327 0.0014470509646576 0.00349806494123 -0.00050483436992742 0.000722139799028225 0.000476881726024462 -0.00208616875073438 -0.00313089822795781 0.00156797889504241 0.000361252204320862 0.00109551281173577 0.00187034713036695 0.00160596034355005 0.00322965882516306 0.00230323236328511 0.00040674220394055 0.0169351375802176 0.00199914654117024 0.0022815682656601 -0.00630016739661864 0.00686724756204955 0.00100264926520046 0.00128369803806378 0.00145279356236086 0.00411652401040799 0.00577578053449176 0.000524760397749513 0.000768733263035084 -0.00204609178873244 0.00161323064489282 0.000906500442776084 0.0014547027137592
"V2" 0.00947808879429701 0.0172831288522688 0.00598157032993034 -0.00102337823073946 0.0028906841360125 0.00202892739629422 -0.00952422431447436 0.000454535430173501 0.00309083535693652 -0.000317115544870915 0.00207585878859121 0.00105577113784506 -0.00219270590392092 -0.00153230537156642 0.00272867518827242 0.000494667194639888 0.0018164672663719 0.000720132166591191 0.00240737184128291 0.0064548116350896 0.00287198252156176 0.0014005698824203 0.0119774264023981 0.00435869561446698 0.00478058699043262 -0.00324207601895997 0.00313868003334431 0.00238562153138437 0.000288292335703232 0.00281449279509675 0.000505720491383959 0.00597669752473598 0.00130648610334995 0.00111139786451526 -0.00153228955458812 0.00131343704146532 0.00139653140362197 0.0017878151517586
"V3" 0.00614280962824505 0.00598157032993034 0.00605715955363133 0.000665057759532246 0.00271596641867512 0.00244242022938237 -0.00106700761914093 0.00150980184308155 0.0025557633885366 0.000438960451994735 0.00140330321108244 0.00273476115388293 -0.000703593600517666 -0.00137899554472448 0.00181863517879352 0.000421555965086729 0.00110717639111648 0.00161020962571029 0.00131986179345224 0.00314607338573016 0.00200654703734254 0.00165057003266306 0.00564148185256435 0.00445096845883063 0.00312742654299866 0.00215198332080167 0.00100043280278465 0.00121598223175069 0.00144355985472945 0.00284603896091564 0.000960631013017569 0.00348472059022271 0.00117350299901521 0.00121638563735057 0.00127261463942244 0.00156732906622167 0.00185619318090244 0.00138870937430142
"V4" -0.00133299378388391 -0.00102337823073946 0.000665057759532246 0.00622948889016984 0.00105311957905877 0.00100455720798876 0.00300529834396447 0.00331365291630439 0.000496552957723755 0.000537983592536751 0.00132680004432502 0.00123017284933199 0.000591651660802129 0.000669392675039572 0.00174293219331148 0.000412633737866353 5.34965759687238e-05 -4.66464505817584e-06 -0.000116314181054232 -0.00414008813301662 0.00105565193427612 0.000231496433600307 -0.00270762550988068 0.000412674648491536 0.000722271219762891 0.00345803577088367 0.000152379094984517 -0.000403161590498746 2.89840326652231e-05 -0.000595270367384377 0.000465322539525983 -0.00139577653182501 0.000401793912734585 0.00112666846144273 0.000816598175845505 0.000310081482624361 -0.000875593713021173 -0.000435357646959481
"V5" 0.00363960089306268 0.0028906841360125 0.00271596641867512 0.00105311957905877 0.00346008072775573 0.00124229706593024 -0.00098754297979036 0.00153093787872599 0.00265610184346455 0.000289181064056821 0.00115020628354747 0.00114348214557064 -0.000267097727729143 -0.000192129791568773 0.000931675148546759 0.000621806857850409 0.000526070507166156 0.0012822736336675 0.00112937164002235 0.00148768355329391 0.00159925161828777 0.00181623451059574 0.00712821259637923 0.000739124288346291 0.00150183909162808 -0.000926836033364121 0.00304478512432614 0.000213945224656695 0.00111781024495329 0.0010040993990453 0.0019374389637931 0.00278266729246097 0.00133416988636299 0.0012630417231371 0.00170300478676681 0.00086909562777473 0.000928579989804926 0.000278037404293752
"V6" 0.0018357285095429 0.00202892739629422 0.00244242022938237 0.00100455720798876 0.00124229706593024 0.00220584741456898 -3.84128012849024e-05 0.00100871144353009 0.00102639584067591 0.000457257091072376 0.000976505048045774 0.00147090635723354 3.83391819901007e-05 -6.73734260316652e-05 0.000694392327985402 0.000535731092677709 0.000569181328109325 0.000908781826028527 0.000403279283026991 0.00137035231129414 0.000798433085176035 0.000221016729001751 0.000119857236183602 0.00193217066874376 0.000920773505198361 0.00187282672262205 0.000744433590090474 0.000492309680001872 0.000745460926432868 0.00159589058810626 0.00032231833944588 0.000461680114854322 0.000904109530627447 0.000641712394585282 0.000998884513407376 0.000793239101494167 0.000747663236153267 0.000619634965674823
"V7" -0.00419988504730327 -0.00952422431447436 -0.00106700761914093 0.00300529834396447 -0.00098754297979036 -3.84128012849024e-05 0.0207000710688247 0.00030959262802674 -0.00138725740437956 -0.000427844167381598 -0.00165247374859028 0.00156911184376561 0.00155660166252423 0.00105759228471855 0.00283475672320541 0.000648266840218759 -0.000666664750110008 0.00054090824166333 -0.000202201309113612 -0.00146614140583782 0.00111088107989089 0.000641435136312346 -0.00510333380207972 0.00251636567725606 0.00084440023621581 0.0048720270056995 -0.000308691516459266 -0.00163784472606011 0.00211554546617453 -0.000159054317092968 0.00112467205804628 1.09009332065614e-05 -0.00145044236884273 -0.000454419052236119 -0.000164490959194891 0.000128025103478169 -0.000264473302486756 -0.000692649316424677
"V8" 0.0014470509646576 0.000454535430173501 0.00150980184308155 0.00331365291630439 0.00153093787872599 0.00100871144353009 0.00030959262802674 0.00331884690483977 0.00159567280280814 0.000433928137529945 0.00160546329477348 0.00158125353903243 -1.8302575316794e-05 -7.75622787417258e-05 0.000871911374340876 0.000172674302345315 1.6255569656176e-05 0.000783537225267424 0.000326014327269807 -0.00157153614519694 0.0011307661067138 -0.000460657627219325 0.00154240484246301 0.000549545745615481 0.000513714356062414 0.00119282955048141 0.00135167991401833 -0.000156317073995424 0.000901233723792812 6.60428675589985e-05 0.00162103574871288 0.00053441044444402 0.000291891749576015 0.00118568292960838 0.00048138316856274 0.000572120039398783 -0.000279301793277201 0.000126501606143884
"V9" 0.00349806494123 0.00309083535693652 0.0025557633885366 0.000496552957723755 0.00265610184346455 0.00102639584067591 -0.00138725740437956 0.00159567280280814 0.00255980654453272 0.000324323120773106 0.00137424087115732 0.00148208565403712 -0.000381288191218384 -0.000240738229070504 0.000521007175272642 0.000634028385952774 0.000624579801633084 0.00143433478656172 0.00148960233947705 0.00188673153769966 0.0016261390586533 0.00137874596229897 0.00623936096627574 0.00108805256260076 0.00137637930456515 -0.000847454364672097 0.00216943823830266 0.000400581322284296 0.00121544878465659 0.0011167164243541 0.00149086254476015 0.00295819102424006 0.000999660523386282 0.00128519889193556 0.00121677996841015 0.000973320586886092 0.000951221714223918 0.000579968344784343
"V10" -0.00050483436992742 -0.000317115544870915 0.000438960451994735 0.000537983592536751 0.000289181064056821 0.000457257091072376 -0.000427844167381598 0.000433928137529945 0.000324323120773106 0.00190069705068506 0.000651861574799132 0.000832870567028194 0.00134445608859248 0.000587317829051643 0.000209061155463837 -5.19407568739617e-05 0.000244280989149989 0.000719500680679486 0.00015514110073354 0.000838536918401176 0.000288861315335619 0.000355600167836922 -0.00092738746010785 0.000581684270415502 0.000407547078466623 0.000997674688454065 -0.000402807211738036 0.000740057092039537 -6.83146275136913e-05 0.000984711511285057 0.000192926613808861 -0.000558193298142999 0.00109444280790205 -0.000268557923862954 0.000950001856721274 0.00030825722464752 0.000379197220948778 0.000156909395039922
"V11" 0.000722139799028225 0.00207585878859121 0.00140330321108244 0.00132680004432502 0.00115020628354747 0.000976505048045774 -0.00165247374859028 0.00160546329477348 0.00137424087115732 0.000651861574799132 0.00222289032664862 0.00161296764715882 3.4555430354657e-05 0.000546430613802173 5.15153302972581e-05 0.000526150758646404 0.000702325093861999 0.000902735360671775 0.000904913204927374 0.00156691320438278 0.00124285186748715 6.56383067548983e-05 0.00155074144649746 0.00142325777937653 0.00127504671442739 0.00114946665739423 0.000312235072713444 0.000886096737686864 0.00055607556521792 0.000788678900602308 0.000535606276211479 0.000887579454395127 0.000705188557700732 0.0014682451343263 0.00126550224488858 0.000826508280747858 0.000560540897610982 0.000248990843573234
"V12" 0.000476881726024462 0.00105577113784506 0.00273476115388293 0.00123017284933199 0.00114348214557064 0.00147090635723354 0.00156911184376561 0.00158125353903243 0.00148208565403712 0.000832870567028194 0.00161296764715882 0.00353051041344404 0.000408737821897198 0.000491131369493809 0.00110007666662236 0.000605701524473057 0.000647512596981894 0.00166752924330336 0.00141805748296969 0.00184299548613638 0.00165601311973996 0.00119351609733953 -0.000913335813690075 0.00386972954670791 0.00136806497441874 0.0040873537940003 -0.00149569128732245 0.000631996723121087 0.00132590467635336 0.00178740780071506 -0.000330529192563021 0.00112954222283094 0.000569240791847855 0.00153259985604889 0.00146082905101732 0.001100999523359 0.000881585371612669 0.000754397120892978
"V13" -0.00208616875073438 -0.00219270590392092 -0.000703593600517666 0.000591651660802129 -0.000267097727729143 3.83391819901007e-05 0.00155660166252423 -1.8302575316794e-05 -0.000381288191218384 0.00134445608859248 3.4555430354657e-05 0.000408737821897198 0.00215993672963932 0.00149061587019084 -0.00034623599793257 -6.25270724996624e-06 -7.46059924374241e-05 0.000260232806109028 -0.000397852107222206 -0.000643855455489466 -0.000237938218690552 0.000186813302172406 -0.00247024162428414 3.44167528410545e-06 -0.000384706343033339 0.00134550544270179 -0.0010055682031882 0.000165963766444184 -0.000151932421905566 0.000374621170605049 -0.000223855008179709 -0.00180505081146397 0.000956624360353264 2.41766726430742e-05 0.00138911024023341 9.72695471067025e-05 0.000171570751201335 -0.000510396026369682
"V14" -0.00313089822795781 -0.00153230537156642 -0.00137899554472448 0.000669392675039572 -0.000192129791568773 -6.73734260316652e-05 0.00105759228471855 -7.75622787417258e-05 -0.000240738229070504 0.000587317829051643 0.000546430613802173 0.000491131369493809 0.00149061587019084 0.00299796854321774 -0.000126137505824582 0.000693951533808968 0.000116314289505198 0.000299573903412491 0.000580077324333014 4.50898400336678e-05 1.97703033311189e-05 0.000102003493835941 -0.00287822686199532 2.6879569707307e-05 0.000257829330195992 0.0014761134663447 -0.00110559941683937 -4.01762250213334e-05 3.86938567321455e-05 0.000178880942317843 -0.000722451908247498 -0.00125214367431232 0.000864153144787346 0.00133972098199053 0.00211218094295582 -4.60245834966088e-06 0.000804951315408122 -0.000692226254643791
"V15" 0.00156797889504241 0.00272867518827242 0.00181863517879352 0.00174293219331148 0.000931675148546759 0.000694392327985402 0.00283475672320541 0.000871911374340876 0.000521007175272642 0.000209061155463837 5.15153302972581e-05 0.00110007666662236 -0.00034623599793257 -0.000126137505824582 0.0101417585862238 -0.00150066917986957 -0.000123633896185978 -0.00108429970506354 -0.00145495687326296 -0.000542493673197735 0.00160881046748935 0.00106564238973451 0.00285365119446121 0.00190559120629518 0.00268402479257279 0.00141241670785742 0.00106614943148106 0.00191483213526639 0.000600084415934092 0.00124150892162749 0.00423622841074793 0.0027209152520895 -0.00145931445748146 0.000557544483511819 -0.00143929770823037 0.000295866498422836 0.000289214337121728 2.06113249274438e-06
"V16" 0.000361252204320862 0.000494667194639888 0.000421555965086729 0.000412633737866353 0.000621806857850409 0.000535731092677709 0.000648266840218759 0.000172674302345315 0.000634028385952774 -5.19407568739617e-05 0.000526150758646404 0.000605701524473057 -6.25270724996624e-06 0.000693951533808968 -0.00150066917986957 0.00196215121052351 0.00123735875693869 0.00150563519253162 0.00209633593766898 0.000967493714082288 0.000907997855299868 0.000627280285061977 0.000959220915379562 0.000597334396689726 0.000439934932701519 1.82888060126021e-05 0.000564618796588339 -0.000181333926158832 -2.42881822478473e-05 0.000195340871808261 -0.000869268800175676 0.000333942730089871 0.000753558224665858 0.0010279095409675 0.000443967643279909 0.000726788292330205 0.000299251327665076 0.00067110654774906
"V17" 0.00109551281173577 0.0018164672663719 0.00110717639111648 5.34965759687238e-05 0.000526070507166156 0.000569181328109325 -0.000666664750110008 1.6255569656176e-05 0.000624579801633084 0.000244280989149989 0.000702325093861999 0.000647512596981894 -7.46059924374241e-05 0.000116314289505198 -0.000123633896185978 0.00123735875693869 0.00182666964389302 0.00093317500284349 0.00159602795045686 0.00123154974403685 0.00105536374804836 0.000701263996248444 0.00215038086257162 0.000986397383709414 0.00083813421698971 -0.000115042968711443 -0.000485305778198873 0.00174902496665318 -0.000526290944917666 0.000471841403384735 -0.000992132546311655 0.000845417221475316 0.000872092532997091 0.00108107047600411 0.000790288969959023 0.000875909223851571 0.000559960124241527 0.000648377205451032
"V18" 0.00187034713036695 0.000720132166591191 0.00161020962571029 -4.66464505817584e-06 0.0012822736336675 0.000908781826028527 0.00054090824166333 0.000783537225267424 0.00143433478656172 0.000719500680679486 0.000902735360671775 0.00166752924330336 0.000260232806109028 0.000299573903412491 -0.00108429970506354 0.00150563519253162 0.00093317500284349 0.00326532869336462 0.00300231966628535 0.00228778577443873 0.00135327760284841 0.000435621212025824 0.00232396650070448 0.00272223229302706 0.00113461967133029 0.000410822223163708 0.00215820444621506 -0.000161135304740623 0.00109292405830797 0.000809172276131179 0.000795883106655339 0.00208769668393776 0.00076532866514922 0.00133633128369111 0.000439751885336631 0.00154843555422137 0.000483097417973313 0.00103032741673564
"V19" 0.00160596034355005 0.00240737184128291 0.00131986179345224 -0.000116314181054232 0.00112937164002235 0.000403279283026991 -0.000202201309113612 0.000326014327269807 0.00148960233947705 0.00015514110073354 0.000904913204927374 0.00141805748296969 -0.000397852107222206 0.000580077324333014 -0.00145495687326296 0.00209633593766898 0.00159602795045686 0.00300231966628535 0.00511785858180202 0.00240540018459774 0.00163854510293553 0.00134978964594843 0.00343093823320196 0.00332589198475789 0.00197022327837113 -0.0002537034532578 0.00104738103198179 -1.55707062300476e-05 0.000548758819031682 0.000575420446397398 -0.00147125439699215 0.00393922191538259 0.000950968342917784 0.00168288868359106 0.000467298117443011 0.0013749117737569 0.000813479354188911 0.00114251290595267
"V21" 0.00322965882516306 0.0064548116350896 0.00314607338573016 -0.00414008813301662 0.00148768355329391 0.00137035231129414 -0.00146614140583782 -0.00157153614519694 0.00188673153769966 0.000838536918401176 0.00156691320438278 0.00184299548613638 -0.000643855455489466 4.50898400336678e-05 -0.000542493673197735 0.000967493714082288 0.00123154974403685 0.00228778577443873 0.00240540018459774 0.0117290428241296 0.00265840730673115 0.00087674211917645 0.00388445349068109 0.00447423102280276 0.00372964749583175 0.000759544070931547 0.00149039774906724 0.00159146249250364 0.00202993515761778 0.00361945024752822 5.03795518201857e-05 0.00404468853507586 0.000665599268089961 0.000421976359368585 0.000331454323673391 0.00117215221397437 0.00208046641709344 0.001819189148906
"V22" 0.00230323236328511 0.00287198252156176 0.00200654703734254 0.00105565193427612 0.00159925161828777 0.000798433085176035 0.00111088107989089 0.0011307661067138 0.0016261390586533 0.000288861315335619 0.00124285186748715 0.00165601311973996 -0.000237938218690552 1.97703033311189e-05 0.00160881046748935 0.000907997855299868 0.00105536374804836 0.00135327760284841 0.00163854510293553 0.00265840730673115 0.00285755120218532 0.00114289465422275 0.00441665503407377 0.00208429681673751 0.00178801796664042 0.000531464607790441 0.00128430273194985 0.000960364133929337 0.000702493299921444 0.000777284171492707 0.000998489114326679 0.00225863823821836 3.51940082764394e-05 0.00127045101644322 2.71737570846137e-05 0.000986462253514673 0.000166672612725476 0.000413577760370398
"V23" 0.00040674220394055 0.0014005698824203 0.00165057003266306 0.000231496433600307 0.00181623451059574 0.000221016729001751 0.000641435136312346 -0.000460657627219325 0.00137874596229897 0.000355600167836922 6.56383067548983e-05 0.00119351609733953 0.000186813302172406 0.000102003493835941 0.00106564238973451 0.000627280285061977 0.000701263996248444 0.000435621212025824 0.00134978964594843 0.00087674211917645 0.00114289465422275 0.00557258437366477 0.00165083084063946 0.00175046795133507 0.0012840770669223 0.00147672646101364 -0.000860309991764377 0.00043613334839162 -0.000434501918951059 0.00161355547974998 -0.00138606546772534 0.00185497821757385 0.00157745904138826 0.000378883083923696 0.00261039187018561 0.000651755263153295 0.00137748726618661 0.000751031082311053
"V24" 0.0169351375802176 0.0119774264023981 0.00564148185256435 -0.00270762550988068 0.00712821259637923 0.000119857236183602 -0.00510333380207972 0.00154240484246301 0.00623936096627574 -0.00092738746010785 0.00155074144649746 -0.000913335813690075 -0.00247024162428414 -0.00287822686199532 0.00285365119446121 0.000959220915379562 0.00215038086257162 0.00232396650070448 0.00343093823320196 0.00388445349068109 0.00441665503407377 0.00165083084063946 0.0394963917684332 -0.000482596950453001 0.00433170212391883 -0.0167438961318078 0.0123880810028288 0.00205681614521436 0.00200051498905061 -0.000386459836992491 0.00875434765366389 0.0120962925950875 0.00132802511402581 0.00212462220911975 -0.000988330074439778 0.00176665461557653 0.00120789844154391 -0.000645579516252293
"V25" 0.00199914654117024 0.00435869561446698 0.00445096845883063 0.000412674648491536 0.000739124288346291 0.00193217066874376 0.00251636567725606 0.000549545745615481 0.00108805256260076 0.000581684270415502 0.00142325777937653 0.00386972954670791 3.44167528410545e-06 2.6879569707307e-05 0.00190559120629518 0.000597334396689726 0.000986397383709414 0.00272223229302706 0.00332589198475789 0.00447423102280276 0.00208429681673751 0.00175046795133507 -0.000482596950453001 0.0118119399191741 0.00491256192728428 0.00633088102004714 0.000449924859942381 0.000669977347309519 0.00176346904592163 0.0027934739646476 -0.00259289211632871 0.00372071835010285 0.000574325459100955 0.00166584937160781 0.000142987646646003 0.00181221093896205 0.00118032659913534 0.00185782292390886
"V26" 0.0022815682656601 0.00478058699043262 0.00312742654299866 0.000722271219762891 0.00150183909162808 0.000920773505198361 0.00084440023621581 0.000513714356062414 0.00137637930456515 0.000407547078466623 0.00127504671442739 0.00136806497441874 -0.000384706343033339 0.000257829330195992 0.00268402479257279 0.000439934932701519 0.00083813421698971 0.00113461967133029 0.00197022327837113 0.00372964749583175 0.00178801796664042 0.0012840770669223 0.00433170212391883 0.00491256192728428 0.00592264765214418 0.00243750818291828 0.00113408303868025 0.000891980581953824 0.00132932986971314 0.00220033154193298 0.000964552705078143 0.00440983874781982 0.000989303800288839 0.00092032504204562 0.0014071546254483 0.000986173402827695 0.00152144283850438 0.000699739934745659
"V27" -0.00630016739661864 -0.00324207601895997 0.00215198332080167 0.00345803577088367 -0.000926836033364121 0.00187282672262205 0.0048720270056995 0.00119282955048141 -0.000847454364672097 0.000997674688454065 0.00114946665739423 0.0040873537940003 0.00134550544270179 0.0014761134663447 0.00141241670785742 1.82888060126021e-05 -0.000115042968711443 0.000410822223163708 -0.0002537034532578 0.000759544070931547 0.000531464607790441 0.00147672646101364 -0.0167438961318078 0.00633088102004714 0.00243750818291828 0.0154563216729276 -0.00651992806909229 -0.000129241438097988 0.000732782612050385 0.00271211231815172 -0.00335481024130972 -0.00261144554732671 3.05103785932199e-05 0.000642569391202532 0.00324732598330049 0.000540106525842747 0.000967472076653997 0.00101733386736944
"V28" 0.00686724756204955 0.00313868003334431 0.00100043280278465 0.000152379094984517 0.00304478512432614 0.000744433590090474 -0.000308691516459266 0.00135167991401833 0.00216943823830266 -0.000402807211738036 0.000312235072713444 -0.00149569128732245 -0.0010055682031882 -0.00110559941683937 0.00106614943148106 0.000564618796588339 -0.000485305778198873 0.00215820444621506 0.00104738103198179 0.00149039774906724 0.00128430273194985 -0.000860309991764377 0.0123880810028288 0.000449924859942381 0.00113408303868025 -0.00651992806909229 0.0123271884298124 -0.00199066257036715 0.00131271899629274 -0.000483598148680719 0.0057678883551106 0.00419109705448663 -0.000363989531722546 0.00058543474663683 -0.00258291246923921 0.000880690603538891 -0.000835395476354192 0.000509989295415341
"V29" 0.00100264926520046 0.00238562153138437 0.00121598223175069 -0.000403161590498746 0.000213945224656695 0.000492309680001872 -0.00163784472606011 -0.000156317073995424 0.000400581322284296 0.000740057092039537 0.000886096737686864 0.000631996723121087 0.000165963766444184 -4.01762250213334e-05 0.00191483213526639 -0.000181333926158832 0.00174902496665318 -0.000161135304740623 -1.55707062300476e-05 0.00159146249250364 0.000960364133929337 0.00043613334839162 0.00205681614521436 0.000669977347309519 0.000891980581953824 -0.000129241438097988 -0.00199066257036715 0.00398513185605564 -0.000438519978189325 0.000950677886440465 2.18607549130671e-05 0.000878815338461751 0.000726131592222094 0.000898991149182391 0.00122037484192888 0.00078271219886543 0.000952391460437719 0.000226900877526935
"V30" 0.00128369803806378 0.000288292335703232 0.00144355985472945 2.89840326652231e-05 0.00111781024495329 0.000745460926432868 0.00211554546617453 0.000901233723792812 0.00121544878465659 -6.83146275136913e-05 0.00055607556521792 0.00132590467635336 -0.000151932421905566 3.86938567321455e-05 0.000600084415934092 -2.42881822478473e-05 -0.000526290944917666 0.00109292405830797 0.000548758819031682 0.00202993515761778 0.000702493299921444 -0.000434501918951059 0.00200051498905061 0.00176346904592163 0.00132932986971314 0.000732782612050385 0.00131271899629274 -0.000438519978189325 0.00484634742921621 0.00115451518748838 0.00223681695218781 0.00168281710144684 -0.000468245339100558 0.000854281157486091 0.000461244486669279 0.000617587324120809 0.000194594959054774 0.000232222697159539
"V31" 0.00145279356236086 0.00281449279509675 0.00284603896091564 -0.000595270367384377 0.0010040993990453 0.00159589058810626 -0.000159054317092968 6.60428675589985e-05 0.0011167164243541 0.000984711511285057 0.000788678900602308 0.00178740780071506 0.000374621170605049 0.000178880942317843 0.00124150892162749 0.000195340871808261 0.000471841403384735 0.000809172276131179 0.000575420446397398 0.00361945024752822 0.000777284171492707 0.00161355547974998 -0.000386459836992491 0.0027934739646476 0.00220033154193298 0.00271211231815172 -0.000483598148680719 0.000950677886440465 0.00115451518748838 0.00388636787835882 0.000296146951148934 0.00143123783742576 0.00152851625750488 7.33356632712612e-05 0.00199883870043739 0.000831459150563786 0.00204691438205083 0.00135066783578915
"V32" 0.00411652401040799 0.000505720491383959 0.000960631013017569 0.000465322539525983 0.0019374389637931 0.00032231833944588 0.00112467205804628 0.00162103574871288 0.00149086254476015 0.000192926613808861 0.000535606276211479 -0.000330529192563021 -0.000223855008179709 -0.000722451908247498 0.00423622841074793 -0.000869268800175676 -0.000992132546311655 0.000795883106655339 -0.00147125439699215 5.03795518201857e-05 0.000998489114326679 -0.00138606546772534 0.00875434765366389 -0.00259289211632871 0.000964552705078143 -0.00335481024130972 0.0057678883551106 2.18607549130671e-05 0.00223681695218781 0.000296146951148934 0.00972747476832216 0.00337850539340447 -0.00155810728594874 -9.37454199061631e-05 -0.00155829422461719 0.000657106214126865 -0.000534561780353795 -0.000485057702393711
