"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.00708715626709786 0.000820860536199724 0.00441851875566058 -0.0011750182906742 -0.000498607412579325 0.00101230057245948 -0.000416555440410925 0.00225254565265513 0.00134975902142245 0.000496655652312701 0.00224676110412687 0.00207733751249692 0.000491379876101129 -0.0022379009887057 -0.000771447504945076 0.00110269064883299 0.00154615565372778 0.000847926224075437 -7.03457412769033e-05 -2.9014986720392e-05 -0.000242429939590077 0.00141687578622345 -0.00389063739164438 0.00227221312907474 -0.00125000612489791 0.00204909668510889 -0.00176603293086811 0.00151299659325135 0.00256457350068132 0.00253407700242937 -0.00101892505625794 -0.000176089338383466 0.00133678937241714 -0.00126526593085744 0.00238680406300492 -0.000932970379895154 0.00150758520800891 0.00131148844816607
"V2" 0.000820860536199724 0.0044782915670736 0.00104746606978859 0.00110340054668168 0.000659811596635991 0.000676079736063292 -0.00175099153264021 0.000418868159889036 0.000481177633183024 0.000575867650890163 0.000168143186683433 0.000716753139593156 0.000502434756105633 0.000528495635120784 0.00118034439444192 0.000439603968339199 0.000665464177606127 0.000639937581921213 0.000802382211896719 0.000165056549189228 0.000779411656033388 0.00026440270922169 0.0007884199317812 0.000862608621349878 0.000787646305506677 0.00040258532889392 0.00117323374712063 0.000762526570777373 -0.000187570731192186 0.000608542223080234 0.00163394972154112 0.00158607293816239 0.000271467889033005 0.000406829220568808 0.000231685236771765 0.000767217832327743 0.00034958977459118 0.000420136627462008
"V3" 0.00441851875566058 0.00104746606978859 0.00432472673579697 0.0001645072592311 0.000265883660892152 0.0014279703208865 -0.000709454187638084 0.00200598788318395 0.00127648674856253 0.000580954601631943 0.00185097735345435 0.00206906276808687 0.000496770500771556 -0.00176824162376372 -0.000476331798115447 0.00118579900296893 0.00139423566132343 0.000954139396330151 0.000263321750985818 -0.000336163793056101 -0.000207831532387369 0.00140497514156815 -0.00291115541392391 0.00236179501670803 -0.000696947536483871 0.00169005324782269 -0.00188755948744818 0.00106353618694849 0.00209548077622172 0.00222670802995091 -0.000961826844983267 -0.000104779291008968 0.00137138404874729 -0.00105548310008738 0.00198440378805837 -0.00068760096267206 0.00124801928445126 0.00118786339835205
"V4" -0.0011750182906742 0.00110340054668168 0.0001645072592311 0.00479201889295409 0.00189239516705355 0.00117100465422901 0.00103044217611389 0.00184325768150909 0.000765429818822149 0.000457806808930759 0.000103567165690122 0.000340161875584266 0.000413658736714887 0.00113290838750368 0.00180900446907721 0.000137982566504682 5.30639015391372e-05 0.000217481699163786 0.000596831795769421 -0.00157945807849857 0.000992756435328437 -0.00071615850626761 0.00245654456478581 -5.01295421028648e-05 0.00118549303518282 0.000126226210571262 0.00127839260144578 0.000314259705193422 -0.000514290502315739 0.000151306946319134 0.000977937608696453 0.00115423019419379 6.76901868244592e-05 0.000874519054068011 -0.000110979249518423 0.000622135819271733 -0.00020180874589148 -8.27983503894509e-05
"V5" -0.000498607412579325 0.000659811596635991 0.000265883660892152 0.00189239516705355 0.00285247561096746 0.00107479003830021 0.000396810330931166 0.00107830069828876 0.00176692222646934 0.000522684744862331 0.000699559098091441 0.000511642188225293 0.000605916280903939 0.00105696336471792 0.00129928336255298 0.000641198074761163 0.000398151011828488 0.000598110415907333 0.000828708930069798 -8.76772690686605e-05 0.000610079442748302 0.00231264931313163 0.00329492365169561 -0.000940141916903063 -0.000305926746121291 -0.000116051657709797 0.00139833944812638 0.00011060432515616 -0.000387185326078289 0.000116890333699436 0.000260224404380002 0.00109886615039124 0.000401951829979024 0.000926154104303726 2.92741953724069e-05 0.000462172111167288 0.000111434429871915 0.000356004065789904
"V6" 0.00101230057245948 0.000676079736063292 0.0014279703208865 0.00117100465422901 0.00107479003830021 0.00191899144790636 -0.000333857450990152 0.00103274989362961 0.000836443606118148 0.00050671685343388 0.000904707175889711 0.000888888712727712 0.000443135787488301 0.000121758519631645 0.000755527164141712 0.000689615677825032 0.000610683541305671 0.00069465651401444 0.000772486235209225 -6.16698784973238e-05 0.00052641442256542 0.000642997688468727 0.000185079319425647 0.0010043640242774 -4.66625159351539e-05 0.000403121872958417 0.000257567812390303 0.000456153084548094 0.000640279334761441 0.000697023834024351 -0.000236286103774024 0.000272546634891591 0.000541396097959125 0.00017122483911685 0.000711709649318518 6.90471996562931e-06 0.000435612455523599 0.000356538264677844
"V7" -0.000416555440410925 -0.00175099153264021 -0.000709454187638084 0.00103044217611389 0.000396810330931166 -0.000333857450990152 0.011972099420324 -0.00029830723569755 0.000199204524521836 -0.00109615959754573 -0.00154634983235522 0.000352817590099839 -4.4023993257974e-05 0.00121767371595541 0.00295131964938166 -0.00107629336611482 -0.000981508524297661 -0.000780872102017615 -0.000896461559643582 0.000540534248375725 0.0013756458606325 0.000856983393695765 0.00162585431640078 -0.00119360448532743 0.00165559482789146 -0.000703530187795084 0.00118463305683612 -0.000446449511088275 -0.00159985935834906 -0.000806558001049348 0.000708497851682369 0.000498281679465526 2.844338289957e-05 0.000486393246247105 -0.000590460968820431 0.000578773402959392 -0.00077101512063785 -0.000429572170818766
"V8" 0.00225254565265513 0.000418868159889036 0.00200598788318395 0.00184325768150909 0.00107830069828876 0.00103274989362961 -0.00029830723569755 0.00306125056847131 0.00158850769678987 0.000714885918733554 0.00169628688346095 0.00122003808082202 0.000841480817171442 -0.000461529330949738 -9.72105541271482e-05 0.000809927523320751 0.000855767223052619 0.000553258610054508 0.000234098216596585 -0.000882774176296413 0.000175231843248333 0.000143940466466952 -0.000346238168905796 0.000775407656331127 -0.000464322928883 0.00114795284185708 -0.000331719134935768 0.000835302140607187 0.00128322397621165 0.00132585902595011 5.93643152645186e-05 0.000483518979215836 0.000690784252001969 -0.000107155411824767 0.00118648940713698 -0.000198878202177624 0.000679163135962507 0.00033789939646587
"V9" 0.00134975902142245 0.000481177633183024 0.00127648674856253 0.000765429818822149 0.00176692222646934 0.000836443606118148 0.000199204524521836 0.00158850769678987 0.00188740236761689 0.000568540962965516 0.00110946637649927 0.001092775802095 0.000656835968778804 0.000152433229236449 0.000468031825481102 0.000787994894937899 0.000757468363935627 0.000712003507662048 0.000641791213515169 -0.000164245672621752 0.000433818064143098 0.0023743466171594 0.00121470554789036 -0.000159487240674468 -0.000543716299526501 0.000485551367637866 0.000406347025376318 0.000492066871268597 0.000468366153882927 0.000808355511210092 1.91889493802044e-05 0.000708098183139251 0.00064898331356795 0.000167068681688084 0.000706200464598859 8.47990627804021e-05 0.00051155118140644 0.000522405151840369
"V10" 0.000496655652312701 0.000575867650890163 0.000580954601631943 0.000457806808930759 0.000522684744862331 0.00050671685343388 -0.00109615959754573 0.000714885918733554 0.000568540962965516 0.00133715237829948 0.000713803401553044 0.000327831990567827 0.00103813447942129 0.000440374068439928 0.000456617856331287 0.000481019490134571 0.000509217139074648 0.000386066976511378 0.000496277440914342 3.89428235553833e-06 0.000203842197098455 0.000262045671050861 0.000383381920146461 0.000842210175046692 0.000210362887891863 0.000409050254243814 0.000255052640789568 0.000638421634873129 0.000613608190103171 0.000424850253958534 -1.10137132221201e-05 0.000413537264429211 0.000443281463353951 -3.44306946388286e-05 0.000586804072614133 0.000251976123051676 0.000504962032528207 8.8575162629848e-05
"V11" 0.00224676110412687 0.000168143186683433 0.00185097735345435 0.000103567165690122 0.000699559098091441 0.000904707175889711 -0.00154634983235522 0.00169628688346095 0.00110946637649927 0.000713803401553044 0.00236456204028497 0.00082141239469272 0.000786236849488554 -0.000842676373874634 -0.00145965292020826 0.000805235448412055 0.000931968642724943 0.000511049495513702 1.46787323455658e-05 0.000343958240819668 -0.00050538898382558 0.00079308598461115 -0.000962910777327253 0.00106928317319361 -0.000982460037175536 0.00105344705175872 -0.000531639616684459 0.000968713366731103 0.00159317875084034 0.00124808434606467 -0.00072097381441563 0.000202429166217431 0.000881044487814611 -0.000255778436528647 0.00133230301907344 -0.000325428716124917 0.000803687643759628 0.000385372217446766
"V12" 0.00207733751249692 0.000716753139593156 0.00206906276808687 0.000340161875584266 0.000511642188225293 0.000888888712727712 0.000352817590099839 0.00122003808082202 0.001092775802095 0.000327831990567827 0.00082141239469272 0.00200908988527393 0.000359314369093611 -0.000303179599689838 0.000791432272838505 0.000842977724305362 0.000841733474197887 0.000870536369072007 0.00080490874286114 -0.000194310963026163 0.000777192615992685 0.00131021990306056 -0.000780343133409184 0.00102140706306839 -0.000652866043673427 0.000579661018241569 -0.000600650246622565 0.000465670656238691 0.000743318567581681 0.00103304856330979 -2.94573758563503e-05 0.000249471237790815 0.000778682678341641 -0.000451395999615872 0.000862387627391566 -0.000129212517229589 0.000617016510696638 0.000855356181629386
"V13" 0.000491379876101129 0.000502434756105633 0.000496770500771556 0.000413658736714887 0.000605916280903939 0.000443135787488301 -4.4023993257974e-05 0.000841480817171442 0.000656835968778804 0.00103813447942129 0.000786236849488554 0.000359314369093611 0.00180109181460231 0.000748800410736475 7.0003798954432e-06 0.000344565248453095 0.000314062803955789 -3.85218009077747e-05 -0.000582570024800804 -5.58553668975492e-05 0.000161423669203802 0.000373959279827638 0.000673259564997215 0.000432039199760731 -4.3540065502585e-05 0.000284626314537329 0.000391933635871397 0.000427986479784114 0.000574431060112757 0.000314386173558001 0.000448744812986065 0.000442922377321397 0.000429470629828476 0.000351246123340109 0.000561363871826399 0.000406140390547695 0.000358224428638916 2.14217709736681e-05
"V14" -0.0022379009887057 0.000528495635120784 -0.00176824162376372 0.00113290838750368 0.00105696336471792 0.000121758519631645 0.00121767371595541 -0.000461529330949738 0.000152433229236449 0.000440374068439928 -0.000842676373874634 -0.000303179599689838 0.000748800410736475 0.00287378926056695 0.00210615861992119 -1.32887651905784e-05 -0.000417689968051246 -3.24167950269853e-05 0.000804152368880437 0.00016506625864687 0.00121285276345756 2.89840555982148e-05 0.00333395663251269 -0.000926696262868607 0.000683654518958694 -0.00105195523245928 0.00234317128450378 -0.000669514298452222 -0.00173177429980681 -0.00112894186868221 0.00132725073727917 0.00113427885111288 -0.000343657721152339 0.00151141781721233 -0.000472127370811891 0.000979077454716502 -0.000316793777381605 -0.000632816759645575
