"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.00116533202613661 0.00113768672384008 0.000595350133445636 0.000416369674699836 0.000386104277067808 0.000268333753764535 -0.000394608488750949 0.000384116181744224 0.000436808317892289 0.00045342811684424 0.000361813589062789 0.000306770603885224 0.000173131758100147 0.000170100972816722 0.001234554569635 0.000286625882429247 0.000342959701267468 0.00021374588832724 0.000553758558996863 0.00055104676381243 0.00055680808065453 0.000404521850193455 0.00126488044881817 0.00102233692399173 0.00106990851832576 0.000363385008035204 0.00094437340324331 0.000671762212508903 0.000482456425688035 0.000524363729614275 0.0013464027288695 0.00160731421749043 -0.000119644792761803 -0.000410630287706576 -0.000428523347557212 0.000224152501583945 0.000595138444963481 0.000174071563737498
"V2" 0.00113768672384008 0.00266504774879252 0.000899185412501564 0.00105857348192905 0.000536171620097891 0.000446063803480721 -0.00143641350453124 0.000464220724241715 0.000536056884242402 0.000424947451932124 0.000367314704935081 0.000558840356781532 3.06747088650375e-05 0.000261817629403346 0.0026728727311372 0.000401889166785423 0.000613821967379401 0.000316366369822661 0.000694649177951262 0.000467809703337053 0.000863750211720785 0.000636455302688699 0.00186366401147207 0.00175417913859493 0.00162481185371149 0.000400410170697277 0.00147936664225843 0.00112890952316878 0.000407939011171877 0.000803120938253189 0.00170626147966969 0.00219519634230206 -9.73974625933965e-05 4.27719354713143e-05 -0.000501179722623602 0.000240817779018089 0.00094424413214698 -0.00036637813560656
"V3" 0.000595350133445636 0.000899185412501564 0.000881954998314785 0.000509456482005583 0.000307679893865985 0.00030930790699766 -0.000428351319462363 0.000363353617609327 0.000307841013265347 0.000369576864966514 0.000228702940777103 0.000530039081926184 6.72067259967648e-05 0.000157914061794363 0.00121025004995046 0.000341624153833235 0.000497297698507756 0.00042260985584662 0.000659246686996006 0.000276484314255579 0.000544533366928609 0.000279485224609867 0.00103284557285841 0.000975750859462271 0.00105081747582714 3.09641313234609e-05 2.8303322763007e-05 0.000886993904903837 0.000355361637366817 0.000404736363753732 0.00120367203818796 0.00114991115102483 -1.56379874501109e-05 -0.000184990495253024 -0.000148979945576793 0.000329272915116926 0.000675756768660259 -0.000196086117447566
"V4" 0.000416369674699836 0.00105857348192905 0.000509456482005583 0.00208724186182981 0.000661632348639559 0.000502756861387441 -3.4449049067569e-06 0.00087095117914051 0.00032950480493098 0.000395891876029469 0.000246124824843428 0.000258103621989797 0.000139740057854612 0.000457995035878044 0.00205153940117714 0.000462799988944461 0.000612393493810081 0.000377392576310076 0.000762658842827177 -0.000887806823466813 0.000496765411007115 0.000609262772609875 0.00122708613481763 0.000953422870183971 0.000657263921677499 0.000178955018610151 0.00105284693895724 0.00113917589340605 0.000456079936447489 0.000590828119563032 0.00116578526102727 0.00127059735370247 0.000454026746880954 -7.7157908144987e-05 0.000529905567923195 -3.3221999966174e-05 0.00057106454712615 -0.000899510102050646
"V5" 0.000386104277067808 0.000536171620097891 0.000307679893865985 0.000661632348639559 0.000758508823661497 0.000264227338752465 -0.000192777923348115 0.000218685539327444 0.000454735017818544 0.000355595837544409 0.000200650879905088 0.000155305413225717 0.00017862709565446 0.000275856771604137 0.000818800124823064 0.000229412477838006 0.000383161305511066 0.000298144472057441 0.000601319630915994 -0.000105251835276074 0.000237458223144088 0.000700752982377596 0.0011906284885973 0.000403434792222079 0.000314929773853034 0.000245353915484917 0.000615652368268972 0.00084138941238446 0.000207366245120564 0.000509607188971844 0.000500750132894423 0.00105451984374227 0.00017902819230707 -0.000295251224724393 0.000316429659425084 0.000152306013393021 0.000557210858554546 -0.00071263769317533
"V6" 0.000268333753764535 0.000446063803480721 0.00030930790699766 0.000502756861387441 0.000264227338752465 0.000738090939608832 2.35179058600896e-05 0.000107277722822815 0.00016009611498264 0.000323087077108653 0.000354790334712075 0.000196383573071974 0.000303118988837102 0.000381899062082497 0.000689857690426159 0.00015911376431783 0.000228294138310184 2.84163576293165e-05 0.000247641674135826 0.000305728392573358 0.000228033850566084 0.000301295799936054 0.000574444919076694 0.000973864578461728 0.000626029384376454 0.000165611881362589 0.000722389425187104 0.000447238361524317 7.59117306635454e-05 0.000466956545245294 0.000320239610633653 0.000899980730528854 0.000374316128340993 -9.4357519935188e-05 0.000179405805311223 -3.41278449035804e-05 0.000146330383441371 -7.30652535782135e-05
"V7" -0.000394608488750949 -0.00143641350453124 -0.000428351319462363 -3.4449049067569e-06 -0.000192777923348115 2.35179058600896e-05 0.00537979416534473 -7.21843331348449e-05 -0.000129886246773388 -8.06093903563985e-05 -3.65003494072264e-05 0.000491521368861731 0.000748938863326738 0.000631534941516736 -0.00135399633787976 0.000176979809738422 -0.000142248278309005 -0.000235672354816553 -0.000438266399424002 3.22469369467091e-05 -0.000626789939622069 0.000118598041112523 -0.00143332277497451 -0.00152012957939401 -0.000357463420666952 -2.84650324111506e-05 0.000314611357532006 -0.000523931679695835 -0.000170124928200421 -5.91879480664184e-05 0.00021520192651206 -0.000318354405288396 0.00101476521820999 -0.000414555738707498 0.00139294823475069 -0.000290705709935222 -0.000479896888489813 0.000106045476821977
"V8" 0.000384116181744224 0.000464220724241715 0.000363353617609327 0.00087095117914051 0.000218685539327444 0.000107277722822815 -7.21843331348449e-05 0.000987238290166809 0.000310739875762859 0.000191453756815736 0.000324816771405546 0.000199195639044709 -1.6527181798388e-05 9.45118239483022e-05 0.000623229140413997 0.000123962137046288 0.000297433140010359 0.000246332292459781 0.000405120759837677 -8.1852501274098e-05 0.000440219952592951 -6.46865664958609e-05 0.000806176935812854 0.000646564944890851 0.000660216133415716 1.08481558040884e-05 0.000180461599758481 0.000887277673560316 0.000459045735112697 0.000284260551840407 0.00111236639249846 0.000541712385333612 -8.30817784372013e-05 3.28050081788151e-05 -0.000210609057090748 0.000127928278267612 0.000327423735987493 -0.000464530240030404
"V9" 0.000436808317892289 0.000536056884242402 0.000307841013265347 0.00032950480493098 0.000454735017818544 0.00016009611498264 -0.000129886246773388 0.000310739875762859 0.000471696362413219 0.000278633345535222 0.000310986248931166 0.000234598617015518 8.54584468632972e-05 0.000167687275361934 0.000760882218443488 0.000124104818693882 0.000335089075839473 0.000253146746128944 0.000569823369851129 0.000331986154393069 0.000401871513669187 0.00054012735420559 0.00120331950460136 0.000791974901362776 0.000716244682973437 0.000260115232663312 0.000495241196521676 0.000897947497097239 0.000221876153610331 0.00042080178389559 0.000923119478342537 0.00111723598049332 -8.56265963122752e-05 -0.0001357891746165 -0.000198979669834654 0.000191123601215944 0.000564249074528672 -0.000492212803736448
"V10" 0.00045342811684424 0.000424947451932124 0.000369576864966514 0.000395891876029469 0.000355595837544409 0.000323087077108653 -8.06093903563985e-05 0.000191453756815736 0.000278633345535222 0.000950704984313831 0.000276756183157393 0.000242819090611328 0.000722069625580387 0.000559060393779043 0.000421455832994882 0.000285688941411407 0.000357180676015022 0.000284061786882408 0.000468658153318237 0.000511455027354583 0.000310176350431607 0.000296485494005628 0.000635264151511908 0.000532770636800261 0.000736241451234124 0.000302374658877463 0.000292421970491212 0.000687456093774599 0.000453530560075304 0.0005523682658662 0.000539308509173187 0.000982166400394898 0.000250489761057574 -0.000198686868146195 0.000237133606540205 0.000183774952221957 0.000403514706898814 -0.000148274376709364
