"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.00561159770981443 0.00543752880496884 0.00347840126158297 0.00264046402853405 0.0017081833522929 0.00138639408839352 0.00214486688974374 0.00216632324352114 0.00239882514887694 0.00114451658501454 0.00107165614708378 0.00214465083114687 0.00090821926179874 0.00129015196685053 0.0012474106589397 0.00165324768797145 0.00215409740162135 0.00282210227773613 0.00424732151204876 0.000623394268542477 0.00209605725699975 0.00214902241450606 0.00376795855672624 0.00506142031942706 0.00342192679360841 0.00202931765384205 0.00255155469046157 0.00302506991358782 0.00241819738190731 0.00235446537785553 0.00201099160642093 0.00491480488435847 0.000796149848601292 0.000884264149657111 0.00133571962730629 0.0025015632765875 0.00168120502640914 0.000109149862090046
"V2" 0.00543752880496884 0.0130974174917889 0.00536798443753787 0.00371421522922409 0.00236008108631642 0.00187674292057303 0.00195856503925657 0.00152166203617672 0.00325374018817664 0.000190877299403807 -0.000549452431151946 0.00464260925036516 0.000715540082564336 0.000796538172615196 0.000402125121878144 0.00168684133110566 0.00233794789869888 0.00321055611088696 0.00517719261567088 0.000848481951034987 0.00232074821621274 0.0032894361903676 0.00327734742971173 0.0046074155796816 0.00211308866584723 0.00177646471212612 0.000559761209099083 0.00344959874904197 0.00330519562683034 0.0027462910626933 0.000102207457633683 0.00428943157766821 -8.4511262219142e-05 0.000721590722427592 -5.6407411607204e-05 0.00330081752150333 0.00109101482089242 2.7248059723779e-05
"V3" 0.00347840126158297 0.00536798443753787 0.00499369049141463 0.00263776121455994 0.00198524623118394 0.00163540097732131 0.00271661262214226 0.00138375667175767 0.00228945489540038 2.88755206151743e-06 -0.000214081730336422 0.00337122411228575 0.000186565412780232 0.000465682013802373 0.0011337337540802 0.00101917858168888 0.00142643214044821 0.00176746257541913 0.00295161113508765 0.000155340936014472 0.0015275897767782 0.00232527729295431 0.00265016996554574 0.00296896035035517 0.00178893022377306 0.00163256313521414 -0.00230895146501096 0.00208844399055043 0.00175288956385084 0.00198647913681669 0.000314295100236618 0.00362787091026741 3.33727459592857e-05 0.00114033402340702 -0.000219786819052997 0.00162554872774296 0.00061000300895117 -9.83149099489573e-05
"V4" 0.00264046402853405 0.00371421522922409 0.00263776121455994 0.00541699765694495 0.00271842351098104 0.001859091493329 0.0035921345170426 0.00303468857772844 0.00235768031334734 0.000784028459839732 0.000716493247686841 0.00201896452777168 0.000911740317291676 0.00129461156201284 0.00149857703085409 0.00169853763082014 0.00198437929972374 0.00266221699465793 0.00396858572454723 -0.00092199282169064 0.00209654667143479 0.00213932245005794 0.00334826383641783 0.00365477918480444 0.00319828509630593 0.00159610157290305 0.00258966357381403 0.00251128393165435 0.00180988966721117 0.0020442897247139 0.00208938949127835 0.0049348582769394 0.00143809387961599 0.000952885075508972 0.00229351096664781 0.00221882637509227 0.00180891697204129 0.000117867486450112
"V5" 0.0017081833522929 0.00236008108631642 0.00198524623118394 0.00271842351098104 0.00283551228056863 0.00132646747084778 0.00209557336711726 0.00133396850649173 0.0021924285877782 0.000451876541550775 0.000519735520286585 0.0016167193770097 0.000537093447785252 0.000858040319314585 0.00158730531213904 0.000927292858532901 0.00122109160025336 0.00161093299770754 0.00237344364438894 -8.67340649683799e-07 0.00158169393137434 0.00279354621470778 0.00303559850084755 0.00097352870779339 0.00140328997407861 0.00110971173651343 0.00126831230542471 0.00185794666990761 0.00127271734217553 0.00146878373611697 0.00104639445823447 0.0032545275190049 0.000709828646225043 0.000943623172918399 0.00109521248617243 0.00129406020453607 0.0014159137529761 0.000183068782681672
"V6" 0.00138639408839352 0.00187674292057303 0.00163540097732131 0.001859091493329 0.00132646747084778 0.00148696378751267 0.0013419317561941 0.00094534382815804 0.0011489782659304 0.000358511893047293 0.000427610446668931 0.00114720707891793 0.000348263720530394 0.00050669547047341 0.000533736344009076 0.00073491948956965 0.000910561028633084 0.00113610569141842 0.00168459490349886 -5.52955302060373e-05 0.00091807171305302 0.00132940952195429 0.0014925142172605 0.00131088729646305 0.00128337618167584 0.000746488596943771 0.000609561086859563 0.00134259185193467 0.000897976233767103 0.000987121134278554 0.00140382367017824 0.00210115502569845 0.000518512813227082 0.00062788738430932 0.000741170112549998 0.000903545947976188 0.000786459064049886 -2.68658079887856e-05
"V7" 0.00214486688974374 0.00195856503925657 0.00271661262214226 0.0035921345170426 0.00209557336711726 0.0013419317561941 0.0139161118813717 0.00174911165952268 0.00204388583665929 0.000577139381498348 0.000242622982745398 0.00349331946064292 0.00235920217841575 0.0023959907249893 0.00163621636964658 0.0020691606815244 0.00218112266441922 0.00309852515362307 0.00418419407649947 0.000551005521888313 0.00188337025103158 0.00237458524007245 0.00263613117840066 0.00431061247941355 0.00343489117480616 0.00156966948466036 0.00184657963051999 0.00203545590678375 0.00269719778234302 0.00250965721638552 0.0020563630964682 0.004356909213272 0.00320467231101705 0.00168945530007748 0.00603256207063724 0.00342249461036839 0.00234579032116142 0.000367606099735424
"V8" 0.00216632324352114 0.00152166203617672 0.00138375667175767 0.00303468857772844 0.00133396850649173 0.00094534382815804 0.00174911165952268 0.0034003892591061 0.00156740336292199 0.000577490384499703 0.00140104917869729 0.000896963746800575 0.000473964150240861 0.00073838524145945 0.000717283511017211 0.000962697842362072 0.00122219365920518 0.00141570214978484 0.00247045658351238 -0.000401892688434081 0.00126259296017725 6.88230145408057e-05 0.00248558050198737 0.00344566852782184 0.00258650733218882 0.000845555278871407 0.00236878173757961 0.00163847722899659 0.00104014550242166 0.00132507701677199 0.000718374994857641 0.00342674726181707 0.000624865469627764 0.000750319787051775 0.000835066160036945 0.00124688605838653 0.00121442360842943 0.000412445730070151
"V9" 0.00239882514887694 0.00325374018817664 0.00228945489540038 0.00235768031334734 0.0021924285877782 0.0011489782659304 0.00204388583665929 0.00156740336292199 0.00227223374154598 0.000553585244108715 0.000667562242068878 0.00195993916928772 0.000594737068364915 0.000878250108947169 0.00133197306059507 0.00104204592444446 0.00137243268918008 0.00176277935936454 0.00281127124062046 0.000136831308075682 0.00160245803799408 0.00247678710145306 0.0030485766787765 0.00219974628204428 0.00193536887323233 0.00122043532714391 0.00114221402222786 0.00202208963485617 0.00144648311352563 0.00161739429808168 0.00100466274381237 0.00359150622618524 0.000495995990120226 0.000909467882557191 0.000880214707804973 0.0016131613640347 0.00139733076277839 6.92260211675215e-05
"V10" 0.00114451658501454 0.000190877299403807 2.88755206151743e-06 0.000784028459839732 0.000451876541550775 0.000358511893047293 0.000577139381498348 0.000577490384499703 0.000553585244108715 0.00235463228864219 0.00109599611080512 4.81073394575959e-05 0.00194273296483258 0.00170539014764064 0.00114479822753179 0.000744995417256419 0.000887208489775771 0.00099751495641474 0.00120280361128359 0.000742197017435648 0.000904333303406672 0.000736247541001618 0.000959881036083142 0.0018736149367548 0.0017700018869184 0.00101166159714422 0.00234045706314746 0.00132606540336372 0.000731382227159992 0.00082209632877923 0.00202562046529322 0.00164783572788672 0.00142392961897847 -0.000250995100415911 0.00254872441717619 0.00102132667142331 0.00141038027167244 -0.000150879525570618
