"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.00337948238754341 0.00251161416687063 0.00225892520698045 0.00164774440718597 0.00222113636635592 0.00193743625220075 0.000637925722343418 0.00145999263501119 0.00232116386833565 0.00129753224148422 0.00132306946625418 0.00160919213508233 0.00086324082676481 0.00129783385681649 0.00378599052801154 0.00111180258336546 0.00145325361619294 0.00135018676886546 0.00224032499698101 0.00102168088216555 0.00199464284494792 0.00285032803093513 0.00314648410510961 0.00375283856001897 0.00285002939891463 0.00187219722857287 0.00236531936512638 0.00229872129000065 0.00178802732616741 0.0017895408744733 0.00167786747353384 0.0023593798577639 0.000698045633104784 0.00142041290143419 0.00103179449228785 0.00136901934390231 0.00175943062490671 0.000460550129567856
"V2" 0.00251161416687063 0.00610384574487447 0.00243207676449544 0.00321015924922499 0.00260702589522146 0.0015346302019032 -4.50519127558122e-05 0.00179738497741372 0.00219858056343268 0.000876739211329155 0.00123286055935188 0.00188619707554552 0.000222149023134524 0.00106127500171354 0.00575334860128436 0.000744791719388731 0.00125661440262488 0.00123412567734338 0.00225359674910528 0.00175750737149667 0.00258588701912085 0.0017897892164312 0.00361539894231166 0.00516382685015038 0.00408410734426097 0.00311489319945563 0.00381026543307781 0.00252845634654585 0.00138039813070985 0.00188109803131252 0.00278917148688109 0.00389881631945242 -0.000213987895337163 0.00191420300313593 -0.000987772489820249 0.00106774506973567 0.00132684819372791 0.000988971568772787
"V3" 0.00225892520698045 0.00243207676449544 0.00313702031113516 0.00194550596763916 0.00219102452014469 0.00171084276692065 0.000236756492243455 0.00123842481490046 0.00196632046700959 0.00105196516162159 0.00109062518192732 0.00184765950700846 0.000578366770830095 0.0012719549921164 0.00453462692223805 0.000358417587222701 0.000771254374853787 0.000660921786459102 0.00114086394306845 0.000400688297902298 0.00183556355152334 0.00249915942681817 0.00266235061838964 0.00332080383552849 0.00286427691111362 0.00147710640036048 0.000308597386932572 0.00182170485247218 0.00113779289019873 0.00139560688948926 0.00158041478520454 0.00232438488873633 0.000623304501140814 0.00157594195237369 0.00135056453968266 0.000857088538699513 0.0018359141699791 0.000236221541521802
"V4" 0.00164774440718597 0.00321015924922499 0.00194550596763916 0.00452064952672173 0.00242276947336217 0.0012887631521295 0.00128512621461258 0.00275664145772015 0.00186968022932287 0.00133239250034379 0.00133370682579572 0.00153707702198251 0.000622555364062805 0.00106896964250372 0.00456808498623324 0.000769019235688292 0.00116721162323037 0.00141070286705733 0.0020597664123043 -0.000879434929644656 0.00201377824773276 0.00177959503490654 0.00294428255065278 0.00379119502958041 0.00412378770822361 0.00262807138344068 0.00351589624077448 0.00201565836529447 0.00124867351743551 0.00165573510146673 0.00279224188961473 0.00336450859865073 0.000191198326764695 0.00206971650494198 0.000201260491596572 0.00132632223226807 0.00175772156259004 0.000602644853868307
"V5" 0.00222113636635592 0.00260702589522146 0.00219102452014469 0.00242276947336217 0.00457418592423209 0.00187155562108717 5.6868122486137e-05 0.00165095583494138 0.0036764617195277 0.00138416338953172 0.00123847634446583 0.00147590599576025 0.000836825914914414 0.00144261502567808 0.00476152064240562 0.000967804532960542 0.00132262078069369 0.00116478080678111 0.00205809558782697 0.00061451963009403 0.00210262867595244 0.00497996650145984 0.00424364230527632 0.0007974695028915 0.00182639724603716 0.00170354993408873 0.00239894740639133 0.00225226218514181 0.00128626813753171 0.00177781710717157 0.00171205756179838 0.00282107595746224 0.000935627945654267 0.00137255160146459 0.00167793797380103 0.00127005564624761 0.00219917044804488 0.000927270472368632
"V6" 0.00193743625220075 0.0015346302019032 0.00171084276692065 0.0012887631521295 0.00187155562108717 0.00225142918314844 0.00108590699798286 0.000820738109095975 0.00176888293254417 0.00103797820427361 0.000868474192242295 0.00137369149682326 0.000832730748377647 0.00106285292886758 0.00262807227486025 0.000849250592923145 0.000926222234181085 0.000818490100995761 0.00134350515611858 0.00140551419547769 0.00158577851505866 0.00242712884852695 0.00248513790365278 0.00252391507243072 0.00167523487742531 0.000589614481668379 0.00157507950473199 0.00129778251796216 0.00145128545583154 0.0013497073371622 0.000777904486201065 0.00147040267928488 0.000922266704470909 0.000705679615660111 0.00156018621767222 0.00100001366618116 0.00139289226567065 0.000648801441023196
"V7" 0.000637925722343418 -4.50519127558122e-05 0.000236756492243455 0.00128512621461258 5.6868122486137e-05 0.00108590699798286 0.0120775711463198 0.000736067571649289 0.000180752746034749 1.47153421825601e-05 0.000531929072364685 0.00328733584380546 0.000907266955626517 0.000150351518668882 -0.00196446850086488 0.00202756917901137 0.0013664582860687 0.00193734952857451 0.00221349399763984 0.00406185297205739 0.00126684723413252 -0.000555959180351263 0.000825861896637545 0.00236352084565662 0.00123407706144827 0.00113147467316507 0.00228073234668764 0.000102761454896695 0.000360512050507285 0.000664335317161451 0.000409318361777823 -0.000188808218135409 0.000300498439281345 -0.00188975578142366 -0.00031598933846574 0.00128555251866585 0.000264857088592904 0.000471307707281684
"V8" 0.00145999263501119 0.00179738497741372 0.00123842481490046 0.00275664145772015 0.00165095583494138 0.000820738109095975 0.000736067571649289 0.00289090225796102 0.00183966863807259 0.00131311072700255 0.00144369352710966 0.00126389438837261 0.000829894674642911 0.000756911230512225 0.00276694853944919 0.000986663988494018 0.00130942389359057 0.00154530570841686 0.0020580943561295 -0.000750297491302177 0.00144255348298468 0.00133059731122722 0.00199359560540129 0.00280408345513232 0.00317042852012813 0.00212127004122735 0.0024413880162655 0.00192349191207201 0.00144742403582683 0.00144765381905632 0.00201503716023591 0.00249881642124424 3.50235802997393e-05 0.00121824580824215 -0.000168523760178941 0.00133105174840061 0.00128413809082103 0.000432932670301092
"V9" 0.00232116386833565 0.00219858056343268 0.00196632046700959 0.00186968022932287 0.0036764617195277 0.00176888293254417 0.000180752746034749 0.00183966863807259 0.00355266664743661 0.00158942555632588 0.00149559709521943 0.00163149498838034 0.00109178911707935 0.00140391837288966 0.0043205635245604 0.00121252688834524 0.00154453657125541 0.00150177410018827 0.00237075715018871 0.000775217028468129 0.00212926225517253 0.00467722836027722 0.00387985758177379 0.00170048712562367 0.00246783172826857 0.00184927885372905 0.00231851065826138 0.00235724476647381 0.00166339561808898 0.00190350853827938 0.00183664670037693 0.00280846558432585 0.000874779792206317 0.00121030797782186 0.00150465227754723 0.00150991281363465 0.00209285729054393 0.00085797409244718
"V10" 0.00129753224148422 0.000876739211329155 0.00105196516162159 0.00133239250034379 0.00138416338953172 0.00103797820427361 1.47153421825601e-05 0.00131311072700255 0.00158942555632588 0.00357981809613761 0.000848452220587422 0.000949125696559469 0.00290004664168089 0.00149858085921784 0.00358184344809212 0.000683455659796306 0.000887974021478606 0.000852718345329641 0.0012601899519362 0.00075834413780687 0.00153006050851214 0.00176816863935417 0.00217566230824293 0.00200910701070433 0.00204721522851521 0.00112518120975509 0.00116647265665272 0.00140293143671815 0.00137870664183825 0.00138350124330292 0.00104191165162953 0.00147223042779881 0.000765261996679291 -0.00316158866800288 0.000953883034913403 0.000910408958149396 0.00116788052181171 0.000720228472517939
