"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.0122458883745599 0.00515137688984318 0.00569372023551065 0.00283790597779054 0.00283689438273158 0.00299178692265106 0.00287006831833964 0.00556678587258613 0.00378558402319532 0.00356050295248367 0.00511249348406501 0.00365679645490284 0.00322621932993696 0.00293774856220405 0.00496977791848893 0.00342418709745851 0.00215461573519706 0.00121220796806314 0.00153995939862603 0.00083723276540031 0.00425126597099964 0.00087842148607216 0.00467326143157481 0.00172717675146522 0.000462056568388907 0.00751554757682301 0.00127120027711526 0.00188490312646291 0.0019386490914656 0.00355699679926615 0.0020629637117012 0.0027857043823779 0.00460282378806347 0.00214940229048737 0.00430242460140194 0.00174234679223708 0.00305571608058969 0.00236460376712736
"ISNSL" 0.00515137688984318 0.00699150710841713 0.00400154102041387 0.00425775953459682 0.00368230607879904 0.00242632313585149 0.00103971208422653 0.00166608681553096 0.000811102552042685 0.00206521934514081 0.00300227659351836 0.00311199592469026 0.000875597319336379 0.00174747828666007 0.00384237661304579 0.00319372333052866 0.00167683371156823 0.00138260460805246 0.00225438935608247 0.00119590167850987 0.0050554437140983 0.000896685208708273 0.00639760450418977 0.00120889417003295 0.00123805063576272 0.00644631034666482 0.00265785779359977 -2.19020102102075e-06 0.00191292606203661 0.00153548405069945 0.000692918379627526 0.00246452949676751 0.00198191438600069 0.00108946399524263 0.00161772098830451 0.00142107168682716 0.0021748635079791 0.0019424840658408
"ISPNS" 0.00569372023551065 0.00400154102041387 0.00472896808746304 0.00337339479202926 0.00305495829506882 0.00200711813951808 0.00180871988486967 0.0042273976222092 0.00223248489055262 0.00196045037500943 0.00277848532054888 0.00204436609144276 0.00103384201312429 0.00145910912558403 0.00407436476802087 0.00227504463536342 0.00141649559953911 0.000474597969193085 0.000619571078130994 0.000879458016636979 0.00350957347215866 0.000443574209469694 0.00348920148614296 0.00143415692328462 0.000914009226620198 0.00701443936282453 0.000758373361771886 0.00119165675777621 0.00088010912923268 0.00194064463741908 0.00192959702551415 0.00121086457184193 0.00251811368590002 0.00131196177396348 0.00258684161837589 0.000806905147259658 0.00183497061063884 0.0010261831849667
"PMZS" 0.00283790597779054 0.00425775953459682 0.00337339479202926 0.00478456625265671 0.00366447779275287 0.00169305767523359 0.00378735462442359 0.00424991728274587 0.00149631835091245 0.00182950135324626 0.0019660484995105 0.00236056052576163 0.000611206885949266 0.000950470508249317 0.00389500130902574 0.0022491675368668 0.00108102222505316 0.000256500812834381 0.00101362414954917 0.00114041612614312 0.00441029694379036 0.00105198463359222 0.00497542398285415 0.00072539616086316 0.00102111770084956 0.00570292043704084 0.00175159842620253 5.91758630088776e-05 0.00110955502896946 0.00117780156584108 0.000351245965615904 0.00140473901135222 0.00186455425868695 0.000334684879854525 0.00132323521649912 0.000456923966994471 0.0010333206203749 0.00093495593175217
"PMZI" 0.00283689438273158 0.00368230607879904 0.00305495829506882 0.00366447779275287 0.00408423926392746 0.00165657759774091 0.00204704254367009 0.00315993896591046 0.0023951206444515 0.00151431418049288 0.00223307075400866 0.00213046967276728 0.000462021164173687 0.001044927615396 0.00312532240316413 0.00203764066907017 0.001078216886681 0.00076592778719436 0.00137135142866895 0.000918346555736793 0.00368424237809748 0.00118231416906354 0.00495113288278242 -0.000183361630127518 0.00048669823126832 0.00525295098399378 0.00194501151797673 0.000163436817882477 0.000399818790309462 0.00138159328540996 0.000566099769737234 0.00141913079588533 0.00147897276647623 0.000929790807563752 0.00166593937874561 0.000755020554811481 0.00150912474538841 0.000943284828193967
"PMMT" 0.00299178692265106 0.00242632313585149 0.00200711813951808 0.00169305767523359 0.00165657759774091 0.00198079913082187 0.000501240518101352 0.00148258205897707 0.000939788383419751 0.00144531477734527 0.00163915550082284 0.00130947766791885 0.000868304662338054 0.000857829486227545 0.00213503572786439 0.00128487723241065 0.000751600674579052 0.000636937654295956 0.000897945296779732 0.000564410673033185 0.00193318787798312 0.000459408382066178 0.00241866700660769 0.000821616455803385 0.000696306236340927 0.0022724155033592 0.00156147572512082 0.000443907629587162 0.000408944176835574 0.000960973092540281 0.0005926960252919 0.00134756722666106 0.00131146532077044 3.69638454870706e-05 0.00106308190033338 0.000698724899759324 0.000950882306276378 0.000650806187182591
"NSLNA" 0.00287006831833964 0.00103971208422653 0.00180871988486967 0.00378735462442359 0.00204704254367009 0.000501240518101352 0.00923185601985789 0.00616452093113156 0.0022767707212497 0.000546667375144442 0.00115063703896229 0.00285687517243782 0.000302961345513202 -0.000162592418875237 0.0031120982690663 0.00110914272280062 0.000535175050420973 -0.00049169434854835 -0.00011752264706308 0.00167432864104094 0.00256675096127209 0.00183843894979254 0.00222892677274678 2.45810822680541e-05 0.00051084141176287 0.00194197500175172 0.000718806474268544 0.000215701385267544 0.000111287595283032 0.000505719758850315 -0.000381463907789028 0.000675115442184021 0.00180239738941163 0.000165588117720521 0.000635225832365066 -0.000354146379944273 -0.000702848702687966 0.000876001707107579
"NSLZS" 0.00556678587258613 0.00166608681553096 0.0042273976222092 0.00424991728274587 0.00315993896591046 0.00148258205897707 0.00616452093113156 0.00867574359985086 0.00373546979079509 0.00233062576575502 0.00308758688793667 0.00252725030568795 0.00156369520137286 0.0010217016121013 0.00485076782795881 0.00160285509998745 0.000856355165599691 -0.000487272581284189 -0.000256991786151654 6.09224296056685e-05 0.00386628214992217 0.000677094893519065 0.0032281883654152 0.00117153219479632 0.00056776859040837 0.0068129659336545 0.00105792719978174 0.00126239569145603 0.000914778197084138 0.00220764493969954 0.00189647791701892 0.000837051277613561 0.00362434027748685 0.00068581845617723 0.00317738861258783 0.000257286885824089 0.0010873004212305 0.000631985655807258
"NSLZI" 0.00378558402319532 0.000811102552042685 0.00223248489055262 0.00149631835091245 0.0023951206444515 0.000939788383419751 0.0022767707212497 0.00373546979079509 0.00362441155012862 0.000862314688538374 0.00210926530681406 0.00143804151356628 0.000695394142756339 0.000744052723590179 0.00200815785608968 0.000975539579149284 0.000620164691119923 0.000472867222632989 0.000470131395576596 0.000333176433428782 0.00163550338861441 0.00168929930178663 0.00181503717785636 -0.000557348976670337 0.000232212949617926 0.00350053831744214 0.000664755327492559 0.000792120412434519 6.39296684404539e-06 0.00159170124197919 0.00136283661018314 0.000901454174384686 0.00188111786831529 0.00174834026970329 0.0022047262699434 0.00060589144869641 0.00116760771342551 0.000717653387170157
"NABR" 0.00356050295248367 0.00206521934514081 0.00196045037500943 0.00182950135324626 0.00151431418049288 0.00144531477734527 0.000546667375144442 0.00233062576575502 0.000862314688538374 0.00569873326585026 0.00225242184530375 0.00148931465516869 0.00435122960711426 0.0027989180748337 0.00309344313369033 0.0019542058592491 0.00107657360552574 0.000730180064188675 0.00183122137480138 2.60065832141249e-05 0.00277846812549117 0.000213449655663134 0.00311515604237168 0.0010684733642031 0.000428649198043593 0.00383074103248269 0.00108730374105567 0.000377587702822891 0.000530978150742125 0.00173913257514182 -0.000387466135218282 0.00188410660171267 0.00230239888203716 -0.00293292169232226 0.00199425097784029 0.000704299777237621 0.00122804746189815 5.68181042809963e-05
