"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00425541268773119 0.00285929219920994 0.00292582583572427 0.00216206008191908 0.00111565866008051 0.00194600644771088 0.000648101023973528 0.00127824406002259 0.000814951279222297 0.000977589770909696 0.00110820137678607 0.00145142330510327 0.000657816219032456 0.000586371634139742 0.00143051375273951 0.000153624050868466 0.000920273782469449 0.000681598421929679 0.00151586095064242 6.21593791066778e-05 0.00165507704373393 0.000440665230266956 0.000970816171656417 0.00259369893124096 0.000889609227492003 0.00231581352745511 0.000694336979093199 0.00156808739367669 -0.000328714950393398 0.000998701022323556 0.000246035691581187 0.00108021549772979 -2.05117868921471e-05 -0.000938778969997218 0.000828657700650209 0.00073646921270393 0.00115973522170344 -0.000140607651758495
"ISNSL" 0.00285929219920994 0.00795856214365275 0.00375102203123218 0.00419500162895217 0.0018104291543504 0.00244313449764073 -0.00143670432149322 0.00157774422684899 0.00103886701194429 -3.77212773107254e-05 0.000554977326703484 0.00167581916942398 -0.000755047713267538 -0.000631047476220408 0.00104304566941327 -0.000548752016819107 0.000174572379519458 0.00109830784439409 0.00171953009914792 0.000915704860339925 0.00223735211242998 -0.000406711120056518 0.000955036438140707 0.00377794387802525 0.000725668969785835 0.00254907160355715 0.000350823586046227 0.000856753058294399 -4.23805951177024e-05 0.000321396057547737 -0.00029403656653123 0.00151153177585277 -0.00103566462580406 -0.00147586441800613 -0.00101431479310593 0.000714607582912158 0.000433796885621638 5.96927573156234e-06
"ISPNS" 0.00292582583572427 0.00375102203123218 0.00420016793279406 0.00351879632531464 0.00180870730102707 0.00276321983396573 0.000440043252056428 0.000632793789416521 0.000567657288209065 0.000337951313777634 0.000427068896809975 0.00148649580784026 -0.000215052785657263 0.000264926458150378 0.00192780672375525 0.000952660474899771 0.00135708259663409 0.00151813681463382 0.00283336373774289 -0.00043325484267141 0.0017563807183679 0.00102408426645535 0.00163583920525244 0.00380029477811829 0.00192100963157636 0.00279759584661188 -0.000435167187255798 0.00162054538556095 -0.000123890491396523 0.000894836457309248 0.000673782640313444 0.0025740961752037 -3.05589774614313e-05 0.0001058984535789 5.34342556110153e-05 0.000982469219363387 0.00144263483200056 0.00104620153686881
"PMZS" 0.00216206008191908 0.00419500162895217 0.00351879632531464 0.00551790247551235 0.00258783130323284 0.0030181931309788 0.000776731610451761 0.00206380923818794 0.000757615168076446 0.000407242773646195 5.88462197779845e-05 0.00127204174605899 -0.000215480369153604 9.17756878238181e-05 0.000761973107131552 0.000318226246803025 0.00101494795100576 0.00140003825262296 0.00234011351884207 -0.00243826198062513 0.00111859169046801 0.000321889863956353 0.000984160867173672 0.00292765912701591 0.00149438898047424 0.0019476528244454 0.00128593896405805 0.00109140477888458 -0.000845728771512317 0.00074302310114486 0.00034965759675597 0.00235442109001676 -0.000288504940525232 -0.000453215344040123 -0.000907974914347404 0.0008774671149278 0.000768380221308331 0.00156331614236382
"PMZI" 0.00111565866008051 0.0018104291543504 0.00180870730102707 0.00258783130323284 0.00286211750809844 0.00188993315350633 0.00169165862264173 0.000527820859082092 0.00112157601058484 0.000169495789018525 0.000439022788645161 0.00115793384697228 0.000187052261000671 0.000239422903478942 8.29605231674077e-05 -0.000367998082397873 0.000399655659115719 0.000842245022802274 0.00102152137678478 -4.56078553086551e-05 0.00101344734080731 0.00218510220258497 0.000536247446110995 0.00107179892732451 0.000375474028785229 0.00123200203116586 0.00151100415006358 0.000597230362052042 -0.000493025472680731 0.000433489088496707 -3.17976501454087e-05 0.00105896554052648 -0.000170670716585911 0.000412677916176108 3.25217407845752e-05 0.000674554591179702 3.94891892499955e-05 0.000276699624803633
"PMMT" 0.00194600644771088 0.00244313449764073 0.00276321983396573 0.0030181931309788 0.00188993315350633 0.00318239860764111 0.000750644866465256 7.07064901341067e-05 0.000212268999716992 0.000295976326642881 -0.00011015802939122 0.000963198024964023 0.000128155381711282 0.000246197105293841 -0.000207983047182067 0.000628025917754809 0.0012638468771722 0.00178766022250684 0.00184720673334733 -0.000526608377945566 0.00116704279377811 0.00101366050376936 0.00180223944527098 0.00270885717327105 0.000849115680396482 0.00137838654340463 0.000696127654331097 0.00120989213649218 -0.000694920352023426 0.000582448053373931 0.000228873777738134 0.00161478401224407 0.000143623370099411 -0.000111507749623353 -0.000282427930740533 0.0012001684867485 0.00051463564608719 0.00108555580328171
"NSLNA" 0.000648101023973528 -0.00143670432149322 0.000440043252056428 0.000776731610451761 0.00169165862264173 0.000750644866465256 0.0204758646819809 -0.00179388093242662 0.000397888431111162 0.000210644948524836 -0.000307825153788781 0.00250087878384666 0.0018931533216856 0.0012373014691785 0.00146901714439754 -3.73434546367654e-05 0.000339611393265782 -0.00100588439865876 0.000883168331604613 -0.000394518410222672 0.000268461444270653 0.0041633931200898 0.000768149978002604 -0.000565831594963038 -0.000754347067766046 -9.1573113187326e-07 0.00116285612473661 0.000951444579540825 0.00061859553007069 0.00157513807332648 0.000647243821857339 0.000930067052599857 0.000478867142827626 0.000229899411719264 0.000685016133947836 0.000706933301802107 0.00166556338135594 0.00362882011528565
"NSLZS" 0.00127824406002259 0.00157774422684899 0.000632793789416521 0.00206380923818794 0.000527820859082092 7.07064901341067e-05 -0.00179388093242662 0.00742686160528803 0.00209078847182227 0.00127075247385791 0.00210644732292817 0.000918624183701744 0.00102395370557284 0.00114051770953055 0.000355363934325463 0.000202907333226431 0.000483619144759632 0.000922590889330537 0.00215931514675318 -0.00334918133416117 -0.000327462381124315 -0.00428347103394728 -0.000711438803538103 0.00142315185333535 0.00122741253695633 0.00109153660658243 0.00149710232330512 0.000570931248063648 -0.000561907824403772 0.000303095234329537 -0.000203651884557533 0.00171831419017059 0.00012237424918881 0.000616453883740169 0.000984511963588853 0.000677796528232883 0.00153073670833313 -0.000985821507506972
"NSLZI" 0.000814951279222297 0.00103886701194429 0.000567657288209065 0.000757615168076446 0.00112157601058484 0.000212268999716992 0.000397888431111162 0.00209078847182227 0.00183345232723349 0.000408805272585679 0.00120733337255433 0.000966881463808681 0.000485152735148141 0.000558896948665133 0.000652221389850662 -9.7839317188072e-05 0.000209053755266312 0.000279506769218518 0.000985902151375277 -4.27674873136375e-05 0.000450072608089517 0.00137450744059391 -5.65235956355878e-05 0.000580778545981876 0.000589325663479682 0.00100148652884245 0.000688818612075875 0.000759898746906942 0.000505340643853688 0.000513624644675069 0.000310501666804822 0.00094531895848653 0.000141564299604485 0.00042376389840706 0.000690040405125678 0.000332631417890643 0.000763025692667566 -0.000308084037092828
"NABR" 0.000977589770909696 -3.77212773107254e-05 0.000337951313777634 0.000407242773646195 0.000169495789018525 0.000295976326642881 0.000210644948524836 0.00127075247385791 0.000408805272585679 0.00244202896932362 0.000610255110506578 0.000413095206083079 0.0014561129576851 0.000720818157246929 0.00131000137210374 -5.59888332496158e-05 0.000265339005507768 -4.09454619421083e-06 0.00107726607868627 -0.000792991254230028 0.000525251678263756 -0.000232386189763852 0.000704481502824691 0.00017984716772133 0.000551592060731562 0.000754601206399732 0.000643551619041222 0.000774053011669159 -0.00016668356218628 0.000268684975632958 0.00069147582341914 0.00136059285970693 0.000327358336760782 -0.00203938979632334 0.000866132175254347 -2.77782078916979e-05 0.000616612043072734 -0.000432469079849514
