"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00392795107755792 0.00199871916598121 0.00170864521628756 0.00146551952794797 0.00104525101993801 0.00106784872768781 0.00133713332086956 0.00146031000572431 0.000946498535705931 0.000944829988474849 0.000805640390112858 0.00103306813976094 0.000498661721509682 0.000845869140252953 0.00145006887510057 0.00108053107903932 0.000623102647692859 0.000840792597741754 0.0010599686852135 0.00100142330604243 0.00152186885709183 0.000393315327912173 0.000804563797165283 0.000451847150423631 0.00132106847531256 0.000993602811014945 0.00181569423986653 0.000327617552310595 0.000630651315404919 0.000919607542354002 0.000775823139222405 0.00110114856433304 0.00104174488098459 -0.000115857986144952 0.00144583262616095 0.000461325369102718 0.00044566467074444 0.00013518776462502
"ISNSL" 0.00199871916598121 0.00588095819217434 0.0030467219495792 0.00410179268288132 0.00255973449287061 0.00111435626872447 -0.000917468824642917 0.00222906578191142 0.00169445036983584 0.000475097810938917 0.000860265025188868 0.00196579744550575 3.20849652065536e-05 0.000296057642957869 0.0028815935553156 0.000274473899198798 0.00036152325783056 0.00058146578383746 0.00136649664217025 0.000898545917643076 0.00205158227030756 0.000362271952219173 0.000461850037143466 0.00136697515489712 0.00118323946631559 0.0018952702235642 0.000973324276066438 0.00121853755298404 0.000869630284346818 0.00170941048459925 0.00171397297014251 0.00128707873746454 0.000594974633505285 -6.66643317148134e-05 0.000125378932524321 0.000386863098833019 0.000365940473253996 0.000424547953375916
"ISPNS" 0.00170864521628756 0.0030467219495792 0.00342869141218637 0.00271542280532998 0.00171868559766375 0.00117095533772932 3.78740451621357e-05 0.00123556753987191 0.000835294451409669 0.000503784453925055 0.000706321376353443 0.00186880191598416 0.000433480462528278 0.000601405315005613 0.00219218233919874 0.000241591357723991 0.000296082333522233 0.00021193468441814 0.000787603887500919 0.000604246398371338 0.00156663530001061 8.47129202672309e-05 0.00115365703981312 0.00165430954512386 0.00177543834889979 0.00127301723067265 -0.00090761572537045 0.000756212007866978 -5.55584741310924e-05 0.00118057209850876 0.00140286948927813 0.00141267566787688 0.00116654293635748 0.00026205881515998 0.000949792346079503 0.000260332486904352 0.000124659643903619 0.000536636437078117
"PMZS" 0.00146551952794797 0.00410179268288132 0.00271542280532998 0.00514920312184618 0.00322376578090179 0.00158754220999147 -0.00102976918144419 0.00242578211341574 0.00162308746291684 0.000899743596921625 0.00122050167588609 0.00149218060459928 6.33066126574246e-06 0.000483768335228406 0.00259852180935053 0.000127345943064626 0.000399416428819186 0.000664100258819573 0.00128779751910851 0.000353633017003635 0.00189799034000338 0.000409892509624534 0.000867615095147721 0.000761597843967361 0.00167173732679279 0.00169551187147073 0.00139757932894879 0.00187706707463632 0.00167941330549709 0.0016364048787544 0.00226940218058581 0.00184100355763346 0.000540185365348682 0.000118826847936061 0.000543168954092751 0.000570783491618358 0.000583165321738983 0.000228666416698066
"PMZI" 0.00104525101993801 0.00255973449287061 0.00171868559766375 0.00322376578090179 0.00362022145406119 0.00127289101773886 -0.000356875435482703 0.00227905496152892 0.00214089544976436 0.000367463619072697 0.001309653991328 0.00100817970119965 -0.000174748832063998 0.000119341915828648 0.000729840304162755 -0.000209238532085857 0.000164432583426746 0.000430904812172693 0.0001316897028585 0.000485131335162868 0.000809849957009866 0.0016447195633684 0.000211537932828049 -0.000217631184492766 -8.31170328662814e-05 0.00110604447970998 0.000715174785489156 0.00134415285686717 0.000719655186639099 0.0010899887835634 0.000144288320969847 0.000276555762455527 5.27187064009978e-05 0.000983887204933334 5.83320017233243e-05 0.000259412931942177 0.000190547981825469 0.000100742404892082
"PMMT" 0.00106784872768781 0.00111435626872447 0.00117095533772932 0.00158754220999147 0.00127289101773886 0.00134059589939838 8.77253379426964e-05 0.00103209711418122 0.000732902155982724 0.000333407312580719 0.000686392392856164 0.000618106489724891 0.000115604097754149 0.000270101761171849 0.00081317017463879 0.000307141288645753 0.000307441129622517 0.00012400688037882 0.000244187196813781 0.00026582053766364 0.00060230517503538 0.000371292246065646 0.000754868234973882 7.7707252775863e-05 0.000422256310569824 0.000672886581961465 0.000743525423715496 0.00066476432184836 0.000584215334174672 0.000789433958848695 0.000677412470675484 0.0005825065053433 0.000388947242078496 0.000283433121636108 0.000458838164407991 0.000139332361484421 0.000228498821463777 0.000386815275336912
"NSLNA" 0.00133713332086956 -0.000917468824642917 3.78740451621357e-05 -0.00102976918144419 -0.000356875435482703 8.77253379426964e-05 0.0214838678713347 -0.00122902524419567 -0.000142976975784207 -0.0023306906611699 -0.00163145464490786 0.00134497887441758 -0.000162231252198348 -0.000285390394786214 -0.000563825877554254 -0.000395195349885933 0.000128177473155095 0.00084880720038758 0.000899515528445781 0.000106488462553688 -0.00109806792638865 0.00122243986450909 -0.00105303422644711 -0.00105615076347921 0.00198685968936573 -0.000702099886593975 0.000670512413892163 6.08057861804278e-05 -0.000706906570955506 -0.00100703232782852 0.000725971213604896 0.00120589920115147 0.00227247504372823 -0.00106331602289646 0.00158933063995996 -1.20426513228228e-05 -0.000659419379333697 -0.000421179741493215
"NSLZS" 0.00146031000572431 0.00222906578191142 0.00123556753987191 0.00242578211341574 0.00227905496152892 0.00103209711418122 -0.00122902524419567 0.00453247263119876 0.0018211733408911 0.000636045134842601 0.00153077665958692 0.0012685919668782 0.000600267823877246 0.000597740036751227 0.000808562346347316 0.000199016993146753 0.00025747139007602 0.000320071551877377 -0.000262396716161209 -0.000467496825665041 0.000966922073614778 -0.00164491178522787 0.000291311108682283 -0.00112235231322721 0.000148932343216254 0.000833375223563095 0.00117610238832192 0.000718287104664152 0.00103177995988657 0.000947897480743024 0.000926637700263749 -0.000148295896158162 0.000899356334987186 0.00089237393480198 0.000510951153381672 0.00022248631786508 0.000294664842451925 0.000453544960891656
"NSLZI" 0.000946498535705931 0.00169445036983584 0.000835294451409669 0.00162308746291684 0.00214089544976436 0.000732902155982724 -0.000142976975784207 0.0018211733408911 0.00205694512292351 0.00031570879706966 0.000904893641136207 0.000977194042820625 0.000298839801435929 0.000129530376553646 0.000170175094734593 -0.000281799068334655 0.000217727255735137 0.000495825448933173 -0.000211343074610394 0.000194526096637032 0.000551194962029855 0.00208178182487509 0.000166342574474807 -0.000302045144729749 -0.000113580119057339 0.000923084682573388 0.000963380684127455 0.000849349174936486 0.000321389754300203 0.000924272055558701 -3.76017316791295e-05 -8.52914421962731e-05 0.000287760695895792 0.000455667185278563 0.000219857532276578 0.000343972541918307 0.000177334236119316 0.000130264096487538
"NABR" 0.000944829988474849 0.000475097810938917 0.000503784453925055 0.000899743596921625 0.000367463619072697 0.000333407312580719 -0.0023306906611699 0.000636045134842601 0.00031570879706966 0.00262130828615295 0.000844866426422949 0.000285268492440909 0.00171592624996793 0.00129472273515511 0.000860510978129425 0.000759907715429964 0.000703915585238223 0.00136052043905444 0.00129165619910659 0.000630522332017638 0.00116854621565088 7.1154780413854e-05 0.000392258563854499 0.00066739404020725 0.00198895054382091 0.000965215307230414 0.00112758693062308 0.00077919857574236 0.00106513667609117 0.000686514471559242 0.00131203812991315 0.00167474220867703 0.000910091641829983 -0.00155095854780881 0.000593125467862793 0.0011179517710625 0.000879145148722903 0.0012397578746584
