"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00444959406193203 0.00306519662788844 0.00262574129320768 0.00119316864833041 0.00120695101404944 0.00083074815710711 0.00258803753359239 -0.000339862662243438 0.00127017319523206 0.000489275268800478 0.000716728274851008 0.00167159998118219 -1.03125845278157e-05 0.000743771023061889 0.00113845556701713 0.00127813633865802 0.000939177350920248 0.00140571671449508 0.00187455609198656 0.00136266541470037 0.000882043456342853 0.00321913113785803 -0.000135572314456865 0.000871548294697315 0.000457389944432827 0.00152551534161158 -0.000151002867930052 0.000954086106152901 0.00276016012733384 0.000724339386564525 0.00142379978182488 0.00117618387883973 0.00132634946014407 0.000580828266738592 0.000998144771425897 0.000103953779122506 0.000131207012714809 0.000443616873746347
"ISNSL" 0.00306519662788844 0.00630377804308506 0.00320553930725887 0.00329621691598219 0.00262700352310214 0.00140980807530487 -0.000514183513326853 0.000585610585275624 0.00205276299553486 0.00111734615719968 0.00124994389171575 0.000564617968312748 -0.000982530571971377 0.000344290002757552 0.00379008959154132 0.00182224688860382 0.00107281504413422 0.00119636062576832 0.00295323259018066 0.00115802026864674 0.000934133538934323 0.00336446453332076 -0.000761004751360021 0.00116900428651253 0.00117807802383435 0.00283054773076617 0.00148320035875746 0.00168191274417693 0.0027757026994553 0.000813816678534148 0.00171599816007062 0.00268860868043373 0.00100860113555995 0.000707763117218537 -0.000313101124821779 0.000282371665952808 0.000929685248079578 0.0014737277028843
"ISPNS" 0.00262574129320768 0.00320553930725887 0.00442310481007679 0.00255532652958902 0.0022254987516216 0.00156049588363715 0.00218911368027458 -0.00037371759476061 0.00116455446521763 0.000652172333840596 0.00104876139162996 0.00140187505599483 -0.00033483925290013 0.000268198603463486 0.00168321946206165 0.000717642184244241 0.000420793313075602 0.000299225895077643 0.00175569615591229 0.00155545955321623 0.000507127185249566 0.00279798092890021 -0.000392841311872785 0.00109901356001741 0.00114342107733564 0.00206467094674255 -0.00304118510905504 0.00158834480423867 0.00339344624879269 0.00108001807488802 0.00112603753351069 0.00205777952278036 0.00124376572798016 0.000184358962177593 0.000695579709782916 -3.49933759562399e-05 0.000691938334382062 0.000164491427240653
"PMZS" 0.00119316864833041 0.00329621691598219 0.00255532652958902 0.00463484726541023 0.00261858892318682 0.00123058898535206 0.00209088401071103 0.00229337505570098 0.00132791642458265 0.000993929992879592 0.00125256218507262 0.000135503053516106 -0.00064012021231598 -0.000507359008925868 0.00155657528334374 0.000137061392666769 5.93829202511461e-05 0.000697193179449992 0.001956571524216 -0.000803437409054571 7.71893038221383e-05 0.000634924593080449 -0.0015635221742477 0.0014298717807013 0.0019356810155039 0.000706586107472294 0.00182095113983658 0.000473665291444998 0.00122362119230219 0.000642522023047783 0.00115652548027112 0.00226696783343778 -0.000359153254524243 -0.00084153627384855 -0.000266784200958499 0.00105015345945189 0.00143419180203565 -7.45785514325574e-06
"PMZI" 0.00120695101404944 0.00262700352310214 0.0022254987516216 0.00261858892318682 0.00365222908912843 0.00147940311229127 0.000907149050847949 0.00121415992842337 0.00213451767439854 0.00114154738092758 0.0014121837768249 -5.92113293109987e-05 -0.00106830548604931 -0.000208299492061291 0.00202730967329239 0.00156389666283839 0.00069240647235742 0.00116511802047503 0.00196259088005444 0.000887476675302321 -3.5335221699375e-05 0.0024122687991206 -0.000191760021571872 -0.000958989995030179 0.000139741038956668 0.00215722881615881 0.000478157144824501 0.00117290922151153 0.00261012835897522 0.000524514321918723 0.00116122747045482 0.00126271441529859 0.000618009491828873 -0.00211818048280741 -2.14899349674657e-05 0.000494064313968447 0.000543664468966338 0.000791258300183764
"PMMT" 0.00083074815710711 0.00140980807530487 0.00156049588363715 0.00123058898535206 0.00147940311229127 0.0013011842057804 0.000109872657478848 -0.000486571245242555 0.000636312870402862 0.000449730842016769 0.000728208915575257 1.03249536689832e-05 -0.000828884374437751 -9.66430850356281e-05 0.00128225798446957 0.000993790782849287 0.000399265068482918 0.000438292366934945 0.00119061470899718 0.000686923032032903 -0.000157699728736971 0.00183460025398018 3.65630307808039e-05 -4.85347111618712e-05 6.46208311830528e-05 0.00125563107501982 -0.00046136273965253 0.000920067633671341 0.00122268295686482 0.000334633385742547 0.000712640740929723 0.00105994783521302 0.000403826890647527 -0.00105096597080031 6.81720528169116e-05 -2.04298634321599e-05 0.000325464598181771 -0.000159326761430868
"NSLNA" 0.00258803753359239 -0.000514183513326853 0.00218911368027458 0.00209088401071103 0.000907149050847949 0.000109872657478848 0.0311496554234362 -0.00171304642607808 -5.98156243124519e-05 -0.00231803229161098 -0.000114140331597383 0.00349257344298687 0.00159756218118765 0.000390974616153775 0.00110211298576901 -0.00327727378957812 -0.00220265793859149 -0.00173850476221207 -0.00299037434085191 0.00180004273752209 -0.000406907247460111 0.00320853301208829 -0.0012468702032108 0.00124219040672809 4.32472319990632e-06 0.00121052868833533 -0.000536336107110379 0.000939300821110418 0.00293214753128422 0.00067297258832393 0.00285543941135595 -0.000560598007777866 0.00172300064345713 -0.0043146638048196 0.00226532111712527 -0.00158679078968619 0.00203328026814145 -0.000307513040437732
"NSLZS" -0.000339862662243438 0.000585610585275624 -0.00037371759476061 0.00229337505570098 0.00121415992842337 -0.000486571245242555 -0.00171304642607808 0.00664168829605858 0.00190800604857352 0.00164888915129565 0.0011130206111969 0.00049521618157356 0.000685593086178955 -0.000709307657825771 -0.00109473215157628 0.000155840524703821 0.000595643056088009 0.00166734684067038 0.00142671609571516 -0.00277231126271728 7.74347754583348e-05 -0.00379439942515391 -0.000685364025128843 -0.000128936733920103 0.000895994822774745 -0.00200588109189274 0.00358039011220585 -0.00135389391163889 -0.000725269518138344 0.000453807244731862 -0.000188963310515813 6.6093462172735e-05 -0.000527863291735513 -0.00117917407355287 -0.000683457744855138 0.00269187622631098 0.000963478069425586 0.00164187257884476
"NSLZI" 0.00127017319523206 0.00205276299553486 0.00116455446521763 0.00132791642458265 0.00213451767439854 0.000636312870402862 -5.98156243124519e-05 0.00190800604857352 0.00239841100246085 0.00126272686995109 0.00140070452274526 0.000476933871707743 -0.000719318284038173 0.000215110006799065 0.00170752756175893 0.00221320410248846 0.00143493072529837 0.00233049463849982 0.00302988887949025 0.000402739279057076 0.000269412989207896 0.00240453383366173 0.000310091598932618 -0.00040228555497571 0.000312405509817477 0.00165038145795853 0.00109294068544744 0.000824408753306462 0.00181708269303626 0.000600229130982851 0.000837281337287722 0.00120832524773452 0.000660152884363426 -0.00107856335439467 0.00032814648597269 0.00117897611809439 0.000658822097005256 0.00120419550954182
"NABR" 0.000489275268800478 0.00111734615719968 0.000652172333840596 0.000993929992879592 0.00114154738092758 0.000449730842016769 -0.00231803229161098 0.00164888915129565 0.00126272686995109 0.00280514209094325 0.000938520792111027 -0.000179557381742718 0.000145345579740036 0.000447891685937673 0.00171600276777044 0.00218023553359036 0.0014531610689493 0.00216427688369246 0.00275007316348183 -0.00017338517967207 -0.000104048513552653 0.000388545546166398 -0.000148459668692647 0.000943370123546266 0.000228355167213727 0.00106067416700031 0.00086519647190832 0.000896664775763604 0.00188354412589539 0.000943263535102418 0.000242104171702069 0.00139072472277287 0.000822791282200673 -0.00209204460177303 0.000477334998909896 0.00122300633892791 0.000901444603442892 0.00107928990352049
