"","formula","AICc","R2","deltaAICc","weight"
"1","normas ~ size",-14.9770931882299,0.0162771143225688,0,0.129002657193337
"2","normas ~ nmds2",-13.8443445844347,-0.044154331590809,1.13274860379528,0.0732192746099603
"3","normas ~ cvn",-13.7396420713795,-0.0499241928855155,1.23745111685039,0.0694847597340529
"4","normas ~ clima",-13.71369241523,-0.0513591289696959,1.26340077299992,0.0685890304553973
"5","normas ~ nmds1",-13.6323541084833,-0.0558696067467602,1.34473907974663,0.0658555339033456
"6","normas ~ integration",-13.6173160127588,-0.0567056358800613,1.35977717547115,0.0653622199417435
"7","normas ~ size + cvn",-12.458326200984,-0.0271420773765857,2.5187669872459,0.0366146893747248
"8","normas ~ size + nmds1",-12.4176787291363,-0.0293418363267467,2.55941445909361,0.0358780530536912
"9","normas ~ size + clima",-12.1792007803475,-0.0423430117786078,2.79789240788245,0.0318452042794177
"10","normas ~ size + nmds2",-12.1657765300951,-0.0430797285044782,2.81131665813488,0.0316321710363246
"11","normas ~ size + integration",-12.1310546953687,-0.0449876629962652,2.84603849286126,0.0310877470529504
"12","normas ~ nmds1 + nmds2",-12.0931880997139,-0.0470723778760536,2.88390508851604,0.0305046904882511
"13","normas ~ integration + cvn",-11.7364644298733,-0.066916794308451,3.2406287583566,0.0255214333683112
"14","normas ~ nmds2 + cvn",-11.3723585628549,-0.087559782623742,3.60473462537502,0.0212735749503752
"15","normas ~ clima + cvn",-11.152351929292,-0.100226152110407,3.82474125893794,0.0190575314105636
"16","normas ~ nmds1 + clima",-11.1432441786585,-0.100753677769777,3.83384900957146,0.0189709430945097
"17","normas ~ integration + nmds1",-11.0055936515229,-0.10875733633651,3.97149953670703,0.0177091815052049
"18","normas ~ integration + nmds2",-10.99565419464,-0.109337511536508,3.98143899358997,0.0176213900128326
"19","normas ~ nmds2 + clima",-10.9948466292923,-0.109384663198196,3.98224655893765,0.0176142762371627
"20","normas ~ nmds1 + cvn",-10.8916677352202,-0.115425528750825,4.08542545300972,0.0167286074702215
"21","normas ~ integration + clima",-10.8692936470274,-0.116739809234029,4.10779954120256,0.0165425067004108
"22","normas ~ integration + nmds1 + nmds2",-10.242054996636,-0.0372117115102629,4.73503819159395,0.0120892171026265
"23","normas ~ size + nmds1 + nmds2",-10.1245913787321,-0.0436439234236584,4.85250180949785,0.0113996436689075
"24","normas ~ size + integration + cvn",-9.70665188851799,-0.0668551162739959,5.27044129971196,0.0092498964113764
"25","normas ~ size + nmds1 + clima",-9.56281478939802,-0.0749622564431055,5.41427839883192,0.00860801549193568
"26","normas ~ size + clima + cvn",-9.37299365895014,-0.0857555851753547,5.6040995292798,0.00782859642530981
"27","normas ~ size + nmds2 + cvn",-9.36276213439998,-0.0863404234148328,5.61433105382997,0.00778864945377641
"28","normas ~ size + integration + nmds1",-9.30699240084066,-0.0895337875695858,5.67010078738928,0.00757446414419402
"29","normas ~ size + nmds1 + cvn",-9.24807754010853,-0.0929174377530712,5.72901564812141,0.00735459419490287
"30","normas ~ size + integration + clima",-8.94302180124204,-0.110606468641402,6.0340713869879,0.00631417628250739
"31","normas ~ size + nmds2 + clima",-8.92529792846857,-0.111642965046071,6.05179525976137,0.00625846766166841
"32","normas ~ size + integration + nmds2",-8.92309175204058,-0.111772050461634,6.05400143618936,0.00625156782601649
"33","normas ~ integration + nmds2 + cvn",-8.89536753323536,-0.113395498384175,6.08172565499458,0.00616550578769166
"34","normas ~ nmds1 + nmds2 + cvn",-8.85256749189013,-0.115906397672993,6.12452569633981,0.00603496559956054
"35","normas ~ nmds1 + nmds2 + clima",-8.84222028474607,-0.116514274477112,6.13487290348388,0.00600382370734239
"36","normas ~ integration + clima + cvn",-8.61230147176859,-0.130107281270337,6.36479171646135,0.00535182243156496
"37","normas ~ integration + nmds1 + cvn",-8.53964196026566,-0.134437294484169,6.43745122796429,0.00516088145008856
"38","normas ~ integration + nmds1 + clima",-8.14754382412356,-0.158091621188772,6.82954936410638,0.00424209953694814
"39","normas ~ nmds2 + clima + cvn",-8.12252388414264,-0.159617645882869,6.8545693040873,0.00418936156207233
"40","normas ~ nmds1 + clima + cvn",-7.95722344328808,-0.169750359819332,7.01986974494187,0.00385703259506796
"41","normas ~ integration + nmds2 + clima",-7.7387686160197,-0.183277322801962,7.23832457221024,0.00345793197897784
"42","normas ~ size + integration + nmds1 + nmds2",-7.40641918704379,-0.0586248237283186,7.57067400118615,0.00292851656190539
"43","normas ~ integration + nmds1 + nmds2 + cvn",-7.04426609244829,-0.0789964745489413,7.93282709578165,0.00244347071954045
"44","normas ~ integration + nmds1 + nmds2 + clima",-6.51534761446002,-0.109455365911714,8.46174557376992,0.00187565928383117
"45","normas ~ size + nmds1 + nmds2 + clima",-6.4040651498848,-0.115972481375623,8.57302803834514,0.00177414565046971
"46","normas ~ size + nmds1 + nmds2 + cvn",-6.37571374454613,-0.117638955361462,8.60137944368381,0.00174917330767221
"47","normas ~ size + integration + nmds1 + cvn",-6.13391343620363,-0.131953291083447,8.84317975202632,0.00154998170329291
"48","normas ~ size + integration + nmds2 + cvn",-6.10291537966067,-0.133801553746973,8.87417780856927,0.00152614370316712
"49","normas ~ size + integration + clima + cvn",-6.04333391505786,-0.137362584663543,8.93375927317209,0.0014813493064178
"50","normas ~ size + integration + nmds1 + clima",-5.98313347268079,-0.140971969750788,8.99395971554915,0.00143742475040223
"51","normas ~ size + nmds1 + clima + cvn",-5.85641284183965,-0.148607123212072,9.12068034639029,0.00134917437238771
"52","normas ~ size + nmds2 + clima + cvn",-5.64571659614744,-0.161415229781212,9.33137659208251,0.00121427198329976
"53","normas ~ size + integration + nmds2 + clima",-5.18930421903756,-0.18965219491614,9.78778896919238,0.000966512079667988
"54","normas ~ integration + nmds2 + clima + cvn",-5.14155387872485,-0.192645760132087,9.8355393095051,0.00094370972747361
"55","normas ~ nmds1 + nmds2 + clima + cvn",-5.09886379499126,-0.195328464782841,9.87822939323869,0.000923779664534771
"56","normas ~ integration + nmds1 + clima + cvn",-5.08787535211608,-0.196019969912759,9.88921783611386,0.000918718131821524
