"","formula","AICc","R2","deltaAICc","weight"
"1","normas ~ cvn + integration",-6.81298945536803,0.789769886498917,0,0.35887365142237
"2","normas ~ cvn + prop + integration",-3.18602557875207,0.783979007192732,3.62696387661597,0.0585270149894033
"3","normas ~ clima + cvn + integration",-3.18503514548525,0.783961176925455,3.62795430988279,0.0584980386134605
"4","normas ~ cvn + dominance + integration",-2.93408606972693,0.779395710578766,3.8789033856411,0.0515998459914656
"5","normas ~ cvn + social + integration",-2.69685612817978,0.774991154949976,4.11613332718826,0.0458283876614518
"6","normas ~ size + cvn + integration",-2.60973054194949,0.773351541011338,4.20325891341854,0.0438748351245004
"7","normas ~ nmds2 + cvn + integration",-2.27960585534038,0.767029795237002,4.53338360002765,0.0371988772967311
"8","normas ~ cvn + mating + integration",-2.24956041962805,0.766445756779189,4.56342903573998,0.0366442256771348
"9","normas ~ nmds1 + cvn + integration",-2.11174671780013,0.76374804764013,4.7012427375679,0.0342042194386699
"10","normas ~ nmds2 + prop + mating",-0.542249389660939,0.730736548399277,6.27074006570709,0.015605140009715
"11","normas ~ integration",-0.420242591355761,0.562478146853648,6.39274686401227,0.014681628475918
"12","normas ~ size + integration",-0.346814259095986,0.639659058717887,6.46617519627205,0.0141523796416709
"13","normas ~ clima + integration",0.028791215133559,0.628201850336899,6.84178067050159,0.0117291834177994
"14","normas ~ size + nmds2 + integration",1.04933750702709,0.692546912172028,7.86232696239512,0.00704139919311878
"15","normas ~ nmds2 + mating",1.2391008250979,0.588746327249878,8.05209028046593,0.00640401565955807
"16","normas ~ nmds1 + nmds2 + prop + mating",1.30012340312762,0.7874997405746,8.11311285849565,0.00621157167318939
"17","normas ~ nmds1 + integration",1.58798364397907,0.57661420810092,8.4009730993471,0.00537889967009265
"18","normas ~ mating + integration",1.6106981244108,0.575812033442479,8.42368757977883,0.00531815580868402
"19","normas ~ nmds1 + cvn + social + integration",1.76018553992065,0.779194611048454,8.57317499528868,0.00493514908915624
"20","normas ~ social + integration",1.83001775454211,0.56798802395218,8.64300720991014,0.00476580649008049
"21","normas ~ clima + cvn + prop + integration",2.12288914628264,0.77241881744804,8.93587860165067,0.00411661440760651
"22","normas ~ clima + cvn + dominance + integration",2.1308342791395,0.77226808732717,8.94382373450753,0.00410029332317207
"23","normas ~ size + nmds2 + mating",2.26857040383854,0.659666759372265,9.08155985920657,0.00382741810190327
"24","normas ~ clima + mating + integration",2.30318719078353,0.658683571664011,9.11617664615157,0.00376174165986891
"25","normas ~ clima + cvn + social + integration",2.33152909741198,0.768427341541929,9.14451855278001,0.00370881012536714
"26","normas ~ nmds2 + mating + integration",2.44202012531335,0.654711810383855,9.25500958068138,0.00350947197013224
"27","normas ~ nmds1 + cvn + prop + integration",2.58213468161835,0.763540373142635,9.39512413698638,0.00327202255531004
